generation,unique_ids
0,30
1,26
2,19
3,23
4,23
5,24
6,24
7,23
8,24
9,25
10,24
11,22
12,21
13,20
14,21
15,22
16,20
17,24
18,22
19,18
20,19
21,21
22,22
23,22
24,26
25,24
26,23
27,23
28,23
29,25
30,24
31,21
32,20
33,22
34,23
35,20
36,23
37,25
38,24
39,22
40,24
41,26
42,24
43,22
44,23
45,22
46,24
47,22
48,23
49,24
50,26
51,22
52,23
53,23
54,25
55,22
56,23
57,22
58,20
59,20
60,19
61,21
62,22
63,19
64,23
65,22
66,22
67,24
68,25
69,25
70,24
71,23
72,24
73,20
74,22
75,22
76,26
77,24
78,23
79,22
80,18
81,23
82,26
83,22
84,24
85,23
86,27
87,24
88,21
89,23
90,26
91,26
92,21
93,24
94,24
95,24
96,24
97,19
98,23
99,26
100,21
101,20
102,20
103,25
104,21
105,25
106,23
107,22
108,19
109,24
110,19
111,20
112,21
113,22
114,24
115,26
116,19
117,17
118,23
119,20
120,22
121,23
122,27
123,22
124,22
125,23
126,22
127,20
128,23
129,24
130,21
131,23
132,23
133,24
134,22
135,24
136,24
137,19
138,22
139,22
140,22
141,23
142,25
143,28
144,21
145,22
146,20
147,21
148,23
149,23
150,21
151,24
152,22
153,22
154,23
155,24
156,23
157,24
158,20
159,22
160,20
161,24
162,23
163,22
164,23
165,26
166,19
167,24
168,21
169,22
170,26
171,21
172,22
173,24
174,21
175,25
176,20
177,20
178,20
179,21
180,19
181,23
182,23
183,24
184,24
185,24
186,26
187,27
188,27
189,27
190,22
191,23
192,22
193,25
194,23
195,23
196,23
197,19
198,21
199,23
200,20
201,27
202,26
203,24
204,26
205,22
206,23
207,24
208,23
209,23
210,25
211,20
212,23
213,24
214,20
215,22
216,20
217,23
218,21
219,23
220,24
221,22
222,23
223,20
224,19
225,20
226,22
227,20
228,23
229,24
230,22
231,21
232,24
233,23
234,22
235,19
236,21
237,22
238,22
239,23
240,18
241,26
242,23
243,25
244,22
245,22
246,21
247,21
248,23
249,19
250,23
251,18
252,19
253,22
254,25
255,22
256,20
257,20
258,21
259,17
260,21
261,21
262,25
263,26
264,21
265,25
266,22
267,20
268,22
269,20
270,21
271,24
272,23
273,23
274,22
275,24
276,25
277,22
278,22
279,23
280,24
281,20
282,22
283,23
284,22
285,24
286,21
287,24
288,24
289,23
290,23
291,23
292,23
293,22
294,18
295,18
296,19
297,20
298,22
299,24
300,23
301,25
302,23
303,19
304,26
305,23
306,21
307,22
308,23
309,23
310,22
311,24
312,21
313,19
314,22
315,20
316,20
317,18
318,25
319,20
320,22
321,23
322,22
323,25
324,22
325,27
326,25
327,19
328,20
329,23
330,20
331,20
332,22
333,24
334,22
335,21
336,25
337,22
338,24
339,24
340,21
341,23
342,23
343,22
344,24
345,22
346,23
347,24
348,22
349,20
350,20
351,22
352,23
353,23
354,24
355,21
356,24
357,23
358,21
359,23
360,23
361,22
362,24
363,23
364,22
365,21
366,22
367,22
368,21
369,25
370,21
371,24
372,24
373,25
374,24
375,23
376,21
377,24
378,22
379,20
380,16
381,21
382,21
383,25
384,25
385,20
386,25
387,24
388,25
389,25
390,25
391,24
392,23
393,22
394,21
395,25
396,20
397,20
398,24
399,23
400,27
401,25
402,24
403,18
404,22
405,25
406,23
407,23
408,18
409,22
410,25
411,25
412,24
413,22
414,26
415,21
416,21
417,22
418,21
419,19
420,22
421,18
422,23
423,22
424,25
425,21
426,21
427,22
428,23
429,21
430,22
431,21
432,20
433,23
434,24
435,20
436,22
437,26
438,24
439,21
440,24
441,22
442,20
443,20
444,21
445,24
446,24
447,24
448,25
449,24
450,21
451,24
452,25
453,24
454,21
455,24
456,27
457,19
458,23
459,21
460,21
461,23
462,22
463,22
464,20
465,21
466,24
467,23
468,23
469,25
470,20
471,21
472,19
473,21
474,25
475,23
476,17
477,18
478,21
479,23
480,22
481,23
482,21
483,24
484,23
485,23
486,21
487,19
488,21
489,19
490,18
491,20
492,22
493,26
494,26
495,20
496,19
497,28
498,21
499,20
500,19
501,22
502,21
503,23
504,23
505,27
506,22
507,24
508,23
509,22
510,22
511,23
512,25
513,22
514,23
515,25
516,23
517,27
518,21
519,23
520,22
521,21
522,23
523,24
524,25
525,23
526,24
527,27
528,25
529,21
530,23
531,20
532,25
533,22
534,22
535,23
536,26
537,25
538,22
539,25
540,23
541,19
542,23
543,22
544,22
545,20
546,21
547,20
548,25
549,24
550,20
551,25
552,26
553,24
554,21
555,24
556,22
557,20
558,21
559,26
560,23
561,24
562,26
563,22
564,23
565,23
566,27
567,19
568,19
569,20
570,24
571,23
572,26
573,26
574,23
575,24
576,21
577,21
578,22
579,19
580,18
581,20
582,25
583,24
584,22
585,20
586,22
587,23
588,21
589,21
590,21
591,23
592,25
593,22
594,26
595,25
596,26
597,20
598,20
599,22
600,27
601,23
602,21
603,25
604,25
605,23
606,26
607,22
608,24
609,20
610,23
611,23
612,24
613,25
614,25
615,23
616,21
617,22
618,21
619,21
620,25
621,23
622,25
623,27
624,24
625,24
626,22
627,19
628,22
629,24
630,23
631,23
632,20
633,20
634,22
635,24
636,24
637,26
638,23
639,23
640,22
641,23
642,23
643,22
644,21
645,19
646,20
647,20
648,22
649,26
650,20
651,20
652,19
653,20
654,21
655,23
656,25
657,25
658,25
659,23
660,25
661,18
662,25
663,22
664,26
