generation,unique_ids
0,30
1,24
2,25
3,23
4,25
5,25
6,27
7,23
8,26
9,27
10,25
11,25
12,25
13,25
14,24
15,21
16,26
17,28
18,27
19,26
20,26
21,22
22,25
23,26
24,25
25,24
26,26
27,24
28,25
29,24
30,23
31,25
32,26
33,22
34,21
35,23
36,26
37,25
38,24
39,27
40,27
41,27
42,26
43,25
44,25
45,25
46,23
47,23
48,24
49,25
50,26
51,25
52,21
53,26
54,28
55,24
56,23
57,24
58,21
59,26
60,27
61,27
62,21
63,23
64,24
65,24
66,25
67,24
68,27
69,25
70,23
71,26
72,29
73,23
74,25
75,26
76,23
77,28
78,22
79,22
80,22
81,25
82,28
83,23
84,22
85,25
86,27
87,25
88,25
89,25
90,25
91,28
92,24
93,22
94,24
95,24
96,27
97,25
98,26
99,27
100,23
101,24
102,22
103,24
104,26
105,23
106,24
107,19
108,20
109,26
110,24
111,22
112,27
113,23
114,27
115,24
116,25
117,26
118,25
119,25
120,22
121,24
122,23
123,25
124,23
125,24
126,24
127,23
128,25
129,25
130,30
131,26
132,23
133,27
134,22
135,26
136,26
137,27
138,21
139,24
140,24
141,25
142,25
143,23
144,28
145,28
146,28
147,26
148,26
149,26
150,24
151,27
152,28
153,27
154,26
155,24
156,27
157,22
158,27
159,22
160,25
161,24
162,23
163,25
164,28
165,21
166,26
167,26
168,24
169,28
170,24
171,26
172,27
173,29
174,24
175,22
176,27
177,24
178,24
179,21
180,22
181,24
182,24
183,24
184,28
185,23
186,25
187,25
188,27
189,23
190,24
191,27
192,28
193,23
194,23
195,25
196,26
197,23
198,25
199,26
200,26
201,23
202,26
203,29
204,27
205,25
206,25
207,27
208,24
209,25
210,26
211,26
212,26
213,24
214,25
215,25
216,24
217,23
218,27
219,24
220,24
221,26
222,26
223,22
224,27
225,24
226,24
227,22
228,27
229,20
230,26
231,26
232,24
233,22
234,24
235,24
236,26
237,23
238,23
239,27
240,24
241,27
242,26
243,26
244,25
245,26
246,23
247,28
248,24
249,25
250,26
251,28
252,27
253,26
254,22
255,27
256,24
257,25
258,24
259,25
260,26
261,26
262,25
263,24
264,24
265,27
266,25
267,22
268,24
269,29
270,26
271,24
272,27
273,26
274,24
275,26
276,26
277,27
278,27
279,26
280,25
281,27
282,24
283,23
284,27
285,22
286,27
287,23
288,26
289,25
290,27
291,24
292,27
293,25
294,24
295,25
296,24
297,24
298,25
299,25
300,22
301,24
302,25
303,23
304,23
305,23
306,26
307,27
308,22
309,24
310,26
311,26
312,22
313,22
314,25
315,25
316,24
317,26
318,23
319,26
320,24
321,24
322,25
323,21
324,25
325,28
326,22
327,24
328,25
329,23
330,24
331,24
332,26
333,23
334,22
335,23
336,25
337,21
338,21
339,22
340,23
341,24
342,24
343,24
344,26
345,25
346,21
347,20
348,23
349,25
350,27
351,24
352,27
353,27
354,23
355,21
356,24
357,23
358,25
359,24
360,22
361,26
362,24
363,25
364,26
365,26
366,26
367,26
368,24
369,24
370,25
371,24
372,27
373,26
374,24
375,27
376,24
377,25
378,22
379,27
380,25
381,26
382,25
383,26
384,25
385,26
386,25
387,24
388,23
389,25
390,26
391,22
392,23
393,25
394,24
395,20
396,25
397,24
398,21
399,26
400,24
401,28
402,27
403,27
404,25
405,24
406,21
407,20
408,23
409,24
410,24
411,22
412,27
413,27
414,29
415,28
416,22
417,24
418,25
419,23
420,27
421,27
422,28
423,23
424,27
425,25
426,26
427,22
428,25
429,29
430,26
431,26
432,22
433,24
434,23
435,22
436,22
437,27
438,23
439,24
440,27
441,28
442,27
443,28
444,23
445,24
446,26
447,29
448,24
449,27
450,23
451,22
452,26
453,28
454,24
455,25
456,24
457,24
458,25
459,25
460,23
461,24
462,27
463,30
464,29
465,24
466,24
467,25
468,26
469,24
470,24
471,23
472,21
473,24
474,27
475,29
476,22
477,22
478,23
479,27
480,28
481,25
482,27
483,24
484,26
485,25
486,27
487,26
488,24
489,22
490,26
491,26
492,23
493,24
494,22
495,23
496,23
497,26
498,26
499,26
500,25
501,22
502,22
503,20
504,29
505,24
506,25
507,24
508,24
509,24
510,23
511,25
512,26
513,26
514,24
515,24
516,23
517,19
518,24
519,18
520,23
521,20
522,25
523,23
524,24
525,27
526,26
527,25
528,24
529,25
530,22
531,26
532,25
533,25
534,25
535,25
536,24
537,23
538,25
539,27
540,24
541,27
542,26
543,27
544,26
545,22
546,24
547,27
548,27
549,28
550,24
551,23
552,23
553,26
554,25
555,24
556,22
557,23
558,22
559,25
560,24
561,27
562,24
563,25
564,27
565,21
566,25
567,23
568,24
569,26
570,25
571,27
572,28
573,26
574,23
575,24
576,24
577,27
578,26
579,25
580,25
581,25
582,24
583,26
584,25
585,27
586,28
587,25
588,24
589,23
590,25
591,25
592,25
593,27
594,26
595,26
596,24
597,26
598,24
599,25
600,24
601,28
602,25
603,26
604,27
605,25
606,29
607,25
608,27
609,27
610,26
611,26
612,27
