generation,unique_ids
0,30
1,23
2,21
3,22
4,27
5,24
6,24
7,25
8,22
9,28
10,24
11,28
12,22
13,26
14,26
15,24
16,26
17,25
18,23
19,22
20,21
21,23
22,24
23,26
24,24
25,20
26,28
27,26
28,24
29,24
30,25
31,25
32,23
33,27
34,26
35,25
36,26
37,25
38,22
39,23
40,27
41,21
42,26
43,24
44,27
45,26
46,28
47,26
48,24
49,21
50,25
51,25
52,27
53,27
54,25
55,26
56,26
57,26
58,25
59,25
60,25
61,26
62,26
63,24
64,28
65,23
66,25
67,26
68,29
69,26
70,26
71,26
72,29
73,22
74,24
75,24
76,28
77,25
78,27
79,22
80,24
81,22
82,26
83,24
84,25
85,22
86,29
87,26
88,25
89,24
90,25
91,24
92,25
93,28
94,25
95,27
96,26
97,27
98,22
99,26
100,23
101,24
102,22
103,28
104,24
105,22
106,25
107,24
108,27
109,26
110,23
111,21
112,21
113,20
114,24
115,22
116,26
117,23
118,21
119,23
120,23
121,26
122,26
123,26
124,23
125,26
126,27
127,26
128,27
129,25
130,24
131,22
132,23
133,24
134,24
135,27
136,27
137,25
138,22
139,25
140,25
141,22
142,26
143,24
144,26
145,25
146,25
147,27
148,26
149,24
150,26
151,21
152,25
153,23
154,25
155,27
156,25
157,24
158,25
159,25
160,22
161,22
162,23
163,25
164,27
165,25
166,26
167,25
168,25
169,24
170,24
171,23
172,27
173,24
174,25
175,25
176,24
177,23
178,25
179,27
180,28
181,26
182,23
183,27
184,24
185,25
186,26
187,23
188,22
189,23
190,25
191,22
192,24
193,25
194,25
195,26
196,25
197,24
198,24
199,25
200,26
201,24
202,25
203,24
204,24
205,22
206,22
207,23
208,25
209,27
210,25
211,25
212,25
213,29
214,26
215,25
216,23
217,22
218,22
219,25
220,24
221,26
222,26
223,25
224,24
225,25
226,25
227,23
228,25
229,23
230,21
231,21
232,23
233,21
234,25
235,27
236,25
237,25
238,22
239,27
240,26
241,25
242,24
243,25
244,22
245,25
246,26
247,24
248,20
249,25
250,25
251,27
252,24
253,24
254,22
255,23
256,22
257,24
258,22
259,26
260,22
261,21
262,24
263,27
264,28
265,25
266,25
267,25
268,22
269,24
270,25
271,27
272,22
273,27
274,26
275,26
276,25
277,22
278,25
279,25
280,27
281,27
282,28
283,21
284,26
285,21
286,25
287,26
288,26
289,24
290,28
291,25
292,24
293,23
294,26
295,27
296,26
297,27
298,25
299,23
300,23
301,22
302,24
303,24
304,28
305,21
306,24
307,24
308,24
309,22
310,22
311,21
312,28
313,25
314,23
315,22
316,22
317,26
318,27
319,27
320,26
321,28
322,24
323,25
324,24
325,24
326,23
327,27
328,25
329,26
330,24
331,18
332,25
333,26
334,21
335,22
336,26
337,24
338,24
339,25
340,25
341,26
342,23
343,26
344,25
345,25
346,25
347,27
348,26
349,23
350,27
351,27
352,26
353,25
354,24
355,25
356,24
357,26
358,23
359,20
360,23
361,23
362,25
363,25
364,25
365,22
366,24
367,24
368,29
369,20
370,21
371,23
372,28
373,22
374,24
375,23
376,23
377,25
378,29
379,26
380,25
381,25
382,22
383,23
384,23
385,23
386,21
387,22
388,24
389,24
390,21
391,26
392,26
393,26
394,23
395,27
396,28
397,26
398,23
399,26
400,25
401,23
402,26
403,28
404,23
405,23
406,26
407,24
408,22
409,21
410,24
411,23
412,25
413,26
414,26
415,27
416,25
417,27
418,23
419,25
420,27
421,25
422,21
423,25
424,25
425,24
426,24
427,24
428,26
429,24
430,28
431,26
432,25
433,27
434,25
435,27
436,26
437,25
438,28
439,24
440,23
441,27
442,22
443,21
444,22
445,23
446,27
447,25
448,22
449,25
450,24
451,24
452,23
453,26
454,26
455,25
456,24
457,25
458,22
459,25
460,28
461,23
462,25
463,27
464,21
465,23
466,21
467,24
468,26
469,23
470,28
471,24
472,26
473,25
474,26
475,23
476,24
477,26
478,27
479,24
480,22
481,24
482,24
483,24
484,25
485,26
486,27
487,28
488,25
489,29
490,26
491,24
492,25
493,22
494,23
495,26
496,23
497,25
498,24
499,21
500,27
501,25
502,26
503,28
504,27
505,28
506,24
507,24
508,26
509,23
510,23
511,25
512,26
513,24
514,23
515,26
516,26
517,25
518,24
519,24
520,22
521,24
522,23
523,23
524,25
525,20
526,23
527,25
528,27
529,25
530,23
531,26
532,24
533,27
534,24
535,21
536,23
537,25
538,26
539,21
540,25
541,25
542,25
543,22
544,23
545,25
546,22
547,22
548,24
549,25
550,26
551,26
552,21
553,23
554,26
555,24
556,25
557,27
558,25
559,25
560,24
561,25
562,26
563,28
564,26
565,22
566,25
567,25
568,25
569,23
570,25
571,25
572,26
573,23
574,25
575,24
576,24
577,24
578,26
579,24
580,24
581,24
582,24
583,23
584,21
585,22
586,25
587,24
588,26
589,25
590,24
591,22
592,26
593,24
594,22
595,21
596,25
597,23
598,25
599,26
600,29
601,26
602,24
603,26
604,25
605,26
606,27
607,26
608,25
609,25
610,25
611,26
612,24
613,24
614,24
615,24
616,25
617,23
618,25
619,25
620,25
621,28
