objective_value,generation,evaluations
49576617.89470934,0,30
34921964.99089999,1,87
34175263.35552566,2,162
34175263.35552566,3,234
20103641.661749505,4,293
27070372.973873686,5,380
13307047.032364538,6,449
11996913.832619336,7,537
9144607.758332558,8,586
8554853.158282284,9,676
9241455.180833628,10,745
7556762.596164491,11,834
4250451.88017448,12,920
3784106.3497876683,13,1014
3784106.3497876683,14,1083
3803805.6076952755,15,1156
2649666.0646527987,16,1222
1699633.859629549,17,1303
1303388.040413528,18,1390
700108.3995578992,19,1459
923661.474871953,20,1553
284948.9380492267,21,1626
284948.9380492267,22,1719
221187.7756062784,23,1803
159967.56372186888,24,1876
19387.390202338895,25,1952
30789.52345500922,26,2030
27272.054958265115,27,2094
30789.52345500922,28,2174
54574.602137150636,29,2245
103771.57183095135,30,2313
35046.321209988084,31,2404
35046.321209988084,32,2456
35046.321209988084,33,2547
35046.321209988084,34,2620
29138.246858844443,35,2713
93080.17886247441,36,2793
93080.17886247441,37,2857
74648.93022144567,38,2927
154222.74549336496,39,3003
145895.02260989117,40,3096
111587.4018061785,41,3187
94616.22316717143,42,3255
94616.22316717143,43,3327
66772.96633663094,44,3414
101297.61208601833,45,3492
101297.61208601833,46,3577
87801.12805669774,47,3676
110979.8491642068,48,3739
11707.243133798838,49,3813
103570.43377593411,50,3890
81582.36292825111,51,3990
81582.36292825111,52,4069
81582.36292825111,53,4151
79561.6053375407,54,4232
58718.0521997176,55,4305
43169.27216704554,56,4398
43169.27216704554,57,4460
15843.647827675548,58,4541
15843.647827675548,59,4626
85238.76041045015,60,4706
14724.616031899943,61,4791
14724.616031899943,62,4867
14724.616031899943,63,4944
14724.616031899943,64,5030
14724.616031899943,65,5094
16514.141713209257,66,5174
16514.141713209257,67,5253
45414.48619023183,68,5339
45414.48619023183,69,5416
9164.503146238738,70,5492
42098.56852742247,71,5561
42098.56852742247,72,5627
42098.56852742247,73,5711
108035.53797485036,74,5779
91353.98954178485,75,5874
66048.10062923757,76,5938
90478.0388318023,77,6035
19629.43477876321,78,6110
103926.35651076512,79,6187
50529.591054705015,80,6259
109364.19967834034,81,6344
85277.49215192768,82,6419
83173.20642348494,83,6499
83173.20642348494,84,6582
45883.8554916758,85,6657
58705.9032862218,86,6736
58705.9032862218,87,6816
58705.9032862218,88,6884
21105.89425615388,89,6976
58705.9032862218,90,7041
58705.9032862218,91,7128
58705.9032862218,92,7205
58705.9032862218,93,7288
58705.9032862218,94,7361
105137.29237438214,95,7420
81952.85912173848,96,7503
81952.85912173848,97,7570
13386.257513688666,98,7650
