generation,unique_ids
0,30
1,20
2,21
3,24
4,20
5,21
6,19
7,22
8,19
9,20
10,21
11,14
12,23
13,19
14,17
15,18
16,18
17,19
18,21
19,21
20,17
21,18
22,20
23,19
24,18
25,17
26,20
27,17
28,17
29,20
30,19
31,21
32,20
33,21
34,22
35,21
36,20
37,21
38,19
39,18
40,18
41,21
42,17
43,21
44,22
45,18
46,23
47,16
48,21
49,22
50,22
51,18
52,18
53,18
54,18
55,19
56,20
57,20
58,19
59,17
60,20
61,20
62,19
63,17
64,21
65,22
66,19
67,20
68,22
69,21
70,19
71,15
72,16
73,21
74,18
75,20
76,18
77,23
78,25
79,24
80,23
81,19
82,17
83,22
84,24
85,16
86,24
87,20
88,17
89,19
90,19
91,23
92,21
93,23
94,23
95,21
96,24
97,22
98,20
99,22
100,20
101,20
102,20
103,20
104,21
105,17
106,16
107,21
108,23
109,19
110,22
111,19
112,15
113,17
114,19
115,22
116,19
117,20
118,21
119,21
120,22
121,17
122,21
123,23
124,20
125,20
126,20
127,24
128,18
129,18
130,19
131,16
132,22
133,16
134,18
135,19
136,19
137,22
138,22
139,23
140,20
141,17
142,19
143,23
144,18
145,20
146,15
147,20
148,20
149,19
150,22
151,22
152,23
153,19
154,19
155,21
156,15
157,19
158,20
159,17
160,19
161,21
162,17
163,17
164,19
165,18
166,15
167,15
168,18
169,19
170,15
171,16
172,19
173,23
174,24
175,19
176,19
177,19
178,21
179,21
180,18
181,20
182,19
183,20
184,17
185,18
186,19
187,16
188,18
189,17
190,16
191,17
192,18
193,16
194,18
195,20
196,24
197,17
198,19
199,19
200,21
201,22
202,19
203,18
204,16
205,19
206,19
207,20
208,20
209,20
210,18
211,16
212,14
213,17
214,20
215,20
216,18
217,18
218,22
219,25
220,22
221,19
222,21
223,20
224,21
225,20
226,21
227,20
228,19
229,16
230,17
231,20
232,22
233,17
234,20
235,22
236,22
237,19
238,17
239,18
240,22
241,21
242,21
243,21
244,20
245,22
246,22
247,18
248,19
249,19
250,20
251,18
252,19
253,15
254,22
255,21
256,22
257,20
258,21
259,23
260,20
261,23
262,18
263,20
264,20
265,23
266,22
267,18
268,16
269,19
270,18
271,18
272,21
273,16
274,17
275,16
276,20
277,20
278,25
279,26
280,21
281,24
282,24
283,17
284,19
285,20
286,22
287,20
288,17
289,17
290,14
291,17
292,18
293,20
294,20
295,23
296,19
297,17
298,16
299,20
300,22
301,17
302,19
303,14
304,18
305,17
306,18
307,22
308,22
309,21
310,22
311,17
312,19
313,16
314,19
315,18
316,17
317,16
318,19
319,20
320,20
321,22
322,22
323,20
324,20
325,20
326,21
327,22
328,23
329,21
330,21
331,21
332,19
333,20
334,20
335,20
336,21
337,21
338,19
339,20
340,18
341,17
342,17
343,16
344,15
345,16
346,18
347,18
348,20
349,24
350,22
351,21
352,23
353,20
354,24
355,21
356,19
357,24
358,23
359,20
360,18
361,20
362,17
363,21
364,21
365,20
366,19
367,19
368,20
369,21
370,21
371,19
372,19
373,19
374,22
375,17
376,16
377,23
378,20
379,18
380,18
381,18
382,19
383,20
384,21
385,17
386,20
387,18
388,18
389,20
390,19
391,19
392,18
393,18
394,21
395,18
396,18
397,19
398,21
399,21
400,17
401,16
402,19
403,19
404,22
405,21
406,20
407,19
408,20
409,15
410,17
411,18
412,16
413,16
414,17
415,16
416,24
417,19
418,21
419,19
420,21
421,19
422,18
423,19
424,17
425,18
426,21
427,22
428,18
429,20
430,19
431,18
432,17
433,18
434,16
435,16
436,22
437,19
438,20
439,21
440,19
441,21
442,18
443,22
444,17
445,20
446,21
447,20
448,27
449,21
450,20
451,20
452,19
453,19
454,18
455,19
456,20
457,21
458,20
459,21
460,21
461,20
462,23
463,21
464,20
465,19
466,15
467,15
468,16
469,19
470,18
471,21
472,21
473,21
474,22
475,19
476,21
477,20
478,17
479,17
480,21
481,19
482,15
483,19
484,19
485,16
486,17
487,14
488,19
489,20
490,20
491,18
492,20
493,15
494,14
495,17
496,14
497,22
498,20
499,19
500,19
501,17
502,15
503,17
504,22
505,21
506,17
507,23
508,25
509,23
510,21
511,19
512,18
513,21
514,19
515,21
516,21
517,15
518,18
519,19
520,19
521,20
522,21
523,23
524,20
525,20
526,21
527,21
528,18
529,17
530,20
531,20
532,19
533,21
534,16
535,25
536,20
537,21
538,17
539,18
540,18
541,16
542,16
543,14
544,16
545,23
546,20
547,22
548,20
549,19
550,21
551,21
552,18
553,20
554,17
555,14
556,17
557,17
558,20
559,20
560,20
561,23
562,23
563,20
564,18
565,19
566,17
567,19
568,19
569,16
570,17
571,17
572,17
573,18
574,21
575,19
576,16
577,21
578,23
579,17
580,18
581,19
582,18
583,20
584,17
585,18
586,20
587,14
588,18
589,23
590,23
591,19
592,21
593,17
594,20
595,20
596,23
597,17
598,19
599,21
600,20
601,22
602,18
603,17
604,20
605,19
606,22
607,20
608,20
609,18
610,19
611,19
612,23
613,20
614,19
615,17
616,21
617,18
618,18
619,17
620,21
621,19
622,18
623,17
624,17
625,18
626,17
627,18
628,18
629,17
630,18
631,18
632,20
633,19
634,16
635,23
636,19
637,22
638,19
639,16
640,18
641,17
642,21
643,18
644,19
645,22
646,18
647,17
648,17
649,15
650,14
651,22
652,23
653,22
654,19
655,21
656,18
657,17
658,17
659,19
660,20
661,22
662,20
663,18
664,17
665,18
666,21
667,22
668,18
669,18
670,20
671,20
672,23
673,23
674,23
675,22
676,20
677,23
678,16
679,21
680,25
681,21
682,22
683,20
684,23
685,19
686,21
687,19
688,23
689,16
690,22
691,20
692,18
693,18
694,18
695,22
696,21
697,24
698,21
699,20
700,21
701,17
702,19
703,18
704,23
705,23
706,23
707,23
708,23
709,18
710,19
711,20
712,21
713,19
714,21
715,17
716,22
717,16
718,17
719,20
720,25
721,21
722,19
723,18
724,19
725,18
726,21
727,21
728,18
729,22
730,21
731,23
732,21
733,20
734,18
735,18
736,19
737,20
738,22
739,19
740,20
741,18
742,18
743,18
744,22
745,23
746,19
747,20
748,19
749,22
750,21
751,24
752,21
753,22
754,21
755,18
756,19
757,22
758,18
759,19
760,21
761,18
762,21
763,20
764,21
765,16
766,16
767,16
768,13
769,15
770,21
771,15
772,17
773,18
774,17
775,17
776,16
777,17
778,19
779,21
780,22
781,18
782,18
783,22
784,20
785,19
786,21
787,20
788,17
789,21
790,19
791,21
792,18
793,19
794,20
795,20
796,21
797,20
798,17
799,14
800,14
801,13
802,16
803,18
804,18
805,21
806,19
807,20
808,19
809,20
810,17
811,21
812,19
813,20
814,18
815,20
816,18
817,21
818,20
819,24
820,22
821,21
822,22
823,21
824,20
825,21
826,18
827,19
828,19
829,19
830,21
831,24
832,16
833,17
834,18
835,18
836,20
837,18
838,22
839,23
840,17
841,18
842,20
843,21
844,21
845,21
846,22
847,22
848,21
849,19
850,19
851,20
852,20
853,21
854,18
855,21
856,22
857,18
858,22
859,17
860,17
861,18
862,18
863,16
864,17
865,18
866,19
867,23
868,25
869,23
