objective_value,generation,evaluations
-0.0,0,30
-1.177324003544787e-263,1,84
-1.177324003544787e-263,2,114
-1.177324003544787e-263,3,144
-0.0,4,174
-0.0,5,227
-8.958876893240896e-190,6,280
-8.958876893240896e-190,7,310
-8.958876893240896e-190,8,340
-8.958876893240896e-190,9,370
-8.958876893240896e-190,10,400
-0.0,11,430
-1.8231871681e-313,12,481
-1.8231871681e-313,13,511
-1.8231871681e-313,14,541
-1.8231871681e-313,15,571
-1.8231871681e-313,16,601
-1.8231871681e-313,17,631
-1.8231871681e-313,18,661
-1.8231871681e-313,19,691
-1.8231871681e-313,20,721
-1.8231871681e-313,21,751
-1.8231871681e-313,22,781
-1.8231871681e-313,23,811
-1.8231871681e-313,24,841
-1.8231871681e-313,25,871
-1.8231871681e-313,26,901
-1.8231871681e-313,27,931
-1.8231871681e-313,28,961
-6.06033578692789e-137,29,991
-6.06033578692789e-137,30,1021
-6.06033578692789e-137,31,1051
-6.06033578692789e-137,32,1081
-6.06033578692789e-137,33,1111
-6.06033578692789e-137,34,1141
-6.06033578692789e-137,35,1171
-6.06033578692789e-137,36,1201
-6.06033578692789e-137,37,1231
-6.06033578692789e-137,38,1261
-6.06033578692789e-137,39,1291
-6.06033578692789e-137,40,1321
-6.06033578692789e-137,41,1351
-6.06033578692789e-137,42,1381
-6.06033578692789e-137,43,1411
-6.06033578692789e-137,44,1441
-6.06033578692789e-137,45,1471
-6.06033578692789e-137,46,1501
-6.06033578692789e-137,47,1531
-6.06033578692789e-137,48,1561
-6.06033578692789e-137,49,1591
-2.3487758292217166e-77,50,1621
-4.705307523614026e-42,51,1654
-8.912253665566331e-33,52,1688
-8.912253665566331e-33,53,1720
-8.912253665566331e-33,54,1752
-1.340555687524041e-26,55,1786
-4.705307523614026e-42,56,1818
-3.390329868434795e-33,57,1856
-6.947992468075117e-33,58,1889
-4.705307523614026e-42,59,1973
-4.705307523614026e-42,60,2005
-1.1392191384779356e-47,61,2039
-1.1392191384779356e-47,62,2070
-1.7042215882763534e-27,63,2102
-1.7042215882763534e-27,64,2135
-7.478154302506044e-12,65,2170
-8.556158244831015e-11,66,2203
-0.3784094288465594,67,2240
-0.3784094288465594,68,2280
-0.2491424886349907,69,2316
-0.2491424886349907,70,2351
-0.2491424886349907,71,2400
-0.9326159777377372,72,2444
-0.9326159777377372,73,2476
-0.9326159777377372,74,2508
-0.7709170645591839,75,2538
-0.7709170645591839,76,2569
-0.7709170645591839,77,2600
-0.2491424886349907,78,2633
-0.5854269018348569,79,2687
-0.2491424886349907,80,2720
-0.2491424886349907,81,2755
-0.5073956169586614,82,2788
-0.6700039650672861,83,2823
-0.6700039650672861,84,2857
-0.6700039650672861,85,2895
-0.6700039650672861,86,2935
-0.6700039650672861,87,2971
-0.6700039650672861,88,3013
-0.6700039650672861,89,3058
-0.6700039650672861,90,3093
-0.6700039650672861,91,3132
-0.6700039650672861,92,3169
-0.7673347142376069,93,3213
-0.6700039650672861,94,3253
-0.6700039650672861,95,3283
-0.6700039650672861,96,3313
-0.6700039650672861,97,3344
-2.10718307784114e-05,98,3377
-0.25615775754158604,99,3411
-0.25615775754158604,100,3444
-2.10718307784114e-05,101,3475
-0.15022681793318707,102,3510
-0.15022681793318707,103,3545
-0.15022681793318707,104,3578
-0.15022681793318707,105,3609
-0.15022681793318707,106,3641
-0.15022681793318707,107,3680
-0.15022681793318707,108,3715
-0.8886593939349099,109,3752
-0.16586218009236706,110,3789
-0.6505086120675446,111,3836
-0.6505086120675446,112,3868
-0.6505086120675446,113,3899
-0.6505086120675446,114,3929
-0.16586218009236706,115,3959
-0.5208233689364989,116,4001
-0.5208233689364989,117,4034
-0.5208233689364989,118,4066
-0.8401003203518024,119,4102
-0.19434206834155915,120,4138
-0.16586218009236706,121,4172
-5.057898231083334e-05,122,4205
-0.03314300597355192,123,4238
-0.07263368538223729,124,4272
-0.07263368538223729,125,4306
-0.03314300597355192,126,4339
-0.2509667208831997,127,4376
-0.2509667208831997,128,4406
-0.5145956266675338,129,4442
-0.40922680589445837,130,4480
-0.40922680589445837,131,4523
-0.40922680589445837,132,4561
-0.40922680589445837,133,4608
-0.40922680589445837,134,4652
-0.2509667208831997,135,4688
-0.2509667208831997,136,4723
-0.7563495416483197,137,4761
-0.7563495416483197,138,4794
-0.7563495416483197,139,4827
-0.7563495416483197,140,4858
-0.2509667208831997,141,4890
-0.8285216918522169,142,4924
-0.8285216918522169,143,4959
-0.8285216918522169,144,4990
-0.8285216918522169,145,5026
-0.8285216918522169,146,5058
-0.8285216918522169,147,5093
-0.8285216918522169,148,5125
-0.8285216918522169,149,5161
-0.8285216918522169,150,5192
-0.8285216918522169,151,5227
-0.8285216918522169,152,5258
-0.8285216918522169,153,5291
-0.016328485418087443,154,5325
-0.8506972664884364,155,5374
-0.8506972664884364,156,5408
-0.2580813421429607,157,5439
-0.2580813421429607,158,5473
-0.2580813421429607,159,5507
-0.49186510194586625,160,5539
