objective_value,generation,evaluations
260643470.24390042,0,30
260643470.24390042,1,87
254846248.71551085,2,159
251986812.74816534,3,219
244996605.25794792,4,306
244996605.25794792,5,367
238704600.50118682,6,449
219667734.80856538,7,511
219667734.80856538,8,591
203621936.10239387,9,661
203936307.27126542,10,737
173816355.50342894,11,805
173816355.50342894,12,860
170720334.9048512,13,945
170001147.8688319,14,1017
167733316.40622702,15,1086
159111135.48517787,16,1162
156323321.62005612,17,1260
147251786.22379994,18,1320
150474372.4293546,19,1395
139553917.6302225,20,1458
133839335.36058459,21,1526
133839335.36058459,22,1604
128345216.20647988,23,1667
126481910.53768378,24,1753
125397553.23313154,25,1815
122450775.42483512,26,1899
120841608.63973086,27,1965
118488612.37573566,28,2046
109080874.33722769,29,2106
104980883.33934623,30,2185
102049089.46447709,31,2225
100273710.15628886,32,2298
99825266.70069869,33,2382
95320831.82009877,34,2448
93067024.77397688,35,2533
90907478.07768697,36,2631
90138059.78487664,37,2696
89102807.57449527,38,2771
85946760.46128686,39,2852
81377671.50551207,40,2929
82130979.73230188,41,3014
81353372.29144065,42,3107
76350472.48649238,43,3162
76350472.48649238,44,3255
75040981.70052287,45,3337
75040981.70052287,46,3409
74476871.09005725,47,3484
70348859.31314455,48,3569
70013750.47595407,49,3659
68610367.55029954,50,3732
67385002.39744109,51,3801
64155909.68543243,52,3871
63879686.83088608,53,3955
63432632.76476335,54,4044
61068337.22109918,55,4122
59255721.08151974,56,4200
58227117.91381635,57,4294
57728415.2732525,58,4351
56441294.35893939,59,4436
54000354.29597976,60,4510
51927197.19995534,61,4607
51927197.19995534,62,4672
51434229.51195582,63,4747
49521249.17508516,64,4822
46141965.893997535,65,4898
46141965.893997535,66,4973
46141965.893997535,67,5063
45456667.457290284,68,5122
45023642.72100868,69,5201
44267609.52535324,70,5280
42992556.564076506,71,5350
45375837.10794088,72,5428
43949399.50382231,73,5496
44276880.4025764,74,5581
41971665.04366862,75,5642
42823814.93818575,76,5731
42749526.73380247,77,5801
41560961.06857942,78,5884
39850563.03132416,79,5967
40205121.99797945,80,6037
39877552.63334827,81,6129
40205121.99797945,82,6190
40205121.99797945,83,6269
39446022.9670703,84,6353
38518186.24992697,85,6428
38518186.24992697,86,6502
36318781.15076039,87,6586
36082775.893600866,88,6679
34502336.15061151,89,6768
35025181.630632594,90,6836
34749702.88229989,91,6938
34472838.44850191,92,7015
34472838.44850191,93,7099
34472838.44850191,94,7180
33841823.94963634,95,7276
33312548.252417393,96,7340
33309308.961209647,97,7418
33358699.953125104,98,7507
30739872.372827552,99,7600
32183864.996002823,100,7655
32183864.996002823,101,7742
31765678.393023655,102,7832
31862369.312137242,103,7902
29788727.713905085,104,7976
30159274.653926063,105,8067
30159274.653926063,106,8136
27000604.00708878,107,8224
27984204.103363603,108,8275
29696673.11615801,109,8354
29551713.63657275,110,8445
27949551.12584013,111,8500
27949551.12584013,112,8589
27231790.278365638,113,8652
26793127.560192373,114,8730
26282977.093110405,115,8781
25489879.88905471,116,8873
25489879.88905471,117,8964
25883691.8322941,118,9045
26324151.919790454,119,9137
25142490.03418362,120,9220
22254601.684302405,121,9310
22186320.770927098,122,9385
21289138.1885509,123,9468
22021662.02441328,124,9531
21657341.678675015,125,9597
21657341.678675015,126,9686
21565497.550459567,127,9762
20893049.960285738,128,9851
20326607.182759505,129,9934
20160000.530412544,130,10003
20160000.530412544,131,10079
18924948.20191985,132,10157
18366883.00449522,133,10240
18366883.00449522,134,10313
17818095.524322532,135,10390
17717780.24750367,136,10466
17429613.538034067,137,10546
17306061.737886626,138,10620
17020543.23667322,139,10719
16754621.206267959,140,10778
16558782.885506872,141,10876
16564113.101619102,142,10965
16349507.041852104,143,11027
15681293.463861419,144,11108
15527937.105710432,145,11187
15527937.105710432,146,11285
15896908.46946007,147,11374
15784013.613910107,148,11443
15305967.547877075,149,11524
15305967.547877075,150,11602
15439105.69069396,151,11689
15337415.22564985,152,11775
15328846.219660103,153,11862
