objective_value,generation,evaluations
21.465866865515807,0,30
21.038009935473564,1,86
20.926589277947574,2,140
20.705821043558988,3,202
20.705821043558988,4,246
20.837323343616763,5,295
20.79151900677711,6,352
20.954618570139548,7,398
20.954527437385096,8,456
20.954618570139548,9,515
21.026019354078496,10,588
21.027167228423384,11,646
20.782843051645692,12,709
20.782843051645692,13,756
20.720127640079056,14,798
20.720127640079056,15,846
20.853006754941088,16,908
20.827476587248167,17,959
20.853006754941088,18,1019
20.818912305247125,19,1076
20.818912305247125,20,1121
20.818912305247125,21,1169
20.809937985363746,22,1211
20.744910778167903,23,1268
20.876058205382837,24,1324
20.87606986747789,25,1377
20.92715677604191,26,1434
20.960400493709972,27,1481
20.586721646615885,28,1544
20.586721646615885,29,1593
20.586721646615885,30,1637
20.586721646615885,31,1682
20.586721646615885,32,1723
20.586721646615885,33,1762
20.851356019827453,34,1814
20.850280807998303,35,1877
20.793183142985043,36,1926
20.793183142985043,37,1988
20.793183142985043,38,2040
20.873801018011427,39,2090
20.873801018011427,40,2149
20.847306579810635,41,2201
20.74769471133546,42,2268
20.928682193277858,43,2318
20.929392233442055,44,2386
20.97769673921928,45,2450
20.97769673921928,46,2498
20.987159954673892,47,2560
20.987159954673892,48,2619
20.894557941470303,49,2680
20.792360614143043,50,2740
20.792360614143043,51,2802
20.792360614143043,52,2857
20.740846456066773,53,2906
20.751755797352594,54,2949
20.751755797352594,55,3007
20.84987690737008,56,3063
20.84987690737008,57,3130
20.84987690737008,58,3195
20.913740089535025,59,3245
20.872599688564463,60,3301
20.906176878386848,61,3363
20.920589197760552,62,3430
20.792455652475493,63,3479
20.670945804684198,64,3535
20.920589197760552,65,3577
20.93720554793956,66,3630
20.93720554793956,67,3688
20.737687916687875,68,3734
20.929306530358165,69,3784
20.929306530358165,70,3839
20.93720554793956,71,3899
20.77933124777436,72,3955
20.882546686809263,73,4004
20.882546686809263,74,4062
20.862750729463674,75,4128
20.83682159307265,76,4177
20.92036626973167,77,4241
20.92036626973167,78,4298
20.92036626973167,79,4353
20.92036626973167,80,4414
21.03740899660071,81,4457
20.795089621200702,82,4523
20.852908743545637,83,4571
20.82617339106463,84,4630
20.82617339106463,85,4680
20.830679083412953,86,4723
20.863409042852744,87,4777
20.929604138450674,88,4837
20.929604138450674,89,4899
20.95822431589741,90,4954
20.887658831085172,91,5012
20.966129897219535,92,5066
20.857647323432438,93,5123
20.99082816047801,94,5177
20.99082816047801,95,5246
20.99082816047801,96,5305
20.98028811669095,97,5371
20.88340154587884,98,5417
20.939745113201035,99,5466
20.797017625699876,100,5529
20.797017625699876,101,5571
20.85235455838164,102,5614
20.926516609075897,103,5685
20.712223881296712,104,5744
20.869692282952162,105,5786
20.91766949431021,106,5851
20.856632478867507,107,5909
20.856632478867507,108,5961
20.7226197065002,109,6020
20.7226197065002,110,6080
20.735015291213045,111,6130
20.741715422115423,112,6175
20.658712685643682,113,6225
20.89455374516978,114,6278
20.78606937185777,115,6334
20.78606937185777,116,6382
20.78606937185777,117,6431
20.78606937185777,118,6482
20.726903952865513,119,6528
20.726903952865513,120,6574
20.726903952865513,121,6629
20.726903952865513,122,6691
20.871501884080153,123,6751
20.944987906403522,124,6817
20.995591576346204,125,6869
20.936780831169877,126,6922
20.90162374298852,127,6978
20.83864925860731,128,7023
20.83864925860731,129,7077
20.985884602832563,130,7134
20.85242433060801,131,7192
20.85242433060801,132,7241
20.750960977288273,133,7294
20.98702566459562,134,7334
20.967411528748904,135,7399
20.85674695350286,136,7466
20.704663991035257,137,7521
20.704663991035257,138,7564
20.92655050637742,139,7607
20.92655050637742,140,7684
20.92655050637742,141,7732
20.690410709175694,142,7787
20.92655050637742,143,7838
20.92655050637742,144,7903
20.935370629331143,145,7963
20.834232270957134,146,8029
20.981617576183965,147,8079
20.84192679565094,148,8132
20.84192679565094,149,8172
20.84192679565094,150,8225
20.84192679565094,151,8282
20.44908143846525,152,8326
20.779870716190764,153,8362
20.779870716190764,154,8421
20.78481231731194,155,8477
20.83831374200379,156,8530
20.752675253058023,157,8585
20.752675253058023,158,8628
20.752675253058023,159,8679
20.752675253058023,160,8725
20.752675253058023,161,8765
20.752675253058023,162,8811
20.752675253058023,163,8877
20.881887911274198,164,8928
20.87451419566117,165,8979
20.866824943202523,166,9038
20.866824943202523,167,9107
20.995968341548735,168,9161
20.877738809612072,169,9213
20.877738809612072,170,9264
20.733773110235656,171,9316
20.733773110235656,172,9376
20.878781891073405,173,9429
20.882243642277604,174,9490
20.87694705381297,175,9563
20.87694705381297,176,9637
20.87694705381297,177,9689
20.818172800486742,178,9736
20.818172800486742,179,9784
20.818172800486742,180,9841
20.821328899656002,181,9896
20.821328899656002,182,9964
20.684554860767342,183,10016
20.684554860767342,184,10068
20.86774768626957,185,10124
20.93443051955145,186,10184
20.93443051955145,187,10248
20.743599150830388,188,10312
20.674115351895097,189,10367
20.742059998876062,190,10414
20.742059998876062,191,10481
20.819844841165846,192,10539
20.819844841165846,193,10606
20.638867231088803,194,10661
20.720671120905067,195,10712
20.720671120905067,196,10757
20.720671120905067,197,10817
20.803619756483148,198,10871
20.672110460910744,199,10920
20.672110460910744,200,10970
20.672110460910744,201,11017
20.71914213026502,202,11055
20.951462486401578,203,11092
20.706331930570148,204,11173
20.680559510223897,205,11218
20.680559510223897,206,11265
20.680559510223897,207,11319
20.680559510223897,208,11368
20.680559510223897,209,11416
20.706331930570148,210,11467
20.706331930570148,211,11523
20.706331930570148,212,11572
20.706331930570148,213,11625
20.706331930570148,214,11683
20.706331930570148,215,11730
20.706331930570148,216,11781
20.754177168423855,217,11824
20.754177168423855,218,11876
20.754177168423855,219,11929
20.754177168423855,220,11977
20.79376659198782,221,12027
20.48620069238948,222,12081
20.48620069238948,223,12128
20.48620069238948,224,12172
20.837826778622148,225,12223
20.837826778622148,226,12284
20.837826778622148,227,12334
20.79342851600716,228,12386
20.79342851600716,229,12451
20.90487371916873,230,12514
20.90487371916873,231,12575
20.898330313150378,232,12622
20.898330313150378,233,12675
20.679313592114475,234,12730
20.90487371916873,235,12774
20.90487371916873,236,12831
20.90487371916873,237,12889
20.818382002911708,238,12948
20.818382002911708,239,12997
20.72549356067209,240,13055
20.72549356067209,241,13111
20.68526873167418,242,13167
20.72549356067209,243,13228
20.896763458709252,244,13285
20.892222605701296,245,13336
20.89404957987946,246,13404
20.905850898354622,247,13464
20.918810247354173,248,13518
20.777540415209856,249,13588
20.826696661071438,250,13640
20.911206674475846,251,13702
20.830998932018208,252,13761
20.830998932018208,253,13820
20.830998932018208,254,13876
20.89257442356203,255,13929
20.808564851798888,256,13984
20.89257442356203,257,14043
20.996010477318684,258,14096
20.93378538846091,259,14165
20.93378538846091,260,14215
20.90826702532048,261,14272
20.90826702532048,262,14339
20.838620017198817,263,14398
20.781057947961756,264,14452
20.781057947961756,265,14509
20.823886663921726,266,14575
20.823886663921726,267,14628
20.823886663921726,268,14687
20.823886663921726,269,14744
20.894283059237125,270,14801
20.894283059237125,271,14855
20.955553340914538,272,14906
20.868500066586787,273,14967
20.46076188328108,274,15020
20.817516116166814,275,15055
20.817516116166814,276,15111
20.817516116166814,277,15160
20.656184182154075,278,15205
20.656184182154075,279,15253
20.656184182154075,280,15300
20.656184182154075,281,15359
20.656184182154075,282,15401
20.656184182154075,283,15452
20.656184182154075,284,15497
20.656184182154075,285,15545
20.656184182154075,286,15602
20.656184182154075,287,15655
20.656184182154075,288,15715
20.656184182154075,289,15750
20.79845761311845,290,15795
20.840486222530817,291,15867
20.840486222530817,292,15932
20.756081297982668,293,15984
20.756081297982668,294,16026
20.91102980033127,295,16090
20.91411525772252,296,16142
20.899752815106815,297,16209
20.839156912940066,298,16270
20.839156912940066,299,16329
20.839156912940066,300,16392
20.839156912940066,301,16445
20.839156912940066,302,16503
20.824670251639173,303,16557
20.824670251639173,304,16616
20.851622155629826,305,16680
20.724100267003745,306,16745
20.724100267003745,307,16785
20.821589959697974,308,16844
20.912012117600646,309,16903
20.920119612184358,310,16962
20.927316583943405,311,17013
20.927316583943405,312,17072
20.792139397008093,313,17123
20.927316583943405,314,17180
20.927316583943405,315,17233
20.927316583943405,316,17297
20.86655281658684,317,17355
20.86655281658684,318,17411
20.86655281658684,319,17476
20.86655281658684,320,17527
20.85128993651288,321,17579
20.85128993651288,322,17632
20.85128993651288,323,17696
20.96188294296519,324,17770
20.766132012669154,325,17823
20.90875118107326,326,17874
20.904002834312692,327,17929
20.904002834312692,328,17996
20.87639673851775,329,18051
20.904002834312692,330,18115
20.991158856313387,331,18176
20.930987521291982,332,18239
20.777766239121295,333,18277
20.740771765530425,334,18323
20.740771765530425,335,18381
20.740771765530425,336,18442
20.740771765530425,337,18504
20.774021896486502,338,18550
20.774021896486502,339,18601
20.774021896486502,340,18661
20.776292053307426,341,18709
20.685989297108623,342,18767
20.685989297108623,343,18830
20.685989297108623,344,18888
20.685989297108623,345,18944
20.827872330458938,346,18996
20.827872330458938,347,19060
20.825471252195968,348,19122
20.92108375534087,349,19172
20.92108375534087,350,19241
20.830647933226167,351,19316
20.826266809119,352,19358
20.810583545703494,353,19404
20.817017930846312,354,19463
20.826266809119,355,19516
20.83138416161411,356,19559
20.827875686574597,357,19608
20.80728854147559,358,19661
20.821889121069823,359,19718
20.87825564601512,360,19778
20.937509197472163,361,19838
20.834792856339952,362,19896
20.93413291455072,363,19950
20.69707987791966,364,20028
20.69707987791966,365,20077
20.64812848050012,366,20121
20.811010933567868,367,20161
20.811010933567868,368,20215
20.811010933567868,369,20267
