generation,unique_ids
0,30
1,24
2,24
3,25
4,23
5,21
6,23
7,20
8,26
9,23
10,26
11,23
12,24
13,21
14,23
15,23
16,21
17,21
18,23
19,25
20,24
21,23
22,23
23,22
24,24
25,25
26,25
27,22
28,22
29,23
30,18
31,21
32,20
33,20
34,25
35,26
36,22
37,23
38,25
39,23
40,24
41,24
42,25
43,24
44,27
45,22
46,22
47,23
48,25
49,24
50,25
51,23
52,23
53,24
54,21
55,25
56,25
57,22
58,21
59,25
60,22
61,21
62,23
63,22
64,26
65,22
66,22
67,24
68,23
69,22
70,25
71,22
72,25
73,23
74,26
75,27
76,25
77,23
78,22
79,20
80,22
81,22
82,25
83,22
84,24
85,20
86,22
87,23
88,25
89,25
90,22
91,25
92,21
93,26
94,23
95,24
96,25
97,22
98,20
99,23
100,26
101,22
102,20
103,26
104,23
105,23
106,24
107,23
108,25
109,24
110,21
111,21
112,19
113,20
114,22
115,21
116,19
117,24
118,23
119,22
120,22
121,22
122,23
123,25
124,20
125,22
126,23
127,21
128,21
129,25
130,22
131,24
132,21
133,18
134,22
135,25
136,26
137,23
138,23
139,24
140,27
141,24
142,22
143,26
144,23
145,24
146,22
147,24
148,22
149,22
150,22
151,22
152,26
153,22
154,24
155,26
156,22
157,25
158,23
159,23
160,21
161,23
162,20
163,21
164,21
165,22
166,24
167,24
168,21
169,19
170,21
171,23
172,25
173,22
174,24
175,25
176,26
177,23
178,21
179,25
180,25
181,24
182,25
183,27
184,25
185,26
186,24
187,26
188,27
189,25
190,23
191,23
192,23
193,21
194,23
195,23
196,24
197,25
198,22
199,24
200,22
201,24
202,21
203,18
204,19
205,20
206,19
207,18
208,21
209,17
210,22
211,19
212,16
213,21
214,23
215,22
216,23
217,26
218,21
219,24
220,25
221,21
222,21
223,21
224,21
225,22
226,24
227,25
228,23
229,20
230,24
231,26
232,21
233,21
234,23
235,21
236,20
237,20
238,23
239,23
240,23
241,19
242,24
243,20
244,22
245,23
246,23
247,25
248,22
249,19
250,21
251,22
252,24
253,24
254,28
255,25
256,20
257,22
258,23
259,24
260,24
261,22
262,22
263,21
264,24
265,23
266,22
267,24
268,24
269,25
270,22
271,22
272,22
273,25
274,24
275,18
276,22
277,20
278,20
279,22
280,18
281,23
282,21
283,21
284,23
285,22
286,24
287,21
288,24
289,22
290,24
291,26
292,18
293,21
294,16
295,24
296,27
297,23
298,23
299,24
300,23
301,23
302,22
303,20
304,24
305,24
306,27
307,21
308,23
309,24
310,24
311,16
312,21
313,22
314,24
315,21
316,26
317,26
318,25
319,25
320,20
321,21
322,23
323,25
324,25
325,21
326,22
327,25
328,24
329,18
330,24
331,24
332,24
333,27
334,25
335,23
336,28
337,25
338,23
339,26
340,22
341,20
342,20
343,25
344,23
345,22
346,25
347,26
348,25
349,22
350,20
351,22
352,20
353,24
354,25
355,23
356,24
357,24
358,23
359,24
360,21
361,22
362,25
363,22
364,25
365,21
366,25
367,23
368,22
369,21
370,17
371,20
372,25
373,21
374,21
375,23
376,23
377,23
378,21
379,24
380,25
381,26
382,24
383,23
384,23
385,23
386,23
387,23
388,21
389,20
390,18
391,22
392,19
393,19
394,22
395,22
396,24
397,24
398,24
399,22
400,21
401,20
402,20
403,24
404,20
405,21
406,18
407,24
408,25
409,21
410,23
411,23
412,26
413,21
414,23
415,23
416,19
417,22
418,22
419,23
420,25
421,24
422,21
423,22
424,24
425,22
426,22
427,25
428,22
429,24
430,23
431,25
432,22
433,20
434,19
435,19
436,19
437,22
438,25
439,25
440,20
441,21
442,23
443,22
444,20
445,24
446,25
447,24
448,19
449,23
450,22
451,24
452,25
453,24
454,23
455,23
456,22
457,21
458,23
459,22
460,21
461,24
462,26
463,24
464,21
465,26
466,26
467,21
468,25
469,22
470,21
471,25
472,24
473,22
474,19
475,17
476,24
477,24
478,24
479,24
480,24
481,25
482,24
483,21
484,24
485,23
486,22
487,28
488,25
489,25
490,22
491,24
492,20
493,22
494,23
495,19
496,20
497,21
498,25
499,21
500,21
501,23
502,22
503,22
504,24
505,22
506,22
507,26
508,23
509,22
510,27
511,20
512,19
513,24
514,21
515,24
516,24
517,22
518,24
519,23
520,23
521,23
522,25
523,20
524,24
525,23
526,24
527,21
528,26
529,25
530,25
531,22
532,23
533,23
534,24
535,27
536,20
537,22
538,21
539,23
540,22
541,24
542,25
543,25
544,23
545,24
546,21
547,25
548,20
549,23
550,24
551,22
552,24
553,21
554,21
555,22
556,19
557,25
558,22
559,24
560,25
561,22
562,18
563,18
564,21
565,22
566,21
567,21
568,22
569,22
570,20
571,20
572,23
573,22
574,19
575,22
576,21
577,21
578,21
579,24
580,25
581,24
582,23
583,24
584,21
585,23
586,25
587,21
588,26
589,24
590,24
591,21
592,19
593,23
594,24
595,21
596,26
597,23
598,24
599,24
600,20
601,20
602,22
603,23
604,26
605,20
606,22
607,22
608,20
609,22
610,24
611,20
612,21
613,19
614,21
615,19
616,24
617,23
618,25
619,25
620,26
621,19
622,26
623,27
624,25
625,25
626,23
627,22
628,21
629,22
630,21
631,28
632,25
633,21
634,21
635,23
636,22
637,23
638,21
639,23
640,26
641,28
642,27
643,24
644,26
645,25
646,25
647,27
648,21
649,23
650,23
651,22
652,23
653,23
654,21
655,24
656,25
657,22
658,24
659,25
660,24
661,25
662,23
663,25
664,20
665,23
666,19
667,22
668,23
669,23
670,26
671,25
672,22
673,20
674,22
675,25
676,21
677,23
678,21
679,24
680,25
681,24
682,22
683,24
684,25
685,20
686,23
687,23
688,24
689,24
690,19
691,21
692,24
693,24
694,22
695,21
696,24
697,24
698,22
699,24
700,22
701,25
702,24
703,20
704,19
705,20
706,20
707,23
708,23
709,21
710,23
711,23
712,24
713,19
714,20
715,22
716,27
717,26
718,22
719,25
720,25
721,23
722,24
723,21
724,25
725,23
726,25
727,25
728,24
729,23
730,23
731,19
732,21
733,19
734,23
735,25
736,22
737,23
738,22
739,23
740,20
741,24
742,23
743,23
744,25
745,22
746,25
747,22
748,23
749,26
750,25
751,26
752,20
753,24
754,23
755,20
756,20
757,22
758,21
759,20
760,23
761,25
762,25
763,27
764,23
765,23
766,25
767,23
768,26
769,23
770,23
771,22
772,24
773,21
774,20
775,22
776,23
777,20
778,20
779,25
780,20
781,24
782,21
783,22
784,23
785,27
786,24
787,25
788,26
789,26
790,22
791,19
792,22
793,22
794,24
795,20
796,21
797,24
798,21
799,24
800,24
801,21
802,22
803,19
804,22
805,19
806,23
807,21
808,23
809,20
810,25
811,25
812,22
813,22
814,25
815,21
816,22
817,22
818,21
819,24
820,26
821,23
822,28
823,23
824,23
825,26
826,25
827,23
828,23
829,22
