generation,unique_ids
0,30
1,24
2,26
3,25
4,25
5,24
6,27
7,25
8,25
9,27
10,24
11,22
12,26
13,25
14,22
15,24
16,25
17,24
18,24
19,24
20,25
21,25
22,27
23,24
24,27
25,25
26,24
27,25
28,21
29,24
30,22
31,27
32,26
33,28
34,27
35,22
36,25
37,25
38,24
39,24
40,23
41,24
42,26
43,27
44,23
45,25
46,26
47,22
48,25
49,23
50,24
51,23
52,24
53,25
54,24
55,21
56,25
57,26
58,24
59,26
60,24
61,27
62,26
63,26
64,25
65,26
66,28
67,26
68,25
69,27
70,26
71,26
72,25
73,26
74,25
75,25
76,25
77,24
78,26
79,26
80,25
81,24
82,26
83,25
84,20
85,24
86,19
87,24
88,22
89,24
90,22
91,20
92,26
93,23
94,25
95,22
96,25
97,22
98,23
99,24
100,23
101,25
102,25
103,24
104,24
105,28
106,25
107,24
108,23
109,23
110,23
111,27
112,25
113,25
114,24
115,26
116,26
117,27
118,27
119,26
120,25
121,27
122,25
123,27
124,27
125,25
126,26
127,25
128,27
129,24
130,23
131,22
132,23
133,23
134,27
135,24
136,25
137,28
138,28
139,25
140,23
141,21
142,26
143,22
144,27
145,25
146,24
147,22
148,26
149,27
150,26
151,24
152,28
153,23
154,25
155,27
156,22
157,23
158,23
159,23
160,23
161,23
162,25
163,21
164,27
165,25
166,25
167,25
168,24
169,25
170,25
171,28
172,24
173,25
174,27
175,26
176,27
177,24
178,24
179,24
180,26
181,25
182,27
183,25
184,24
185,24
186,23
187,25
188,25
189,23
190,23
191,25
192,27
193,25
194,23
195,24
196,24
197,26
198,27
199,26
200,23
201,26
202,24
203,24
204,28
205,23
206,29
207,26
208,20
209,23
210,20
211,23
212,22
213,27
214,24
215,26
216,27
217,25
218,23
219,25
220,26
221,26
222,27
223,23
224,24
225,24
226,24
227,24
228,22
229,24
230,24
231,26
232,26
233,25
234,25
235,25
236,26
237,26
238,25
239,24
240,24
241,24
242,26
243,22
244,23
245,26
246,23
247,24
248,24
249,25
250,26
251,26
252,22
253,25
254,17
255,22
256,22
257,25
258,27
259,25
260,25
261,23
262,28
263,27
264,27
265,25
266,24
267,22
268,27
269,27
270,23
271,25
272,29
273,24
274,25
275,26
276,21
277,23
278,27
279,27
280,26
281,25
282,24
283,22
284,25
285,26
286,25
287,25
288,25
289,22
290,24
291,20
292,24
293,25
294,25
295,27
296,24
297,25
298,23
299,21
300,23
301,25
302,25
303,24
304,25
305,24
306,23
307,28
308,27
309,25
310,21
311,27
312,25
313,26
314,23
315,23
316,27
317,23
318,24
319,24
320,29
321,27
322,28
323,27
324,26
325,28
326,25
327,24
328,24
329,27
330,25
331,24
332,29
333,24
334,27
335,24
336,24
337,28
338,27
339,25
340,25
341,23
342,24
343,24
344,28
345,26
346,27
347,27
348,26
349,23
350,22
351,24
352,23
353,25
354,24
355,25
356,24
357,25
358,26
359,25
360,22
361,22
362,25
363,26
364,26
365,26
366,25
367,23
368,25
369,26
370,26
371,23
372,22
373,22
374,23
375,21
376,26
377,24
378,25
379,22
380,26
381,26
382,23
383,24
384,22
385,26
386,23
387,25
388,23
389,25
390,25
391,27
392,25
393,22
394,23
395,21
396,24
397,23
398,22
399,27
400,23
401,23
402,26
403,27
404,25
405,23
406,25
407,26
408,20
409,22
410,25
411,24
412,27
413,24
414,27
415,25
416,28
417,26
418,24
419,24
420,24
421,27
422,23
423,26
424,25
425,26
426,28
427,25
428,23
429,22
430,22
431,27
432,27
433,23
434,25
435,26
436,22
437,24
438,27
439,27
440,28
441,27
442,23
443,27
444,25
445,25
446,25
447,27
448,21
449,26
450,26
451,26
452,28
453,24
454,26
455,24
456,24
457,24
458,21
459,24
460,27
461,25
462,25
463,24
464,24
465,25
466,25
467,26
468,27
469,23
470,24
471,25
472,27
473,27
474,25
475,26
476,23
477,25
478,26
479,23
480,26
481,24
482,23
483,25
484,24
485,26
486,22
487,27
488,22
489,26
490,24
491,29
492,26
493,30
494,27
495,22
496,23
497,21
498,25
499,26
500,28
501,28
502,26
503,25
504,25
505,23
506,23
507,28
508,24
509,25
510,25
511,26
512,24
513,28
514,25
515,28
516,29
517,27
518,22
519,27
520,22
521,27
522,25
523,24
524,27
525,24
526,26
527,23
528,27
529,25
530,22
531,27
532,27
533,27
534,26
535,26
536,25
537,26
538,21
539,26
540,25
541,24
542,24
543,25
544,22
545,25
546,28
547,23
548,25
549,27
550,24
551,29
552,24
553,25
554,26
555,23
556,24
557,27
558,26
559,26
560,25
561,24
562,25
563,22
564,25
565,25
566,24
567,23
568,27
569,24
570,28
571,23
572,22
573,24
574,23
575,22
576,27
577,23
578,23
579,27
580,22
581,23
582,24
583,23
584,25
585,25
586,25
587,24
588,24
589,24
590,28
591,24
592,24
593,26
594,26
595,25
596,22
597,28
598,24
599,28
600,25
601,24
602,23
603,22
604,24
605,23
606,24
607,26
608,28
609,27
610,23
611,25
