objective_value,generation,evaluations
329161553.6057642,0,30
319985791.7031154,1,82
319752484.810615,2,167
315588113.6703981,3,247
297323635.774892,4,321
283231506.914227,5,373
267076935.56074417,6,458
264076088.22980952,7,502
264076088.22980952,8,588
255685485.30545545,9,650
255175015.53089854,10,737
239163551.3793104,11,814
205293043.9697507,12,881
175856350.38815725,13,958
172539140.0209541,14,1030
175856350.38815725,15,1102
167276667.25843167,16,1171
167276667.25843167,17,1251
166395069.05602974,18,1338
152902255.6120838,19,1412
149338981.88231224,20,1498
144955954.10106334,21,1561
135566263.64297965,22,1635
130967323.16280127,23,1701
129612376.15138517,24,1774
130101035.54876103,25,1856
123705113.84420009,26,1949
94117801.73736763,27,2032
92862797.47621179,28,2105
89900546.90828323,29,2150
89900546.90828323,30,2233
87687494.34216267,31,2308
82496600.59650126,32,2349
79909002.24138106,33,2446
75903933.98559666,34,2514
77567758.31526393,35,2600
69493643.48704202,36,2683
66653699.55229503,37,2762
58353627.87998299,38,2840
55155620.49188893,39,2907
55056726.81173651,40,2998
50885857.914119914,41,3093
53970161.793095544,42,3170
52206370.19762146,43,3243
50045832.64740452,44,3323
41322582.407340646,45,3402
38576106.514429174,46,3474
37684424.20466554,47,3557
37157783.940747336,48,3622
36377666.33504405,49,3714
33675498.4516283,50,3787
32472959.548124824,51,3866
30319770.29290713,52,3932
30319770.29290713,53,4009
26054988.951298777,54,4097
28273872.379023608,55,4175
26735998.926977064,56,4250
25336741.07120547,57,4323
25336741.07120547,58,4390
23597963.813416056,59,4472
18172357.88933169,60,4541
15620154.472919859,61,4599
15688710.100566698,62,4677
15688710.100566698,63,4759
13736254.218778236,64,4854
13736254.218778236,65,4944
12231208.3837864,66,5026
11695135.594475465,67,5108
10690522.547499767,68,5191
11821470.966557367,69,5252
13225937.807214417,70,5329
13331063.196782922,71,5421
12416981.657994099,72,5509
11167633.071656397,73,5584
11167633.071656397,74,5660
9347670.562547123,75,5739
8903441.256589748,76,5813
8324896.91525188,77,5888
8464756.05038602,78,5982
5779271.231690446,79,6062
5779271.231690446,80,6133
4284880.668246742,81,6224
3241992.7350388225,82,6286
3241992.7350388225,83,6381
4188189.716661153,84,6481
3159756.893697638,85,6558
3159756.893697638,86,6630
2962955.607649984,87,6715
2606265.9661854,88,6774
2141363.31595428,89,6849
2085136.302780556,90,6925
2085136.302780556,91,7001
2072691.5792235774,92,7092
1459106.0680869282,93,7172
1459106.0680869282,94,7247
1459106.0680869282,95,7314
2029178.4509810514,96,7401
2200076.8126623053,97,7480
1964908.6101543985,98,7568
1964908.6101543985,99,7621
1600061.6681607682,100,7711
1173598.1243075368,101,7798
1173598.1243075368,102,7883
1557378.7273034118,103,7955
1882839.9329132757,104,8050
1882839.9329132757,105,8117
2657556.851173316,106,8197
2479000.41169646,107,8272
2479000.41169646,108,8358
2479000.41169646,109,8436
2479000.41169646,110,8522
2219204.221563946,111,8591
2026571.2543613683,112,8657
2026571.2543613683,113,8742
1668065.6677863623,114,8831
1499256.8225468136,115,8920
2173764.011133145,116,8973
1688055.033283147,117,9040
1688055.033283147,118,9117
1472898.6070120283,119,9208
1688055.033283147,120,9280
1930569.4741852104,121,9354
1982248.0235833433,122,9436
1982248.0235833433,123,9497
1982248.0235833433,124,9575
2359278.6080788374,125,9659
1694663.2037311872,126,9728
1694663.2037311872,127,9816
2759507.229536158,128,9868
3074720.559601192,129,9950
2002097.167563555,130,10039
1942009.4606836175,131,10109
2002097.167563555,132,10183
1565872.9663513615,133,10272
1565872.9663513615,134,10358
2060024.1622375108,135,10432
2197294.753131971,136,10506
1628436.0539336726,137,10591
1117340.9613993014,138,10677
2566535.9023896153,139,10769
2079186.0034569986,140,10854
2343121.485485202,141,10938
2749867.101981489,142,11018
2591952.265268468,143,11099
2100849.087861036,144,11174
2345013.3607210414,145,11257
2004109.1052908788,146,11317
1602918.2960137073,147,11405
2626805.5271653696,148,11496
2626805.5271653696,149,11561
2469249.870775957,150,11642
2524973.2866359535,151,11731
2524973.2866359535,152,11803
2524973.2866359535,153,11892
2524973.2866359535,154,11975
2524973.2866359535,155,12053
2524973.2866359535,156,12146
2524973.2866359535,157,12227
2600791.4221220445,158,12307
2677030.9211158725,159,12382
3054311.3094568364,160,12459
3933990.9336798554,161,12539
3117675.6100738235,162,12623
3652540.474632528,163,12721
3714465.0434675883,164,12814
3435050.8594181356,165,12891
3313237.3928313362,166,12966
3202194.7735818326,167,13041
3202194.7735818326,168,13122
3163327.215554962,169,13198
3133551.921396647,170,13278
3876364.8793765637,171,13347
3344941.8907458773,172,13429
3344941.8907458773,173,13504
3277901.982364623,174,13580
3339429.449553951,175,13668
3560095.165133129,176,13732
4205528.211848846,177,13800
4348067.561447503,178,13879
4178605.6943688807,179,13959
3361929.1119039636,180,14041
3361929.1119039636,181,14124
3545944.9286181745,182,14193
3545944.9286181745,183,14286
2850639.9847672177,184,14357
3203859.247973378,185,14430
4029252.2360014953,186,14501
4651374.579022881,187,14578
4824718.971234178,188,14661
3446873.47423752,189,14752
3446873.47423752,190,14823
3446873.47423752,191,14896
3246017.908474388,192,14974
3246017.908474388,193,15029
2960650.5254993374,194,15114
2990482.192266184,195,15198
2707708.2465177504,196,15287
3104635.764505603,197,15384
3104635.764505603,198,15451
3104635.764505603,199,15537
3104635.764505603,200,15620
3104635.764505603,201,15705
2994545.6603815435,202,15768
2597376.072682944,203,15855
2597376.072682944,204,15925
2597376.072682944,205,16002
2139393.992295982,206,16094
1678516.355827177,207,16161
2784171.392129835,208,16223
2301208.7167265145,209,16300
2155501.8640179588,210,16397
2349098.0564948265,211,16455
2345844.3179419516,212,16533
2349098.0564948265,213,16619
2489298.139042348,214,16682
2359824.090720389,215,16751
2321047.8347776965,216,16828
1829460.9151585293,217,16924
1920189.7448325024,218,16981
2260129.90941926,219,17062
2260129.90941926,220,17156
1878206.4224231157,221,17251
1878206.4224231157,222,17335
2637400.5775203127,223,17424
3394334.565973863,224,17502
3394334.565973863,225,17571
3470434.5673059803,226,17655
2591553.756848515,227,17738
2591553.756848515,228,17807
2591553.756848515,229,17896
2231704.4641879946,230,17953
2591553.756848515,231,18038
3252890.6766541735,232,18128
4029913.418786728,233,18199
3354267.4181137024,234,18292
3354267.4181137024,235,18363
3354267.4181137024,236,18439
3196174.335259344,237,18519
3230066.0361824874,238,18605
2789099.199798286,239,18694
1998792.5201891942,240,18771
1998792.5201891942,241,18850
2261512.862652087,242,18929
2575111.3411426423,243,19002
2657554.832871926,244,19083
2705888.506333315,245,19153
3288465.438873748,246,19247
2631953.397276654,247,19345
1970486.1121401014,248,19420
2631953.397276654,249,19500
2079180.1472639511,250,19584
