generation,unique_ids
0,30
1,27
2,26
3,25
4,25
5,22
6,24
7,24
8,25
9,25
10,25
11,27
12,25
13,24
14,27
15,24
16,21
17,24
18,25
19,27
20,25
21,24
22,24
23,23
24,28
25,25
26,25
27,26
28,25
29,26
30,25
31,22
32,24
33,25
34,23
35,23
36,22
37,23
38,27
39,23
40,27
41,23
42,28
43,26
44,25
45,25
46,25
47,22
48,25
49,27
50,24
51,23
52,22
53,21
54,24
55,26
56,29
57,23
58,25
59,27
60,25
61,25
62,26
63,23
64,23
65,22
66,25
67,23
68,25
69,25
70,22
71,23
72,24
73,24
74,21
75,23
76,24
77,22
78,25
79,21
80,24
81,25
82,25
83,26
84,24
85,25
86,25
87,26
88,29
89,23
90,25
91,24
92,29
93,27
94,25
95,26
96,25
97,25
98,26
99,24
100,22
101,23
102,25
103,24
104,25
105,24
106,25
107,26
108,24
109,27
110,26
111,26
112,28
113,24
114,24
115,29
116,26
117,27
118,22
119,23
120,27
121,24
122,21
123,23
124,25
125,22
126,25
127,23
128,24
129,27
130,27
131,25
132,25
133,23
134,21
135,23
136,27
137,24
138,24
139,26
140,30
141,25
142,26
143,26
144,23
145,25
146,25
147,20
148,24
149,25
150,25
151,23
152,24
153,25
154,24
155,26
156,27
157,25
158,23
159,21
160,26
161,22
162,19
163,25
164,24
165,28
166,24
167,26
168,26
169,24
170,22
171,27
172,25
173,25
174,23
175,24
176,27
177,24
178,25
179,24
180,27
181,26
182,25
183,24
184,22
185,23
186,21
187,21
188,25
189,25
190,23
191,22
192,22
193,24
194,24
195,25
196,26
197,24
198,25
199,27
200,25
201,23
202,21
203,23
204,22
205,24
206,25
207,25
208,29
209,23
210,24
211,27
212,22
213,25
214,27
215,26
216,23
217,27
218,22
219,25
220,27
221,26
222,26
223,21
224,25
225,26
226,24
227,23
228,27
229,25
230,26
231,23
232,18
233,27
234,24
235,25
236,24
237,26
238,24
239,26
240,28
241,27
242,28
243,25
244,24
245,24
246,25
247,25
248,24
249,23
250,25
251,25
252,25
253,25
254,26
255,26
256,27
257,23
258,24
259,22
260,27
261,22
262,26
263,26
264,26
265,26
266,27
267,21
268,19
269,28
270,24
271,25
272,23
273,24
274,24
275,26
276,24
277,28
278,25
279,26
280,24
281,24
282,24
283,23
284,19
285,23
286,24
287,24
288,27
289,25
290,24
291,28
292,27
293,27
294,27
295,24
296,25
297,25
298,24
299,25
300,27
301,25
302,26
303,29
304,24
305,25
306,27
307,24
308,23
309,23
310,25
311,23
312,25
313,27
314,22
315,23
316,27
317,24
318,24
319,19
320,24
321,21
322,25
323,28
324,24
325,28
326,23
327,22
328,25
329,21
330,27
331,26
332,24
333,24
334,22
335,26
336,22
337,22
338,22
339,21
340,18
341,24
342,23
343,26
344,27
345,23
346,27
347,24
348,27
349,26
350,26
351,24
352,22
353,25
354,26
355,26
356,27
357,27
358,25
359,26
360,21
361,23
362,23
363,25
364,19
365,25
366,26
367,27
368,24
369,25
370,25
371,23
372,27
373,23
374,25
375,29
376,29
377,27
378,24
379,27
380,24
381,22
382,26
383,26
384,26
385,25
386,25
387,28
388,27
389,27
390,25
391,22
392,24
393,27
394,26
395,24
396,24
397,25
398,25
399,21
400,23
401,27
402,26
403,25
404,26
405,20
406,21
407,22
408,25
409,24
410,24
411,26
412,28
413,25
414,23
415,27
416,26
417,23
418,24
419,25
420,27
421,25
422,25
423,26
424,22
425,23
426,25
427,21
428,25
429,26
430,23
431,23
432,25
433,23
434,19
435,21
436,22
437,23
438,25
439,27
440,21
441,25
442,25
443,23
444,27
445,25
446,27
447,25
448,21
449,23
450,24
451,27
452,27
453,23
454,26
455,22
456,26
457,23
458,26
459,27
460,26
461,26
462,24
463,25
464,24
465,22
466,25
467,26
468,28
469,25
470,27
471,24
472,23
473,24
474,25
475,25
476,22
477,23
478,25
479,26
480,23
481,23
482,23
483,23
484,27
485,23
486,23
487,28
488,27
489,26
490,24
491,23
492,25
493,27
494,25
495,23
496,25
497,24
498,25
499,28
500,27
501,26
502,28
503,22
504,26
505,26
506,28
507,21
508,26
509,22
510,18
511,21
512,25
513,26
514,27
515,23
516,22
517,23
518,21
519,23
520,26
521,27
522,26
523,26
524,26
525,26
526,24
527,23
528,25
529,25
530,27
531,24
532,26
533,28
534,25
535,28
536,29
537,24
538,29
539,23
540,25
541,23
542,26
543,24
544,23
545,25
546,28
547,23
548,26
549,26
550,23
551,20
552,20
553,26
554,21
555,23
556,27
557,26
558,28
559,23
560,27
561,27
562,27
563,25
564,26
565,24
566,27
567,26
568,22
569,25
570,23
571,23
572,23
573,26
574,27
575,24
576,26
577,27
578,26
579,23
580,23
581,22
582,27
583,23
584,23
585,23
586,23
587,22
588,21
589,22
590,25
591,22
592,24
593,24
594,22
595,24
596,26
597,23
598,26
599,22
600,23
601,26
602,22
603,25
604,27
605,27
606,26
607,25
608,25
