generation,unique_ids
0,30
1,25
2,27
3,23
4,26
5,27
6,25
7,27
8,26
9,24
10,24
11,24
12,28
13,23
14,27
15,28
16,24
17,25
18,26
19,24
20,24
21,24
22,26
23,25
24,24
25,24
26,26
27,21
28,24
29,25
30,24
31,23
32,24
33,27
34,27
35,26
36,25
37,26
38,21
39,24
40,21
41,24
42,23
43,22
44,27
45,25
46,27
47,27
48,26
49,23
50,23
51,23
52,25
53,24
54,25
55,28
56,25
57,23
58,27
59,26
60,25
61,25
62,20
63,24
64,23
65,21
66,23
67,20
68,26
69,22
70,21
71,22
72,23
73,21
74,21
75,25
76,21
77,27
78,24
79,24
80,26
81,26
82,24
83,25
84,25
85,21
86,27
87,27
88,25
89,22
90,23
91,23
92,25
93,26
94,24
95,26
96,28
97,25
98,21
99,22
100,24
101,21
102,24
103,24
104,26
105,28
106,26
107,25
108,26
109,27
110,26
111,22
112,27
113,22
114,23
115,25
116,24
117,24
118,26
119,26
120,25
121,27
122,25
123,25
124,26
125,25
126,22
127,23
128,26
129,25
130,22
131,23
132,28
133,27
134,25
135,26
136,26
137,26
138,23
139,24
140,23
141,22
142,23
143,24
144,24
145,23
146,27
147,26
148,26
149,24
150,28
151,25
152,25
153,23
154,26
155,23
156,23
157,25
158,25
159,24
160,25
161,25
162,27
163,27
164,24
165,22
166,21
167,24
168,25
169,21
170,25
171,25
172,24
173,27
174,27
175,25
176,26
177,23
178,24
179,21
180,26
181,25
182,24
183,24
184,24
185,27
186,26
187,24
188,24
189,27
190,24
191,24
192,23
193,22
194,23
195,25
196,29
197,26
198,24
199,26
200,21
201,25
202,26
203,23
204,27
205,26
206,28
207,25
208,25
209,26
210,26
211,26
212,25
213,25
214,20
215,25
216,24
217,26
218,25
219,28
220,26
221,28
222,26
223,23
224,28
225,24
226,24
227,27
228,29
229,26
230,26
231,23
232,22
233,24
234,23
235,24
236,22
237,25
238,26
239,23
240,25
241,24
242,22
243,23
244,27
245,24
246,22
247,22
248,23
249,24
250,22
251,26
252,27
253,22
254,24
255,23
256,26
257,24
258,26
259,26
260,26
261,25
262,22
263,24
264,28
265,26
266,28
267,26
268,27
269,25
270,26
271,24
272,26
273,24
274,25
275,22
276,27
277,24
278,24
279,24
280,24
281,23
282,23
283,23
284,19
285,23
286,26
287,23
288,27
289,24
290,26
291,25
292,26
293,28
294,23
295,24
296,24
297,24
298,26
299,25
300,27
301,25
302,23
303,25
304,24
305,25
306,26
307,24
308,25
309,24
310,24
311,23
312,25
313,25
314,23
315,27
316,26
317,25
318,27
319,25
320,26
321,28
322,26
323,26
324,24
325,25
326,24
327,27
328,24
329,27
330,26
331,24
332,25
333,25
334,25
335,24
336,26
337,24
338,22
339,23
340,26
341,26
342,25
343,26
344,28
345,25
346,24
347,24
348,23
349,26
350,24
351,25
352,26
353,26
354,29
355,29
356,26
357,28
358,27
359,27
360,22
361,24
362,25
363,25
364,26
365,23
366,26
367,25
368,25
369,25
370,25
371,27
372,23
373,26
374,26
375,26
376,24
377,22
378,22
379,21
380,22
381,24
382,25
383,26
384,26
385,25
386,23
387,23
388,24
389,23
390,26
391,23
392,26
393,27
394,26
395,26
396,26
397,26
398,23
399,26
400,24
401,24
402,23
403,24
404,24
405,25
406,26
407,24
408,24
409,24
410,26
411,22
412,26
413,22
414,27
415,28
416,27
417,25
418,23
419,25
420,25
421,26
422,28
423,26
424,23
425,27
426,26
427,27
428,24
429,23
430,25
431,27
432,26
433,24
434,21
435,27
436,28
437,24
438,26
439,25
440,23
441,26
442,26
443,23
444,22
445,24
446,25
447,24
448,24
449,24
450,25
451,26
452,27
453,22
454,23
455,24
456,26
457,23
458,25
459,25
460,23
461,22
462,23
463,25
464,26
465,27
466,28
467,27
468,26
469,27
470,25
471,27
472,27
473,28
474,24
475,25
476,24
477,25
478,24
479,26
480,25
481,24
482,27
483,26
484,29
485,26
486,25
487,27
488,27
489,25
490,21
491,22
492,22
493,24
494,26
495,22
496,25
497,28
498,29
499,26
500,24
501,27
502,20
503,22
504,26
505,27
506,24
507,24
508,26
509,25
510,25
511,25
512,23
513,24
514,26
515,24
516,24
517,25
518,24
519,25
520,26
521,26
522,27
523,27
524,24
525,25
526,23
527,26
528,25
529,25
530,26
531,24
532,26
533,26
534,25
535,24
536,23
537,24
538,25
539,25
540,23
541,24
542,24
543,27
544,23
545,25
546,24
547,25
548,24
549,25
550,23
551,20
552,28
553,25
554,28
555,26
556,26
557,27
558,29
559,25
560,23
561,20
562,25
563,28
564,25
565,26
566,27
567,25
568,24
569,25
570,25
571,28
572,26
573,23
574,23
575,24
576,23
577,24
578,25
579,22
580,21
581,26
582,25
583,26
584,26
585,21
586,23
587,23
588,23
589,25
590,23
591,23
592,25
593,23
594,24
595,26
596,28
597,19
598,27
599,27
600,26
601,27
602,26
603,25
604,25
