objective_value,generation,evaluations
1136348.2049865774,0,30
1136348.2049865774,1,103
754162.459205728,2,169
430076.6383010663,3,259
305612.0987792046,4,337
252807.34679318097,5,423
190321.66219084227,6,502
145807.91113405666,7,578
135967.7429831658,8,657
100386.09943105208,9,747
91097.89573125119,10,823
87874.49224958039,11,897
61332.336399163985,12,980
66856.14522537292,13,1063
54220.30175796599,14,1142
54220.30175796599,15,1227
74877.78422115294,16,1318
93311.84139209669,17,1393
68154.44264528377,18,1469
68154.44264528377,19,1549
76509.24867561703,20,1641
39894.462759295624,21,1716
66668.78405206541,22,1809
48842.31764723364,23,1892
48842.31764723364,24,1972
34516.343711770416,25,2043
24009.279018206686,26,2140
19723.946264885642,27,2215
33569.59832230496,28,2287
21737.695544959373,29,2349
29540.72143180585,30,2420
28063.558052708257,31,2498
20016.08574395356,32,2577
20016.08574395356,33,2653
19957.924471400995,34,2743
19957.924471400995,35,2814
19957.924471400995,36,2885
17036.700357740083,37,2967
20883.90125329135,38,3047
20883.90125329135,39,3123
20883.90125329135,40,3216
12083.682304790684,41,3311
12083.682304790684,42,3372
13239.761191732587,43,3447
13758.299901351933,44,3521
15749.658467620467,45,3595
16139.043836338715,46,3682
11908.423401677102,47,3767
10382.918183921802,48,3842
11908.423401677102,49,3927
11908.423401677102,50,4015
8522.95605691092,51,4098
9066.654327367656,52,4193
8794.803533223956,53,4263
8794.803533223956,54,4335
11813.56802419885,55,4421
11813.56802419885,56,4500
12094.87640186068,57,4584
18013.065690893003,58,4674
10828.869420376992,59,4757
11140.508285314576,60,4851
11140.508285314576,61,4941
11140.508285314576,62,5029
11140.508285314576,63,5116
11766.598252556563,64,5209
11766.598252556563,65,5299
12503.015916794086,66,5361
12503.015916794086,67,5432
10658.011559051653,68,5519
12143.126269506176,69,5587
13862.679151439128,70,5674
10972.19099952546,71,5761
10972.19099952546,72,5842
15101.863028993792,73,5925
8015.349546249807,74,6006
7709.875631862577,75,6082
11117.179778443155,76,6167
10822.372074317052,77,6252
16191.467226092424,78,6331
7975.6682008002745,79,6414
12712.310711056345,80,6516
12712.310711056345,81,6582
7878.5271682448265,82,6662
7878.5271682448265,83,6735
7878.5271682448265,84,6814
7878.5271682448265,85,6901
7878.5271682448265,86,6981
11697.818158868517,87,7070
6543.897888390482,88,7155
5750.643569832859,89,7250
6543.897888390482,90,7321
6543.897888390482,91,7410
6543.897888390482,92,7485
5229.184744377657,93,7574
7630.2451544930045,94,7651
7630.2451544930045,95,7725
10597.62347051555,96,7811
16951.7973189581,97,7882
11618.180407878855,98,7978
6964.321815418369,99,8069
10742.989697652009,100,8139
10742.989697652009,101,8213
15759.399133908068,102,8293
5649.758708656258,103,8385
13113.132987395496,104,8459
11103.141015102798,105,8542
11705.930927610974,106,8643
10717.875560247487,107,8725
13113.132987395496,108,8802
14684.364190032331,109,8894
14023.73273214758,110,8979
