generation,unique_ids
0,30
1,23
2,23
3,26
4,26
5,28
6,24
7,27
8,25
9,26
10,25
11,24
12,27
13,23
14,24
15,21
16,24
17,22
18,22
19,23
20,25
21,26
22,25
23,24
24,23
25,26
26,24
27,22
28,26
29,26
30,23
31,24
32,23
33,25
34,24
35,24
36,23
37,20
38,21
39,24
40,25
41,22
42,27
43,26
44,24
45,26
46,24
47,26
48,26
49,25
50,25
51,25
52,24
53,27
54,29
55,22
56,20
57,22
58,24
59,24
60,25
61,29
62,23
63,28
64,24
65,26
66,25
67,25
68,24
69,22
70,26
71,24
72,25
73,22
74,22
75,23
76,26
77,24
78,27
79,25
80,22
81,28
82,27
83,26
84,23
85,25
86,21
87,22
88,26
89,26
90,22
91,22
92,25
93,26
94,25
95,22
96,23
97,26
98,22
99,26
100,24
101,25
102,21
103,23
104,26
105,21
106,25
107,22
108,24
109,23
110,24
111,26
112,28
113,24
114,28
115,23
116,25
117,27
118,27
119,27
120,27
121,22
122,19
123,22
124,24
125,25
126,27
127,24
128,30
129,29
130,27
131,25
132,26
133,26
134,25
135,24
136,21
137,25
138,22
139,26
140,26
141,23
142,25
143,23
144,26
145,25
146,27
147,27
148,25
149,26
150,25
151,26
152,26
153,27
154,24
155,28
156,25
157,27
158,22
159,23
160,23
161,23
162,26
163,26
164,22
165,27
166,25
167,24
168,26
169,25
170,28
171,24
172,27
173,27
174,26
175,22
176,26
177,24
178,23
179,26
180,22
181,25
182,28
183,25
184,24
185,25
186,28
187,28
188,26
189,24
190,24
191,25
192,27
193,25
194,26
195,23
196,27
197,24
198,27
199,27
200,26
201,24
202,23
203,21
204,26
205,26
206,26
207,25
208,22
209,24
210,24
211,24
212,24
213,25
214,22
215,24
216,27
217,21
218,25
219,25
220,27
221,28
222,26
223,26
224,23
225,23
226,22
227,22
228,23
229,29
230,24
231,27
232,28
233,26
234,26
235,26
236,26
237,28
238,23
239,24
240,26
241,25
242,23
243,27
244,25
245,24
246,26
247,24
248,26
249,24
250,21
251,25
252,24
253,27
254,25
255,28
256,29
257,25
258,25
259,26
260,29
261,23
262,25
263,22
264,25
265,24
266,25
267,26
268,24
269,24
270,26
271,24
272,21
273,27
274,26
275,26
276,27
277,24
278,23
279,25
280,28
281,27
282,24
283,27
284,23
285,25
286,25
287,24
288,24
289,24
290,25
291,28
292,28
293,25
294,24
295,24
296,25
297,23
298,26
299,28
300,25
301,25
302,23
303,28
304,29
305,24
306,24
307,26
308,26
309,24
310,26
311,23
312,22
313,24
314,22
315,26
316,24
317,26
318,21
319,24
320,29
321,27
322,24
323,25
324,27
325,25
326,24
327,27
328,23
329,24
330,25
331,26
332,25
333,26
334,27
335,26
336,27
337,26
338,24
339,23
340,23
341,26
342,26
343,25
344,24
345,26
346,21
347,28
348,26
349,22
350,19
351,22
352,25
353,24
354,29
355,29
356,22
357,26
358,25
359,22
360,25
361,27
362,22
363,24
364,24
365,22
366,25
367,26
368,26
369,26
370,29
371,22
372,23
373,22
374,24
375,26
376,24
377,25
378,25
379,24
380,28
381,24
382,27
383,25
384,23
385,24
386,26
387,26
388,29
389,24
390,25
391,28
392,27
393,26
394,26
395,24
396,22
397,26
398,23
399,24
400,25
401,25
402,25
403,27
404,22
405,19
406,20
407,23
408,23
409,26
410,27
411,23
412,23
413,26
414,26
415,24
416,23
417,25
418,27
419,24
420,21
421,24
422,26
423,25
424,22
425,25
426,22
427,26
428,22
429,22
430,29
431,22
432,22
433,23
434,27
435,28
436,25
437,24
438,21
439,25
440,27
441,27
442,25
443,26
444,28
445,22
446,25
447,25
448,24
449,22
450,24
451,26
452,24
453,22
454,25
455,25
456,27
457,28
458,25
459,24
460,24
461,26
462,26
463,22
464,25
465,27
466,26
467,24
468,29
469,24
470,23
471,24
472,27
473,26
474,25
475,24
476,23
477,25
478,24
479,24
480,22
481,26
482,24
483,25
484,25
485,18
486,23
487,24
488,24
489,24
490,25
491,27
492,27
493,23
494,23
495,24
496,25
497,25
498,27
499,22
500,25
501,22
502,25
503,25
504,27
505,26
506,26
507,24
508,25
509,25
510,27
511,27
512,23
513,22
514,22
515,23
516,24
517,26
518,26
519,26
520,26
521,27
522,25
523,27
524,25
525,24
526,25
527,24
528,27
529,21
530,24
531,22
532,25
533,26
534,25
535,24
536,26
537,26
538,21
539,23
540,25
541,26
542,24
543,25
544,26
545,24
546,25
547,24
548,23
549,25
550,25
551,27
552,25
553,24
554,25
555,25
556,24
557,27
558,23
559,25
560,28
561,25
562,26
563,25
564,24
565,27
566,26
567,26
568,26
569,25
570,22
571,21
572,23
573,22
574,23
575,25
576,24
577,23
578,24
579,27
580,26
581,24
582,21
583,24
584,25
585,26
586,24
587,25
588,25
589,23
590,24
591,25
592,26
593,24
594,25
595,26
596,25
597,25
598,23
599,22
600,25
601,27
602,23
603,22
604,29
605,26
606,23
607,24
608,26
