generation,unique_ids
0,30
1,25
2,27
3,26
4,28
5,26
6,24
7,26
8,23
9,25
10,26
11,25
12,25
13,23
14,24
15,24
16,22
17,23
18,24
19,23
20,20
21,23
22,28
23,24
24,27
25,21
26,26
27,27
28,26
29,24
30,25
31,23
32,25
33,24
34,21
35,25
36,23
37,25
38,27
39,26
40,28
41,21
42,22
43,22
44,25
45,24
46,23
47,26
48,26
49,20
50,24
51,23
52,23
53,24
54,24
55,28
56,22
57,28
58,24
59,21
60,25
61,23
62,24
63,23
64,25
65,24
66,21
67,26
68,26
69,21
70,26
71,22
72,25
73,25
74,26
75,22
76,25
77,25
78,24
79,24
80,27
81,26
82,22
83,20
84,26
85,22
86,25
87,25
88,26
89,21
90,25
91,25
92,25
93,28
94,26
95,25
96,26
97,24
98,24
99,25
100,25
101,27
102,23
103,22
104,26
105,25
106,22
107,23
108,23
109,23
110,22
111,27
112,21
113,25
114,29
115,24
116,27
117,23
118,22
119,21
120,22
121,20
122,27
123,27
124,23
125,26
126,23
127,23
128,23
129,25
130,23
131,24
132,23
133,22
134,27
135,20
136,20
137,23
138,24
139,26
140,22
141,26
142,27
143,25
144,23
145,27
146,25
147,22
148,23
149,28
150,24
151,26
152,24
153,27
154,26
155,26
156,24
157,24
158,26
159,25
160,26
161,23
162,24
163,28
164,26
165,27
166,27
167,28
168,24
169,26
170,26
171,24
172,27
173,25
174,24
175,24
176,24
177,23
178,24
179,26
180,26
181,24
182,24
183,26
184,22
185,28
186,25
187,24
188,23
189,24
190,22
191,24
192,22
193,27
194,23
195,24
196,25
197,25
198,24
199,25
200,23
201,26
202,27
203,28
204,25
205,28
206,26
207,23
208,22
209,21
210,23
211,27
212,25
213,24
214,25
215,26
216,21
217,25
218,22
219,23
220,22
221,28
222,28
223,24
224,26
225,24
226,27
227,27
228,24
229,27
230,26
231,23
232,20
233,24
234,26
235,26
236,21
237,25
238,26
239,24
240,25
241,24
242,25
243,27
244,26
245,24
246,24
247,24
248,21
249,28
250,25
251,28
252,25
253,20
254,25
255,25
256,25
257,27
258,24
259,24
260,27
261,25
262,22
263,20
264,24
265,26
266,27
267,27
268,24
269,25
270,24
271,21
272,25
273,27
274,24
275,25
276,26
277,27
278,29
279,24
280,22
281,26
282,25
283,25
284,26
285,24
286,27
287,27
288,24
289,23
290,26
291,25
292,25
293,24
294,24
295,26
296,27
297,27
298,27
299,25
300,25
301,26
302,25
303,25
304,24
305,21
306,25
307,25
308,27
309,24
310,26
311,22
312,26
313,26
314,23
315,27
316,24
317,26
318,25
319,23
320,23
321,23
322,25
323,26
324,26
325,24
326,28
327,26
328,25
329,24
330,27
331,28
332,23
333,26
334,25
335,23
336,22
337,24
338,22
339,22
340,27
341,24
342,26
343,26
344,25
345,26
346,18
347,22
348,22
349,21
350,25
351,26
352,23
353,22
354,26
355,25
356,28
357,27
358,28
359,27
360,25
361,23
362,25
363,22
364,23
365,25
366,24
367,26
368,25
369,25
370,25
371,24
372,26
373,27
374,25
375,22
376,25
377,25
378,29
379,28
380,26
381,26
382,27
383,25
384,24
385,24
386,23
387,28
388,24
389,26
390,25
391,25
392,25
393,26
394,29
395,26
396,24
397,27
398,28
399,24
400,26
401,25
402,27
403,25
404,23
405,28
406,26
407,26
408,24
409,26
410,27
411,24
412,27
413,24
414,26
415,26
416,24
417,25
418,25
419,24
420,24
421,27
422,26
423,25
424,24
425,25
426,20
427,23
428,24
429,24
430,25
431,24
432,27
433,26
434,26
435,26
436,25
437,25
438,23
439,27
440,24
441,20
442,27
443,22
444,22
445,26
446,26
447,24
448,25
449,25
450,27
451,22
452,22
453,23
454,23
455,24
456,24
457,23
458,25
459,26
460,25
461,26
462,28
463,21
464,26
465,27
466,25
467,22
468,25
469,28
470,25
471,28
472,24
473,25
474,25
475,25
476,26
477,23
478,23
479,23
480,22
481,21
482,25
483,27
484,24
485,24
486,19
487,25
488,24
489,24
490,24
491,22
492,24
493,24
494,29
495,25
496,23
497,26
498,24
499,24
500,21
501,19
502,24
503,24
504,26
505,24
506,26
507,25
508,25
509,21
510,26
511,25
512,27
513,28
514,27
515,24
516,25
517,25
518,27
519,22
520,24
521,26
522,21
523,23
524,23
525,26
526,28
527,27
528,24
529,25
530,25
531,24
532,27
533,27
534,27
535,26
536,29
537,28
538,24
539,26
540,26
541,22
542,25
543,26
544,26
545,23
546,24
547,26
548,21
549,24
550,24
551,26
552,21
553,25
554,27
555,23
556,23
557,24
558,21
559,25
560,25
561,23
562,22
563,23
564,23
565,24
566,26
567,25
568,28
569,26
570,25
571,29
572,23
573,23
574,23
575,25
576,26
577,24
578,26
579,26
580,25
581,27
582,26
583,26
584,22
585,26
586,28
587,26
588,25
589,26
590,25
591,27
592,24
593,25
594,23
595,23
596,24
597,24
598,25
599,20
600,23
601,19
602,23
603,22
604,27
605,24
606,25
607,25
608,26
609,28
610,25
611,27
612,22
613,25
614,24
615,23
616,25
617,23
618,24
619,21
620,22
621,26
622,28
623,25
624,23
625,25
626,24
627,26
628,24
629,26
630,25
631,19
632,26
633,22
