generation,unique_ids
0,30
1,26
2,23
3,26
4,24
5,24
6,28
7,26
8,26
9,26
10,27
11,23
12,27
13,25
14,22
15,23
16,26
17,22
18,26
19,22
20,24
21,26
22,24
23,24
24,25
25,23
26,25
27,26
28,25
29,26
30,25
31,27
32,23
33,24
34,22
35,23
36,23
37,24
38,26
39,26
40,21
41,25
42,24
43,23
44,21
45,28
46,22
47,25
48,25
49,23
50,24
51,27
52,26
53,26
54,25
55,25
56,25
57,25
58,23
59,24
60,24
61,25
62,26
63,27
64,26
65,26
66,25
67,25
68,28
69,22
70,22
71,25
72,24
73,30
74,28
75,26
76,26
77,25
78,25
79,26
80,24
81,25
82,25
83,24
84,24
85,28
86,23
87,25
88,22
89,23
90,27
91,21
92,21
93,23
94,24
95,24
96,25
97,25
98,25
99,24
100,26
101,29
102,26
103,26
104,24
105,22
106,22
107,26
108,25
109,24
110,26
111,25
112,22
113,24
114,25
115,25
116,26
117,25
118,25
119,23
120,22
121,26
122,24
123,23
124,26
125,23
126,21
127,24
128,26
129,22
130,22
131,26
132,26
133,25
134,25
135,23
136,26
137,26
138,25
139,27
140,23
141,24
142,28
143,23
144,26
145,25
146,26
147,25
148,26
149,26
150,24
151,20
152,24
153,25
154,23
155,23
156,26
157,24
158,27
159,25
160,27
161,24
162,26
163,25
164,28
165,25
166,25
167,26
168,25
169,28
170,26
171,20
172,25
173,25
174,24
175,26
176,26
177,25
178,28
179,26
180,27
181,24
182,24
183,24
184,27
185,26
186,25
187,27
188,22
189,22
190,25
191,26
192,25
193,26
194,25
195,27
196,25
197,25
198,26
199,22
200,25
201,25
202,25
203,24
204,24
205,26
206,25
207,23
208,23
209,27
210,25
211,27
212,27
213,26
214,26
215,23
216,27
217,26
218,25
219,22
220,23
221,21
222,23
223,23
224,25
225,24
226,24
227,24
228,28
229,27
230,25
231,22
232,24
233,24
234,27
235,28
236,25
237,25
238,27
239,26
240,25
241,23
242,29
243,29
244,24
245,24
246,23
247,23
248,19
249,22
250,26
251,26
252,25
253,24
254,26
255,25
256,27
257,23
258,23
259,23
260,28
261,24
262,26
263,25
264,24
265,25
266,27
267,25
268,26
269,26
270,28
271,20
272,25
273,28
274,28
275,27
276,24
277,24
278,23
279,25
280,22
281,24
282,25
283,26
284,23
285,25
286,24
287,25
288,26
289,26
290,25
291,24
292,26
293,22
294,23
295,25
296,24
297,22
298,22
299,25
300,23
301,22
302,23
303,28
304,26
305,25
306,28
307,26
308,23
309,25
310,24
311,24
312,25
313,22
314,28
315,24
316,23
317,22
318,23
319,24
320,27
321,25
322,26
323,22
324,28
325,24
326,26
327,26
328,26
329,26
330,23
331,27
332,27
333,26
334,25
335,26
336,25
337,24
338,26
339,26
340,26
341,25
342,25
343,25
344,25
345,26
346,25
347,23
348,24
349,25
350,28
351,26
352,27
353,24
354,29
355,24
356,25
357,23
358,26
359,25
360,27
361,25
362,21
363,22
364,25
365,26
366,27
367,26
368,27
369,22
370,27
371,26
372,27
373,28
374,25
375,28
376,25
377,25
378,24
379,21
380,25
381,27
382,28
383,22
384,24
385,26
386,26
387,23
388,25
389,25
390,21
391,27
392,26
393,25
394,26
395,22
396,23
397,24
398,20
399,25
400,20
401,23
402,24
403,24
404,26
405,23
406,25
407,22
408,23
409,23
410,25
411,25
412,26
413,27
414,27
415,25
416,27
417,25
418,25
419,25
420,28
421,23
422,26
423,26
424,25
425,28
426,23
427,24
428,25
429,29
430,26
431,22
432,24
433,27
434,27
435,23
436,22
437,24
438,26
439,28
440,27
441,25
442,25
443,25
444,25
445,22
446,24
447,24
448,27
449,24
450,25
451,22
452,19
453,22
454,26
455,27
456,22
457,23
458,25
459,23
460,21
461,24
462,26
463,25
464,25
465,25
466,25
467,21
468,25
469,21
470,23
471,23
472,26
473,27
474,24
475,27
476,25
477,25
478,24
479,25
480,26
481,24
482,23
483,22
484,28
485,24
486,27
487,27
488,26
489,24
490,25
491,25
492,26
493,27
494,29
495,24
496,27
497,26
498,26
499,24
500,22
501,23
502,27
503,26
504,25
505,18
506,22
507,23
508,24
509,24
510,22
511,26
512,27
513,24
514,25
515,25
516,26
517,25
518,20
519,23
520,24
521,26
522,25
523,23
524,27
525,26
526,27
527,26
528,25
529,24
530,23
531,26
532,22
533,22
534,26
535,25
536,22
537,23
538,20
539,27
540,22
541,26
542,25
543,26
544,25
545,29
546,25
547,23
548,25
549,27
550,25
551,25
552,22
553,25
554,28
555,21
556,28
557,26
558,27
559,24
560,25
561,26
562,26
563,22
564,27
565,25
566,23
567,26
568,24
569,23
570,26
571,24
572,23
573,25
574,24
575,25
576,26
577,29
578,24
579,25
580,26
581,25
582,25
583,22
584,24
585,27
586,24
587,21
588,26
589,26
590,24
591,25
592,27
593,22
594,27
595,23
596,25
597,24
598,23
599,24
600,22
601,22
602,23
603,22
604,25
605,24
606,27
607,27
608,25
