generation,unique_ids
0,30
1,23
2,18
3,24
4,27
5,23
6,25
7,26
8,22
9,26
10,24
11,21
12,22
13,22
14,24
15,25
16,24
17,26
18,25
19,26
20,21
21,27
22,29
23,28
24,26
25,26
26,20
27,23
28,23
29,20
30,26
31,23
32,23
33,27
34,22
35,24
36,25
37,22
38,24
39,22
40,24
41,23
42,22
43,24
44,28
45,28
46,24
47,22
48,25
49,26
50,27
51,23
52,24
53,24
54,26
55,23
56,21
57,24
58,25
59,25
60,25
61,27
62,24
63,22
64,25
65,23
66,24
67,20
68,24
69,22
70,24
71,21
72,24
73,24
74,26
75,24
76,26
77,23
78,26
79,26
80,26
81,23
82,26
83,26
84,23
85,22
86,26
87,24
88,25
89,26
90,22
91,20
92,22
93,23
94,25
95,25
96,25
97,20
98,21
99,22
100,25
101,23
102,26
103,22
104,25
105,23
106,23
107,21
108,23
109,24
110,21
111,23
112,22
113,24
114,23
115,26
116,23
117,23
118,25
119,23
120,26
121,28
122,22
123,24
124,23
125,25
126,23
127,24
128,26
129,28
130,22
131,23
132,25
133,25
134,23
135,22
136,26
137,27
138,24
139,25
140,24
141,23
142,24
143,25
144,25
145,25
146,28
147,24
148,26
149,23
150,26
151,27
152,26
153,27
154,25
155,25
156,24
157,25
158,24
159,16
160,22
161,25
162,23
163,23
164,25
165,22
166,24
167,25
168,25
169,21
170,21
171,23
172,21
173,27
174,24
175,23
176,25
177,22
178,27
179,25
180,26
181,27
182,23
183,26
184,23
185,26
186,23
187,25
188,24
189,21
190,22
191,26
192,25
193,24
194,23
195,25
196,24
197,23
198,21
199,21
200,22
201,25
202,27
203,26
204,21
205,23
206,21
207,25
208,22
209,22
210,23
211,21
212,21
213,22
214,24
215,23
216,26
217,24
218,24
219,26
220,23
221,23
222,21
223,26
224,23
225,23
226,24
227,25
228,24
229,24
230,23
231,20
232,23
233,24
234,24
235,25
236,25
237,21
238,23
239,27
240,21
241,22
242,26
243,24
244,23
245,24
246,26
247,26
248,24
249,25
250,27
251,24
252,22
253,21
254,17
255,26
256,24
257,26
258,23
259,25
260,23
261,26
262,25
263,23
264,26
265,23
266,27
267,24
268,19
269,22
270,21
271,21
272,26
273,25
274,23
275,26
276,25
277,25
278,23
279,25
280,22
281,27
282,24
283,24
284,22
285,21
286,17
287,21
288,24
289,23
290,22
291,28
292,22
293,22
294,21
295,24
296,25
297,22
298,26
299,29
300,23
301,23
302,22
303,21
304,25
305,25
306,23
307,24
308,27
309,27
310,25
311,26
312,23
313,24
314,25
315,24
316,25
317,25
318,23
319,27
320,28
321,24
322,21
323,23
324,24
325,22
326,24
327,21
328,22
329,21
330,25
331,25
332,25
333,25
334,24
335,21
336,26
337,25
338,25
339,26
340,24
341,24
342,24
343,25
344,27
345,23
346,24
347,23
348,22
349,24
350,26
351,19
352,25
353,26
354,20
355,23
356,23
357,26
358,27
359,23
360,24
361,24
362,23
363,23
364,19
365,27
366,23
367,25
368,22
369,22
370,23
371,25
372,23
373,23
374,24
375,27
376,26
377,23
378,26
379,23
380,25
381,26
382,27
383,26
384,26
385,24
386,23
387,22
388,20
389,23
390,25
391,18
392,22
393,23
394,23
395,22
396,25
397,25
398,23
399,22
400,25
401,25
402,21
403,23
404,23
405,27
406,25
407,25
408,26
409,22
410,23
411,25
412,23
413,25
414,24
415,25
416,27
417,25
418,27
419,26
420,26
421,22
422,22
423,21
424,24
425,24
426,24
427,24
428,23
429,26
430,21
431,23
432,19
433,24
434,26
435,23
436,22
437,24
438,26
439,24
440,22
441,22
442,20
443,21
444,23
445,26
446,22
447,21
448,30
449,24
450,25
451,26
452,25
453,22
454,21
455,25
456,25
457,21
458,20
459,23
460,22
461,19
462,21
463,23
464,26
465,22
466,24
467,23
468,25
469,26
470,25
471,21
472,21
473,21
474,25
475,25
476,21
477,21
478,23
479,22
480,25
481,26
482,26
483,24
484,26
485,29
486,26
487,23
488,23
489,25
490,27
491,21
492,25
493,23
494,25
495,22
496,22
497,20
498,21
499,21
500,24
501,25
502,27
503,23
504,24
505,21
506,20
507,22
508,22
509,20
510,21
511,23
512,21
513,22
514,21
515,23
516,25
517,28
518,27
519,25
520,23
521,20
522,21
523,27
524,24
525,22
526,19
527,23
528,25
529,23
530,20
531,24
532,26
533,22
534,23
535,22
536,22
537,19
538,23
539,25
540,25
541,24
542,23
543,24
544,26
545,22
546,23
547,23
548,22
549,26
550,28
551,25
552,24
553,21
554,24
555,24
556,25
557,24
558,23
559,25
560,24
561,25
562,25
563,20
564,26
565,25
566,23
567,24
568,27
569,24
570,19
571,21
572,22
573,23
574,21
575,24
576,22
577,21
578,20
579,22
580,23
581,25
582,27
583,25
584,24
585,23
586,23
587,23
588,20
589,26
590,21
591,23
592,26
593,22
594,22
595,23
596,20
597,24
598,26
599,25
600,25
601,23
602,20
603,22
604,24
605,24
606,25
607,24
608,22
609,23
610,25
611,21
612,23
613,19
614,22
615,24
616,20
617,20
618,25
619,26
620,26
621,26
622,22
623,23
624,24
625,27
626,27
627,22
628,24
629,26
630,23
631,23
632,23
633,24
634,21
635,25
636,25
637,27
638,21
639,23
640,22
641,21
642,25
643,26
644,23
645,23
646,24
647,23
648,28
649,23
650,25
651,24
652,23
653,26
654,25
655,19
656,23
657,22
658,26
659,24
660,21
661,25
662,23
663,24
664,25
665,25
666,19
667,26
668,23
669,22
670,25
671,23
672,24
673,23
674,23
675,19
676,22
677,24
678,24
679,26
680,25
681,21
682,23
683,26
684,24
685,24
686,23
687,22
688,23
689,26
690,23
691,24
692,21
693,26
694,22
695,25
696,23
697,21
698,23
699,23
700,20
701,26
702,28
703,25
704,24
705,21
706,22
707,23
708,25
709,19
710,22
711,28
712,24
713,23
714,23
715,23
716,19
717,23
718,23
719,22
720,21
721,24
722,26
723,26
724,25
725,24
726,26
727,29
728,25
729,25
730,27
731,24
732,25
733,23
734,24
735,23
736,26
737,22
738,24
739,22
740,24
741,24
742,25
743,23
744,23
745,23
746,21
747,25
748,26
749,25
750,22
751,22
752,23
