objective_value,generation,evaluations
274.3356197513393,0,30
248.9377499834619,1,86
256.9768001202763,2,138
202.6881169303248,3,205
202.6881169303248,4,264
224.21802372326835,5,324
223.80416755070442,6,379
223.80416755070442,7,454
184.90293169379282,8,519
184.90293169379282,9,572
208.92872541789433,10,628
204.9975274640873,11,680
181.61993168632299,12,753
179.80634833018502,13,822
192.72078927440168,14,892
185.85745132494458,15,968
194.80742628415638,16,1037
194.80742628415638,17,1115
194.1909619414154,18,1184
182.39249582358113,19,1258
160.85262729435274,20,1316
157.97876681386802,21,1368
157.97876681386802,22,1448
165.32181185379375,23,1504
165.32181185379375,24,1577
165.32181185379375,25,1653
159.16254214946974,26,1720
140.57514072811247,27,1783
167.81469006898615,28,1857
164.05934514716378,29,1934
162.3886145092195,30,1998
135.64023789050808,31,2066
118.56447327277189,32,2144
158.68580530972582,33,2202
158.68580530972582,34,2273
158.68580530972582,35,2330
169.3248190643961,36,2392
169.3248190643961,37,2463
166.1917412233509,38,2527
160.43264272570144,39,2595
199.800149200978,40,2668
167.59405289332628,41,2727
167.59405289332628,42,2790
159.20803986938753,43,2853
173.36858155020676,44,2926
176.06396806395685,45,2999
176.06396806395685,46,3064
176.06396806395685,47,3136
172.31706834705759,48,3216
176.91997836481988,49,3279
194.54993508574088,50,3358
176.86964097997068,51,3419
176.86964097997068,52,3496
154.93270041024925,53,3558
154.93270041024925,54,3608
216.732259678344,55,3669
187.9929008642111,56,3733
205.07087635189012,57,3792
184.8366717617407,58,3870
154.55072473570556,59,3931
154.5290473914912,60,3993
153.67205750629358,61,4051
153.67205750629358,62,4119
153.67205750629358,63,4173
143.84148997609594,64,4264
143.84148997609594,65,4336
143.84148997609594,66,4386
158.0125728740648,67,4451
131.5673441524641,68,4506
120.37010514906339,69,4569
120.37010514906339,70,4613
120.37010514906339,71,4676
120.37010514906339,72,4727
120.37010514906339,73,4791
120.37010514906339,74,4863
120.37010514906339,75,4941
120.37010514906339,76,5038
111.62906534378767,77,5089
110.81319843399203,78,5146
110.81319843399203,79,5215
110.81319843399203,80,5280
110.81319843399203,81,5336
110.25161010751094,82,5408
110.81319843399203,83,5478
110.81319843399203,84,5531
105.89957111909277,85,5612
105.89957111909277,86,5672
120.67472541797477,87,5731
120.67472541797477,88,5797
122.26685135124852,89,5858
122.26685135124852,90,5909
128.7990665448359,91,5968
128.7990665448359,92,6042
138.1360245948606,93,6097
138.1360245948606,94,6166
138.1360245948606,95,6247
144.22352911888066,96,6310
144.22352911888066,97,6383
142.93171892343832,98,6466
