generation,unique_ids
0,30
1,25
2,27
3,23
4,21
5,27
6,25
7,23
8,23
9,26
10,24
11,24
12,23
13,24
14,22
15,24
16,26
17,23
18,25
19,22
20,24
21,26
22,26
23,25
24,26
25,24
26,25
27,25
28,25
29,22
30,26
31,23
32,22
33,22
34,25
35,23
36,27
37,25
38,28
39,24
40,24
41,22
42,22
43,22
44,24
45,23
46,26
47,27
48,22
49,24
50,25
51,23
52,25
53,25
54,24
55,25
56,27
57,26
58,26
59,19
60,26
61,24
62,21
63,24
64,23
65,18
66,22
67,24
68,23
69,22
70,26
71,24
72,22
73,23
74,24
75,26
76,25
77,27
78,27
79,24
80,26
81,23
82,24
83,23
84,20
85,28
86,27
87,27
88,25
89,25
90,24
91,27
92,26
93,26
94,21
95,26
96,24
97,23
98,26
99,27
100,24
101,25
102,23
103,26
104,24
105,25
106,25
107,23
108,23
109,24
110,26
111,22
112,23
113,26
114,27
115,24
116,25
117,25
118,24
119,24
120,24
121,23
122,25
123,24
124,22
125,23
126,21
127,23
128,25
129,23
130,23
131,25
132,24
133,20
134,21
135,22
136,24
137,23
138,21
139,25
140,26
141,23
142,21
143,26
144,25
145,21
146,26
147,23
148,22
149,22
150,25
151,24
152,26
153,22
154,25
155,26
156,23
157,26
158,23
159,24
160,26
161,25
162,23
163,23
164,20
165,22
166,22
167,26
168,24
169,27
170,24
171,25
172,24
173,25
174,23
175,25
176,24
177,26
178,22
179,23
180,22
181,23
182,27
183,26
184,23
185,25
186,23
187,25
188,27
189,26
190,25
191,25
192,24
193,24
194,21
195,26
196,23
197,26
198,24
199,24
200,26
201,24
202,22
203,25
204,25
205,24
206,20
207,23
208,25
209,24
210,24
211,25
212,22
213,22
214,24
215,22
216,26
217,22
218,25
219,27
220,24
221,23
222,22
223,22
224,27
225,25
226,27
227,27
228,26
229,26
230,26
231,23
232,23
233,27
234,26
235,25
236,28
237,21
238,23
239,24
240,25
241,27
242,25
243,23
244,23
245,26
246,26
247,24
248,26
249,25
250,23
251,26
252,23
253,23
254,25
255,26
256,25
257,25
258,27
259,25
260,26
261,24
262,21
263,27
264,24
265,25
266,25
267,27
268,25
269,23
270,27
271,25
272,24
273,20
274,22
275,21
276,20
277,22
278,23
279,25
280,24
281,25
282,22
283,26
284,23
285,24
286,18
287,21
288,22
289,24
290,23
291,24
292,26
293,25
294,26
295,26
296,27
297,28
298,27
299,24
300,24
301,23
302,24
303,25
304,20
305,25
306,27
307,27
308,23
309,24
310,25
311,23
312,25
313,21
314,25
315,22
316,22
317,27
318,26
319,23
320,26
321,25
322,27
323,25
324,25
325,25
326,27
327,22
328,23
329,26
330,23
331,25
332,21
333,24
334,22
335,25
336,26
337,27
338,30
339,25
340,24
341,27
342,24
343,24
344,23
345,23
346,25
347,25
348,25
349,22
350,26
351,25
352,22
353,22
354,28
355,27
356,25
357,27
358,27
359,25
360,25
361,22
362,27
363,25
364,28
365,26
366,27
367,24
368,26
369,23
370,22
371,21
372,25
373,25
374,26
375,25
376,23
377,23
378,22
379,22
380,25
381,24
382,24
383,25
384,27
385,22
386,24
387,27
388,26
389,26
390,25
391,27
392,26
393,25
394,24
395,25
396,27
397,22
398,23
399,26
400,22
401,25
402,26
403,25
404,24
405,26
406,22
407,18
408,22
409,22
410,23
411,23
412,22
413,25
414,25
415,24
416,24
417,27
418,24
419,27
420,24
421,26
422,25
423,25
424,25
425,24
426,24
427,27
428,26
429,25
430,26
431,26
432,25
433,26
434,26
435,24
436,26
437,25
438,25
439,28
440,26
441,26
442,27
443,28
444,25
445,25
446,25
447,24
448,26
449,23
450,25
451,25
452,24
453,23
454,23
455,26
456,27
457,24
458,26
459,21
460,22
461,25
462,24
463,23
464,27
465,27
466,27
467,26
468,25
469,25
470,25
471,25
472,25
473,28
474,25
475,26
476,25
477,25
478,28
479,27
480,22
481,24
482,26
483,25
484,26
485,25
486,26
487,26
488,22
489,24
490,27
491,26
492,23
493,24
494,25
495,25
496,20
497,23
498,26
499,24
500,26
501,27
502,24
503,25
504,25
505,25
506,22
507,23
508,21
509,18
510,28
511,25
512,27
513,26
514,27
515,26
516,25
517,25
518,25
519,26
520,26
521,25
522,26
523,25
524,27
525,26
526,24
527,24
528,27
529,25
530,27
531,26
532,28
533,27
534,23
535,26
536,24
537,26
538,24
539,24
540,21
541,26
542,24
543,26
544,27
545,29
546,25
547,28
548,26
549,24
550,21
551,25
552,26
553,25
554,23
555,23
556,27
557,24
558,22
559,27
560,24
561,27
562,23
563,23
564,23
565,26
566,23
567,25
568,23
569,23
570,27
571,24
572,25
573,22
574,19
575,24
576,24
577,24
578,23
579,22
580,25
581,24
582,23
583,27
584,24
585,25
586,27
587,25
588,26
589,22
590,23
591,25
592,26
593,24
594,23
595,24
596,20
597,24
598,27
599,27
600,26
601,25
602,26
603,24
604,25
605,25
606,26
607,22
608,28
609,27
610,22
611,25
612,23
613,23
614,26
615,22
616,23
617,23
618,26
619,22
620,25
