objective_value,generation,evaluations
3095.5591591216057,0,30
2754.388042403357,1,90
2328.741726691291,2,146
2292.184428409208,3,202
2292.184428409208,4,265
2224.6213667326047,5,338
1966.1747798021543,6,413
2220.6898550824103,7,491
2186.985106057451,8,551
2147.7272255838143,9,624
2147.7272255838143,10,715
1829.292923947056,11,789
2109.9362545564304,12,862
1967.6334035996597,13,932
1967.6334035996597,14,990
2054.9505791077327,15,1044
2099.716637628467,16,1115
1956.047570864232,17,1179
1956.047570864232,18,1240
1899.0763743834477,19,1326
1810.8393045526427,20,1395
1872.9541080372446,21,1490
1805.4728095118867,22,1551
1678.5295583986576,23,1613
1819.969986163207,24,1683
1867.7051749603206,25,1757
1758.9465978378776,26,1834
1681.3595562925834,27,1902
1912.493593625336,28,1966
1912.493593625336,29,2036
1912.493593625336,30,2102
1861.2187656418519,31,2175
1952.4896413072029,32,2242
2035.4789642711853,33,2309
2179.3805644743616,34,2387
2179.3805644743616,35,2464
2144.9536193056238,36,2532
2237.3754750773655,37,2581
1994.9088004363944,38,2659
2214.285867171887,39,2728
2121.3766844645247,40,2784
2121.3766844645247,41,2839
2041.6665587692223,42,2895
1922.648404120162,43,2962
1933.3424853263386,44,3028
1867.7850253525016,45,3104
1867.7850253525016,46,3180
1880.668075484859,47,3252
1880.668075484859,48,3327
2041.6665587692223,49,3383
2041.6665587692223,50,3448
2023.4346406059285,51,3524
1832.2533846890155,52,3597
1832.2533846890155,53,3653
1894.5072883652797,54,3726
1824.1220675016689,55,3792
1824.1220675016689,56,3855
1705.132742581161,57,3930
1705.132742581161,58,3999
1705.132742581161,59,4064
1705.132742581161,60,4126
1751.6543922668334,61,4202
1751.6543922668334,62,4277
1827.0159601777505,63,4354
1827.0159601777505,64,4433
1827.0159601777505,65,4512
1922.7619219391418,66,4582
1811.7857026333863,67,4646
1811.7857026333863,68,4719
1811.7857026333863,69,4801
1961.7697036006016,70,4866
1886.6499661129192,71,4943
1792.5987219047374,72,5025
1953.681238684488,73,5106
1953.681238684488,74,5193
1953.681238684488,75,5273
1744.0319096101953,76,5351
2034.6711912639303,77,5419
1926.8101449796422,78,5505
1927.8329708114288,79,5578
1892.6146296339193,80,5645
2002.8837956586294,81,5706
1679.198119628983,82,5774
1723.85825466405,83,5861
1648.5023771444576,84,5934
1882.3356985889832,85,5999
1881.4612955978546,86,6064
1881.4612955978546,87,6130
1881.4612955978546,88,6201
1881.4612955978546,89,6272
1881.4612955978546,90,6352
1881.4612955978546,91,6428
1881.4612955978546,92,6491
1885.6898111677747,93,6558
1885.6898111677747,94,6663
1896.294735610728,95,6741
1896.294735610728,96,6798
1894.040674000371,97,6879
1841.575565095577,98,6953
1788.70916800867,99,7020
1783.7093924196306,100,7104
1788.70916800867,101,7178
1788.70916800867,102,7250
1840.6478094455742,103,7330
1966.8176169521685,104,7397
1827.1821173968237,105,7476
1794.8131708907413,106,7553
1966.8176169521685,107,7638
1816.892539733286,108,7714
1816.892539733286,109,7780
2088.2594148736307,110,7863
1953.725221828321,111,7938
1827.8784073496063,112,8014
1713.8656272403764,113,8096
1764.3325976797846,114,8177
1722.264041126697,115,8260
1722.264041126697,116,8345
1722.264041126697,117,8423
1722.264041126697,118,8486
1722.264041126697,119,8561
1722.264041126697,120,8637
1734.3551140389204,121,8709
1734.3551140389204,122,8772
1650.3233073944575,123,8844
1762.81992842306,124,8921
1671.7022371691014,125,8981
1671.7022371691014,126,9046
1671.7022371691014,127,9112
1768.968019618173,128,9170
1768.968019618173,129,9239
1601.3203078236083,130,9330
1601.3203078236083,131,9410
1572.1625488900336,132,9471
1601.3203078236083,133,9550
1685.9750228290918,134,9620
1587.3057850580535,135,9683
1752.2047152935315,136,9761
1607.2216364760566,137,9833
1607.2216364760566,138,9911
1701.9877297589564,139,9986
1701.9877297589564,140,10066
1785.0391394793996,141,10127
1885.6727555556195,142,10199
1860.7169262569305,143,10262
1704.7610385524222,144,10338
1790.4668966964323,145,10417
1720.575804418651,146,10488
1638.156364031217,147,10560
1596.9827114909563,148,10623
1638.156364031217,149,10683
1638.156364031217,150,10749
