generation,unique_ids
0,30
1,26
2,23
3,22
4,25
5,22
6,25
7,26
8,25
9,25
10,26
11,25
12,21
13,25
14,23
15,26
16,23
17,26
18,28
19,27
20,25
21,22
22,24
23,23
24,25
25,26
26,25
27,26
28,25
29,26
30,23
31,22
32,27
33,30
34,26
35,23
36,23
37,24
38,28
39,27
40,23
41,25
42,24
43,23
44,24
45,26
46,25
47,23
48,20
49,24
50,24
51,24
52,27
53,29
54,24
55,25
56,23
57,23
58,27
59,22
60,26
61,27
62,25
63,24
64,23
65,21
66,23
67,23
68,23
69,23
70,26
71,28
72,25
73,25
74,23
75,26
76,25
77,28
78,24
79,25
80,24
81,24
82,25
83,26
84,26
85,25
86,25
87,25
88,24
89,23
90,24
91,27
92,27
93,28
94,24
95,27
96,22
97,23
98,24
99,27
100,29
101,23
102,25
103,25
104,27
105,27
106,28
107,25
108,23
109,25
110,24
111,26
112,27
113,25
114,26
115,25
116,28
117,27
118,25
119,21
120,27
121,24
122,22
123,25
124,29
125,24
126,25
127,27
128,24
129,23
130,24
131,23
132,25
133,25
134,23
135,25
136,27
137,23
138,22
139,23
140,24
141,26
142,26
143,25
144,24
145,27
146,25
147,28
148,24
149,26
150,22
151,25
152,24
153,22
154,24
155,26
156,26
157,23
158,27
159,25
160,24
161,24
162,27
163,25
164,26
165,26
166,24
167,21
168,27
169,27
170,26
171,25
172,24
173,26
174,27
175,25
176,24
177,27
178,24
179,18
180,27
181,25
182,28
183,24
184,25
185,24
186,25
187,26
188,28
189,25
190,26
191,27
192,25
193,24
194,27
195,24
196,26
197,25
198,23
199,26
200,27
201,25
202,26
203,23
204,26
205,25
206,22
207,25
208,24
209,23
210,26
211,22
212,24
213,24
214,24
215,23
216,22
217,21
218,22
219,23
220,24
221,22
222,24
223,23
224,24
225,27
226,27
227,25
228,25
229,25
230,23
231,26
232,23
233,26
234,26
235,23
236,21
237,24
238,22
239,24
240,25
241,26
242,27
243,24
244,22
245,28
246,25
247,25
248,20
249,25
250,27
251,25
252,26
253,28
254,26
255,25
256,26
257,26
258,26
259,23
260,26
261,25
262,22
263,27
264,23
265,25
266,25
267,26
268,26
269,23
270,21
271,26
272,25
273,25
274,25
275,22
276,24
277,24
278,22
279,25
280,23
281,26
282,23
283,24
284,25
285,24
286,24
287,25
288,23
289,27
290,23
291,25
292,25
293,23
294,22
295,26
296,27
297,26
298,24
299,21
300,25
301,26
302,24
303,27
304,29
305,27
306,23
307,26
308,25
309,27
310,23
311,23
312,28
313,25
314,23
315,24
316,21
317,22
318,27
319,23
320,28
321,27
322,26
323,20
324,19
325,25
326,25
327,28
328,25
329,23
330,23
331,25
332,25
333,23
334,25
335,19
336,24
337,24
338,21
339,25
340,25
341,21
342,28
343,25
344,27
345,26
346,26
347,22
348,24
349,23
350,23
351,26
352,25
353,22
354,26
355,22
356,24
357,25
358,26
359,27
360,25
361,28
362,26
363,22
364,26
365,24
366,25
367,25
368,25
369,24
370,26
371,25
372,27
373,27
374,25
375,26
376,28
377,26
378,25
379,26
380,25
381,25
382,24
383,24
384,24
385,27
386,25
387,24
388,24
389,24
390,23
391,21
392,25
393,23
394,21
395,26
396,27
397,23
398,25
399,27
400,22
401,27
402,27
403,25
404,21
405,24
406,23
407,24
408,24
409,24
410,26
411,23
412,26
413,25
414,28
415,26
416,24
417,25
418,24
419,24
420,26
421,27
422,26
423,22
424,26
425,25
426,26
427,27
428,26
429,27
430,26
431,23
432,25
433,26
434,21
435,26
436,26
437,24
438,24
439,25
440,26
441,25
442,26
443,24
444,28
445,24
446,21
447,23
448,26
449,25
450,24
451,27
452,24
453,25
454,24
455,27
456,22
457,27
458,27
459,25
460,24
461,24
462,25
463,26
464,26
465,24
466,22
467,24
468,28
469,24
470,24
471,21
472,25
473,24
474,25
475,25
476,24
477,30
478,28
479,26
480,26
481,26
482,25
483,25
484,26
485,23
486,23
487,23
488,27
489,25
490,27
491,22
492,21
493,27
494,24
495,24
496,20
497,28
498,24
499,23
500,25
501,22
502,25
503,25
504,26
505,22
506,23
507,22
508,27
509,27
510,26
511,25
512,24
513,25
514,25
515,24
516,24
517,23
518,20
519,21
520,25
521,24
522,25
523,27
524,23
525,27
526,23
527,26
528,25
529,27
530,27
531,26
532,25
533,25
534,25
535,22
536,26
537,27
538,24
539,28
540,25
541,25
542,24
543,27
544,25
545,26
546,26
547,21
548,24
549,26
550,24
551,24
552,24
553,23
554,26
555,24
556,27
557,24
558,26
559,26
560,24
561,25
562,27
563,28
564,27
565,25
566,22
567,25
568,22
569,23
570,24
571,23
572,23
573,23
574,21
575,26
576,24
577,21
578,26
579,27
580,23
581,25
582,25
583,22
584,25
585,28
586,24
587,28
588,23
589,23
590,25
591,24
592,22
593,20
594,23
595,27
596,25
597,23
598,25
599,25
600,28
601,28
602,27
603,25
604,22
605,23
606,22
607,20
608,21
609,24
610,23
611,24
612,26
613,23
614,23
615,26
616,25
617,23
618,26
619,23
620,24
621,26
622,24
623,25
624,25
625,23
626,25
627,19
628,21
629,26
630,28
631,24
632,24
633,25
634,26
635,24
636,28
637,25
638,25
639,24
640,24
