objective_value,generation,evaluations
-1.0230710080021008,0,30
-1.0230710080021008,1,91
-1.0228296371597425,2,185
-1.0245926070533333,3,270
-1.0230242723085856,4,337
-1.0275049636596216,5,414
-1.0316027806832873,6,501
-1.0316027806832873,7,580
-1.0316027806832873,8,663
-1.0316027806832873,9,738
-1.0279684869921144,10,804
-1.0293438212525092,11,884
-1.0286564138465053,12,969
-1.0286564138465053,13,1052
-1.0308420921774994,14,1144
-1.0308420921774994,15,1207
-1.0299751101142678,16,1295
-1.0299751101142678,17,1387
-1.0289664848443707,18,1465
-1.0223144660293,19,1532
-1.0253020805791018,20,1624
-1.0253020805791018,21,1699
-1.0266469047404108,22,1792
-1.0311423995952655,23,1861
-1.0311423995952655,24,1955
-1.0311423995952655,25,2028
-1.0311423995952655,26,2112
-1.03025904065942,27,2187
-1.0294027843122782,28,2267
-1.0294027843122782,29,2369
-1.0294027843122782,30,2447
-1.0299240204076299,31,2536
-1.0299240204076299,32,2603
-1.0299240204076299,33,2698
-1.0299240204076299,34,2792
-1.0305103462368608,35,2873
-1.0315167883302987,36,2954
-1.0299240204076299,37,3045
-1.0299240204076299,38,3136
-1.0300185035176082,39,3215
-1.0300185035176082,40,3299
-1.0287485516879922,41,3378
-1.0274801343610234,42,3460
-1.0296357554974045,43,3547
-1.01449344560684,44,3638
-1.0311923524793323,45,3714
-1.0291167127013807,46,3790
-1.0277885813192378,47,3861
-1.0279579310790277,48,3960
-1.0309987025956973,49,4044
-1.0313284270432088,50,4128
-1.0313284270432088,51,4231
-1.0267897629689668,52,4312
-1.0297514420514222,53,4407
-1.028544477587551,54,4483
-1.0313060570505206,55,4565
-1.0313060570505206,56,4635
-1.0303467646037043,57,4721
-1.0269716561899944,58,4787
-1.0307419596209462,59,4862
-1.0307419596209462,60,4933
-1.0307419596209462,61,5005
-1.0299985933919804,62,5088
-1.030393247142064,63,5177
-1.023537415096363,64,5257
-1.0314256509777913,65,5342
-1.023537415096363,66,5406
-1.0256603704222471,67,5495
-1.0276417457862428,68,5572
-1.0264479826761463,69,5657
-1.0299308959929638,70,5748
-1.0313177307004844,71,5841
-1.0313177307004844,72,5925
-1.0281880653561004,73,6002
-1.031229749384837,74,6083
-1.031229749384837,75,6155
-1.028645376335187,76,6239
-1.0274878796394906,77,6328
-1.0259207718477366,78,6389
-1.0294150109332014,79,6475
-1.030401919251399,80,6569
-1.0303849214944423,81,6652
-1.0303849214944423,82,6723
-1.0303849214944423,83,6803
-1.0309498470237268,84,6874
-1.0280515282090164,85,6951
-1.029701067794834,86,7025
-1.031566833106377,87,7109
-1.031566833106377,88,7189
-1.0314180364552916,89,7263
-1.0311870777363135,90,7347
-1.0315616279072777,91,7419
-1.0286134614966869,92,7509
-1.0301502754791407,93,7597
-1.0315362733874591,94,7689
-1.0314549549474978,95,7769
-1.0314549549474978,96,7849
-1.031238064606891,97,7943
-1.028397147137154,98,8015
-1.0303997922415888,99,8094
-1.031178110910327,100,8174
-1.0311472200050886,101,8251
-1.028605812940222,102,8337
-1.028605812940222,103,8428
-1.028605812940222,104,8509
-1.031430202313643,105,8587
-1.031624781701969,106,8678
-1.031624781701969,107,8755
-1.031624781701969,108,8822
-1.0241179340026831,109,8891
-1.0306878756932591,110,8970
-1.0313025736445325,111,9050
-1.0313025736445325,112,9142
-1.0313025736445325,113,9210
-1.0315223121239023,114,9308
-1.0315223121239023,115,9380
-1.0312996530447938,116,9462
-1.0307465393227508,117,9545
-1.0296657948037184,118,9639
-1.0305846111099133,119,9711
-1.0305846111099133,120,9793
-1.0305846111099133,121,9882
-1.0305846111099133,122,9962
-1.0305846111099133,123,10048
-1.0305846111099133,124,10149
-1.0305846111099133,125,10233
-1.0260768618393912,126,10311
-1.0308036542888703,127,10398
-1.0308036542888703,128,10482
-1.0308036542888703,129,10568
-1.0308036542888703,130,10654
-1.0305079005395488,131,10727
-1.0287525928363448,132,10811
-1.029430275748643,133,10886
-1.0287525928363448,134,10970
-1.0277537851949876,135,11046
