generation,unique_ids
0,30
1,27
2,25
3,25
4,27
5,21
6,24
7,26
8,24
9,26
10,26
11,27
12,25
13,24
14,27
15,24
16,24
17,22
18,24
19,27
20,23
21,26
22,25
23,24
24,28
25,25
26,24
27,25
28,25
29,24
30,25
31,23
32,25
33,25
34,22
35,25
36,23
37,22
38,25
39,24
40,24
41,24
42,24
43,22
44,28
45,24
46,18
47,22
48,25
49,25
50,25
51,23
52,26
53,25
54,28
55,27
56,25
57,24
58,22
59,27
60,27
61,26
62,27
63,21
64,22
65,27
66,24
67,21
68,24
69,25
70,27
71,26
72,28
73,25
74,27
75,25
76,25
77,23
78,29
79,23
80,26
81,25
82,24
83,25
84,23
85,20
86,23
87,24
88,24
89,24
90,21
91,24
92,28
93,26
94,25
95,23
96,26
97,23
98,23
99,23
100,24
101,26
102,27
103,25
104,25
105,26
106,24
107,21
108,22
109,26
110,26
111,23
112,25
113,23
114,25
115,23
116,24
117,27
118,27
119,27
120,25
121,25
122,28
123,21
124,23
125,23
126,25
127,24
128,23
129,26
130,26
131,25
132,28
133,27
134,24
135,28
136,26
137,27
138,24
139,23
140,26
141,25
142,23
143,23
144,26
145,26
146,24
147,27
148,23
149,28
150,20
151,29
152,27
153,25
154,26
155,24
156,24
157,26
158,27
159,25
160,26
161,26
162,27
163,24
164,21
165,24
166,24
167,27
168,27
169,25
170,25
171,28
172,27
173,24
174,26
175,25
176,24
177,24
178,24
179,26
180,25
181,29
182,28
183,25
184,24
185,25
186,19
187,25
188,27
189,23
190,25
191,29
192,25
193,27
194,25
195,27
196,27
197,25
198,25
199,27
200,25
201,23
202,26
203,28
204,27
205,23
206,23
207,23
208,28
209,26
210,28
211,24
212,29
213,23
214,25
215,27
216,23
217,24
218,24
219,28
220,25
221,23
222,24
223,26
224,23
225,21
226,22
227,24
228,27
229,22
230,25
231,24
232,26
233,24
234,25
235,25
236,24
237,25
238,27
239,25
240,26
241,26
242,27
243,27
244,27
245,24
246,24
247,23
248,23
249,28
250,25
251,25
252,22
253,25
254,23
255,24
256,26
257,26
258,25
259,26
260,27
261,26
262,22
263,24
264,22
265,25
266,24
267,23
268,25
269,24
270,25
271,23
272,26
273,25
274,25
275,24
276,27
277,24
278,27
279,27
280,27
281,26
282,28
283,23
284,23
285,22
286,24
287,23
288,24
289,25
290,24
291,26
292,23
293,23
294,26
295,25
296,24
297,28
298,27
299,25
300,25
301,22
302,25
303,23
304,26
305,27
306,26
307,27
308,24
309,26
310,24
311,25
312,29
313,22
314,25
315,24
316,27
317,27
318,22
319,25
320,26
321,26
322,27
323,24
324,26
325,23
326,26
327,25
328,24
329,29
330,23
331,26
332,25
333,22
334,24
335,28
336,25
337,25
338,24
339,25
340,25
341,27
342,24
343,25
344,23
345,23
346,27
347,21
348,24
349,23
350,24
351,25
352,25
353,27
354,23
355,26
356,23
357,25
358,26
359,23
360,25
361,25
362,26
363,26
364,25
365,26
366,23
367,26
368,26
369,27
370,27
371,27
372,27
373,25
374,29
375,24
376,28
377,25
378,27
379,25
380,24
381,24
382,26
383,27
384,25
385,28
386,25
387,23
388,26
389,24
390,27
391,25
392,27
393,25
394,26
395,24
396,26
397,22
398,20
399,24
400,27
401,25
402,20
403,25
404,24
405,25
406,24
407,26
408,23
409,20
410,25
411,22
412,25
413,25
414,24
415,26
416,24
417,26
418,24
419,24
420,25
421,24
422,25
423,23
424,27
425,25
426,24
427,22
428,23
429,24
430,25
431,26
432,27
433,23
434,25
435,25
436,26
437,25
438,26
439,24
440,26
441,24
442,25
443,25
444,24
445,27
446,25
447,24
448,24
449,27
450,24
451,24
452,27
453,23
454,23
455,23
456,22
457,25
458,26
459,29
460,27
461,26
462,28
463,22
464,19
465,24
466,23
467,21
468,25
469,25
470,26
471,26
472,23
473,24
474,22
475,25
476,25
477,21
478,22
479,21
480,21
481,22
482,24
483,26
484,26
485,28
486,24
487,22
488,25
489,23
490,26
491,24
492,23
493,24
494,22
495,26
496,24
497,27
498,26
499,27
500,23
501,23
502,25
503,24
504,24
505,25
506,28
507,28
508,25
509,24
510,24
511,26
512,22
513,25
514,21
515,23
516,27
517,24
518,22
519,26
520,26
521,26
522,24
523,28
524,26
525,23
526,27
527,27
528,23
529,23
530,25
531,25
532,23
533,28
534,26
535,24
536,25
537,26
538,24
539,24
540,22
541,26
542,22
543,23
544,27
545,27
546,26
547,25
548,26
549,26
550,26
551,24
552,24
553,22
554,24
555,22
556,24
557,21
558,21
559,26
560,27
561,27
562,25
563,23
564,23
565,25
566,26
567,25
568,23
569,24
570,22
571,25
572,25
573,25
574,22
575,26
576,23
577,26
578,28
579,29
580,25
581,29
582,27
583,26
584,23
585,26
586,24
587,24
588,28
589,26
590,23
591,26
592,26
593,22
594,25
595,27
596,22
597,23
598,25
599,25
600,26
601,22
602,27
603,25
604,25
605,26
606,25
607,25
608,26
609,25
610,25
611,28
612,29
