objective_value,generation,evaluations
39791.501674095336,0,30
38991.49977624511,1,101
38609.20101263506,2,175
38486.43438010324,3,246
38436.5288657787,4,327
37437.17769378839,5,401
36660.5187372488,6,460
35104.428740000105,7,540
28166.061461349156,8,598
27685.778122672218,9,657
27535.566849643546,10,717
26612.420901999772,11,792
26254.120170902304,12,858
25855.847291950242,13,939
19150.435423140454,14,1020
18919.392208870697,15,1073
19644.836995890946,16,1152
20714.33124056348,17,1236
22482.540023458616,18,1274
22322.328175670984,19,1345
20767.370604277734,20,1409
20653.608648228812,21,1495
19168.43530139328,22,1560
19168.43530139328,23,1645
18314.77192836458,24,1691
18506.920595872038,25,1771
18067.00427545016,26,1820
17523.88242584329,27,1900
15641.485560534098,28,1988
14582.063486242203,29,2061
14424.455625513769,30,2143
13520.283612613774,31,2224
13079.498453031778,32,2289
12309.887801652623,33,2373
11560.350975140493,34,2431
10997.472253605909,35,2522
10443.403883755853,36,2574
9952.770928688566,37,2668
8858.316330026544,38,2747
8542.204481470737,39,2828
7394.416705104395,40,2895
8150.575536208878,41,2970
7721.603116902995,42,3042
7556.355524410095,43,3112
5080.132226454184,44,3169
5080.132226454184,45,3244
5117.366589503563,46,3316
5117.366589503563,47,3403
5117.366589503563,48,3488
4882.094207242854,49,3578
4687.307593754123,50,3654
4334.720805929014,51,3722
4062.4159939565043,52,3815
3710.509927051231,53,3873
3362.9682610022414,54,3955
3125.4653072400547,55,4024
3051.677930620395,56,4103
2891.550585490694,57,4210
2470.53276372424,58,4283
2352.615699181617,59,4368
2042.1199418265594,60,4425
2041.1175732942113,61,4518
1925.4153475454177,62,4588
1681.1313905085829,63,4676
1572.1446449737382,64,4762
1373.5204361564513,65,4839
1403.617141036133,66,4911
1468.1566563744993,67,4988
1509.204789177452,68,5063
1316.344114549475,69,5158
1161.369192992427,70,5246
1144.6689352208987,71,5329
974.7785587793647,72,5405
826.0789968826349,73,5484
826.0789968826349,74,5568
787.9190862681534,75,5648
679.413162613481,76,5720
561.6428294007524,77,5820
555.6876027843354,78,5901
563.3551285158682,79,5982
502.95864221690175,80,6055
678.1910702738573,81,6144
678.4288886926656,82,6223
678.4288886926656,83,6280
583.9030093630981,84,6369
564.5729730638369,85,6442
564.5729730638369,86,6506
564.5729730638369,87,6597
528.9417768323406,88,6659
487.8995538574349,89,6740
431.3705337029636,90,6806
431.3705337029636,91,6893
476.7115719847633,92,6962
444.2388691464537,93,7052
487.8995538574349,94,7131
427.8431147251142,95,7210
436.0438544884077,96,7284
420.7742307565228,97,7370
478.32820604454605,98,7455
472.1065097646173,99,7535
458.37063267694145,100,7628
391.43792102066516,101,7702
374.2527753065377,102,7792
339.6173003646273,103,7871
354.1121863847948,104,7945
262.3590359781678,105,8028
262.3590359781678,106,8088
262.3590359781678,107,8176
309.1926914704982,108,8248
252.7930365355899,109,8309
252.7930365355899,110,8403
252.7930365355899,111,8479
252.7930365355899,112,8559
252.7930365355899,113,8624
252.7930365355899,114,8703
292.56092805419456,115,8784
212.9317985440618,116,8851
295.1959612588215,117,8939
295.1959612588215,118,8998
295.1959612588215,119,9077
232.8475431059574,120,9152
305.92724724194085,121,9237
305.92724724194085,122,9335
305.92724724194085,123,9396
305.92724724194085,124,9490
263.8425610666839,125,9575
261.7738128646628,126,9647
213.25801024190804,127,9733
214.22454083492974,128,9806
212.7936987874912,129,9876
206.98166750324282,130,9955
239.02819831179798,131,10027
239.02819831179798,132,10107
282.8772059800165,133,10185
272.9810502448273,134,10274
319.600908068745,135,10341
335.0334743391557,136,10428
337.75198042287354,137,10502
411.1011704699771,138,10579
363.48588970916336,139,10675
441.79292031804135,140,10747
436.35984171272065,141,10827
491.5767499622343,142,10896
493.14995953393753,143,10976
576.6188637703433,144,11056
535.2634713996579,145,11127
463.939180151147,146,11221
516.2167518501785,147,11275
516.2167518501785,148,11348
559.9643826711285,149,11443
563.138556643361,150,11510
682.1934528064769,151,11580
504.7414070692144,152,11653
504.7414070692144,153,11746
504.7414070692144,154,11831
504.7414070692144,155,11916
464.07679125764486,156,11993
548.6994667026108,157,12077
548.6994667026108,158,12169
548.6994667026108,159,12233
543.9014204551873,160,12329
535.7742823600997,161,12394
465.57740636078836,162,12486
365.1035251246281,163,12563
475.0918585653022,164,12663
442.2364591841957,165,12751
549.4260545719637,166,12836
483.3597815203237,167,12928
401.12446598782265,168,13011
403.0033609693594,169,13077
403.0033609693594,170,13157
436.281409200494,171,13236
460.07923467158395,172,13306
431.490274255636,173,13387
325.0400125673357,174,13483
315.64205920751994,175,13552
235.84445595008916,176,13641
278.2121559780613,177,13727
319.41990381322813,178,13825
319.41990381322813,179,13906
285.1029137764763,180,13988
285.1029137764763,181,14079
363.1521188002957,182,14166
386.7688950803521,183,14250
410.75919491771555,184,14316
384.9586079744883,185,14408
303.3274639837467,186,14505
358.4527231183998,187,14584
294.9027071792353,188,14679
285.76640794096977,189,14772
272.85769304911616,190,14861
280.52971403457747,191,14946
338.9137176421491,192,15041
317.903301487271,193,15120
255.80415448915127,194,15193
255.80415448915127,195,15272
255.80415448915127,196,15359
251.94368925896458,197,15445
322.48320157555276,198,15523
378.32729594963394,199,15601
324.646819515855,200,15689
324.646819515855,201,15770
344.8868927054009,202,15840
436.50056653850015,203,15922
439.5138371234749,204,15980
360.0859400810695,205,16075
395.583285072338,206,16163
472.88212109637607,207,16232
455.32953281768266,208,16324
412.7400078547121,209,16403
412.7400078547121,210,16468
553.2246415608628,211,16541
478.4870251312058,212,16637
401.42333688847555,213,16718
504.47098851115913,214,16796
543.2748367996551,215,16887
543.2748367996551,216,16970
543.2748367996551,217,17052
530.500349337074,218,17132
524.8511915175018,219,17195
524.0004714047607,220,17280
524.0004714047607,221,17360
411.83006048266304,222,17437
536.4118037154485,223,17529
436.9449259333999,224,17593
401.8547706758622,225,17676
536.4118037154485,226,17723
529.8028887336052,227,17799
512.7504234987023,228,17887
408.63108610980913,229,17937
464.84736896423016,230,18030
512.7504234987023,231,18107
476.4305833279486,232,18185
476.4305833279486,233,18258
310.05965775140584,234,18358
310.05965775140584,235,18412
265.68071749188937,236,18497
265.68071749188937,237,18585
299.64135412268473,238,18663
307.8950971469355,239,18741
330.1162379650191,240,18810
317.43709896783446,241,18897
330.1162379650191,242,18979
290.02229068784663,243,19047
290.02229068784663,244,19136
314.26242639469007,245,19226
314.26242639469007,246,19289
314.26242639469007,247,19379
314.26242639469007,248,19472
314.26242639469007,249,19543
262.215172700827,250,19616
262.215172700827,251,19674
248.83246755173602,252,19757
248.83246755173602,253,19813
248.83246755173602,254,19904
280.14269658346467,255,19991
255.1746015239089,256,20047
280.14269658346467,257,20129
280.14269658346467,258,20204
268.7327655655978,259,20275
268.7327655655978,260,20363
252.3335793994779,261,20438
280.2341689927742,262,20523
280.2341689927742,263,20606
225.33141497354129,264,20689
273.43618260459965,265,20769
227.47963720456252,266,20860
227.47963720456252,267,20964
227.47963720456252,268,21054
227.47963720456252,269,21129
193.25825652373442,270,21214
193.25825652373442,271,21281
209.73222128562134,272,21361
209.73222128562134,273,21425
227.4832538936211,274,21512
284.24461770290685,275,21595
249.96877630390915,276,21674
244.82533289161012,277,21733
282.91279001657136,278,21819
363.1089196344544,279,21897
371.00479386700624,280,21991
373.3511340379971,281,22069
352.4908942296875,282,22153
352.4908942296875,283,22233
302.6339664229341,284,22319
281.82494238189656,285,22396
243.49746811576549,286,22485
281.82494238189656,287,22555
282.2512483853321,288,22647
213.86285170167085,289,22731
206.12086750754855,290,22818
206.12086750754855,291,22891
205.27043991839528,292,22969
227.71477158859415,293,23054
230.17872353616835,294,23135
230.32593291157553,295,23216
230.32593291157553,296,23292
230.32593291157553,297,23387
217.2365896737407,298,23472
217.2365896737407,299,23539
217.2365896737407,300,23615
197.95179058739956,301,23707
245.50748781744966,302,23772
245.50748781744966,303,23851
250.63961886268316,304,23920
278.2518532472588,305,24004
279.8179158498667,306,24080
300.94750989412876,307,24172
365.97935604673614,308,24268
346.6459568891761,309,24336
392.6663924655739,310,24427
322.88088191776194,311,24498
322.88088191776194,312,24581
208.51495011623234,313,24672
329.76739755899507,314,24755
418.533083808357,315,24842
406.37738490535247,316,24911
298.3618048099303,317,24988
298.3618048099303,318,25054
298.3618048099303,319,25147
238.8703303568655,320,25228
238.8703303568655,321,25311
212.75595104950895,322,25403
205.97320840273164,323,25476
205.97320840273164,324,25554
254.90843203030332,325,25636
239.29050012297566,326,25718
254.90843203030332,327,25803
254.90843203030332,328,25861
297.7820087065713,329,25945
297.7820087065713,330,26009
297.7820087065713,331,26097
288.47535888275604,332,26170
246.500186766131,333,26246
328.70005844354665,334,26310
367.1320874077006,335,26395
349.1555967978354,336,26480
315.048698929921,337,26579
392.31129387628374,338,26667
360.40430851918467,339,26754
292.3504089875016,340,26842
290.8869722043103,341,26901
234.43817781164546,342,26985
234.43817781164546,343,27080
350.7924779361533,344,27151
300.3232434153896,345,27240
310.4755114442521,346,27333
291.0968594990533,347,27424
257.51725083609296,348,27509
257.51725083609296,349,27596
242.19016504607458,350,27656
242.19016504607458,351,27717
242.19016504607458,352,27808
242.19016504607458,353,27881
147.24962071074333,354,27955
214.5429790929384,355,28054
228.16880861290966,356,28146
228.16880861290966,357,28225
220.03347611174368,358,28293
221.6203750154851,359,28381
312.62786701337916,360,28465
314.2464132312876,361,28547
367.403784903963,362,28628
327.6189713360923,363,28710
337.5300460235964,364,28776
311.6587560224605,365,28862
311.6587560224605,366,28932
311.6587560224605,367,28998
315.483049248866,368,29088
315.483049248866,369,29150
286.42545612402625,370,29219
326.094975740819,371,29299
326.094975740819,372,29365
360.31200764449164,373,29447
297.1477017601415,374,29522
335.3042946180785,375,29609
335.3042946180785,376,29687
335.3042946180785,377,29753
278.59788992014796,378,29838
278.59788992014796,379,29924
366.51986883134185,380,29979
387.8189086044594,381,30059
387.8189086044594,382,30140
326.8448296120233,383,30220
387.8189086044594,384,30303
397.4124172283944,385,30392
386.80854249322783,386,30472
386.80854249322783,387,30549
386.80854249322783,388,30647
414.56326061600885,389,30730
414.56326061600885,390,30824
400.70238774240147,391,30901
304.12021565627117,392,30982
281.628927496459,393,31065
276.43284254096176,394,31148
314.07779140517334,395,31234
314.07779140517334,396,31296
349.7385418118352,397,31379
338.31510377705735,398,31476
338.31510377705735,399,31531
364.13322812056765,400,31620
356.52858037214116,401,31673
315.169941998691,402,31763
315.169941998691,403,31836
315.169941998691,404,31915
244.42923346675434,405,32008
244.42923346675434,406,32083
244.42923346675434,407,32170
244.42923346675434,408,32261
241.3995861184843,409,32316
241.3995861184843,410,32412
292.45125825647483,411,32491
319.89457432804545,412,32580
279.4496539567287,413,32660
276.20998974929046,414,32749
339.5530092934,415,32813
297.9246618491701,416,32905
374.95676266311824,417,33000
296.63024757028813,418,33072
296.63024757028813,419,33152
296.63024757028813,420,33214
263.05875229440454,421,33302
263.05875229440454,422,33385
263.05875229440454,423,33456
425.6261646665506,424,33541
361.9463571891368,425,33646
361.0011152624461,426,33705
411.03921355844204,427,33776
411.03921355844204,428,33867
394.4234600421576,429,33954
411.03921355844204,430,34037
364.3731101798326,431,34113
364.3731101798326,432,34187
359.5027186659125,433,34279
313.3443325454739,434,34353
367.4160869646706,435,34440
349.6134113397146,436,34517
307.97511756285263,437,34605
307.97511756285263,438,34675
307.97511756285263,439,34751
307.97511756285263,440,34837
320.04831871384687,441,34924
320.04831871384687,442,34999
320.04831871384687,443,35073
320.04831871384687,444,35173
245.52634363992743,445,35230
274.76107297412545,446,35321
274.76107297412545,447,35388
274.8367812239345,448,35476
305.041672012221,449,35537
406.12161240748605,450,35610
449.288964763688,451,35687
445.0249629427466,452,35793
445.0249629427466,453,35883
459.46722789858734,454,35953
462.2628635755611,455,36023
385.428353328312,456,36104
385.428353328312,457,36167
291.0607434482006,458,36244
285.9262024694879,459,36317
348.0778562598383,460,36409
364.21511231896875,461,36505
401.68585085838413,462,36576
401.68585085838413,463,36672
337.3828551587031,464,36736
337.3828551587031,465,36807
389.76374471496166,466,36894
389.76374471496166,467,36996
342.7918597353801,468,37050
412.0062098244708,469,37129
375.5573754640281,470,37210
375.5573754640281,471,37296
298.2347802895344,472,37379
298.2347802895344,473,37460
354.97179130108066,474,37532
354.97179130108066,475,37609
308.0656203951852,476,37697
308.0656203951852,477,37767
338.0841443705056,478,37852
215.11196192137854,479,37916
215.11196192137854,480,38000
325.1890759375273,481,38078
338.9965796915897,482,38163
301.0414291965407,483,38236
237.26197210972444,484,38322
370.1566768817656,485,38381
423.9130088814212,486,38466
515.5344160768213,487,38521
466.743013759445,488,38613
466.743013759445,489,38668
459.2094134295339,490,38756
460.4652032452754,491,38836
291.24966031512014,492,38898
291.24966031512014,493,38989
364.2513453556786,494,39061
291.9931474482235,495,39130
291.9931474482235,496,39213
364.2513453556786,497,39284
318.24139905930554,498,39375
310.77413928573606,499,39453
310.77413928573606,500,39538
349.5551489938935,501,39627
350.39404376018615,502,39713
325.35449053599166,503,39800
289.884938932135,504,39893
289.884938932135,505,39977
279.0996042780388,506,40075
279.0996042780388,507,40135
276.38908422859197,508,40225
276.38908422859197,509,40307
262.44763240472236,510,40378
262.44763240472236,511,40460
262.44763240472236,512,40522
236.219438125342,513,40602
306.69228175155735,514,40675
290.23149293297695,515,40767
279.8305372757249,516,40855
279.8305372757249,517,40937
196.61421114046152,518,41040
327.1380262649336,519,41112
301.6789976978526,520,41206
336.96865876683717,521,41288
308.0513757875567,522,41369
336.96865876683717,523,41458
343.60258187558276,524,41540
424.6930789479592,525,41606
392.26769221112363,526,41699
376.6779631262511,527,41793
411.2098700779529,528,41866
380.8594844120533,529,41949
431.58689138520225,530,42014
431.58689138520225,531,42084
418.0383707694694,532,42156
420.89934114958896,533,42235
420.8776740324432,534,42324
420.8776740324432,535,42391
