generation,unique_ids
0,30
1,26
2,20
3,25
4,26
5,23
6,22
7,21
8,22
9,23
10,24
11,23
12,25
13,25
14,26
15,26
16,26
17,21
18,25
19,23
20,25
21,26
22,28
23,26
24,25
25,23
26,24
27,26
28,26
29,25
30,26
31,26
32,26
33,23
34,24
35,26
36,25
37,27
38,27
39,27
40,24
41,24
42,23
43,26
44,23
45,23
46,24
47,23
48,26
49,26
50,29
51,25
52,29
53,25
54,25
55,25
56,27
57,28
58,25
59,25
60,27
61,27
62,26
63,23
64,25
65,24
66,24
67,26
68,22
69,24
70,27
71,27
72,24
73,27
74,24
75,28
76,23
77,26
78,23
79,26
80,24
81,25
82,25
83,22
84,25
85,25
86,25
87,24
88,27
89,24
90,21
91,25
92,26
93,24
94,25
95,27
96,23
97,23
98,26
99,23
100,23
101,25
102,27
103,25
104,24
105,24
106,27
107,26
108,22
109,24
110,24
111,27
112,25
113,24
114,26
115,25
116,22
117,28
118,27
119,21
120,22
121,26
122,26
123,26
124,26
125,24
126,25
127,27
128,23
129,24
130,25
131,21
132,22
133,26
134,23
135,26
136,26
137,26
138,27
139,27
140,23
141,24
142,22
143,26
144,27
145,23
146,25
147,26
148,24
149,25
150,23
151,23
152,27
153,22
154,27
155,28
156,24
157,23
158,23
159,28
160,24
161,19
162,25
163,26
164,21
165,27
166,22
167,28
168,29
169,26
170,24
171,24
172,27
173,25
174,22
175,21
176,21
177,25
178,25
179,26
180,23
181,22
182,25
183,27
184,26
185,23
186,23
187,21
188,24
189,26
190,24
191,28
192,25
193,26
194,24
195,25
196,24
197,25
198,21
199,27
200,25
201,25
202,21
203,20
204,20
205,22
206,24
207,25
208,22
209,24
210,23
211,22
212,23
213,24
214,27
215,27
216,22
217,24
218,27
219,25
220,28
221,24
222,25
223,24
224,24
225,28
226,29
227,27
228,25
229,24
230,26
231,27
232,25
233,23
234,25
235,24
236,23
237,23
238,27
239,26
240,28
241,25
242,26
243,25
244,26
245,26
246,21
247,28
248,24
249,23
250,24
251,24
252,24
253,25
254,25
255,26
256,23
257,25
258,23
259,24
260,27
261,24
262,24
263,25
264,24
265,23
266,25
267,24
268,21
269,26
270,22
271,22
272,22
273,26
274,26
275,28
276,25
277,25
278,23
279,27
280,25
281,25
282,21
283,24
284,23
285,23
286,21
287,26
288,25
289,25
290,23
291,24
292,23
293,20
294,27
295,28
296,27
297,24
298,26
299,23
300,24
301,24
302,26
303,27
304,26
305,21
306,24
307,27
308,24
309,24
310,25
311,23
312,22
313,22
314,23
315,22
316,25
317,26
318,25
319,27
320,25
321,23
322,25
323,25
324,21
325,25
326,22
327,24
328,24
329,24
330,26
331,24
332,23
333,26
334,25
335,24
336,23
337,22
338,23
339,23
340,21
341,24
342,25
343,22
344,24
345,24
346,25
347,24
348,25
349,27
350,24
351,22
352,24
353,25
354,23
355,22
356,25
357,23
358,25
359,22
360,23
361,25
362,24
363,21
364,23
365,29
366,27
367,26
368,21
369,22
370,26
371,24
372,22
373,25
374,26
375,25
376,26
377,26
378,25
379,23
380,27
381,27
382,22
383,22
384,25
385,26
386,26
387,29
388,28
389,26
390,25
391,24
392,28
393,27
394,27
395,28
396,24
397,24
398,28
399,24
400,27
401,23
402,21
403,22
404,20
405,24
406,24
407,21
408,22
409,23
410,24
411,26
412,26
413,22
414,23
415,24
416,22
417,24
418,25
419,23
420,23
421,28
422,27
423,24
424,26
425,24
426,24
427,22
428,25
429,22
430,28
431,24
432,24
433,25
434,23
435,24
436,28
437,27
438,24
439,25
440,27
441,25
442,25
443,25
444,24
445,28
446,22
447,26
448,24
449,22
450,25
451,26
452,27
453,26
454,26
455,24
456,24
457,25
458,24
459,25
460,27
461,23
462,25
463,25
464,25
465,24
466,29
467,28
468,25
469,25
470,24
471,25
472,23
473,24
474,25
475,25
476,26
477,27
478,27
479,26
480,28
481,24
482,23
483,25
484,26
485,22
486,21
487,26
488,28
489,24
490,24
491,22
492,28
493,26
494,24
495,27
496,26
497,21
498,24
499,26
500,28
501,25
502,26
503,25
504,26
505,26
506,27
507,25
508,25
509,28
510,26
511,24
512,25
513,25
514,24
515,25
516,23
517,25
518,26
519,26
520,28
521,25
522,26
523,24
524,27
525,25
526,23
527,24
528,24
529,25
530,24
531,26
532,23
533,25
534,23
535,26
536,23
537,24
538,25
539,28
540,28
541,27
542,25
543,26
544,24
545,23
546,25
547,19
548,22
549,27
550,26
551,24
552,27
553,28
554,25
555,26
556,24
557,26
558,24
559,26
560,26
561,22
562,26
563,27
564,27
565,25
566,29
567,27
568,24
569,27
570,24
571,25
572,22
573,25
574,27
575,23
576,23
577,27
578,25
579,22
580,24
581,26
582,27
583,24
584,27
585,27
586,28
587,28
588,26
589,25
590,22
591,24
592,24
593,24
594,24
595,27
596,26
597,27
598,25
599,27
600,24
601,26
602,24
603,24
604,27
605,26
606,25
607,25
608,25
609,27
610,25
611,22
