objective_value,generation,evaluations
501270.6247814966,0,30
507518.1453015692,1,95
215363.30232637073,2,169
49227.277181217054,3,257
40015.09205557107,4,310
36735.92606368846,5,391
37247.54633283414,6,459
37253.7250416091,7,543
36321.054607084974,8,618
35254.49299341093,9,722
35837.87363189784,10,799
34789.61807472483,11,878
34712.56462995715,12,962
34712.56462995715,13,1033
32924.131806212994,14,1108
31975.655155188724,15,1198
31975.655155188724,16,1276
32533.66167748492,17,1362
32533.66167748492,18,1448
33420.30860178405,19,1516
31917.262887321172,20,1606
31917.262887321172,21,1699
31917.262887321172,22,1794
31917.262887321172,23,1880
31917.262887321172,24,1964
31642.54248321287,25,2039
31642.54248321287,26,2117
30427.52521999276,27,2206
32881.24138871103,28,2287
33013.56146757992,29,2381
33013.56146757992,30,2460
29351.60515823327,31,2540
33013.56146757992,32,2618
32748.11479596303,33,2704
31163.200286049567,34,2779
31163.200286049567,35,2861
30689.336652891103,36,2931
30118.851108727173,37,3022
32395.287040980238,38,3095
30602.778201665795,39,3170
31450.26418312605,40,3259
31450.26418312605,41,3336
31799.759259248956,42,3422
30392.392667172364,43,3515
30488.694696725608,44,3592
32034.970766655988,45,3694
32034.970766655988,46,3760
31598.416186294693,47,3861
30628.549612733525,48,3952
25947.576115196418,49,4042
28562.72780632401,50,4110
28562.72780632401,51,4209
29298.504418028544,52,4284
29298.504418028544,53,4372
29298.504418028544,54,4451
26486.712824984417,55,4543
26486.712824984417,56,4620
28239.62739091354,57,4709
28847.997704184785,58,4784
28358.476771301728,59,4875
28358.476771301728,60,4959
28358.476771301728,61,5047
30014.209257618902,62,5125
30014.209257618902,63,5220
27596.568842657853,64,5304
28055.751246015603,65,5411
30897.66410380491,66,5486
30946.301935622927,67,5573
32106.34980634694,68,5649
29851.782326986955,69,5737
26264.35755641736,70,5828
26264.35755641736,71,5910
26264.35755641736,72,5993
25417.1103261691,73,6081
25417.1103261691,74,6161
24905.953539622406,75,6243
24905.953539622406,76,6338
24905.953539622406,77,6421
26232.15423039384,78,6517
