generation,unique_ids
0,30
1,26
2,27
3,26
4,25
5,24
6,24
7,28
8,25
9,28
10,23
11,26
12,25
13,24
14,25
15,26
16,29
17,27
18,25
19,28
20,24
21,24
22,26
23,28
24,26
25,26
26,28
27,28
28,29
29,24
30,24
31,27
32,25
33,26
34,24
35,27
36,27
37,24
38,26
39,26
40,25
41,25
42,25
43,23
44,24
45,24
46,25
47,26
48,28
49,27
50,23
51,25
52,23
53,28
54,25
55,24
56,27
57,25
58,22
59,21
60,26
61,23
62,24
63,24
64,24
65,28
66,27
67,27
68,23
69,24
70,21
71,25
72,25
73,21
74,23
75,26
76,26
77,27
78,23
79,23
80,23
81,27
82,27
83,22
84,26
85,26
86,24
87,26
88,25
89,24
90,26
91,27
92,25
93,25
94,20
95,23
96,25
97,28
98,25
99,25
100,26
101,27
102,23
103,26
104,27
105,26
106,24
107,25
108,27
109,27
110,25
111,22
112,24
113,25
114,26
115,26
116,28
117,24
118,27
119,27
120,26
121,28
122,24
123,25
124,26
125,25
126,24
127,27
128,22
129,21
130,21
131,25
132,27
133,28
134,25
135,26
136,30
137,23
138,21
139,22
140,27
141,24
142,25
143,25
144,25
145,25
146,20
147,26
148,25
149,25
150,21
151,24
152,24
153,27
154,26
155,25
156,24
157,23
158,24
159,25
160,25
161,23
162,25
163,27
164,25
165,26
166,23
167,27
168,28
169,25
170,23
171,26
172,26
173,25
174,27
175,27
176,27
177,24
178,23
179,26
180,27
181,25
182,28
183,23
184,26
185,25
186,24
187,22
188,28
189,24
190,25
191,25
192,24
193,25
194,29
195,29
196,27
197,27
198,27
199,21
200,21
201,26
202,24
203,23
204,27
205,26
206,26
207,25
208,26
209,24
210,28
211,28
212,25
213,24
214,25
215,25
216,24
217,26
218,25
219,25
220,26
221,26
222,23
223,24
224,27
225,29
226,25
227,27
228,29
229,28
230,24
231,26
232,23
233,24
234,27
235,22
236,26
237,28
238,23
239,28
240,27
241,27
242,26
243,25
244,24
245,22
246,25
247,26
248,25
249,25
250,25
251,22
252,25
253,29
254,25
255,25
256,25
257,23
258,26
259,27
260,29
261,25
262,24
263,26
264,25
265,25
266,26
267,23
268,23
269,25
270,23
271,26
272,25
273,28
274,24
275,27
276,26
277,27
278,27
279,28
280,22
281,25
282,23
283,24
284,23
285,29
286,28
287,24
288,28
289,23
290,23
291,19
292,24
293,24
294,21
295,24
296,25
297,23
298,27
299,22
300,26
301,26
302,26
303,21
304,25
305,22
306,23
307,26
308,27
309,27
310,26
311,24
312,25
313,25
314,25
315,26
316,24
317,25
318,24
319,24
320,26
321,26
322,26
323,24
324,24
325,23
326,26
327,21
328,25
329,24
330,23
331,27
332,28
333,24
334,24
335,27
336,25
337,27
338,24
339,26
340,25
341,25
342,25
343,26
344,26
345,21
346,24
347,25
348,26
349,26
350,26
351,27
352,23
353,24
354,25
355,27
356,28
357,26
358,23
359,24
360,26
361,27
362,26
363,27
364,25
365,23
366,24
367,23
368,22
369,24
370,23
371,20
372,26
373,26
374,26
375,24
376,24
377,27
378,24
379,24
380,21
381,20
382,23
383,26
384,26
385,26
386,24
387,26
388,23
389,28
390,27
391,25
392,26
393,26
394,26
395,26
396,26
397,27
398,24
399,24
400,25
401,23
402,27
403,24
404,27
405,24
406,23
407,20
408,26
409,22
410,26
411,24
412,24
413,22
414,25
415,23
416,25
417,23
418,25
419,22
420,26
421,23
422,24
423,26
424,25
425,23
426,22
427,27
428,23
429,25
430,23
431,27
432,24
433,26
434,25
435,23
436,25
437,28
438,24
439,26
440,24
441,23
442,24
443,23
444,26
445,26
446,25
447,24
448,23
449,23
450,26
451,21
452,25
453,25
454,19
455,23
456,26
457,25
458,25
459,27
460,23
461,24
462,26
463,24
464,30
465,26
466,23
467,25
468,24
469,27
470,23
471,26
472,29
473,25
474,22
475,25
476,27
477,24
478,23
479,26
480,27
481,23
482,24
483,29
484,27
485,25
486,24
487,28
488,25
489,26
490,24
491,25
492,28
493,23
494,25
495,22
496,23
497,26
498,24
499,23
500,25
501,29
502,29
503,29
504,25
505,23
506,23
507,24
508,26
509,25
510,26
511,26
512,23
513,28
514,22
515,25
516,23
517,25
518,27
519,25
520,26
521,27
522,23
523,24
524,24
525,23
526,27
527,26
528,23
529,24
530,26
531,25
532,24
533,25
534,27
535,24
536,22
537,24
538,22
539,23
540,25
541,25
542,23
543,25
544,26
545,25
546,29
547,24
548,25
549,22
550,27
551,29
552,27
553,25
554,24
555,27
556,24
557,26
558,26
559,24
560,24
561,19
562,22
563,22
564,23
565,24
566,25
567,22
568,26
569,27
570,26
571,27
572,25
573,25
574,23
575,28
576,23
577,25
578,24
579,23
580,27
581,27
582,26
583,25
584,27
585,23
586,23
587,25
588,23
589,21
590,24
591,29
592,27
593,23
594,24
595,28
596,25
597,23
598,25
599,28
600,24
601,25
602,27
603,26
604,21
