objective_value,generation,evaluations
21.553999511678292,0,30
21.02088979385873,1,85
20.7523598245801,2,128
20.87559181132094,3,168
20.74678932410764,4,223
20.884405170991666,5,266
20.76343836071535,6,319
20.85850735034364,7,363
20.847224950250677,8,416
20.82709712124291,9,470
20.67650015247975,10,512
20.778369255032175,11,546
20.838718238710168,12,581
20.767060097359938,13,629
20.638091108710416,14,672
20.78539246234818,15,712
20.897084058073848,16,758
20.894153727514638,17,815
20.716993018068106,18,859
20.829363287519907,19,897
20.736118264957494,20,944
20.875523984239205,21,982
20.886723331467735,22,1025
20.818362802826748,23,1074
20.904186314760633,24,1125
20.84166650196052,25,1171
20.775874434348825,26,1216
20.95267205718982,27,1260
20.90817406640807,28,1320
20.84746851111263,29,1374
20.755756912338658,30,1424
20.86286328097437,31,1472
20.90134108497467,32,1516
20.914223630447133,33,1559
20.8514215487589,34,1608
20.842408091434702,35,1655
20.76331403628499,36,1709
20.809665264731272,37,1752
20.948665674133846,38,1805
20.598055756502703,39,1849
20.821474572399225,40,1891
20.80756250953237,41,1944
20.860812217045716,42,1991
20.854009861368926,43,2035
20.665005429084992,44,2086
20.84982534240546,45,2131
20.899447227882,46,2179
20.833126563704962,47,2221
20.751119177224965,48,2273
20.72111829945439,49,2323
20.794579293627883,50,2358
20.873663944025648,51,2394
20.88548713170823,52,2442
20.818238070495042,53,2501
20.88317734099036,54,2547
20.829800737757076,55,2590
20.790399274714918,56,2646
20.799921306365828,57,2685
20.869724062253134,58,2730
20.7692075212165,59,2780
20.779411723382466,60,2827
20.864273380791737,61,2876
20.76533847461028,62,2918
20.869265732862345,63,2964
20.624986421658686,64,3014
20.789917004236713,65,3047
20.705366938783207,66,3095
20.92126522377248,67,3130
20.71291402702816,68,3188
20.90551347248727,69,3225
20.814431983025845,70,3278
20.867022571084703,71,3324
20.717516098193226,72,3370
20.912557801192328,73,3419
20.783196214665757,74,3464
20.764028842633184,75,3510
20.65142398891237,76,3543
20.7823703954524,77,3587
20.76874109804995,78,3632
20.740017301245885,79,3673
20.70736343891672,80,3710
20.651508344656463,81,3759
20.863643779072525,82,3799
20.761034715185524,83,3852
20.725411446538885,84,3906
20.916693072391915,85,3945
20.717036372922795,86,4001
20.66463260837044,87,4040
20.588881071841733,88,4085
20.83332668299626,89,4123
20.855291791717185,90,4169
20.731323032390897,91,4217
20.63029511375556,92,4253
20.866387022309002,93,4288
20.829500110010205,94,4334
20.517204096179942,95,4375
20.717230785705958,96,4410
20.73222364444845,97,4456
20.76100455827948,98,4496
20.766721039485585,99,4550
20.719465540863276,100,4595
20.961991454074354,101,4652
20.63592991927868,102,4694
20.808250682855366,103,4738
20.862167548642176,104,4778
20.929581293751976,105,4834
20.8225291962607,106,4880
20.79837220158724,107,4922
20.70421113757041,108,4959
20.705459778774962,109,4997
20.658073766854933,110,5042
20.763689880835905,111,5082
20.90069599671889,112,5122
20.90591990637216,113,5173
20.739346694037412,114,5228
20.789400582619724,115,5269
20.914123105366706,116,5309
20.675812195227337,117,5365
20.684276721952656,118,5405
20.758544452442838,119,5450
20.828397880359713,120,5492
20.930831375339018,121,5531
20.832194977983292,122,5574
20.756245452230043,123,5629
20.827357552467085,124,5673
20.8905793982442,125,5715
20.926731255479222,126,5767
20.737921578699016,127,5821
20.791061013123137,128,5860
20.792721992482626,129,5906
20.779035000760075,130,5953
20.622056547439033,131,5994
20.740426732555164,132,6027
20.81936756408491,133,6084
20.904790127910296,134,6127
20.7613361983735,135,6165
20.64126736499232,136,6216
20.840917714031626,137,6253
20.699254788282573,138,6305
20.859143361942216,139,6346
20.893843725849422,140,6391
20.732688046095685,141,6435
20.722219480484966,142,6481
20.75288624172794,143,6515
20.665615340995,144,6569
20.69179193010409,145,6613
20.807575153757487,146,6653
20.760720346927734,147,6700
20.564735336643867,148,6747
20.70944338557342,149,6780
20.792791267889623,150,6832
20.644371047588233,151,6866
20.88058088758143,152,6914
20.853774846875698,153,6957
20.844653249013703,154,7011
20.75889286805468,155,7053
20.90343767503372,156,7102
20.823391001557752,157,7149
20.786433850159504,158,7198
20.9359255699489,159,7244
21.05535701145318,160,7303
20.75397260650924,161,7349
20.737975027006932,162,7393
20.768697619893732,163,7441
20.790830387987388,164,7488
20.742108093076737,165,7525
20.88391765319262,166,7567
20.926870908715117,167,7608
20.87977766742473,168,7665
20.730388194021028,169,7709
20.989730233521993,170,7756
20.80586437583708,171,7798
20.807566336031933,172,7842
20.797674854430493,173,7895
20.751210945500503,174,7932
20.64243093513269,175,7974
20.832366071660935,176,8013
20.76255806605432,177,8068
20.81983635040789,178,8110
20.76425506681894,179,8164
20.760479938722497,180,8207
20.712763331258042,181,8241
20.990405879387534,182,8289
20.86588621168218,183,8344
20.72425219827063,184,8392
20.7050049132869,185,8433
20.90021726135402,186,8468
20.809783309114717,187,8518
20.77441212145677,188,8561
20.670226480893696,189,8603
20.73409877884973,190,8649
20.746329123235245,191,8692
20.810585194947507,192,8731
20.715135602291646,193,8774
20.80434669883009,194,8817
20.759805997638104,195,8876
20.688029858313964,196,8930
20.767417195059107,197,8980
20.739842648961403,198,9017
20.740294251612383,199,9061
20.73675575991002,200,9103
20.762304623170394,201,9147
20.8788778567712,202,9198
20.871571907360345,203,9241
20.863898281263005,204,9288
20.732411136718177,205,9336
20.93578089334431,206,9374
20.81777995426199,207,9414
20.81198425431526,208,9471
20.835159825411804,209,9507
20.797455627120428,210,9551
20.817572889285184,211,9597
20.690403292826193,212,9635
20.778016745971293,213,9680
20.82075316572629,214,9719
20.737192883687364,215,9761
20.809150075492713,216,9795
20.750160746786197,217,9841
20.788859158238218,218,9876
20.84877963747715,219,9925
20.811366383406533,220,9965
20.86363120383926,221,10020
20.81796592476332,222,10057
20.67832239887005,223,10104
20.729278309062412,224,10137
20.837918421079806,225,10192
20.717405584972262,226,10230
20.842126731889675,227,10277
20.83625994080586,228,10313
20.89682057815074,229,10354
20.891194734183703,230,10405
20.791034579498216,231,10454
20.84879628356084,232,10495
20.64103551040898,233,10537
20.74391865907911,234,10573
20.88254337422587,235,10616
20.954920106121705,236,10670
20.785261947996535,237,10720
20.529148782056083,238,10772
20.801868076693943,239,10805
20.891770399842994,240,10842
20.796807936339434,241,10893
20.635902738928117,242,10943
20.794946030077828,243,10986
20.96805397113858,244,11030
20.704052193907533,245,11074
20.854334230757576,246,11118
20.77759572524711,247,11165
20.748195912833214,248,11205
20.700198807044735,249,11240
20.701551089598137,250,11280
20.823348893086823,251,11314
20.756572411008005,252,11359
20.843032378265878,253,11401
20.761328987495023,254,11457
20.649525546980335,255,11500
20.802079018805,256,11547
20.79520193941311,257,11598
20.73353237801423,258,11641
20.75506623100881,259,11691
20.6152249957432,260,11723
20.777447801647032,261,11768
20.825533591378143,262,11816
20.88308709353787,263,11859
20.689697979739687,264,11901
20.769012918453626,265,11944
20.668332947517545,266,12000
20.67120554677164,267,12036
20.8369506732511,268,12089
20.731591607756293,269,12132
20.74501693286591,270,12183
20.766863575646966,271,12222
20.52681202527982,272,12276
20.863430780360442,273,12312
20.743704074479787,274,12359
20.729189825086163,275,12398
20.847463756801037,276,12453
20.695273884783838,277,12504
20.868969255822602,278,12546
20.812405366370527,279,12611
20.851695217297664,280,12644
20.815972435755135,281,12699
20.64010598755677,282,12741
20.799562007339176,283,12779
20.734271742510508,284,12835
20.862497697094504,285,12879
20.89944595264218,286,12934
20.572326698974532,287,12980
20.772462101629788,288,13025
20.77576404267882,289,13070
20.785951085610595,290,13113
20.844174532305402,291,13161
20.940434176323762,292,13204
20.85472034144838,293,13250
20.928265952294957,294,13293
20.573858127446062,295,13353
20.791383258829367,296,13389
20.92964794082196,297,13447
20.717406603541292,298,13497
20.853366100808213,299,13533
20.80243337854638,300,13580
20.857625240187367,301,13630
20.779335996679187,302,13680
20.690985530660367,303,13720
20.885454732706894,304,13763
20.890589850125203,305,13802
20.837101921910204,306,13837
20.53017112318739,307,13885
20.62546031183624,308,13922
20.818698930020187,309,13968
20.75131285936543,310,14013
20.78538654402059,311,14060
20.811659996758703,312,14105
20.728877050252628,313,14152
20.720184294352112,314,14192
20.849173114753196,315,14233
20.79804052693928,316,14281
20.706641047309066,317,14332
20.713522013512915,318,14367
20.92171075708135,319,14418
20.935834469487116,320,14463
20.885077480605414,321,14523
20.837499405259923,322,14573
20.8064865402785,323,14615
20.781662927901156,324,14669
20.884475831708276,325,14714
20.743584851996545,326,14758
20.74939849517259,327,14792
20.816071191693105,328,14840
20.637676435856264,329,14882
20.873496436410402,330,14924
20.769579687750813,331,14969
20.84831139941353,332,15018
20.93938369839118,333,15070
20.777845219025913,334,15111
20.75407931376402,335,15163
20.815247519282742,336,15209
20.87201714132017,337,15259
20.797297849370032,338,15304
20.56671900468356,339,15345
20.72021475513649,340,15382
20.853979553670385,341,15425
20.83112944307915,342,15480
20.733950371206404,343,15517
20.813434533166507,344,15561
20.806816631229143,345,15609
20.6956795100952,346,15660
20.866110438072926,347,15705
20.810132104677063,348,15744
20.968444926304837,349,15792
20.770946333800314,350,15838
20.71844536052674,351,15886
20.730070205337988,352,15923
20.90083073643912,353,15970
20.672549095851952,354,16020
20.602880912654957,355,16061
20.752789262938563,356,16101
20.724741960430226,357,16140
21.016859509392244,358,16180
20.82500893522151,359,16243
20.82243231568362,360,16284
20.75559658128296,361,16340
20.798863728429776,362,16376
20.732152258505877,363,16420
20.903949696305446,364,16461
20.878340477810365,365,16515
20.773112412353353,366,16554
20.85392052325312,367,16597
20.786594503427263,368,16643
20.787367310546962,369,16684
20.73768554431695,370,16740
20.73443304926759,371,16782
20.840636880841497,372,16838
20.936045934909394,373,16872
20.800799924161623,374,16926
20.849025924995424,375,16968
20.881732423244795,376,17023
20.729993893981028,377,17069
20.738318243822828,378,17109
20.82628102909673,379,17163
20.871372815725422,380,17203
20.748100781722837,381,17245
20.885289302964132,382,17288
21.006655541204776,383,17346
20.597224511991875,384,17397
20.832032995817144,385,17432
20.81338200599357,386,17489
20.777384790064072,387,17532
20.605948714050115,388,17581
20.844020377371294,389,17615
20.801590107112137,390,17661
20.849031761740438,391,17709
20.779411772718376,392,17756
20.895361514020827,393,17798
20.87978477998538,394,17853
20.92620491223121,395,17897
20.712186829725724,396,17953
20.84216721260729,397,17997
20.950624123884428,398,18048
20.823477375460183,399,18097
20.706778823131575,400,18134
20.874095365264687,401,18176
20.88995044235557,402,18217
20.72909104934916,403,18264
20.53314887089746,404,18306
20.69534095833465,405,18350
20.835285111511343,406,18396
20.946680500196223,407,18451
20.931134809791438,408,18491
20.920957768757923,409,18547
20.73280843825977,410,18596
20.724386757843956,411,18639
20.791738159635127,412,18680
20.927461929818154,413,18720
20.840285060012857,414,18764
20.856404395261116,415,18809
20.879809044545556,416,18860
20.75170430516643,417,18907
20.78974862242352,418,18953
20.63807126490606,419,19000
20.72042937666607,420,19052
20.787159508083963,421,19091
20.819949869184747,422,19133
20.838761872179987,423,19181
20.78278460785242,424,19231
20.838808336170192,425,19274
20.807865770380157,426,19313
20.709067391344757,427,19361
20.818888733672704,428,19396
20.779530842655014,429,19438
20.705067567434178,430,19483
20.777374574346176,431,19523
20.91049584271577,432,19567
20.788997769965373,433,19612
20.615747684962834,434,19662
20.732894705347668,435,19696
20.75943606876953,436,19750
20.72992760163052,437,19792
20.709631246988206,438,19838
20.756884179854257,439,19879
20.776834957671692,440,19923
20.67324323723049,441,19971
20.701676237196217,442,20007
20.841533252501556,443,20057
20.69000133497209,444,20098
20.864463851176673,445,20141
20.784059963923543,446,20191
20.72454575573987,447,20229
20.544608442535925,448,20276
20.563220109010565,449,20311
20.77899420764464,450,20353
20.880279947891264,451,20402
20.750535497562566,452,20449
20.722655973032865,453,20489
20.769462497692828,454,20528
20.808508969308324,455,20567
20.798744308463842,456,20600
20.77668738431108,457,20656
20.840632265731184,458,20693
20.76511332003201,459,20747
20.797495737781702,460,20788
20.841172364732362,461,20837
20.914868973614464,462,20880
20.73997402662639,463,20932
20.775298642708968,464,20977
20.79131372214896,465,21018
20.852256101933634,466,21059
20.797924054939923,467,21104
20.867531970488464,468,21143
20.97504157029801,469,21205
20.694079963595634,470,21252
20.904914467697353,471,21296
20.890526789045953,472,21350
20.887399049625333,473,21390
20.81863944225123,474,21440
20.838436673527188,475,21486
20.858255784740557,476,21531
20.88088724278793,477,21577
20.765470027600585,478,21617
20.767831648777747,479,21655
20.933008267191713,480,21701
20.904620134406347,481,21745
20.728136755993248,482,21797
20.56921203848693,483,21844
20.733568809326194,484,21878
20.853865409233542,485,21922
20.724621115033674,486,21975
20.87332287156557,487,22018
20.730780585028565,488,22076
20.84727242217792,489,22118
20.791728279246694,490,22168
20.79111954610566,491,22205
20.825153059423428,492,22245
20.640385696340086,493,22284
20.80104721869027,494,22319
20.421174129690332,495,22367
20.749774509141194,496,22399
20.89132225263734,497,22454
20.677483267563584,498,22495
20.757797127546215,499,22546
20.819439923460518,500,22589
20.762820454038465,501,22640
20.61379784962412,502,22682
20.801342874918635,503,22726
20.891352418488935,504,22769
20.729050050555973,505,22820
20.735473822891137,506,22862
20.873391036828465,507,22907
20.653452208225897,508,22961
20.707387186575215,509,23001
20.741621378268793,510,23045
20.849909329672826,511,23087
20.87539162869151,512,23138
20.804526976985944,513,23187
20.911966779736495,514,23234
20.708363228733614,515,23276
20.91638740930853,516,23319
20.619167476086638,517,23373
20.668440665344306,518,23414
20.860711789089617,519,23459
20.698180060890536,520,23505
20.78633015728079,521,23539
20.80438309389192,522,23589
20.830407865771146,523,23625
20.86135619507083,524,23677
20.73993822142099,525,23724
20.937906670446495,526,23762
20.87094379607019,527,23809
20.689133132207633,528,23850
20.879425150038013,529,23888
20.631738553357156,530,23933
20.821358882828893,531,23970
20.81681761505958,532,24024
20.79369472159084,533,24068
20.683957794214557,534,24110
20.72309672623572,535,24150
21.024430377138053,536,24190
20.778441628607467,537,24248
20.743897037888892,538,24302
20.729088769437343,539,24345
20.835657655108015,540,24389
20.882154299170274,541,24430
20.800214558637457,542,24488
20.825776802498538,543,24524
20.835017318623493,544,24585
20.643939829091796,545,24627
20.698153889372534,546,24673
20.88204352760369,547,24719
20.578879942699142,548,24766
20.82139570510727,549,24798
20.61451921490062,550,24854
20.643321360922442,551,24889
20.923460521151558,552,24930
20.653218421130017,553,24976
20.8897234553351,554,25014
20.887826312947713,555,25071
20.76628301910244,556,25109
20.720345428229397,557,25148
20.636241972428596,558,25191
20.86842145220887,559,25233
20.75407574478854,560,25281
20.843529773668866,561,25318
20.97841851536153,562,25371
20.541233112991225,563,25420
20.84557816868269,564,25461
20.781038628225183,565,25504
20.86727242399668,566,25551
20.747213549833745,567,25605
20.829519878377482,568,25650
20.7419220131632,569,25687
20.79389452502281,570,25735
20.802726874538408,571,25784
20.666806617381834,572,25835
20.789060702846005,573,25871
20.738924816714135,574,25926
20.757512302721434,575,25965
20.75381198329747,576,26012
20.81940552103972,577,26059
20.738335868923283,578,26104
20.80511079816031,579,26141
20.911159795189537,580,26193
20.971353032601737,581,26235
20.80526262866684,582,26289
20.715406363162053,583,26342
20.71332991378868,584,26383
20.768925572324065,585,26424
20.556493467831626,586,26464
20.757823940041657,587,26501
20.78215047284509,588,26547
20.861843831672047,589,26598
20.782509051866693,590,26650
20.90633003235028,591,26695
20.559125335773707,592,26737
20.783981570706167,593,26777
20.871974893015242,594,26822
20.792847251427474,595,26867
20.8709347531202,596,26900
20.845818303339254,597,26940
20.96523365202638,598,26992
20.85100011047564,599,27053
20.81354391849788,600,27106
20.809509831391495,601,27152
20.715354119884594,602,27191
20.77968287490854,603,27238
20.687824506708843,604,27289
20.556932923143673,605,27323
20.774390551838003,606,27358
20.780258783011732,607,27393
20.895438331353308,608,27439
20.658908901014215,609,27488
20.89234514033526,610,27532
20.67930834233973,611,27579
20.693493269608496,612,27619
20.798891935606832,613,27662
20.81827614057678,614,27696
20.92316204809049,615,27748
20.843004177176663,616,27786
20.92755239122606,617,27850
20.801590265798527,618,27894
20.83492382730979,619,27945
20.84334176707401,620,27984
21.01567775863168,621,28036
20.94586601905546,622,28093
20.808706604031222,623,28134
20.850296729731987,624,28186
20.793673239625285,625,28229
20.794366178123347,626,28276
20.60166225211348,627,28311
20.67786686548248,628,28346
20.857645010361487,629,28390
20.914793602631445,630,28445
20.766169773835692,631,28496
20.913785957841615,632,28548
20.687199364617328,633,28591
20.80029320556861,634,28640
20.84097614877834,635,28686
20.799546360247387,636,28731
20.67669477267836,637,28776
20.727119187887222,638,28813
20.715199456768065,639,28856
20.686151937929804,640,28902
20.870840996793486,641,28949
20.749632092950407,642,28998
20.88599034150514,643,29042
20.66907167716759,644,29084
20.82775757347277,645,29121
20.94244419901453,646,29169
20.878350432856475,647,29214
20.866122006632445,648,29261
20.693531333914677,649,29316
20.764002694216583,650,29354
20.58987350866897,651,29408
20.716575850418273,652,29444
20.67646074322462,653,29488
20.597097453566725,654,29532
20.5981530543036,655,29575
20.789017558848816,656,29613
20.831307234597013,657,29661
20.70181131839372,658,29704
20.939189941854327,659,29747
20.506295892338454,660,29811
20.708256250969683,661,29844
20.84590825887071,662,29898
20.89358627236069,663,29941
20.967091223890847,664,29991
20.846618175545064,665,30040
20.83528575228463,666,30078
20.93980762279619,667,30125
20.702211836136197,668,30173
20.792608129901687,669,30216
20.729315022803494,670,30254
20.71035891308174,671,30296
20.69086142617962,672,30344
20.87247389174431,673,30393
20.66685362252353,674,30436
20.811178109794763,675,30476
20.865191676591916,676,30527
20.72860979787644,677,30567
20.862864535501366,678,30608
20.790110288307194,679,30655
20.92730289856595,680,30697
20.86385007463112,681,30749
20.76091311709796,682,30796
20.801279674673378,683,30837
20.745107017375876,684,30886
20.769521214246094,685,30929
20.77546663085465,686,30983
20.90757390221204,687,31028
20.792320358134187,688,31076
20.83227629856579,689,31117
20.607057917126795,690,31166
20.81347284652246,691,31200
20.85848208514774,692,31244
20.599498109459873,693,31287
20.76118750176051,694,31322
20.765507424785493,695,31375
20.848842947963497,696,31419
20.80847122032832,697,31462
20.714604188233203,698,31510
20.68356691083931,699,31546
20.753033544295455,700,31591
20.862559952159657,701,31634
20.817368607078578,702,31693
20.796906167998525,703,31735
20.618674213686432,704,31780
20.762261927683603,705,31816
20.881923090334936,706,31866
20.741763230920366,707,31913
20.849394216479393,708,31959
20.72988829805278,709,32012
20.735347061989227,710,32050
20.83383214334056,711,32097
20.75436806235426,712,32135
20.73120752209948,713,32184
20.799523074153658,714,32231
20.942922219968136,715,32281
20.732886603987286,716,32331
20.889629960007813,717,32374
20.7734919216371,718,32419
20.702536594671106,719,32455
20.85124145344239,720,32498
20.795837675091665,721,32538
20.86460607999669,722,32584
20.70682867059312,723,32634
20.84296774620198,724,32671
20.81738993560878,725,32715
20.748292421423017,726,32766
20.750875654096358,727,32804
20.90269079187729,728,32856
20.766043907766782,729,32900
20.87340474011562,730,32941
20.904566883052933,731,33001
20.744514121656934,732,33046
20.966668671586618,733,33094
20.99000349952726,734,33150
20.733825280487846,735,33195
20.72283171551462,736,33253
20.676755902166793,737,33299
20.766861479575578,738,33336
20.769027776646002,739,33384
20.604983304567497,740,33431
20.729336402341254,741,33467
20.689240248386813,742,33513
20.87821273268199,743,33554
20.87010371654564,744,33602
20.821707074556,745,33652
20.671134800613228,746,33706
20.844632836369694,747,33746
20.910532949428802,748,33789
20.777969211018892,749,33844
20.839962532793496,750,33889
20.844341255928683,751,33932
20.84238297502983,752,33977
20.905973067007704,753,34029
20.870223884490755,754,34069
20.835527296604333,755,34117
20.814733783826938,756,34167
20.831081757290416,757,34216
20.937809204882672,758,34260
20.823968690610368,759,34311
20.80162349264612,760,34352
20.70302878932762,761,34403
20.599735553721153,762,34439
20.770442938235163,763,34482
20.890271297526027,764,34521
20.67604515099992,765,34563
20.7189106578092,766,34609
20.777817949874077,767,34648
20.732546013868543,768,34697
20.73176361601145,769,34751
20.83542851881465,770,34792
20.801018280278207,771,34833
20.684908307886623,772,34876
20.76601140886874,773,34914
20.74298484532524,774,34955
20.810088097868874,775,35000
20.774640521334927,776,35055
20.76928216961801,777,35088
20.87574362327671,778,35136
21.011850766177027,779,35187
20.755438977529057,780,35230
20.717126585813656,781,35272
20.630047698549234,782,35317
20.843554653561785,783,35353
20.969428505710944,784,35403
20.730247627935714,785,35450
20.76844837069618,786,35506
20.815905776246094,787,35552
20.78921701398456,788,35607
20.653705171317394,789,35649
20.831290446408016,790,35688
20.737497463203002,791,35725
20.724879889604228,792,35774
20.79840876739202,793,35816
20.88487307888071,794,35863
20.7243019789887,795,35908
20.741799819098546,796,35948
20.966425991842037,797,35987
20.679639409699668,798,36049
20.71887548387462,799,36086
20.674736467647868,800,36139
20.827331478523636,801,36178
20.745383281225923,802,36223
20.897820736102155,803,36269
20.761069727315487,804,36314
20.63069226768488,805,36352
20.79777521940619,806,36391
20.725241348275013,807,36439
20.875195472309414,808,36485
20.93144829161524,809,36535
20.703015270433685,810,36587
20.85364452726962,811,36626
20.832599644572817,812,36677
20.674169005220712,813,36718
20.713999113200586,814,36753
20.83350545365068,815,36800
20.784862976355154,816,36843
20.862204300115412,817,36885
20.779630091786373,818,36931
20.717191683821582,819,36972
20.68884756111975,820,37022
20.769606717562176,821,37055
20.64466390458238,822,37104
20.81475720269372,823,37139
20.67147328026966,824,37196
20.952366519258465,825,37229
20.863733931486266,826,37284
20.698977388927933,827,37330
