objective_value,generation,evaluations
37016958.43347593,0,30
33859063.034932286,1,101
12576914.440746631,2,152
10237683.16866663,3,210
8631181.845465463,4,248
7081884.590454506,5,303
6477477.799123288,6,381
5502695.193434616,7,439
4936634.6614582045,8,516
2952409.887848214,9,580
1386955.6773373024,10,653
1369179.0654395951,11,713
750032.4074748046,12,774
594315.9722975214,13,831
333039.84168242646,14,912
134307.88940159907,15,969
52373.359189480725,16,1051
99604.6035402221,17,1104
92742.07285311843,18,1185
83785.85657267158,19,1267
271650.10118969245,20,1334
170375.11213473076,21,1410
85842.50278435263,22,1473
101924.53222135433,23,1547
29155.339290208252,24,1617
116063.34869650354,25,1689
112334.63786478854,26,1775
94995.82127185856,27,1833
134841.64269069184,28,1912
46212.78293437424,29,1974
137953.45323245606,30,2034
81475.58088329092,31,2119
80754.87647856056,32,2172
102817.51312244259,33,2250
64888.43899624314,34,2306
137483.66848868603,35,2388
69473.80390551922,36,2463
143458.4650379408,37,2538
145696.259903417,38,2613
152652.01269115243,39,2658
100678.73766825498,40,2717
44569.6327184896,41,2783
71820.9091101427,42,2838
108416.09854868708,43,2913
79832.45484409327,44,2986
102336.48655341056,45,3062
89545.01057998753,46,3133
159957.73756408016,47,3204
97070.18456788104,48,3274
128804.44833211991,49,3337
144309.15379959915,50,3407
342968.3446928548,51,3463
459991.26484254334,52,3528
157232.94165608785,53,3597
300567.4629321163,54,3657
163463.3904697008,55,3731
126381.87436623144,56,3787
256768.60836882502,57,3862
122911.0121750257,58,3927
310249.6976411843,59,4004
184874.68735016108,60,4073
209021.24668746153,61,4130
94768.56086605227,62,4220
63374.703704627784,63,4283
69192.43615169177,64,4363
71608.93995295589,65,4429
77707.5520769493,66,4496
106718.51596180274,67,4559
45976.45099145168,68,4628
50083.55860149205,69,4686
194458.19110431196,70,4748
37953.81243389602,71,4820
71983.38916789973,72,4895
106107.24719367427,73,4955
104539.030649211,74,5052
168213.83588708437,75,5110
95837.92455499971,76,5186
243970.80081490485,77,5244
379994.0668952864,78,5295
162243.16091344977,79,5383
236796.5929314525,80,5440
117044.66311546901,81,5517
71428.65939859278,82,5592
32519.027626607414,83,5668
201276.5898313641,84,5727
160813.58030759433,85,5806
162576.6790564257,86,5849
453142.2731974258,87,5908
266046.7324694288,88,5975
234721.53193426903,89,6027
193457.68401833513,90,6094
98656.88077348052,91,6144
93536.24467295011,92,6217
183494.3849016655,93,6278
158924.20724404702,94,6341
73519.35854301418,95,6390
140197.02778454166,96,6464
127267.25385355712,97,6536
24595.939172360508,98,6603
135446.17432249116,99,6667
178267.77858187247,100,6746
129144.59077370653,101,6807
70918.97897462244,102,6870
65344.226870399485,103,6944
96389.45116373165,104,7012
139974.00535975673,105,7088
85593.11976487796,106,7149
64639.537202245876,107,7230
89624.95017943688,108,7289
94136.67027506328,109,7365
248011.88808461186,110,7417
304796.8062427649,111,7490
156851.75146468758,112,7566
42346.78396134309,113,7641
51145.767495412365,114,7721
38107.38692248002,115,7802
168696.27646996878,116,7855
85553.41282251569,117,7940
88421.6300913733,118,8012
64332.1444547981,119,8081
213045.66396878086,120,8138
205105.2564377265,121,8190
20838.349920654033,122,8257
118998.80050558402,123,8311
126435.42953152872,124,8392
233571.8278268478,125,8455
75778.4810675379,126,8521
62147.32483564472,127,8583
112953.22729579733,128,8648
36393.190420138555,129,8712
171493.5127074499,130,8777
81609.34828676679,131,8853
213139.21536190537,132,8902
82745.24008486845,133,8970
76208.80524066517,134,9038
229852.72194763215,135,9106
68237.99137194426,136,9176
60531.8459137023,137,9237
55746.70076816917,138,9316
149930.49693107107,139,9373
116774.30774959094,140,9452
92608.66995545173,141,9503
42365.44635376998,142,9572
79629.32205426144,143,9625
65903.15311510324,144,9702
104795.47222916676,145,9756
44409.77498742504,146,9813
36884.05919034234,147,9873
264262.6908810555,148,9936
287031.1735515733,149,10008
111420.35382253912,150,10091
29348.687634103982,151,10153
98751.60909389882,152,10219
50954.85065514251,153,10274
61257.65605965792,154,10353
73039.65820088502,155,10414
78794.18008241686,156,10502
94015.69661909594,157,10558
63451.856228665914,158,10627
169412.86909797468,159,10700
288809.9076818747,160,10765
99450.06324265222,161,10833
145379.86977629602,162,10896
81665.21444956408,163,10967
100468.3601037649,164,11027
50303.07251555976,165,11112
43124.180056624304,166,11160
74134.30173160664,167,11232
95622.51489249677,168,11289
29529.750816404023,169,11385
81129.92120647212,170,11446
189454.08847263682,171,11521
130105.70305924148,172,11587
109643.93099027438,173,11678
114210.70860887159,174,11746
38346.766097890104,175,11822
128074.91232229433,176,11877
137534.66243890015,177,11953
133619.7310898797,178,12018
104288.05285122583,179,12103
145520.91992935498,180,12157
43048.52056467519,181,12233
102158.0816319084,182,12286
89434.98211997397,183,12367
60249.53289429403,184,12426
56713.01097863829,185,12493
70088.5996546954,186,12551
21862.844303239293,187,12618
152658.68992731126,188,12674
38373.826817173904,189,12746
117452.93577981707,190,12810
89218.6763826561,191,12870
76587.38365866123,192,12946
131013.18767658404,193,13013
145256.6880893294,194,13076
79678.54549022815,195,13139
38023.377518257534,196,13210
98531.93653209409,197,13290
172968.8425596923,198,13346
61375.55813784065,199,13417
56273.11936189852,200,13471
85533.21557877806,201,13551
91374.82629219667,202,13605
108998.37968214507,203,13675
65710.62652456741,204,13748
114686.00146211426,205,13809
48348.165159477016,206,13883
119946.94416907648,207,13938
32157.26075683256,208,14015
47127.07680584082,209,14086
90337.47404430964,210,14152
97221.82959875623,211,14212
78638.96115906944,212,14265
63352.27358261144,213,14344
103759.71747817851,214,14395
28038.207406141802,215,14478
63694.91854579904,216,14527
34625.746749828686,217,14602
104788.20191502216,218,14675
120693.6892063581,219,14744
52087.903183656716,220,14823
90130.12396076134,221,14894
54976.006275543186,222,14984
71020.86986880004,223,15044
80895.33314625677,224,15114
87199.33944974704,225,15183
80032.40847782695,226,15232
44229.39532600568,227,15314
91615.23912062519,228,15372
62129.022878884905,229,15441
147205.18755040353,230,15508
94344.26537738685,231,15581
142768.83039698546,232,15654
65790.4760927977,233,15727
110322.90712707172,234,15788
18545.460557090322,235,15855
139625.93543186225,236,15923
193762.28885148303,237,15992
139879.24556649968,238,16062
71476.1985236964,239,16136
76076.52168772524,240,16211
146390.83501895858,241,16283
153372.795197738,242,16358
231579.2703662879,243,16408
252977.87015046336,244,16478
246031.14749642575,245,16532
222941.5655218936,246,16602
