objective_value,generation,evaluations
-9.678023338963346e-223,0,30
-0.0,1,60
-9.044382146717799e-102,2,117
0.0,3,147
0.0,4,212
0.0,5,268
-0.0,6,318
-0.0,7,375
-1.93358040438095e-100,8,435
-2.3690060321986524e-181,9,465
-0.0,10,495
-1.7267328816984501e-69,11,575
-2.2740947412296906e-94,12,607
-0.0,13,637
0.0,14,719
-3.177341112049823e-103,15,771
-0.0,16,801
0.0,17,857
-0.0,18,910
0.0,19,969
-0.0,20,1020
0.0,21,1075
-5.2503521370962706e-151,22,1131
-0.0,23,1161
-1.9117666113870375e-142,24,1210
-0.0,25,1240
-1.3201914418685871e-34,26,1299
-6.834075651077933e-38,27,1332
-3.3392500733633725e-31,28,1365
-1.5937741354524662e-216,29,1397
-3.513993908440879e-197,30,1484
-9.173298370043447e-78,31,1514
-3.51353848369432e-83,32,1544
-1.0875317953450682e-74,33,1625
-1.3418585326691066e-101,34,1656
-0.0,35,1686
-1.6011963894354115e-108,36,1734
0.0,37,1764
0.0,38,1820
-3.886881080395738e-89,39,1876
0.0,40,1906
0.0,41,1993
0.0,42,2044
-1.739114191909653e-292,43,2098
0.0,44,2128
0.0,45,2227
-1.2454621469581283e-54,46,2276
-8.322501968456442e-37,47,2307
0.0,48,2337
0.0,49,2428
-4.331730265415222e-268,50,2482
-0.0,51,2512
-4.941619393381213e-63,52,2572
-3.42074688437998e-104,53,2604
-0.0,54,2634
-2.288755313992266e-117,55,2683
-0.0,56,2713
-1.0340571458520096e-07,57,2775
-1.0006792751721018e-11,58,2809
-7.3101675226697215e-22,59,2840
-3.284367407981013e-19,60,2872
-3.628452297686173e-26,61,2903
-3.0406266401198856e-18,62,2937
0.0,63,2967
-0.0,64,3049
-0.0,65,3100
-5.842489000310924e-35,66,3158
-2.5841722579233707e-19,67,3191
-2.6904822276130294e-12,68,3222
-8.859138834235125e-14,69,3253
-9.755249497908399e-123,70,3283
-1.4069230548320007e-98,71,3366
-8.490369541477134e-101,72,3399
-4.01758866721915e-310,73,3430
0.0,74,3460
-0.0,75,3490
-5.405606729878746e-177,76,3543
-0.0,77,3573
-0.0,78,3603
-2.743726355711231e-202,79,3661
-0.0,80,3691
-1.0444846449490726e-41,81,3743
-1.404395361938603e-62,82,3775
-2.5856167227460638e-80,83,3805
-5.847437651021049e-72,84,3836
-5.700154125686982e-40,85,3869
-1.6649396828203e-26,86,3903
-5.726071493592948e-45,87,3936
-6.670803722505281e-76,88,3968
-1.4567539594156432e-96,89,4000
-3.8021028411358585e-73,90,4033
-3.356923273442234e-54,91,4066
0.0,92,4097
-0.0,93,4175
-3.065357053883723e-45,94,4234
-2.6124236547829575e-39,95,4265
-3.2553276813323234e-16,96,4296
-2.0007472844840894e-14,97,4329
-1.0371651364466063e-16,98,4360
-4.2074269963250553e-22,99,4392
-2.62179471856496e-05,100,4425
-3.874666692997062e-06,101,4456
-4.337790035629113e-24,102,4486
-8.476497098669449e-30,103,4518
-1.8248739596528318e-69,104,4550
-1.608727615944697e-95,105,4631
-7.352808412038368e-125,106,4662
-0.0,107,4692
0.0,108,4748
-1.1727581719031889e-140,109,4798
-0.0,110,4828
-0.0,111,4877
-1.4772003216461777e-166,112,4930
-0.0,113,4960
-0.0,114,5021
-1.8744420200576238e-09,115,5074
-0.0,116,5106
0.0,117,5196
-5.055820692031971e-227,118,5248
-0.0,119,5278
-0.0,120,5333
-0.0,121,5382
-0.0,122,5439
-1.147551140210001e-59,123,5493
-2.2077851338417955e-38,124,5527
-5.105564066198437e-38,125,5559
-3.4884850433187695e-44,126,5591
-6.776695935842284e-35,127,5624
-0.0,128,5655
-0.0,129,5747
0.0,130,5799
-9.14823818616849e-222,131,5849
0.0,132,5879
0.0,133,5931
-8.579686987291903e-87,134,5988
-7.607564889689386e-53,135,6019
-1.529734142893419e-38,136,6051
-1.366622372041545e-37,137,6083
-9.2824210400515e-239,138,6113
-0.0,139,6198
-0.0,140,6251
-6.761336626895797e-74,141,6309
-4.244519089581085e-34,142,6342
0.0,143,6374
-0.0,144,6468
-2.0869157501191517e-120,145,6526
0.0,146,6556
-2.4342222251109107e-126,147,6586
-0.0,148,6616
-0.0,149,6646
-0.0,150,6676
-8.107323234315222e-257,151,6732
-0.0,152,6762
-0.0,153,6792
-0.012392593302134682,154,6839
-6.196999238491212e-05,155,6872
-3.6030725439844157e-06,156,6904
-0.10426388681929472,157,6935
-0.008003084450221656,158,6967
-0.2797004691455479,159,7000
-3.751208356455922e-05,160,7031
-6.661169466114961e-20,161,7063
-1.9787915643776624e-241,162,7093
-1.4333844562011806e-181,163,7181
-0.0,164,7211
-0.0,165,7269
0.0,166,7322
-1.4502154773456013e-163,167,7378
-0.0,168,7408
-3.009500514302979e-306,169,7462
-0.0,170,7492
-1.1502825810560116e-70,171,7552
-3.30376156132493e-53,172,7585
-3.0352444616721294e-43,173,7619
-8.136990329262483e-18,174,7652
0.0,175,7682
-0.0,176,7749
-4.94445200622405e-274,177,7809
-1.013015283047e-310,178,7839
0.0,179,7869
-0.0,180,7899
0.0,181,7960
-9.119731873317039e-71,182,8017
-1.357334902015846e-35,183,8050
-9.140224566024626e-14,184,8081
-2.655072021146355e-16,185,8114
-0.0,186,8144
0.0,187,8231
-0.0,188,8292
-1.3203826042701816e-213,189,8348
-0.0,190,8378
0.0,191,8460
-4.7331053739196375e-289,192,8517
-0.0,193,8547
0.0,194,8593
-5.3009539313178525e-232,195,8650
0.0,196,8680
-5.399997524240067e-302,197,8734
-0.0,198,8764
-0.0,199,8855
0.0,200,8915
-1.786267383913145e-259,201,8964
-0.0,202,8994
-0.0,203,9048
0.0,204,9102
-4.469078381528632e-16,205,9159
-5.4662528643793314e-08,206,9191
-1.0199439560500374e-17,207,9224
-1.295768958544683e-31,208,9257
-8.83905091931952e-18,209,9290
-2.0468391283860755e-28,210,9324
-2.7004979634977964e-43,211,9356
-0.0,212,9386
-0.0,213,9469
-0.0,214,9528
0.0,215,9579
-3.9398193808709003e-125,216,9635
-0.0,217,9665
0.0,218,9710
0.0,219,9757
0.0,220,9811
-4.481838941328184e-194,221,9862
-0.0,222,9892
-1.9847699673242004e-159,223,9945
0.0,224,9975
0.0,225,10021
-0.0,226,10072
-4.296966658788194e-06,227,10122
-1.3183655455325272e-12,228,10153
-8.893867977250119e-09,229,10186
-0.9743550675759699,230,10219
-0.43420496041977363,231,10251
-0.5141314384658127,232,10284
-0.012395731346675862,233,10315
-0.09415031824680335,234,10345
-0.47317365983543186,235,10378
-0.0016241823124784002,236,10408
-7.939412236603142e-10,237,10441
-1.6366948019632844e-11,238,10475
-0.07071738590627936,239,10505
-0.2067644546919709,240,10539
-1.1054184976464847e-09,241,10569
-7.008338008507488e-07,242,10602
-0.0,243,10633
0.0,244,10725
-1.3263786324423693e-69,245,10789
-2.4639242112249173e-75,246,10823
-1.2757994187981148e-38,247,10856
-2.2469999221210715e-52,248,10886
-5.1940161063930374e-39,249,10920
-2.1155804658633046e-11,250,10952
-6.949048311688006e-16,251,10985
-1.7173984969140733e-17,252,11019
-1.7229499336306322e-06,253,11053
-4.006864769549623e-13,254,11085
-1.0565436639535463e-05,255,11116
-8.469032919275502e-09,256,11150
-2.0341707761584377e-160,257,11181
-9.602847690724357e-103,258,11270
-0.0,259,11300
-0.0,260,11357
-0.0,261,11413
-3.705190043145797e-229,262,11467
0.0,263,11497
-0.0,264,11589
-3.859454272633029e-160,265,11650
-0.0,266,11680
-1.088056665315616e-55,267,11734
-0.0,268,11764
0.0,269,11850
-2.9105065257314753e-230,270,11907
0.0,271,11937
-1.768943756435675e-231,272,12021
-0.0,273,12051
-5.423244479176673e-31,274,12098
-3.423146131692165e-17,275,12132
0.0,276,12162
0.0,277,12258
-2.977683859323152e-13,278,12313
-1.6697946717385193e-11,279,12344
-8.7245786649609e-11,280,12376
-7.972386775134556e-07,281,12409
-0.8413481553141184,282,12443
-2.05937612562949e-05,283,12473
-0.00037088044206136573,284,12507
-1.982871280536005e-09,285,12537
-0.5916034719562909,286,12570
-0.7282471059651523,287,12601
-0.2257057351122057,288,12631
-3.562859376383743e-10,289,12662
-2.7968230627261377e-07,290,12695
-0.013491011328486265,291,12728
-0.39053874697734886,292,12760
-0.06746155014522207,293,12792
-0.6465812864396996,294,12827
-0.46099688776645,295,12861
-1.0551161917821105e-09,296,12895
-2.728635716099401e-13,297,12929
-6.65540680627897e-10,298,12962
-8.37240978239578e-10,299,12992
-1.5036497485504644e-06,300,13024
-0.365759146209554,301,13057
-5.108179074799778e-09,302,13088
-2.0475593964917456e-14,303,13118
-1.2817320953498588e-12,304,13152
-4.555488290493335e-21,305,13186
-0.0,306,13218
-6.128774292178808e-269,307,13307
-0.0,308,13337
-2.8048172242476535e-131,309,13387
-0.0,310,13417
-2.0909139706695747e-20,311,13473
-4.930607549905877e-34,312,13506
-2.0006254606781872e-44,313,13538
-4.643707668077137e-73,314,13571
-5.197856721084875e-47,315,13604
-8.243669528016015e-36,316,13635
-2.979545276421063e-22,317,13669
-3.2041478971998355e-12,318,13703
-7.72046702758586e-06,319,13734
0.0,320,13766
-9.18079071714638e-237,321,13848
-5.8742460084843e-310,322,13878
-1.2414477466521468e-134,323,13908
-0.0,324,13938
-0.0,325,13991
-1.5296533235082344e-124,326,14043
-2.315364391690143e-210,327,14073
-0.0,328,14103
-0.0,329,14184
0.0,330,14242
-1.2729695312796296e-120,331,14292
-3.830886206749282e-142,332,14322
-1.4411438202984334e-145,333,14352
0.0,334,14382
-3.7718370847816385e-215,335,14429
-0.0,336,14459
-2.8796624325848995e-38,337,14510
-3.715776694793532e-57,338,14541
-1.0167835612373517e-47,339,14575
-0.0,340,14606
-0.0,341,14691
-0.0,342,14740
-3.56228905530007e-06,343,14789
-0.009820234491818994,344,14822
-0.2971021990396467,345,14854
-2.5502019946895202e-08,346,14888
-3.6310770067952316e-12,347,14918
-1.8909574950564079e-31,348,14949
-1.0816115197693849e-31,349,14981
0.0,350,15015
0.0,351,15086
-7.3663074651379675e-34,352,15141
-3.889470934756843e-20,353,15175
-0.0,354,15207
-2.3884649001078785e-17,355,15296
-1.2705394056954478e-92,356,15327
-9.269235751364467e-127,357,15409
0.0,358,15439
-0.0,359,15526
-0.0,360,15579
-8.184274186350746e-248,361,15630
-0.0,362,15660
-0.0,363,15713
-0.0,364,15764
-1.765423853738279e-16,365,15817
0.0,366,15847
-0.0,367,15930
-0.0,368,15979
0.0,369,16028
-2.2462724988353243e-192,370,16076
-0.0,371,16106
-1.5298131388324447e-42,372,16157
-8.278132660015774e-14,373,16190
-2.693959564752077e-32,374,16220
-2.1522177785043845e-31,375,16252
-1.18120804413993e-25,376,16284
-2.7850419940430806e-13,377,16315
-1.4889953713257156e-21,378,16346
-4.506564151025531e-10,379,16379
-0.002813727557281046,380,16413
-0.019855739586072788,381,16446
-0.5727376562541269,382,16477
-1.645457906725342e-06,383,16508
-4.418654191195291e-17,384,16540
0.0,385,16572
-0.0,386,16655
-1.625097346957939e-35,387,16708
-2.100707268531026e-69,388,16739
0.0,389,16771
-0.0,390,16851
0.0,391,16899
-1.3407347129041839e-34,392,16948
-7.992325466643574e-31,393,16980
-4.775960060095073e-24,394,17012
-1.3254428308376723e-19,395,17042
-1.1693153236123927e-10,396,17073
-1.5551628813068955e-15,397,17105
-9.433648613683045e-37,398,17135
-1.0534453288783893e-15,399,17166
-4.959314853473328e-11,400,17198
-1.6021895159456836e-10,401,17230
-1.001406029111082e-10,402,17261
-7.293284783784316e-15,403,17294
-7.08581205528968e-13,404,17328
-2.7280919633208095e-13,405,17361
-6.656977623485088e-05,406,17391
-0.01087587785532279,407,17422
-0.022297754463258147,408,17454
-2.4748204917344728e-06,409,17486
-0.037425434744425015,410,17520
-0.4696817918089391,411,17554
-0.8956615222310996,412,17585
-0.18961460200030378,413,17619
-0.8847726599809546,414,17653
-0.0,415,17686
-1.815816174598751e-171,416,17757
0.0,417,17787
-1.1460299660771074e-30,418,17841
-0.0,419,17871
-1.4277007052961294e-59,420,17959
-2.977401413721563e-39,421,17991
-1.0072064710748016e-33,422,18024
0.0,423,18055
-0.0,424,18148
-1.4460559535901882e-20,425,18197
0.0,426,18228
-0.0,427,18318
-0.0,428,18374
-0.0,429,18423
-3.7010978588192257e-56,430,18470
-1.1115134072064359e-45,431,18503
-3.679507822183686e-39,432,18536
-0.0,433,18567
-0.0,434,18642
-0.0,435,18700
