objective_value,generation,evaluations
21956473.07012691,0,30
20285609.393649794,1,112
16547056.46819185,2,171
12131669.405625612,3,235
7580709.957815805,4,302
5967062.339179651,5,358
5924276.013647226,6,406
5467969.875767542,7,483
4740044.479935444,8,530
4479039.423089761,9,596
3337344.3537808396,10,647
3241866.435812133,11,711
3455952.471989002,12,770
3165679.4694336466,13,821
2940131.743689434,14,881
2810940.314785824,15,954
2854752.254845695,16,1001
2824743.9204801833,17,1077
2636966.594999089,18,1144
2196661.626397525,19,1200
1964844.685515834,20,1276
2159039.828890887,21,1333
1682104.109965833,22,1389
1522101.4282929408,23,1456
1481519.201518766,24,1520
1325991.2314332742,25,1587
1282397.426728022,26,1660
1280295.984525395,27,1721
1205557.7174371167,28,1790
1289311.7300747382,29,1860
1157049.4617628609,30,1926
1112848.217368171,31,2004
1099041.3129625309,32,2054
1046021.4102497465,33,2127
1061238.3699328427,34,2187
942971.2896847838,35,2260
977937.7768116957,36,2324
783347.8420900834,37,2394
753202.4629274668,38,2474
878828.7792017956,39,2523
893132.1289480706,40,2579
824520.6053697867,41,2651
804375.2307653178,42,2708
756262.97271577,43,2779
756943.1914815776,44,2840
826996.2945951971,45,2915
776200.4674980422,46,2973
788980.0136041209,47,3035
675722.3941919991,48,3109
720364.9754443989,49,3172
623370.3697543746,50,3251
628226.3138510269,51,3297
540680.8581062931,52,3373
515445.39557606826,53,3458
465074.3916737973,54,3502
427653.46535482287,55,3562
473875.96020686795,56,3641
511423.2445810415,57,3690
486160.7357414196,58,3763
506239.0909207164,59,3822
560644.0128792459,60,3894
452995.89331653295,61,3948
578241.7851820455,62,4015
543341.2471689032,63,4076
416764.89227256965,64,4146
415751.60367332236,65,4216
373124.3866169356,66,4280
395693.7827517093,67,4352
402263.9084692837,68,4412
352557.54070409667,69,4483
406971.9147765227,70,4546
444623.1157437521,71,4618
477207.0676863918,72,4690
442595.64065691334,73,4754
375726.9820677772,74,4829
427896.226893091,75,4880
356989.3068910292,76,4959
449259.7740753784,77,5014
385475.6521309772,78,5092
325473.6573109443,79,5152
416225.3270501015,80,5235
331423.7466827654,81,5304
368257.0328710843,82,5374
360153.7060166694,83,5432
330187.3133107017,84,5507
383494.9024888205,85,5574
315036.01994694246,86,5638
431011.3235094495,87,5717
384314.339636796,88,5780
354188.44784082816,89,5852
328174.1100161749,90,5911
269663.0762095615,91,5968
317059.58166938816,92,6047
272413.8643089563,93,6115
345953.9184081735,94,6175
322345.2580797837,95,6254
436896.7181463283,96,6315
345350.0156984754,97,6381
368687.168674819,98,6435
383064.2049376893,99,6499
321804.0298533302,100,6567
311615.8425403065,101,6623
338323.15675588575,102,6696
383052.15453155915,103,6757
403321.5679980437,104,6829
391262.2469104975,105,6886
351773.60086628725,106,6962
413280.09034881566,107,7021
414940.5230194649,108,7082
379874.17937387055,109,7141
418213.83041906444,110,7207
435752.2791450279,111,7278
403360.55036225595,112,7349
362245.866894214,113,7403
504872.51455772034,114,7493
397466.1171221586,115,7554
332573.67735907814,116,7618
395548.8962458145,117,7675
336942.84874563117,118,7759
396742.94222754036,119,7814
358846.78162189905,120,7900
361000.5275153825,121,7964
283375.89832127304,122,8040
338714.4744349666,123,8088
337532.0137530263,124,8155
315686.4216189919,125,8213
371074.0671286362,126,8264
323866.24997490365,127,8337
269551.64660215663,128,8411
292997.4506424455,129,8464
247937.43847810492,130,8565
363686.60047887673,131,8608
363038.386801878,132,8682
393599.09195872844,133,8748
324964.63183758256,134,8796
320232.0731981718,135,8862
402490.8735008198,136,8912
308314.1714589549,137,9000
301881.4246462116,138,9069
246221.56903972404,139,9130
247355.42375210117,140,9210
224686.3014543938,141,9263
207999.36324626784,142,9352
282943.5655048055,143,9417
235175.7345650838,144,9498
222793.36153460713,145,9555
241458.159648511,146,9638
223851.9441488335,147,9708
241205.078498745,148,9772
225439.82275512995,149,9840
290728.35074681067,150,9894
399496.82810100727,151,9965
334723.0443411436,152,10029
259865.3306687968,153,10111
322844.9677583283,154,10160
325767.0165974499,155,10249
241135.79761350574,156,10317
204853.95521427845,157,10383
269675.7769892718,158,10450
243221.70547956112,159,10519
300185.67647733045,160,10591
216381.52131499862,161,10648
262765.87254209776,162,10708
260481.69765019935,163,10783
272151.8360177778,164,10843
319481.7824825584,165,10917
315700.9917694659,166,10986
386949.79806517164,167,11049
380364.63777690777,168,11108
347731.3777675635,169,11195
296204.1757319518,170,11254
262584.4843467774,171,11320
251863.88749975813,172,11376
287316.20445375243,173,11448
307058.4181410195,174,11527
279335.619708161,175,11595
310210.95719109004,176,11657
294054.86135591485,177,11722
277278.0313178465,178,11776
316290.36788132414,179,11849
315659.70252915175,180,11908
284931.1507775291,181,11983
337901.35895038134,182,12049
309380.04697393003,183,12114
521377.2344496613,184,12194
304663.7773259576,185,12248
315350.9562456085,186,12328
325977.7277231187,187,12388
363348.50747065095,188,12444
341555.7952744654,189,12530
448724.7082466101,190,12593
283860.4843749297,191,12664
