objective_value,generation,evaluations
175.86258809022618,0,30
102.2974466525595,1,113
55.04112459836741,2,189
5.732387794871696,3,244
3.238633605722576,4,319
3.269912530453866,5,359
3.0852701109978335,6,446
3.203809924918643,7,515
3.1482653240924114,8,573
3.01782468950321,9,663
3.6077126162349153,10,721
3.0579754758739237,11,795
3.593086361221509,12,858
3.0561913901772746,13,935
3.4641244832046505,14,1000
3.0140936624306476,15,1070
3.011311369367723,16,1146
3.0495073451372243,17,1208
3.0610674526445543,18,1290
3.009845170270742,19,1355
3.005969758251324,20,1425
3.1908790383713272,21,1483
3.05250023502607,22,1564
3.252652495812316,23,1628
3.0026160340058903,24,1698
3.2546478815312594,25,1757
3.0266169447833158,26,1834
3.1406833969182504,27,1899
3.164175866870584,28,1977
3.0662482689647925,29,2039
3.017366424042811,30,2114
3.0762321508804473,31,2175
3.1083718877956446,32,2243
3.044023692599839,33,2301
3.09436763064191,34,2386
3.03454307966356,35,2449
3.0771290046234987,36,2522
3.0401211846959137,37,2584
3.0790020369915863,38,2636
3.0481118084039998,39,2715
3.0200563044348545,40,2783
3.0108114513376463,41,2852
3.0245443704790484,42,2917
3.1776622886358497,43,2981
3.353665168540969,44,3059
3.2451999392946225,45,3125
3.0175456705271264,46,3224
3.024538411471232,47,3290
3.202917938651472,48,3376
3.5467683463220507,49,3442
3.1971318613667505,50,3520
3.0109966709638227,51,3597
3.2765056711055407,52,3659
3.0331563669718182,53,3736
3.590146448367711,54,3790
3.199880497604698,55,3873
3.0608297184487863,56,3926
3.096075136157243,57,4004
3.2929132921494513,58,4061
3.1262171442669104,59,4131
3.008726912014962,60,4185
3.1254199195168724,61,4273
3.2671996443482407,62,4341
3.117769913909555,63,4404
3.004926257786546,64,4488
3.1451090770266124,65,4561
3.0003003432356063,66,4629
3.135932661792661,67,4698
3.065187574450048,68,4784
3.0136912086384857,69,4849
3.0293574026897976,70,4928
3.1827737082273626,71,5002
3.27016641478077,72,5074
3.0054525549295077,73,5157
3.262743969615531,74,5235
3.0894882620722535,75,5290
3.018635316172414,76,5360
3.24475196702927,77,5419
3.187914838341225,78,5472
3.1020267566652615,79,5542
3.098995721433245,80,5608
3.1190644298492987,81,5682
3.2836243978043815,82,5743
3.134823096090123,83,5826
3.092771019413716,84,5891
3.11181033182129,85,5954
3.0311766792516166,86,6034
3.05021540140453,87,6106
3.208165904474744,88,6176
3.483068419070184,89,6240
3.134741665382981,90,6313
3.0621373920186987,91,6369
3.063535976073283,92,6442
3.0363061237849194,93,6505
3.0447693222961347,94,6568
3.0234333905868174,95,6644
3.1341200521816495,96,6720
3.1151775201430087,97,6774
3.069581499693895,98,6853
3.1623331172608875,99,6919
3.651184687215829,100,6977
3.0168988411257076,101,7054
3.1544623328963564,102,7117
3.0906482110796545,103,7194
3.1552502268674605,104,7260
3.211678982416986,105,7341
3.1404791537417354,106,7416
3.5439747415485057,107,7477
3.2483335379603293,108,7549
3.207739626922119,109,7611
3.1267965343917847,110,7690
3.2513968902155974,111,7758
3.006487041796582,112,7837
3.0999812583173743,113,7900
3.000017931464613,114,7975
3.033353789232697,115,8045
3.6893457358987725,116,8110
3.000315777526243,117,8191
3.171401230037641,118,8240
3.0720523589050686,119,8317
3.180018637131139,120,8390
3.1514443208691407,121,8455
3.2386478159133327,122,8526
3.217775693946689,123,8609
3.5397168105810195,124,8674
3.132312564455709,125,8749
3.2822081251872244,126,8823
3.100398411991885,127,8896
3.0281660098520837,128,8968
3.006294366049183,129,9032
3.038959566701066,130,9120
3.0626404911409266,131,9177
3.0165211249950903,132,9243
3.2514661380291283,133,9305
3.0906663380499473,134,9373
3.090438476679801,135,9435
3.070801434149378,136,9516
3.137134415571017,137,9579
3.269724282392454,138,9633
3.070964807724294,139,9702
3.0531518440758854,140,9772
3.010605484317404,141,9849
3.0682586857840306,142,9915
3.097825070006522,143,9990
3.0208270914780764,144,10051
3.0632933651257157,145,10122
3.0901121102946463,146,10184
3.0006907431537533,147,10263
3.204024946715937,148,10331
3.0419425967358067,149,10407
3.105349765280431,150,10471
3.1589782483291127,151,10540
3.1267784141045754,152,10606
3.081049123322969,153,10663
3.169125917068968,154,10743
3.1131373454018054,155,10805
3.289867486462063,156,10881
3.058299339673339,157,10957
3.021166835843148,158,11032
3.0067036088244126,159,11116
3.0378403990671625,160,11186
3.000005816106605,161,11249
3.0335590105970067,162,11319
3.0427397150104682,163,11411
3.2476791750443814,164,11468
3.0711442548022814,165,11545
3.149295015084329,166,11614
3.02941093406663,167,11679
3.017910700495884,168,11764
3.226783980043522,169,11827
3.025256604800519,170,11896
3.3266890312305533,171,11961
3.0350378410070027,172,12034
3.0164013553710873,173,12096
3.094677994153435,174,12172
3.0514543928837736,175,12235
3.0038579671864403,176,12317
3.0907655666438973,177,12376
3.030883087482916,178,12462
3.0115987257078296,179,12531
3.768001534606461,180,12587
3.045826773693913,181,12671
3.314859308577984,182,12737
3.2302747661682836,183,12807
3.739697407338932,184,12870
3.010642564974189,185,12955
3.1147676038663445,186,13029
3.0057079730875853,187,13098
3.0732385923386434,188,13176
3.497915223205606,189,13241
3.0545413522941742,190,13327
3.250256147160911,191,13381
3.1294361614307835,192,13484
3.405043302563293,193,13539
3.6765117085316823,194,13613
3.4829180442128456,195,13683
3.1130447762376536,196,13757
3.0655757407874393,197,13813
3.529099975037479,198,13878
3.071352641746329,199,13952
3.0421800179634477,200,14026
3.045282694341656,201,14090
3.002149064813017,202,14169
3.468921604715479,203,14226
3.090678002087218,204,14314
3.070258741138741,205,14386
3.257945267151166,206,14447
3.043466016800091,207,14534
3.001847462464066,208,14616
3.089044670874827,209,14673
3.0253725293830995,210,14753
3.1380595478941187,211,14817
3.1853394161758435,212,14897
3.339608974028588,213,14958
3.016087502208433,214,15036
3.1648325649202635,215,15090
3.1275258120288383,216,15162
3.227777438053071,217,15219
3.0704773294450542,218,15300
3.046936289730525,219,15360
3.0567183288884943,220,15448
3.8494578888789195,221,15503
3.444294251576841,222,15574
3.170571218293881,223,15650
3.0420822355071917,224,15714
3.1274497083249324,225,15778
3.0208558169891586,226,15854
3.264003102192232,227,15912
3.770620570827384,228,15989
3.236234982269345,229,16051
3.030420591808465,230,16129
3.064851959894078,231,16183
3.101088985055718,232,16275
3.4488433553391578,233,16332
3.04897486606832,234,16413
3.1782430966825004,235,16481
3.011638210760757,236,16555
3.1272249919235655,237,16610
3.0032256916803064,238,16693
3.12818608228254,239,16761
3.103503092472012,240,16826
3.1955603992335857,241,16891
3.0850900394470573,242,16958
3.0101221026131086,243,17027
3.076952234019927,244,17105
3.078908132207312,245,17163
3.0065152624407085,246,17245
3.004297203883335,247,17306
3.0975882181602374,248,17373
3.0183864191278613,249,17452
3.0327297127787167,250,17516
3.0601111966751096,251,17587
3.0210910086087557,252,17659
3.2356393899167624,253,17719
3.0349522949063834,254,17784
3.020007705776088,255,17845
3.025197057848312,256,17934
3.562202336947814,257,18002
3.0868136382199216,258,18082
3.1348756705360254,259,18139
3.0171740246828254,260,18214
3.8478270196478728,261,18273
3.0459588471374053,262,18337
3.0579001433396993,263,18404
3.339327146908599,264,18463
3.051223314141421,265,18550
3.238188561247894,266,18611
3.1041553956426986,267,18683
3.093631602157059,268,18744
3.308413231575811,269,18805
3.014499091767271,270,18878
3.381400071772628,271,18944
3.075172686054854,272,19022
3.0013490582634805,273,19079
3.0309836062137014,274,19162
3.0364585437003386,275,19224
3.0417947247989456,276,19302
3.1413020698000076,277,19370
3.199539536595627,278,19440
3.0850743604579276,279,19506
3.0695466727620766,280,19563
3.0937889357486568,281,19633
3.071686394545167,282,19694
3.1558819564496434,283,19757
3.2160517909639306,284,19838
3.0460044650793994,285,19903
3.014909036796259,286,19965
3.00196650735094,287,20034
3.0607226710214936,288,20101
3.0079149961838247,289,20179
3.2728228691227588,290,20239
3.0681548617764918,291,20311
3.216967403031535,292,20373
3.053599440374414,293,20430
3.1314182653792058,294,20506
3.0355781235038584,295,20576
3.1015011352370583,296,20661
3.4855090813638276,297,20724
3.2099035691521784,298,20797
3.031020228084594,299,20862
3.1646675141877765,300,20933
3.015321232117198,301,21001
3.341334012577614,302,21067
3.269738604628302,303,21131
3.0561188787832214,304,21198
3.024441290114283,305,21268
3.0361375830263406,306,21341
3.1294340129177214,307,21404
3.062982380830459,308,21471
3.030109319466627,309,21533
3.0096103652768664,310,21607
3.04663584498951,311,21667
3.1105962373469866,312,21741
3.010429725467298,313,21823
3.0297890777716607,314,21886
3.0052712350506985,315,21957
3.023485073164415,316,22027
3.0003516612291254,317,22099
3.4640135064395055,318,22157
3.0767702702252917,319,22229
3.187223371571968,320,22303
3.0349733097937888,321,22389
3.1006887102327396,322,22437
3.2253680583242024,323,22514
3.0018334525682095,324,22582
3.018920020795646,325,22649
3.003252671278579,326,22724
3.137602494953439,327,22782
3.011981305291663,328,22860
3.108214587138023,329,22925
3.1639068776478565,330,22989
3.0759159364529127,331,23046
3.114550896335372,332,23133
3.4077388251760645,333,23195
3.1334123678565486,334,23271
3.1598409958273046,335,23348
3.122844823241234,336,23416
3.1527241359714253,337,23485
3.2629491710051903,338,23553
3.2516111274864845,339,23635
3.306327880386824,340,23689
3.03943383733573,341,23768
3.158320991121371,342,23838
3.0028934359686508,343,23907
3.0657241366215966,344,23965
3.039052408370179,345,24046
3.0989077986191305,346,24097
3.0047406445436318,347,24179
3.483674119867956,348,24236
3.0750916250762548,349,24332
3.009334358895735,350,24396
3.033926234873758,351,24470
3.176319174505902,352,24549
3.16695060890319,353,24609
3.017073548188658,354,24678
3.024149219639154,355,24772
3.5841822407967676,356,24822
3.0457081104648016,357,24909
3.083682985923459,358,24976
3.0728092960062776,359,25048
3.383096405020285,360,25123
3.3461986918948,361,25200
3.0456705098165124,362,25262
3.288905041944828,363,25330
3.010179409519861,364,25412
3.306401189490645,365,25478
3.0401408915909696,366,25558
3.1820664218659545,367,25621
3.1163076177327267,368,25702
3.2447855114499586,369,25773
3.034338932914726,370,25839
3.0387004947683773,371,25901
3.049185578255685,372,25965
3.000255223359034,373,26036
3.0061222860421646,374,26098
3.0362620516376646,375,26175
3.046252478801812,376,26259
3.1659288686903397,377,26318
3.3535218651507717,378,26385
3.125252858219897,379,26465
3.0399287221200106,380,26524
3.1086755126010117,381,26595
3.175022774740118,382,26663
3.056231488313514,383,26743
3.059571809646903,384,26808
3.04551663759271,385,26881
3.341159802753999,386,26947
3.1286493716471706,387,27025
3.205687273927483,388,27094
3.1247681552002704,389,27169
3.031316892033702,390,27233
3.0332516332096744,391,27309
3.7108985720975856,392,27378
3.0224906290174443,393,27450
3.0694713368644737,394,27512
3.0085276425911878,395,27606
3.20508121619142,396,27679
3.0594001102595105,397,27753
3.031130098320057,398,27821
3.026565945841917,399,27895
3.0890943783282685,400,27966
3.0051461242611963,401,28029
3.4602853488717353,402,28099
3.005681285450098,403,28166
3.0320835797010424,404,28224
3.1251418201657875,405,28303
3.102834055522356,406,28359
3.00036926876929,407,28440
3.2346880801127087,408,28492
3.1072490283141447,409,28563
3.165645161677809,410,28634
3.063388727829566,411,28702
3.009324481596156,412,28773
3.0305966243117197,413,28841
3.1086240592640655,414,28905
3.0549642424212533,415,28978
3.030227452020655,416,29044
3.0282771533437516,417,29120
3.0397814789216873,418,29197
3.105785277509105,419,29266
3.048968277692485,420,29332
3.040768368092959,421,29399
3.0988057385964134,422,29487
3.156167038059914,423,29563
3.0673439344407534,424,29620
3.032648901489172,425,29703
3.0867836819348615,426,29767
3.0371207848370054,427,29848
3.0482005881083967,428,29918
3.23761382086359,429,29985
3.0388986073541777,430,30064
3.066996563879961,431,30126
3.307425751491701,432,30201
3.011021563268084,433,30260
3.0146727332278815,434,30332
3.0475786052440696,435,30387
3.0141378149515177,436,30455
3.1095217612743378,437,30511
3.072281832861986,438,30588
3.5284976422673617,439,30645
3.0065418921050666,440,30717
3.55297423933999,441,30770
3.0130009791413523,442,30869
3.1849535304989036,443,30920
3.0274332105030517,444,30999
3.2307044188200025,445,31064
3.205032421510863,446,31134
3.0709624923083996,447,31194
3.0307955025193967,448,31281
3.1217333770701443,449,31339
3.065805202216702,450,31412
3.1221331185441947,451,31472
3.10954551870734,452,31554
3.0926135729753867,453,31612
3.1414515842368984,454,31693
3.3619679291906723,455,31749
3.2368898970979227,456,31832
3.8155315373815126,457,31887
3.0064144166825435,458,31960
3.119021101185037,459,32018
3.2246540253193037,460,32103
3.090097138836485,461,32178
3.0157160163077723,462,32258
3.094268387024187,463,32318
3.0228484399929307,464,32393
3.2917617412193407,465,32463
3.070471054700735,466,32541
3.41689368654612,467,32599
3.1229310505258017,468,32679
3.249352658804954,469,32744
3.0804274184307445,470,32829
3.0508438650458323,471,32881
3.012221120920876,472,32969
3.194884233401161,473,33026
3.188518270582443,474,33095
3.4840114816623244,475,33153
3.0262499910645624,476,33246
3.1642053282508904,477,33310
3.022752705950128,478,33385
3.6448925771077514,479,33440
3.159022052663829,480,33509
3.1828445505080754,481,33569
3.073132316225751,482,33651
3.036569448049335,483,33718
3.2040959303236676,484,33789
3.045072364313191,485,33858
3.181698204680053,486,33938
3.5131803094117107,487,34001
3.006008360442732,488,34072
3.172441386203819,489,34129
3.0508355692986737,490,34216
3.0040045341343684,491,34272
3.1218785793669235,492,34345
3.1290075428850312,493,34409
3.122815928237457,494,34476
3.1282323619377994,495,34550
3.1264285849504376,496,34618
3.0656210036226903,497,34698
3.0537800888390603,498,34747
3.1970206094604343,499,34817
3.008435594843861,500,34882
3.347011519183923,501,34956
3.4998946820233714,502,35018
3.0464114672912745,503,35089
3.1882046270446938,504,35144
3.0562020326226462,505,35229
3.3486119616499725,506,35289
3.0343497002690043,507,35358
3.0051653319320453,508,35430
3.0726155146276883,509,35506
3.0019004679984973,510,35578
3.3233015802083266,511,35643
3.0548688491017324,512,35711
3.0185447380387886,513,35782
3.0357731620285198,514,35850
3.0676402546362844,515,35923
3.094060371175954,516,35994
3.078958628627094,517,36070
3.2333154084746716,518,36145
3.1569430567300185,519,36209
3.0694435120975476,520,36284
3.444582847190843,521,36342
3.108279148913351,522,36423
3.0335438815533737,523,36494
3.147732948354807,524,36557
3.084060252369161,525,36621
3.116795152344458,526,36695
3.065780615358352,527,36766
3.0039631886567073,528,36832
3.021313915588923,529,36922
3.3135337415939143,530,36984
3.0527254365981333,531,37057
3.1393184484770664,532,37112
3.0063123621156524,533,37196
3.06660491372951,534,37274
3.1679983768719073,535,37332
3.3744010214764466,536,37401
3.0417215895404466,537,37462
3.0209083317744363,538,37533
3.3151486025647463,539,37601
3.024052978630324,540,37677
3.12136818563658,541,37739
3.29069239135455,542,37804
3.3953845190821603,543,37872
3.007877849838136,544,37942
3.014133934262676,545,38018
3.1514989427753233,546,38086
3.0071682259991777,547,38164
3.5166045501726395,548,38220
3.2185676983719644,549,38297
3.3532618348871908,550,38364
3.0992748051940584,551,38449
3.256572679302283,552,38513
3.436567812637182,553,38578
3.014187544374374,554,38654
3.3459334257332753,555,38715
3.0249750214888795,556,38791
3.32555626678778,557,38842
3.251440249216652,558,38908
3.0401518955341222,559,38970
3.0334834452397827,560,39046
3.013321615834406,561,39107
3.004029792258417,562,39178
3.0574811222240292,563,39239
3.0209447694075915,564,39315
3.0199585891446055,565,39375
3.020978029559373,566,39443
3.165442652129896,567,39515
3.0902229398161207,568,39574
3.146764519871859,569,39660
3.0441657600695944,570,39710
3.0322880020315632,571,39788
3.052183077032485,572,39859
3.0321804976707285,573,39930
3.1714700340942783,574,39996
3.0674903191596092,575,40077
3.3466779859263704,576,40131
3.002890291614759,577,40219
3.4102737166071937,578,40281
3.058295405290007,579,40356
3.001717052248944,580,40427
3.1879373424954554,581,40483
3.0638598865963296,582,40557
3.1105888767281824,583,40627
3.1376252333697274,584,40701
3.137392928180902,585,40776
3.599535871112129,586,40837
3.075220340124511,587,40918
3.1980731927924926,588,40983
3.029200743793115,589,41059
3.186049443609985,590,41134
3.008728918293899,591,41216
3.023246824414906,592,41283
3.2406311722999397,593,41356
3.074744189730226,594,41425
3.110529028721149,595,41490
3.0914260097297572,596,41570
3.2734263223226825,597,41650
3.3189520788257627,598,41715
3.038875038611957,599,41798
3.577171088345613,600,41859
3.0166139494692263,601,41938
3.4467594100053867,602,41994
3.3676465188220295,603,42074
3.094680443934606,604,42142
3.1287739947453947,605,42223
3.090775190646224,606,42283
3.089586799821769,607,42355
3.005946863674796,608,42416
3.050430388682842,609,42493
3.0523954184205677,610,42559
3.0419008008786528,611,42635
3.043039424184045,612,42716
3.134489192606622,613,42774
3.0207166768425884,614,42848
3.205068928008462,615,42906
3.0312708857904327,616,42986
3.138412493942805,617,43048
3.0743421150118886,618,43114
3.2348315802206065,619,43185
3.0392576270889804,620,43253
3.415241887370131,621,43316
3.0605735926334097,622,43383
3.3570244876116724,623,43439
3.55334707954829,624,43492
3.0062916922539498,625,43567
3.118012751843038,626,43637
3.079202768725788,627,43718
3.076051446371019,628,43789
3.13594224293341,629,43854
