objective_value,generation,evaluations
3978793.330249757,0,30
3927170.8615559656,1,91
3652561.3454061374,2,155
3520165.223339374,3,227
3200067.0140117984,4,281
2848308.752538668,5,363
2769348.9017077954,6,402
2710869.501912613,7,464
2567034.7134152493,8,534
2240030.599383769,9,592
2078782.817214197,10,659
2025280.1613937488,11,713
1920439.1552609056,12,781
1648624.3061432166,13,849
1596860.8689556944,14,896
1534665.6842598408,15,971
1295517.1451394241,16,1023
1237298.9986005472,17,1099
1305326.6521741503,18,1135
1290016.3724465738,19,1183
1235832.6224916212,20,1252
1069309.426947789,21,1340
1037691.6255484803,22,1386
1021389.9068021319,23,1440
1004984.0639016277,24,1512
862026.4310103405,25,1569
820319.4086761491,26,1648
794158.1043742547,27,1686
744298.7286795125,28,1748
731398.3766630654,29,1813
669674.1433641377,30,1858
636755.5213657282,31,1935
641623.8314241242,32,1981
611789.2327016965,33,2051
589554.0809698687,34,2121
555605.1064786657,35,2173
543824.4152479845,36,2262
489710.0340164219,37,2313
484066.03067255707,38,2388
480358.2722983391,39,2438
442744.54607700295,40,2512
433825.1606062553,41,2550
407463.5828221302,42,2600
396906.2314545441,43,2674
368091.6678714654,44,2729
357748.35391790635,45,2768
356655.4924614611,46,2828
355587.2296638536,47,2889
349214.4257322556,48,2948
347967.42056159937,49,3029
296846.95608731604,50,3109
297265.7152612662,51,3155
286902.38756435097,52,3202
284898.6650096467,53,3275
267899.43994913064,54,3348
260985.7930874348,55,3413
251870.4018105592,56,3483
248108.71273660686,57,3537
232791.06410590766,58,3605
209235.93395250104,59,3675
207686.62457603315,60,3730
191593.03973241575,61,3799
192089.12589873452,62,3867
181138.45312503452,63,3948
168665.19493458606,64,4005
166237.51235327404,65,4069
163663.14867768195,66,4121
158182.42002519374,67,4196
147012.48264037952,68,4248
151534.54217345844,69,4322
154794.99364392794,70,4371
142773.793565299,71,4450
134128.08339811838,72,4521
113265.34124111428,73,4582
107290.99773080676,74,4626
114207.58424255073,75,4689
115631.24656632167,76,4760
109891.97817434678,77,4799
104363.98111166627,78,4862
100260.51139817294,79,4938
91686.06301670527,80,5011
86140.85112626925,81,5067
82789.33490823265,82,5136
84292.19611753205,83,5179
85616.39990829337,84,5265
82315.4102416156,85,5319
73694.9149662727,86,5390
79857.26807936304,87,5437
79137.62372554754,88,5516
73463.29986639903,89,5596
69257.17023148815,90,5664
69799.84224289315,91,5730
59097.28516284707,92,5779
55937.67685822634,93,5864
54785.16619656153,94,5904
54278.22202923654,95,5965
57347.08402486753,96,6026
53986.67991710172,97,6090
52501.76341874202,98,6135
50524.96156299227,99,6197
43720.29371544992,100,6257
42774.779999756065,101,6323
41898.147513076576,102,6410
36011.80665701049,103,6470
30768.670078416195,104,6534
30438.9597708387,105,6609
30189.3791219097,106,6676
28146.308104739328,107,6745
26604.99163309154,108,6800
26714.395738420346,109,6886
23794.330996254015,110,6936
24516.573375525426,111,7021
23949.746386417333,112,7082
23843.864343841524,113,7158
25533.01228348093,114,7218
25192.045799730764,115,7286
23293.552205717562,116,7359
21944.854383682174,117,7403
22087.964027500373,118,7464
21545.160620946568,119,7541
21723.025062736044,120,7593
21493.34925216368,121,7667
21512.131527231468,122,7723
19342.38165769353,123,7780
18098.371171157807,124,7848
19930.021105676668,125,7908
18470.372345105396,126,7994
18061.584333581235,127,8037
17761.27651695583,128,8109
16939.292945339665,129,8164
17611.01208590281,130,8235
16291.826427290443,131,8304
14904.49082288517,132,8352
15012.013781605438,133,8443
14228.59168457448,134,8500
11896.32719115427,135,8544
12229.286232245682,136,8618
10947.430199452525,137,8673
10918.392569789838,138,8758
9992.976528856501,139,8846
9760.03407425991,140,8908
8646.339131549166,141,8973
8104.581966547212,142,9032
7385.752449720846,143,9121
8031.842113188924,144,9180
8376.826454006536,145,9286
8129.8549980746775,146,9344
8177.023211591055,147,9432
8092.636089092902,148,9480
7111.341579810334,149,9574
6328.628099683,150,9650
6639.528356057677,151,9697
6375.022711674743,152,9779
5832.541257151384,153,9851
6335.349454371505,154,9910
6023.6037479126235,155,9980
5028.113787372183,156,10037
6037.923489655359,157,10113
6093.637682806089,158,10189
6090.952878501842,159,10253
5231.768122210135,160,10332
4394.387181302043,161,10388
5347.139674856211,162,10463
5109.444425293017,163,10525
5368.659062916296,164,10590
5357.689426845857,165,10670
5032.4116334441,166,10735
4522.275918428343,167,10823
4255.505405067951,168,10878
3616.7499476559665,169,10945
3867.493028072187,170,11023
3824.9115203124134,171,11085
4136.667440097491,172,11157
4553.228124844608,173,11209
4221.712111696412,174,11300
3297.068858312484,175,11349
4518.751400162112,176,11425
4651.748708180095,177,11475
4259.784114782872,178,11559
4124.649909142645,179,11607
4102.603450646141,180,11681
4090.554662921145,181,11719
3986.430256812621,182,11776
4431.446229823139,183,11868
4362.345617628709,184,11917
4464.2271235447215,185,11986
4725.152351994124,186,12054
4035.56515924759,187,12149
4553.856564000042,188,12192
5039.086333267418,189,12251
4842.033871796713,190,12319
5212.014854272747,191,12372
4601.925558347893,192,12441
4297.360264126171,193,12494
4682.073172869155,194,12580
4684.739125409116,195,12671
4717.45028902255,196,12725
4711.638906068593,197,12820
5069.35725044082,198,12889
4992.866282181107,199,12959
4475.171897398224,200,13041
3774.63419263307,201,13104
3827.221393988892,202,13191
3600.516827663458,203,13229
3632.756062581236,204,13294
3545.4148040719456,205,13384
3073.7140422401117,206,13425
3005.0099932711855,207,13486
2986.849439057052,208,13562
2838.1229975795377,209,13612
3032.875389963826,210,13688
2871.784228711321,211,13770
3104.685597129711,212,13839
3118.7066239063233,213,13935
3314.43315140173,214,13984
3304.2399772985955,215,14046
3161.1468467637897,216,14125
2636.672276115396,217,14176
2793.185004261483,218,14255
2554.4807971725486,219,14314
2448.694076303932,220,14378
2538.9983829603234,221,14434
2674.306696057879,222,14499
2900.086123032064,223,14541
2892.7025077314565,224,14616
2790.1253904157466,225,14681
2669.376283069671,226,14738
2510.673642523652,227,14826
2412.3613271350596,228,14902
2681.753914011866,229,14959
2557.969589693652,230,15039
2687.81889715128,231,15096
2740.484798345307,232,15181
2858.772411948369,233,15243
2831.1720007169133,234,15326
2860.4912534077903,235,15382
2938.5338754134746,236,15454
2870.109122818559,237,15501
2938.911865584947,238,15570
3305.359945918806,239,15620
2673.1753243029643,240,15698
2893.132323275283,241,15757
2392.2786224123893,242,15839
2385.530134128872,243,15903
2291.8280880527423,244,15969
2711.5288896007487,245,16060
2105.8171451021526,246,16125
2227.4067960630423,247,16199
