objective_value,generation,evaluations
39139.75246710059,0,30
37399.581262508,1,99
37191.21432106696,2,152
37488.01270620314,3,200
36571.52631674425,4,257
35811.14116806782,5,304
33917.569724708235,6,343
34652.692443882166,7,384
34832.23364859147,8,425
34413.1172463227,9,472
33601.85660615539,10,524
33344.714842282,11,582
33546.94878179382,12,642
32749.258300232927,13,703
32532.356587190916,14,769
31545.04063663069,15,815
31893.48830905682,16,858
31474.02183968915,17,902
31546.158273103465,18,937
31761.616331342957,19,979
31784.755109593618,20,1035
31715.465612350083,21,1102
32756.83840448748,22,1150
32460.632301423597,23,1187
32370.88969435052,24,1232
31967.504945002773,25,1273
31406.32830174278,26,1318
31248.099176047283,27,1362
30837.26812858795,28,1419
30305.177937690773,29,1477
30488.211172298863,30,1526
30096.40526925143,31,1568
29911.274653464585,32,1623
29357.956110526564,33,1667
29887.101714042874,34,1716
30131.14137726479,35,1769
30068.169661260377,36,1825
30588.72717539675,37,1898
30563.93625827167,38,1961
30805.321045056255,39,2025
29999.10038144022,40,2093
30172.8815174438,41,2157
30069.993327419194,42,2203
29863.472307596498,43,2237
29182.965110940633,44,2282
29456.463255812454,45,2339
29874.452493704703,46,2390
29687.84101310958,47,2456
29521.17480213158,48,2512
29518.058170231776,49,2574
29757.242557397592,50,2648
29579.838939425827,51,2694
29941.769019056966,52,2748
29202.91721640327,53,2818
29134.866202364305,54,2884
28935.759345289014,55,2945
28746.18319843358,56,3013
28900.071427501498,57,3058
28952.31062425364,58,3103
29145.810144291605,59,3156
29436.53161206789,60,3236
29273.323426050425,61,3311
28537.39610960053,62,3371
29121.267624040767,63,3419
29153.603225399558,64,3477
29032.941713276912,65,3526
28703.741703254298,66,3601
29140.566701089432,67,3653
28406.889680163673,68,3712
28567.014109021165,69,3765
28975.93883742878,70,3809
29182.283871506763,71,3855
29965.988224886503,72,3910
30252.20974039453,73,3966
30000.82967806893,74,4016
29809.088045216173,75,4076
28802.33108357974,76,4133
28749.249004871417,77,4194
28264.45679310299,78,4247
28258.21334990323,79,4306
27055.683540655697,80,4362
28170.28448654047,81,4435
27858.88723057836,82,4478
28790.068628495814,83,4521
28355.128417265492,84,4583
28456.721292505965,85,4645
27862.310517499012,86,4716
27888.717788724738,87,4780
28040.04451486013,88,4837
27814.111894893787,89,4888
27639.55375956367,90,4950
27812.09314193995,91,5000
28223.75853989694,92,5047
28508.038694624312,93,5109
27912.137453385178,94,5160
28394.53266295125,95,5217
28955.217638540526,96,5267
28994.15373897551,97,5313
28738.99813540068,98,5383
29375.517819905963,99,5442
29528.287462151533,100,5481
29189.810082060845,101,5532
29375.664993723658,102,5600
29072.136312583112,103,5655
30405.976634368402,104,5712
30663.50875579741,105,5771
30615.39263451253,106,5830
30371.487243789343,107,5890
29871.736158670887,108,5954
30373.048974473306,109,6017
30346.330552751966,110,6068
29613.614592587204,111,6148
29341.866237821814,112,6196
29004.782244445658,113,6237
28856.135645395036,114,6293
29795.96229655014,115,6354
