objective_value,generation,evaluations
51946.60710558717,0,30
56378.844501449625,1,98
50524.54495186873,2,158
48663.60990231893,3,226
50264.02438845675,4,304
53201.47081943515,5,375
53401.68479302048,6,438
39754.23023872617,7,506
44473.23801328984,8,568
43679.84692659436,9,635
44727.757633047404,10,704
35156.02738395819,11,765
34686.03054800545,12,849
35691.4221024351,13,915
35559.223380007796,14,997
53909.18008258988,15,1067
32688.448274038394,16,1141
34098.101718288155,17,1203
31389.215099461922,18,1271
32911.49717661283,19,1347
31949.07096858457,20,1422
32681.200471050455,21,1494
29673.425149600575,22,1561
30343.735910278476,23,1628
29882.1299532491,24,1713
28616.938687530277,25,1782
30766.14008808014,26,1851
32235.696086151558,27,1910
28921.87335998608,28,1979
34826.53359274137,29,2042
31782.418462374117,30,2121
39939.82776942806,31,2186
33187.450295392824,32,2254
40104.71699147097,33,2321
34741.37068109519,34,2384
32492.707906502575,35,2444
31945.0497277182,36,2524
29378.00247287327,37,2587
35056.19955228187,38,2645
31366.39977729613,39,2717
27278.346400425602,40,2785
27074.561621519417,41,2843
26529.39634700731,42,2909
29034.71661296265,43,2979
31842.3934892384,44,3050
30446.70007329931,45,3116
30352.55939498491,46,3175
27717.835027244724,47,3238
25595.851421843603,48,3315
25499.71127453431,49,3386
24084.740599848603,50,3444
25203.220425980107,51,3518
23517.276825716184,52,3588
25213.952058285497,53,3655
31836.53892284572,54,3716
22045.520395047584,55,3788
28859.106322553398,56,3869
24593.915441178804,57,3950
27352.753722531488,58,4027
24426.215840294608,59,4093
21660.218639700146,60,4158
21503.285377109016,61,4221
22090.093585390703,62,4302
23537.943691898174,63,4365
21697.29186019794,64,4428
22357.952584264578,65,4497
20182.40378858032,66,4570
20996.37320106461,67,4633
20316.208427525624,68,4701
23251.560625927228,69,4780
23209.278214467628,70,4842
22632.193975332742,71,4906
22193.57348891062,72,4975
21394.133481016495,73,5048
21515.252746446524,74,5108
19985.13876628389,75,5174
21810.975599967613,76,5242
19891.018044640594,77,5311
18096.170561958195,78,5391
22809.346674711487,79,5451
20654.231920626476,80,5515
20429.053768426744,81,5578
21657.218951397168,82,5654
18747.8022834415,83,5723
19974.472453637467,84,5792
20873.082271885676,85,5862
22252.145711535668,86,5929
21974.42699175116,87,5989
21370.838785499414,88,6068
20229.282094865444,89,6133
19706.729317636247,90,6192
24464.269831185426,91,6266
20087.45088801691,92,6327
25439.12441889828,93,6390
23117.02751070413,94,6458
24213.68425535985,95,6515
22841.58089276983,96,6584
24471.759756403906,97,6654
24716.334236122413,98,6726
21256.46587585258,99,6784
22537.619979406776,100,6860
20936.00277338996,101,6916
20951.538888642717,102,6996
20279.94995906452,103,7062
22283.927810959725,104,7125
20865.821366824308,105,7194
23810.432799958344,106,7264
23280.427943193037,107,7336
23384.527749565474,108,7395
19387.37598207535,109,7455
21699.94399185903,110,7526
24159.013316710716,111,7590
23438.114643145487,112,7659
23180.267896875197,113,7724
20659.3303735389,114,7802
19439.347735046074,115,7870
19975.42408465586,116,7937
22436.626724588124,117,8013
23092.64518784953,118,8072
23802.673214401773,119,8135
