objective_value,generation,evaluations
19545167.48494373,0,30
18132269.88697589,1,95
16050107.411279306,2,147
12846424.808739096,3,215
10171478.817351267,4,263
8581714.509908201,5,308
2210340.1952031557,6,356
1736849.8570553923,7,391
1114121.6138434391,8,437
354562.0375690767,9,498
216910.71312247484,10,541
154317.24804791773,11,582
154317.24804791773,12,632
69914.98048960864,13,694
69914.98048960864,14,749
69914.98048960864,15,812
50193.18100071318,16,878
50193.18100071318,17,928
50193.18100071318,18,983
50193.18100071318,19,1037
50193.18100071318,20,1091
23067.982354825584,21,1140
23067.982354825584,22,1184
23067.982354825584,23,1234
23067.982354825584,24,1276
23067.982354825584,25,1318
23067.982354825584,26,1371
23067.982354825584,27,1429
23067.982354825584,28,1480
23067.982354825584,29,1527
23067.982354825584,30,1580
23067.982354825584,31,1622
23067.982354825584,32,1666
23067.982354825584,33,1714
23067.982354825584,34,1764
23067.982354825584,35,1816
23067.982354825584,36,1857
23067.982354825584,37,1903
23067.982354825584,38,1957
23067.982354825584,39,2005
23067.982354825584,40,2053
23067.982354825584,41,2100
23067.982354825584,42,2154
23067.982354825584,43,2206
23067.982354825584,44,2258
23067.982354825584,45,2308
23067.982354825584,46,2355
23067.982354825584,47,2404
23067.982354825584,48,2451
23067.982354825584,49,2496
23067.982354825584,50,2545
23067.982354825584,51,2593
23067.982354825584,52,2642
23067.982354825584,53,2690
23067.982354825584,54,2745
23067.982354825584,55,2789
23067.982354825584,56,2842
23067.982354825584,57,2884
23067.982354825584,58,2927
9695.78612878434,59,2975
9695.78612878434,60,3019
9695.78612878434,61,3059
9695.78612878434,62,3101
9695.78612878434,63,3145
9695.78612878434,64,3182
9695.78612878434,65,3231
9695.78612878434,66,3273
9695.78612878434,67,3317
9695.78612878434,68,3367
9695.78612878434,69,3411
9695.78612878434,70,3462
9695.78612878434,71,3509
9695.78612878434,72,3551
9695.78612878434,73,3598
9695.78612878434,74,3644
9695.78612878434,75,3696
9695.78612878434,76,3741
9695.78612878434,77,3785
9695.78612878434,78,3826
9695.78612878434,79,3872
9695.78612878434,80,3921
9695.78612878434,81,3971
9695.78612878434,82,4021
9695.78612878434,83,4069
9695.78612878434,84,4120
9695.78612878434,85,4168
9695.78612878434,86,4218
