objective_value,generation,evaluations
-0.08015422741252232,0,30
-0.08015422741252232,1,60
-0.08015422741252232,2,92
-0.08015422741252232,3,125
-0.6692410016220792,4,158
-0.6692410016220792,5,189
-0.6692410016220792,6,223
-0.6692410016220792,7,254
-0.6692410016220792,8,286
-0.6692410016220792,9,316
-0.6692410016220792,10,348
-0.6692410016220792,11,381
-0.6692410016220792,12,411
-0.6692410016220792,13,444
-0.6692410016220792,14,474
-0.6692410016220792,15,508
-0.6692410016220792,16,538
-0.6692410016220792,17,569
-0.6692410016220792,18,601
-0.6692410016220792,19,634
-0.6692410016220792,20,670
-0.6692410016220792,21,703
-0.6692410016220792,22,738
-0.6692410016220792,23,771
-0.6692410016220792,24,801
-0.6692410016220792,25,834
-0.6692410016220792,26,866
-0.6692410016220792,27,902
-0.6692410016220792,28,936
-0.6692410016220792,29,967
-0.6692410016220792,30,1006
-0.6692410016220792,31,1042
-0.6692410016220792,32,1081
-0.6692410016220792,33,1117
-0.6692410016220792,34,1157
-0.6692410016220792,35,1194
-0.6692410016220792,36,1234
-0.6692410016220792,37,1269
-0.6692410016220792,38,1305
-0.6692410016220792,39,1339
-0.9649911915492166,40,1375
-0.9649911915492166,41,1413
-0.9649911915492166,42,1449
-0.9649911915492166,43,1487
-0.9649911915492166,44,1519
-0.9649911915492166,45,1554
-0.9649911915492166,46,1591
-0.9649911915492166,47,1629
-0.9649911915492166,48,1669
-0.9649911915492166,49,1712
-0.9649911915492166,50,1750
-0.9649911915492166,51,1788
-0.9649911915492166,52,1825
-0.9649911915492166,53,1858
-0.9649911915492166,54,1898
-0.9649911915492166,55,1936
-0.9649911915492166,56,1974
-0.9649911915492166,57,2013
-0.9649911915492166,58,2051
-0.9649911915492166,59,2088
-0.9649911915492166,60,2133
-0.9649911915492166,61,2173
-0.9649911915492166,62,2210
-0.9649911915492166,63,2254
-0.9649911915492166,64,2297
-0.9649911915492166,65,2336
-0.9649911915492166,66,2375
-0.9649911915492166,67,2417
-0.9649911915492166,68,2455
-0.9649911915492166,69,2492
-0.9649911915492166,70,2530
-0.9649911915492166,71,2567
-0.9649911915492166,72,2610
-0.9649911915492166,73,2650
-0.9649911915492166,74,2686
-0.9649911915492166,75,2726
-0.9649911915492166,76,2764
-0.9649911915492166,77,2802
-0.9649911915492166,78,2843
-0.9649911915492166,79,2884
-0.9649911915492166,80,2923
-0.9649911915492166,81,2966
-0.9649911915492166,82,3006
-0.9649911915492166,83,3049
-0.9649911915492166,84,3088
-0.9649911915492166,85,3125
-0.9649911915492166,86,3167
-0.9649911915492166,87,3211
-0.9649911915492166,88,3249
-0.9649911915492166,89,3288
-0.9649911915492166,90,3330
-0.9649911915492166,91,3370
-0.9649911915492166,92,3412
-0.9649911915492166,93,3456
-0.9649911915492166,94,3498
-0.9649911915492166,95,3538
-0.9649911915492166,96,3581
-0.9649911915492166,97,3618
-0.9649911915492166,98,3660
-0.9649911915492166,99,3702
-0.9649911915492166,100,3738
-0.9649911915492166,101,3778
-0.9649911915492166,102,3817
-0.9649911915492166,103,3853
-0.9649911915492166,104,3889
-0.9649911915492166,105,3931
-0.9649911915492166,106,3971
-0.9649911915492166,107,4014
-0.9649911915492166,108,4051
