objective_value,generation,evaluations
3171025.9064696855,0,30
3032762.1004018355,1,96
2902209.656305876,2,145
2424045.251276685,3,223
2304363.79846588,4,265
2049482.2133431386,5,310
1496967.870060558,6,351
1360547.2368343465,7,391
1083890.7020087482,8,433
935254.6473863508,9,490
691078.3109681667,10,550
685776.2488403693,11,597
626889.4166081735,12,644
626889.4166081735,13,692
592923.6812869257,14,743
592923.6812869257,15,792
592923.6812869257,16,855
494880.83519546204,17,916
494880.83519546204,18,950
487098.7300401578,19,993
487098.7300401578,20,1037
428964.9513148523,21,1079
428964.9513148523,22,1123
428964.9513148523,23,1167
425738.606975665,24,1217
425738.606975665,25,1261
425738.606975665,26,1305
425738.606975665,27,1360
425738.606975665,28,1421
425738.606975665,29,1484
425738.606975665,30,1542
425738.606975665,31,1598
425738.606975665,32,1651
425738.606975665,33,1697
425738.606975665,34,1749
425738.606975665,35,1798
423227.9092223666,36,1838
418841.4871020876,37,1884
383945.79351867735,38,1926
383945.79351867735,39,1959
360738.34462707187,40,1994
360738.34462707187,41,2028
360738.34462707187,42,2063
360738.34462707187,43,2097
360738.34462707187,44,2132
360738.34462707187,45,2171
360738.34462707187,46,2210
360738.34462707187,47,2244
360738.34462707187,48,2285
359120.2899052782,49,2323
359120.2899052782,50,2368
359120.2899052782,51,2408
359120.2899052782,52,2451
353234.5396622664,53,2495
353234.5396622664,54,2550
353234.5396622664,55,2599
347430.8996953004,56,2649
347430.8996953004,57,2696
347430.8996953004,58,2749
347430.8996953004,59,2796
347430.8996953004,60,2839
347430.8996953004,61,2890
347430.8996953004,62,2943
335706.42812242603,63,2989
335706.42812242603,64,3042
327269.2730675876,65,3094
324581.61479086516,66,3141
300651.13428280666,67,3186
300651.13428280666,68,3228
296754.3230800037,69,3270
275774.0343160616,70,3315
275774.0343160616,71,3359
275774.0343160616,72,3397
259928.21650098872,73,3450
259928.21650098872,74,3495
259928.21650098872,75,3537
259928.21650098872,76,3580
259928.21650098872,77,3628
248342.1443582749,78,3679
246932.56560491957,79,3733
246932.56560491957,80,3789
241911.03531215223,81,3838
241911.03531215223,82,3894
221538.91857419675,83,3943
221538.91857419675,84,3986
209211.30893550895,85,4027
209211.30893550895,86,4072
209211.30893550895,87,4120
209211.30893550895,88,4169
209211.30893550895,89,4222
209211.30893550895,90,4282
209211.30893550895,91,4321
201426.14573931677,92,4372
201426.14573931677,93,4421
201426.14573931677,94,4465
189433.82735678638,95,4521
189433.82735678638,96,4568
189433.82735678638,97,4610
189433.82735678638,98,4651
179563.01804441752,99,4698
179563.01804441752,100,4749
179563.01804441752,101,4790
179563.01804441752,102,4838
179563.01804441752,103,4881
179563.01804441752,104,4929
179563.01804441752,105,4973
173193.75911953388,106,5023
173193.75911953388,107,5068
173193.75911953388,108,5110
165793.87850256433,109,5159
165793.87850256433,110,5202
165793.87850256433,111,5245
165793.87850256433,112,5292
165793.87850256433,113,5341
165793.87850256433,114,5384
165793.87850256433,115,5433
165793.87850256433,116,5480
165793.87850256433,117,5521
165793.87850256433,118,5563
165793.87850256433,119,5615
165793.87850256433,120,5662
165793.87850256433,121,5716
165793.87850256433,122,5762
165793.87850256433,123,5810
165793.87850256433,124,5861
165793.87850256433,125,5910
165793.87850256433,126,5959
165793.87850256433,127,6007
165793.87850256433,128,6054
165793.87850256433,129,6108
165793.87850256433,130,6150
165793.87850256433,131,6206
165793.87850256433,132,6251
165793.87850256433,133,6301
165793.87850256433,134,6347
165793.87850256433,135,6391
165793.87850256433,136,6436
165793.87850256433,137,6484
160468.5090148004,138,6535
160468.5090148004,139,6577
160468.5090148004,140,6628
160468.5090148004,141,6676
160468.5090148004,142,6727
160468.5090148004,143,6773
160468.5090148004,144,6825
159632.31573500193,145,6873
159632.31573500193,146,6924
159632.31573500193,147,6986
158394.27176016968,148,7035
158394.27176016968,149,7085
154025.6327325077,150,7133
154025.6327325077,151,7178
146603.2024293143,152,7223
146603.2024293143,153,7274
146603.2024293143,154,7320
146603.2024293143,155,7363
146603.2024293143,156,7411
146603.2024293143,157,7453
144037.8726357144,158,7512
144037.8726357144,159,7564
144037.8726357144,160,7608
144037.8726357144,161,7657
144037.8726357144,162,7705
140332.72644860533,163,7752
140332.72644860533,164,7798
138326.1872085758,165,7841
138326.1872085758,166,7891
122703.79528148296,167,7933
122703.79528148296,168,7970
122703.79528148296,169,8008
122703.79528148296,170,8043
122703.79528148296,171,8077
122703.79528148296,172,8118
122703.79528148296,173,8157
122703.79528148296,174,8193
122703.79528148296,175,8229
122703.79528148296,176,8267
122703.79528148296,177,8308
122703.79528148296,178,8343
122703.79528148296,179,8382
122703.79528148296,180,8423
122703.79528148296,181,8463
122703.79528148296,182,8507
122703.79528148296,183,8544
122703.79528148296,184,8588
122703.79528148296,185,8623
122703.79528148296,186,8661
114614.9755583695,187,8702
114614.9755583695,188,8738
114614.9755583695,189,8776
114614.9755583695,190,8815
114614.9755583695,191,8862
114614.9755583695,192,8903
114614.9755583695,193,8944
114614.9755583695,194,8980
114614.9755583695,195,9023
114614.9755583695,196,9065
114614.9755583695,197,9102
114614.9755583695,198,9141
114614.9755583695,199,9183
114614.9755583695,200,9223
109817.0884244662,201,9261
109817.0884244662,202,9307
109817.0884244662,203,9349
109817.0884244662,204,9391
109817.0884244662,205,9440
109817.0884244662,206,9490
107788.91793956925,207,9541
107788.91793956925,208,9587
107788.91793956925,209,9634
107788.91793956925,210,9684
107788.91793956925,211,9725
107788.91793956925,212,9781
107788.91793956925,213,9827
107788.91793956925,214,9881
107788.91793956925,215,9933
107788.91793956925,216,9983
107788.91793956925,217,10033
107788.91793956925,218,10080
107788.91793956925,219,10133
107788.91793956925,220,10182
107788.91793956925,221,10232
107788.91793956925,222,10280
107788.91793956925,223,10336
107788.91793956925,224,10390
107788.91793956925,225,10447
107788.91793956925,226,10494
107788.91793956925,227,10553
107788.91793956925,228,10606
107788.91793956925,229,10660
107788.91793956925,230,10719
107788.91793956925,231,10776
107788.91793956925,232,10831
107788.91793956925,233,10885
107788.91793956925,234,10939
105331.08455396678,235,10994
105331.08455396678,236,11039
105331.08455396678,237,11084
105331.08455396678,238,11130
102940.79692492215,239,11174
102940.79692492215,240,11216
102940.79692492215,241,11262
102940.79692492215,242,11316
102940.79692492215,243,11366
102940.79692492215,244,11410
102940.79692492215,245,11456
102940.79692492215,246,11507
102940.79692492215,247,11552
102940.79692492215,248,11608
102940.79692492215,249,11660
102940.79692492215,250,11711
102940.79692492215,251,11760
102940.79692492215,252,11809
102940.79692492215,253,11849
102940.79692492215,254,11898
102940.79692492215,255,11936
102940.79692492215,256,11979
102940.79692492215,257,12024
102940.79692492215,258,12072
102940.79692492215,259,12122
102940.79692492215,260,12170
102940.79692492215,261,12222
102940.79692492215,262,12268
102940.79692492215,263,12313
102940.79692492215,264,12366
102940.79692492215,265,12420
102940.79692492215,266,12480
102940.79692492215,267,12529
102940.79692492215,268,12578
102940.79692492215,269,12630
102940.79692492215,270,12678
102940.79692492215,271,12729
102940.79692492215,272,12769
102940.79692492215,273,12815
102940.79692492215,274,12864
102940.79692492215,275,12911
102940.79692492215,276,12958
102940.79692492215,277,13008
102940.79692492215,278,13050
102940.79692492215,279,13101
102940.79692492215,280,13149
102940.79692492215,281,13199
102940.79692492215,282,13247
102940.79692492215,283,13298
102940.79692492215,284,13344
102940.79692492215,285,13387
102940.79692492215,286,13431
100507.01549136813,287,13478
100507.01549136813,288,13520
100507.01549136813,289,13567
100507.01549136813,290,13609
100507.01549136813,291,13650
100507.01549136813,292,13695
100507.01549136813,293,13740
100507.01549136813,294,13788
100507.01549136813,295,13833
100507.01549136813,296,13880
100507.01549136813,297,13928
100507.01549136813,298,13978
100507.01549136813,299,14031
100507.01549136813,300,14079
100507.01549136813,301,14123
100507.01549136813,302,14169
100507.01549136813,303,14220
100507.01549136813,304,14277
100507.01549136813,305,14322
100507.01549136813,306,14369
100507.01549136813,307,14410
100507.01549136813,308,14464
100507.01549136813,309,14513
100507.01549136813,310,14563
100507.01549136813,311,14601
100507.01549136813,312,14645
100507.01549136813,313,14696
100507.01549136813,314,14747
100507.01549136813,315,14793
100507.01549136813,316,14841
100507.01549136813,317,14889
100507.01549136813,318,14938
100507.01549136813,319,14988
100507.01549136813,320,15032
100507.01549136813,321,15074
93612.1008049731,322,15120
93612.1008049731,323,15159
93612.1008049731,324,15196
93612.1008049731,325,15233
93612.1008049731,326,15273
93612.1008049731,327,15309
93612.1008049731,328,15347
93612.1008049731,329,15387
93612.1008049731,330,15423
93612.1008049731,331,15462
93612.1008049731,332,15506
93612.1008049731,333,15542
93612.1008049731,334,15582
93612.1008049731,335,15620
93612.1008049731,336,15655
93612.1008049731,337,15695
