objective_value,generation,evaluations
18.246284716583684,0,30
8.285557936075252,1,98
4.724545968672711,2,158
3.355414528097248,3,234
3.0950550845690574,4,297
3.03546328205027,5,371
3.03546328205027,6,432
3.03546328205027,7,487
3.03546328205027,8,534
3.03546328205027,9,583
3.03546328205027,10,635
3.03546328205027,11,694
3.03546328205027,12,752
3.03546328205027,13,808
3.03546328205027,14,864
3.03546328205027,15,918
3.025579243425658,16,980
3.025579243425658,17,1041
3.025579243425658,18,1096
3.025579243425658,19,1162
3.025579243425658,20,1231
3.025579243425658,21,1282
3.025579243425658,22,1338
3.025579243425658,23,1390
3.025579243425658,24,1448
3.025579243425658,25,1508
3.025579243425658,26,1565
3.025579243425658,27,1633
3.025579243425658,28,1700
3.025579243425658,29,1760
3.025579243425658,30,1819
3.025579243425658,31,1877
3.008479962931949,32,1939
3.008479962931949,33,1998
3.008479962931949,34,2052
3.008479962931949,35,2113
3.008479962931949,36,2178
3.008479962931949,37,2250
3.008479962931949,38,2302
3.008479962931949,39,2356
3.008479962931949,40,2420
3.008479962931949,41,2479
3.008479962931949,42,2543
3.008479962931949,43,2601
3.0039911007323856,44,2667
3.0039911007323856,45,2723
3.0039911007323856,46,2784
3.0039911007323856,47,2853
3.0039911007323856,48,2913
3.0039911007323856,49,2978
3.0039911007323856,50,3046
3.0039911007323856,51,3104
3.0039911007323856,52,3157
3.0039911007323856,53,3219
3.0039911007323856,54,3273
3.0039911007323856,55,3331
3.0039911007323856,56,3384
3.0039911007323856,57,3443
3.0039911007323856,58,3514
3.0039911007323856,59,3580
3.0039911007323856,60,3639
3.0039911007323856,61,3698
3.0039911007323856,62,3759
3.0039911007323856,63,3825
3.0039911007323856,64,3887
3.0039911007323856,65,3951
3.0039911007323856,66,4011
3.0039911007323856,67,4074
3.0039911007323856,68,4138
3.0039911007323856,69,4200
3.0039911007323856,70,4262
3.0039911007323856,71,4324
3.0039911007323856,72,4381
3.0039911007323856,73,4436
3.0039911007323856,74,4494
3.0039911007323856,75,4557
3.0039911007323856,76,4613
3.0039911007323856,77,4665
3.0039911007323856,78,4728
3.0039911007323856,79,4772
