objective_value,generation,evaluations
4050620.11839584,0,30
3932229.838167303,1,101
3717606.251438907,2,157
3465634.563502403,3,203
3173558.2918670992,4,244
3173558.2918670992,5,282
2982134.069312875,6,334
2541330.8781268504,7,393
2468617.0586048234,8,432
2316908.8347953856,9,481
2056471.6140622238,10,548
2007386.6473071792,11,589
1818171.2648412865,12,648
1735098.9416476786,13,689
1700401.6240911162,14,739
1167373.5347574498,15,801
1140382.6369386697,16,836
1049431.4730257157,17,876
936571.0552403529,18,941
934604.300646495,19,982
760588.845009297,20,1036
755660.5378813563,21,1070
674042.8358653203,22,1109
674042.8358653203,23,1149
654029.3846205507,24,1210
651844.7791384116,25,1253
584992.6596078018,26,1316
580346.0185142624,27,1354
553892.981609301,28,1393
470787.62711637194,29,1442
458848.834935165,30,1492
443335.5630134503,31,1538
412472.0400342125,32,1605
390207.28940728615,33,1657
371302.9479728146,34,1701
356001.2356238139,35,1748
340839.665805434,36,1797
340839.665805434,37,1842
340154.1825171122,38,1884
321261.4242483783,39,1937
316818.5882540133,40,1986
316162.0839989468,41,2030
296429.96910086425,42,2073
288412.5589575089,43,2109
253064.78148972098,44,2154
251538.30157128145,45,2197
223714.3886626479,46,2250
213475.545616462,47,2305
210660.54637944716,48,2362
194331.88541214014,49,2411
187034.4955039225,50,2462
181632.6636873664,51,2523
171639.98486098708,52,2566
166693.4766883962,53,2611
154829.34749398087,54,2658
154829.34749398087,55,2705
154005.8726164157,56,2749
142333.70667693627,57,2803
133065.56034086365,58,2847
133065.56034086365,59,2887
133065.56034086365,60,2941
120340.6546465461,61,2997
110459.75836736549,62,3044
104278.74784148695,63,3082
101997.24195310137,64,3130
91384.87062109174,65,3175
89378.27635440994,66,3229
79727.90562339556,67,3287
71285.4231370126,68,3337
65613.27385199572,69,3383
57110.516116951156,70,3435
56141.197184890734,71,3491
53920.723899933466,72,3554
50556.941068085536,73,3610
46504.35704942747,74,3658
42638.06126685108,75,3698
42638.06126685108,76,3741
39404.25203171782,77,3793
35957.59897355402,78,3854
34266.46264262891,79,3898
31989.495925754352,80,3960
30735.63638829718,81,4004
30735.63638829718,82,4051
30735.63638829718,83,4099
30735.63638829718,84,4160
28799.119974607274,85,4219
28799.119974607274,86,4265
27036.56245411136,87,4315
27036.56245411136,88,4358
23816.626457466486,89,4404
23816.626457466486,90,4441
23534.698681579066,91,4481
22029.34160570373,92,4528
22029.34160570373,93,4578
21111.983699723885,94,4630
21111.983699723885,95,4688
20864.582383624984,96,4748
18860.8041996293,97,4805
18041.30856437862,98,4851
16842.534484596363,99,4894
15029.707028663766,100,4941
14755.862983487588,101,4987
13584.38180671477,102,5031
12785.351439256001,103,5077
12785.351439256001,104,5132
12785.351439256001,105,5183
11828.267028573198,106,5238
11828.267028573198,107,5294
11828.267028573198,108,5348
11059.90308416211,109,5404
11059.90308416211,110,5451
11059.90308416211,111,5500
11059.90308416211,112,5553
11021.625113564613,113,5616
10776.416268213625,114,5669
10126.22131870367,115,5725
8681.005853872666,116,5773
7604.619965095674,117,5814
7604.619965095674,118,5848
7604.619965095674,119,5884
7604.619965095674,120,5932
7604.619965095674,121,5990
6838.120577202307,122,6052
6063.695803241173,123,6102
6063.695803241173,124,6144
6063.695803241173,125,6190
5962.717118880136,126,6238
5962.717118880136,127,6286
5962.717118880136,128,6338
5310.58699944958,129,6398
4799.865557573233,130,6446
4799.865557573233,131,6487
4799.865557573233,132,6528
4520.632984883868,133,6577
4520.632984883868,134,6620
4222.581457880365,135,6671
4222.581457880365,136,6717
3950.449183838035,137,6761
