objective_value,generation,evaluations
3349.9391354887093,0,30
3064.397030378087,1,90
2525.515427467443,2,138
2525.515427467443,3,171
2525.515427467443,4,210
2525.515427467443,5,253
2525.515427467443,6,294
2472.999902368756,7,340
2138.946488870055,8,379
2138.946488870055,9,414
2138.946488870055,10,456
2138.946488870055,11,498
2138.946488870055,12,541
2138.946488870055,13,587
2138.946488870055,14,636
2138.946488870055,15,686
2138.946488870055,16,729
2138.946488870055,17,774
2138.946488870055,18,824
2138.946488870055,19,873
2138.946488870055,20,923
2138.946488870055,21,975
2138.946488870055,22,1016
2138.946488870055,23,1066
2138.946488870055,24,1109
2138.946488870055,25,1156
2138.946488870055,26,1196
2138.946488870055,27,1242
2138.946488870055,28,1285
2138.946488870055,29,1333
2138.946488870055,30,1376
2138.946488870055,31,1422
2138.946488870055,32,1473
2138.946488870055,33,1522
2138.946488870055,34,1566
2138.946488870055,35,1604
2122.431394862439,36,1648
2122.431394862439,37,1694
2019.8471612596359,38,1736
2019.8471612596359,39,1774
2019.8471612596359,40,1820
2019.8471612596359,41,1864
2019.8471612596359,42,1908
2019.8471612596359,43,1954
2019.8471612596359,44,1993
1853.5380110079245,45,2038
1850.1277361675043,46,2073
1850.1277361675043,47,2112
1850.1277361675043,48,2149
1850.1277361675043,49,2184
1850.1277361675043,50,2225
1778.2440835504303,51,2267
1778.2440835504303,52,2314
1778.2440835504303,53,2357
1778.2440835504303,54,2400
1778.2440835504303,55,2441
1778.2440835504303,56,2489
1778.2440835504303,57,2533
1778.2440835504303,58,2580
1778.2440835504303,59,2628
1778.2440835504303,60,2674
1778.2440835504303,61,2719
1778.2440835504303,62,2772
1778.2440835504303,63,2819
1778.2440835504303,64,2867
1778.2440835504303,65,2912
1778.2440835504303,66,2972
1778.2440835504303,67,3019
1778.2440835504303,68,3077
1778.2440835504303,69,3126
1643.189526829557,70,3182
1643.189526829557,71,3222
1643.189526829557,72,3262
1643.189526829557,73,3306
1643.189526829557,74,3347
1643.189526829557,75,3389
1643.189526829557,76,3429
1643.189526829557,77,3470
1643.189526829557,78,3505
1643.189526829557,79,3547
1643.189526829557,80,3586
1643.189526829557,81,3624
1568.791707696662,82,3663
1568.791707696662,83,3703
1568.791707696662,84,3739
1568.791707696662,85,3772
1568.791707696662,86,3808
1568.791707696662,87,3846
1568.791707696662,88,3883
1568.791707696662,89,3921
1568.791707696662,90,3957
1568.791707696662,91,3993
1568.791707696662,92,4029
1568.791707696662,93,4068
1568.791707696662,94,4107
1568.791707696662,95,4142
1568.791707696662,96,4179
1557.4953283710993,97,4221
1557.4953283710993,98,4264
1557.4953283710993,99,4301
1557.4953283710993,100,4346
1557.4953283710993,101,4391
1557.4953283710993,102,4429
1557.4953283710993,103,4475
1557.4953283710993,104,4516
1557.4953283710993,105,4560
1557.4953283710993,106,4611
1557.4953283710993,107,4658
1557.4953283710993,108,4703
1557.4953283710993,109,4748
1557.4953283710993,110,4788
1557.4953283710993,111,4835
1557.4953283710993,112,4887
1557.4953283710993,113,4931
1557.4953283710993,114,4977
1557.4953283710993,115,5027
1557.4953283710993,116,5071
1557.4953283710993,117,5120
1557.4953283710993,118,5167
1557.4953283710993,119,5219
1557.4953283710993,120,5269
1557.4953283710993,121,5318
1557.4953283710993,122,5360
1557.4953283710993,123,5408
1557.4953283710993,124,5452
1557.4953283710993,125,5501
1557.4953283710993,126,5542
1557.4953283710993,127,5594
1557.4953283710993,128,5639
1557.4953283710993,129,5686
1557.4953283710993,130,5731
1557.4953283710993,131,5781
1557.4953283710993,132,5825
1557.4953283710993,133,5877
1557.4953283710993,134,5925
1557.4953283710993,135,5973
1557.4953283710993,136,6017
1557.4953283710993,137,6057
1557.4953283710993,138,6100
1557.4953283710993,139,6146
1557.4953283710993,140,6190
1557.4953283710993,141,6239
1557.4953283710993,142,6291
1557.4953283710993,143,6342
1557.4953283710993,144,6391
1557.4953283710993,145,6438
1557.4953283710993,146,6486
1557.4953283710993,147,6540
1557.4953283710993,148,6585
1557.4953283710993,149,6635
1557.4953283710993,150,6683
1557.4953283710993,151,6728
1557.4953283710993,152,6781
1557.4953283710993,153,6828
1557.4953283710993,154,6880
1557.4953283710993,155,6923
1557.4953283710993,156,6976
1557.4953283710993,157,7031
1557.4953283710993,158,7083
1557.4953283710993,159,7134
1557.4953283710993,160,7186
1557.4953283710993,161,7236
1557.4953283710993,162,7280
1557.4953283710993,163,7329
1557.4953283710993,164,7377
1557.4953283710993,165,7434
1557.4953283710993,166,7485
1557.4953283710993,167,7539
1557.4953283710993,168,7591
1557.4953283710993,169,7636
1557.4953283710993,170,7689
1557.4953283710993,171,7739
1557.4953283710993,172,7784
1557.4953283710993,173,7826
1557.4953283710993,174,7869
1557.4953283710993,175,7913
1557.4953283710993,176,7957
1557.4953283710993,177,8009
1557.4953283710993,178,8051
1557.4953283710993,179,8095
1557.4953283710993,180,8146
1557.4953283710993,181,8191
1557.4953283710993,182,8235
1557.4953283710993,183,8278
1557.4953283710993,184,8324
1557.4953283710993,185,8371
1557.4953283710993,186,8421
1557.4953283710993,187,8472
1557.4953283710993,188,8526
1557.4953283710993,189,8576
1557.4953283710993,190,8623
1557.4953283710993,191,8672
1557.4953283710993,192,8718
1557.4953283710993,193,8769
1557.4953283710993,194,8814
1557.4953283710993,195,8863
1557.4953283710993,196,8910
1557.4953283710993,197,8961
1557.4953283710993,198,9013
1557.4953283710993,199,9061
1557.4953283710993,200,9113
1557.4953283710993,201,9161
1557.4953283710993,202,9206
1557.4953283710993,203,9253
1557.4953283710993,204,9297
1557.4953283710993,205,9343
1557.4953283710993,206,9390
1557.4953283710993,207,9438
1557.4953283710993,208,9486
1557.4953283710993,209,9527
1557.4953283710993,210,9569
1557.4953283710993,211,9615
1557.4953283710993,212,9664
1557.4953283710993,213,9713
1557.4953283710993,214,9760
1557.4953283710993,215,9807
1557.4953283710993,216,9853
1557.4953283710993,217,9895
1557.4953283710993,218,9940
1557.4953283710993,219,9986
1557.4953283710993,220,10032
1557.4953283710993,221,10081
1557.4953283710993,222,10126
1557.4953283710993,223,10172
1557.4953283710993,224,10217
1557.4953283710993,225,10261
1557.4953283710993,226,10305
1557.4953283710993,227,10348
1557.4953283710993,228,10386
1557.4953283710993,229,10435
1557.4953283710993,230,10475
1557.4953283710993,231,10517
1557.4953283710993,232,10559
1557.4953283710993,233,10607
1557.4953283710993,234,10650
1557.4953283710993,235,10697
1557.4953283710993,236,10748
1557.4953283710993,237,10794
1557.4953283710993,238,10833
1557.4953283710993,239,10880
1557.4953283710993,240,10927
1557.4953283710993,241,10974
1557.4953283710993,242,11020
1557.4953283710993,243,11065
1557.4953283710993,244,11113
1557.4953283710993,245,11159
1557.4953283710993,246,11202
1557.4953283710993,247,11245
1557.4953283710993,248,11296
1557.4953283710993,249,11339
1557.4953283710993,250,11382
1557.4953283710993,251,11423
1557.4953283710993,252,11466
1557.4953283710993,253,11514
1557.4953283710993,254,11560
1557.4953283710993,255,11604
1557.4953283710993,256,11648
1557.4953283710993,257,11690
1557.4953283710993,258,11738
1557.4953283710993,259,11780
1557.4953283710993,260,11821
1557.4953283710993,261,11863
1557.4953283710993,262,11903
1557.4953283710993,263,11950
1557.4953283710993,264,11994
1557.4953283710993,265,12042
1557.4953283710993,266,12084
1557.4953283710993,267,12138
1557.4953283710993,268,12181
1557.4953283710993,269,12229
1557.4953283710993,270,12271
1557.4953283710993,271,12320
1557.4953283710993,272,12365
1557.4953283710993,273,12408
1557.4953283710993,274,12458
1557.4953283710993,275,12509
1557.4953283710993,276,12554
1557.4953283710993,277,12597
1557.4953283710993,278,12648
1557.4953283710993,279,12698
1557.4953283710993,280,12747
1557.4953283710993,281,12784
1557.4953283710993,282,12826
1557.4953283710993,283,12866
1557.4953283710993,284,12912
1557.4953283710993,285,12957
1557.4953283710993,286,12999
1557.4953283710993,287,13045
1557.4953283710993,288,13083
1557.4953283710993,289,13125
1557.4953283710993,290,13169
1557.4953283710993,291,13216
1557.4953283710993,292,13261
1557.4953283710993,293,13307
1557.4953283710993,294,13363
1557.4953283710993,295,13411
1557.4953283710993,296,13459
1557.4953283710993,297,13513
1557.4953283710993,298,13560
1557.4953283710993,299,13613
1557.4953283710993,300,13658
1557.4953283710993,301,13708
1557.4953283710993,302,13749
1557.4953283710993,303,13802
1557.4953283710993,304,13849
1557.4953283710993,305,13894
1557.4953283710993,306,13941
1557.4953283710993,307,13995
1557.4953283710993,308,14035
1557.4953283710993,309,14086
1557.4953283710993,310,14135
1557.4953283710993,311,14171
1557.4953283710993,312,14215
1557.4953283710993,313,14263
1557.4953283710993,314,14305
1557.4953283710993,315,14348
1557.4953283710993,316,14401
1557.4953283710993,317,14454
1557.4953283710993,318,14500
1557.4953283710993,319,14551
1557.4953283710993,320,14596
1557.4953283710993,321,14650
1557.4953283710993,322,14696
1557.4953283710993,323,14749
1557.4953283710993,324,14791
1557.4953283710993,325,14835
1557.4953283710993,326,14876
1557.4953283710993,327,14922
1557.4953283710993,328,14967
1557.4953283710993,329,15012
1557.4953283710993,330,15061
1557.4953283710993,331,15106
1557.4953283710993,332,15158
1557.4953283710993,333,15204
1557.4953283710993,334,15249
1557.4953283710993,335,15300
1557.4953283710993,336,15346
1557.4953283710993,337,15400
1557.4953283710993,338,15449
1557.4953283710993,339,15501
1557.4953283710993,340,15551
1557.4953283710993,341,15598
1557.4953283710993,342,15647
1557.4953283710993,343,15688
1557.4953283710993,344,15732
1557.4953283710993,345,15789
1557.4953283710993,346,15838
1557.4953283710993,347,15883
1557.4953283710993,348,15932
1557.4953283710993,349,15974
1557.4953283710993,350,16023
1557.4953283710993,351,16072
1557.4953283710993,352,16125
1557.4953283710993,353,16168
1557.4953283710993,354,16215
1557.4953283710993,355,16266
1557.4953283710993,356,16305
1557.4953283710993,357,16354
1557.4953283710993,358,16397
1557.4953283710993,359,16439
1557.4953283710993,360,16482
1557.4953283710993,361,16527
1557.4953283710993,362,16579
1557.4953283710993,363,16628
1557.4953283710993,364,16675
1557.4953283710993,365,16720
1557.4953283710993,366,16766
1557.4953283710993,367,16812
1557.4953283710993,368,16860
1557.4953283710993,369,16901
1557.4953283710993,370,16951
1557.4953283710993,371,16994
1557.4953283710993,372,17044
1557.4953283710993,373,17090
1557.4953283710993,374,17138
1557.4953283710993,375,17186
1557.4953283710993,376,17230
1557.4953283710993,377,17271
1557.4953283710993,378,17320
1557.4953283710993,379,17372
1557.4953283710993,380,17416
1557.4953283710993,381,17458
1557.4953283710993,382,17502
1557.4953283710993,383,17545
1557.4953283710993,384,17590
1557.4953283710993,385,17638
1557.4953283710993,386,17674
