objective_value,generation,evaluations
-0.5096241402679093,0,30
-0.5932540197972986,1,104
-0.9633352039847738,2,180
-1.0034487677171682,3,219
-1.017419215989553,4,257
-1.0307524748490255,5,312
-1.0307524748490255,6,376
-1.0307524748490255,7,439
-1.0307524748490255,8,502
-1.0307524748490255,9,576
-1.0307524748490255,10,642
-1.0307524748490255,11,701
-1.0307524748490255,12,762
-1.0309481683400283,13,814
-1.0309481683400283,14,865
-1.0309481683400283,15,917
-1.0309481683400283,16,967
-1.0309481683400283,17,1007
-1.0309481683400283,18,1055
-1.0310516283341287,19,1103
-1.0310516283341287,20,1153
-1.0310516283341287,21,1206
-1.0310516283341287,22,1257
-1.0310516283341287,23,1312
-1.0310516283341287,24,1373
-1.0310516283341287,25,1431
-1.0310516283341287,26,1481
-1.0310516283341287,27,1539
-1.0310516283341287,28,1603
-1.0310516283341287,29,1654
-1.0310516283341287,30,1715
-1.0310516283341287,31,1770
-1.0310516283341287,32,1820
-1.0310516283341287,33,1880
-1.0310516283341287,34,1932
-1.0310516283341287,35,2004
-1.0310516283341287,36,2067
-1.0310516283341287,37,2114
-1.0311041035664417,38,2178
-1.0311041035664417,39,2244
-1.0311041035664417,40,2307
-1.0311041035664417,41,2375
-1.0311041035664417,42,2439
-1.0311041035664417,43,2506
-1.0311041035664417,44,2563
-1.0311041035664417,45,2616
-1.031111049624442,46,2680
-1.031111049624442,47,2732
-1.031111049624442,48,2784
-1.031111049624442,49,2841
-1.031111049624442,50,2900
-1.031111049624442,51,2967
-1.031111049624442,52,3034
-1.031111049624442,53,3086
-1.0312443424348159,54,3152
-1.0312443424348159,55,3222
-1.0312443424348159,56,3282
-1.0312443424348159,57,3344
-1.0312443424348159,58,3414
-1.0312443424348159,59,3481
-1.0312443424348159,60,3548
-1.0312443424348159,61,3616
-1.0312443424348159,62,3684
-1.0312443424348159,63,3744
-1.0312443424348159,64,3819
-1.0312443424348159,65,3877
-1.0312443424348159,66,3945
-1.0312443424348159,67,4011
-1.0312443424348159,68,4069
-1.0312443424348159,69,4133
-1.0312443424348159,70,4197
-1.0312443424348159,71,4268
-1.0312443424348159,72,4336
-1.0312443424348159,73,4404
-1.0312443424348159,74,4480
-1.0312443424348159,75,4550
-1.0312443424348159,76,4624
-1.0312443424348159,77,4689
-1.0312443424348159,78,4762
-1.0312443424348159,79,4826
-1.0312443424348159,80,4894
-1.0312443424348159,81,4964
-1.0312443424348159,82,5029
-1.031376311065514,83,5095
-1.031376311065514,84,5160
-1.031376311065514,85,5223
-1.031376311065514,86,5285
-1.031376311065514,87,5364
-1.031376311065514,88,5431
-1.031376311065514,89,5491
-1.031376311065514,90,5559
-1.031376311065514,91,5617
-1.031376311065514,92,5682
-1.031376311065514,93,5757
-1.031376311065514,94,5820
-1.031376311065514,95,5873
-1.031376311065514,96,5932
-1.031376311065514,97,5995
-1.031376311065514,98,6051
-1.031376311065514,99,6113
-1.031376311065514,100,6174
-1.031376311065514,101,6232
-1.031376311065514,102,6298
-1.031376311065514,103,6366
-1.031376311065514,104,6425
-1.031376311065514,105,6490
-1.031376311065514,106,6547
-1.031376311065514,107,6611
-1.031376311065514,108,6663
-1.031376311065514,109,6721
-1.031376311065514,110,6777
-1.031376311065514,111,6827
-1.031376311065514,112,6886
-1.031376311065514,113,6951
-1.031376311065514,114,7006
-1.031376311065514,115,7069
-1.031376311065514,116,7124
-1.031376311065514,117,7178
-1.031376311065514,118,7227
-1.031376311065514,119,7281
-1.031376311065514,120,7334
-1.031376311065514,121,7385
-1.031376311065514,122,7448
-1.031376311065514,123,7509
-1.031376311065514,124,7566
-1.031376311065514,125,7618
-1.031376311065514,126,7664
-1.0314457488485171,127,7714
-1.0314457488485171,128,7765
-1.0314457488485171,129,7819
-1.0314457488485171,130,7875
-1.0314457488485171,131,7924
-1.0314457488485171,132,7972
-1.0314457488485171,133,8024
-1.0314457488485171,134,8083
-1.0314457488485171,135,8130
-1.0314457488485171,136,8188
-1.0314457488485171,137,8243
-1.0314457488485171,138,8297
-1.0314457488485171,139,8353
-1.0314457488485171,140,8403
-1.0314457488485171,141,8454
-1.0314457488485171,142,8512
-1.0314457488485171,143,8564
-1.0314457488485171,144,8619
-1.0314457488485171,145,8670
-1.0314457488485171,146,8718
-1.0314457488485171,147,8759
-1.0314457488485171,148,8807
-1.0314457488485171,149,8847
-1.0314457488485171,150,8902
-1.0314457488485171,151,8959
-1.0314457488485171,152,9011
-1.0314457488485171,153,9063
-1.0314457488485171,154,9107
-1.0314457488485171,155,9153
-1.0314457488485171,156,9203
-1.0314457488485171,157,9245
-1.0314457488485171,158,9297
-1.0314457488485171,159,9344
-1.0314457488485171,160,9397
-1.0314457488485171,161,9450
-1.0314457488485171,162,9501
-1.0314457488485171,163,9552
-1.0314457488485171,164,9598
-1.0314457488485171,165,9654
-1.0314457488485171,166,9703
-1.0314457488485171,167,9760
-1.0314457488485171,168,9814
-1.0314457488485171,169,9869
-1.0314457488485171,170,9923
-1.0314457488485171,171,9976
-1.0314457488485171,172,10031
-1.0314457488485171,173,10079
-1.0314457488485171,174,10127
-1.0314457488485171,175,10173
-1.0314457488485171,176,10221
-1.0314457488485171,177,10266
-1.0314457488485171,178,10311
-1.0314457488485171,179,10358
-1.0314457488485171,180,10414
-1.0314457488485171,181,10472
-1.0314457488485171,182,10518
-1.0314457488485171,183,10565
-1.0314457488485171,184,10624
-1.0314457488485171,185,10668
-1.0314457488485171,186,10722
-1.0314457488485171,187,10770
-1.0314457488485171,188,10818
-1.0314457488485171,189,10871
-1.0314457488485171,190,10929
-1.0314457488485171,191,10988
-1.0314457488485171,192,11036
-1.0314457488485171,193,11082
-1.0314457488485171,194,11135
-1.0314457488485171,195,11181
-1.0314457488485171,196,11230
-1.0314457488485171,197,11277
-1.0314457488485171,198,11328
-1.0314457488485171,199,11376
-1.0314457488485171,200,11420
-1.0314457488485171,201,11471
-1.0314457488485171,202,11520
-1.0314457488485171,203,11575
-1.0314457488485171,204,11621
-1.0314457488485171,205,11671
-1.0314457488485171,206,11729
-1.0314457488485171,207,11784
-1.0314457488485171,208,11836
-1.0314457488485171,209,11885
-1.0314457488485171,210,11936
-1.0314457488485171,211,11979
-1.0314457488485171,212,12033
-1.0314457488485171,213,12088
-1.0314457488485171,214,12146
-1.0314457488485171,215,12201
-1.0314457488485171,216,12250
-1.0314457488485171,217,12305
-1.0315197953224704,218,12355
-1.0315197953224704,219,12406
-1.0315197953224704,220,12457
-1.0315197953224704,221,12508
-1.0315197953224704,222,12556
-1.0315197953224704,223,12611
-1.0315197953224704,224,12664
-1.0315197953224704,225,12719
-1.0315197953224704,226,12772
-1.0315197953224704,227,12827
-1.0315197953224704,228,12880
-1.0315197953224704,229,12931
-1.0315197953224704,230,12981
-1.0315197953224704,231,13029
-1.0315197953224704,232,13084
