objective_value,generation,evaluations
273548.7052723705,0,30
273548.7052723705,1,84
268784.4404349708,2,138
266065.33637525456,3,193
262969.53517570806,4,255
256997.03332160134,5,312
254698.40346506768,6,358
253906.02033581855,7,398
249315.46854163482,8,446
247048.787284231,9,490
244534.11823868268,10,535
236364.30848525907,11,583
233930.32344852772,12,626
230630.93791445254,13,671
221696.72179406314,14,733
219560.43927781977,15,779
207231.63662477114,16,827
205765.4454154094,17,861
203613.88423259428,18,900
200645.51153257626,19,947
197704.22478947835,20,996
197619.7648645494,21,1041
195733.56227655563,22,1094
195733.56227655563,23,1143
191834.24533724558,24,1203
186957.52572681,25,1245
185475.18486635055,26,1283
182537.68248126766,27,1323
174687.0863505906,28,1370
174687.0863505906,29,1417
171349.9061458299,30,1466
170696.139838077,31,1509
166596.3258504281,32,1561
166577.66039364194,33,1620
163926.96467620466,34,1665
161176.53869418518,35,1710
160582.09062895266,36,1748
158898.96059683835,37,1800
158898.96059683835,38,1852
155139.40622436593,39,1901
153740.12208346569,40,1941
150264.1832992297,41,1987
148160.0094141425,42,2032
147823.00505599123,43,2088
132312.9624896515,44,2144
132185.79064653403,45,2178
129779.00270052165,46,2224
128100.45206110984,47,2300
125352.99442234285,48,2340
125022.40560342289,49,2379
124114.59687960672,50,2423
122824.96623760086,51,2476
120460.49127120039,52,2537
119664.73552726125,53,2584
118798.69412134303,54,2628
113314.15273313898,55,2676
112841.386809981,56,2714
110604.19932526037,57,2760
110604.19932526037,58,2812
109666.28899792985,59,2862
109666.28899792985,60,2913
109666.28899792985,61,2954
108066.3875342672,62,2996
107630.01104474544,63,3037
107630.01104474544,64,3089
101962.07142698175,65,3152
101962.07142698175,66,3189
100520.4459808872,67,3233
100016.40247702677,68,3276
97634.44113456931,69,3326
96713.64071312593,70,3379
94942.27052169674,71,3423
94942.27052169674,72,3471
93936.28003341367,73,3517
88649.15158911342,74,3570
88549.81127881209,75,3610
88212.00294165387,76,3651
85184.50380538049,77,3715
84864.88399375729,78,3749
84182.18473045493,79,3786
82477.27955228591,80,3828
81696.28280488754,81,3874
81696.28280488754,82,3923
81173.12824752771,83,3973
80992.91592528943,84,4017
78971.80922116437,85,4072
78389.72437804077,86,4114
78389.72437804077,87,4153
78389.72437804077,88,4207
77786.47362080269,89,4260
76996.34647144165,90,4310
76814.1388205031,91,4360
75011.07311547428,92,4416
75011.07311547428,93,4462
73106.34902542882,94,4522
71074.26523318511,95,4569
70252.57523862443,96,4609
69600.61031285499,97,4659
67958.38084272403,98,4707
67958.38084272403,99,4747
67958.38084272403,100,4796
66438.525932686,101,4849
65297.76646479792,102,4895
62595.88313209197,103,4948
61847.55700206351,104,4990
61702.62323887796,105,5035
60192.402183718055,106,5077
59465.378996285115,107,5131
58936.0536382848,108,5185
57374.90062905981,109,5245
57374.90062905981,110,5288
56412.312987136014,111,5340
55710.85021172356,112,5385
55710.85021172356,113,5428
54740.15393277338,114,5474
52708.95557576526,115,5517
52708.95557576526,116,5551
51981.82045627583,117,5591
50667.81107805521,118,5631
50573.66013390161,119,5684
49569.604746465,120,5733
47157.77240851289,121,5793
45420.364946531765,122,5837
44415.080871657185,123,5877
44415.080871657185,124,5915
43277.25277962743,125,5969
43277.25277962743,126,6018
43277.25277962743,127,6077
41188.66008514522,128,6132
40466.474050061275,129,6171
39517.10337340173,130,6212
38969.23437549388,131,6264
38969.23437549388,132,6311
38067.883847212375,133,6368
37480.21285573211,134,6418
37328.42906269978,135,6463
36257.88482197701,136,6506
36167.690206743864,137,6547
33895.81799134544,138,6595
33895.81799134544,139,6630
32691.623282705685,140,6671
32691.623282705685,141,6713
31691.627657827652,142,6771
31688.874801648482,143,6821
30604.746536032984,144,6870
30253.835235529175,145,6929
29506.578365736998,146,6981
29506.578365736998,147,7021
29290.44151264828,148,7068
29290.44151264828,149,7116
29203.60741274707,150,7169
29126.232530975474,151,7223
28459.18905886155,152,7280
28459.18905886155,153,7323
27061.13506213869,154,7379
27061.13506213869,155,7415
27061.13506213869,156,7454
26576.375373374365,157,7494
26576.375373374365,158,7534
26223.84783379844,159,7582
26223.84783379844,160,7626
26223.84783379844,161,7674
26223.84783379844,162,7731
26223.84783379844,163,7790
26223.84783379844,164,7844
26223.84783379844,165,7899
