objective_value,generation,evaluations
49292.96024908809,0,30
15687.12157808052,1,91
9762.341370593313,2,172
9500.755817076126,3,240
9500.755817076126,4,298
9500.755817076126,5,358
9500.755817076126,6,411
9500.755817076126,7,470
9500.755817076126,8,527
9500.755817076126,9,584
9500.755817076126,10,633
9381.524010664914,11,680
9381.524010664914,12,741
8501.511754093077,13,798
8501.511754093077,14,850
8501.511754093077,15,903
8501.511754093077,16,967
8501.511754093077,17,1027
8501.511754093077,18,1085
8501.511754093077,19,1144
8501.511754093077,20,1209
8501.511754093077,21,1276
8501.511754093077,22,1332
8501.511754093077,23,1389
4717.871177883648,24,1446
4717.871177883648,25,1481
4717.871177883648,26,1519
4717.871177883648,27,1554
4717.871177883648,28,1587
4708.123110818465,29,1625
4708.123110818465,30,1668
4318.539797886092,31,1708
3494.2357838588327,32,1762
3494.2357838588327,33,1813
2801.1731639358545,34,1864
2801.1731639358545,35,1918
2801.1731639358545,36,1972
2801.1731639358545,37,2029
2801.1731639358545,38,2092
2801.1731639358545,39,2146
2801.1731639358545,40,2203
2801.1731639358545,41,2279
2801.1731639358545,42,2345
2801.1731639358545,43,2399
2801.1731639358545,44,2456
2801.1731639358545,45,2515
2801.1731639358545,46,2582
2801.1731639358545,47,2639
2801.1731639358545,48,2694
2466.2358285583737,49,2754
2454.969706954222,50,2802
2454.969706954222,51,2864
2454.969706954222,52,2917
2352.418281896975,53,2974
1929.2922691929584,54,3030
1760.8499434027658,55,3075
1760.8499434027658,56,3121
1760.8499434027658,57,3166
1760.8499434027658,58,3208
1760.8499434027658,59,3263
1760.8499434027658,60,3313
1760.8499434027658,61,3364
1496.6295853193458,62,3415
1496.6295853193458,63,3469
1496.6295853193458,64,3515
1496.6295853193458,65,3562
1496.6295853193458,66,3604
1496.6295853193458,67,3649
1496.6295853193458,68,3694
1496.6295853193458,69,3739
1496.6295853193458,70,3779
1496.6295853193458,71,3829
1496.6295853193458,72,3876
1496.6295853193458,73,3928
