generation,unique_ids
0,30
1,15
2,15
3,12
4,5
5,8
6,7
7,7
8,6
9,6
10,7
11,9
12,6
13,6
14,7
15,6
16,4
17,5
18,8
19,6
20,4
21,5
22,6
23,4
24,4
25,7
26,6
27,6
28,4
29,6
30,12
31,12
32,11
33,9
34,8
35,9
36,9
37,9
38,7
39,10
40,7
41,7
42,10
43,9
44,10
45,9
46,13
47,14
48,12
49,13
50,14
51,13
52,14
53,8
54,13
55,14
56,12
57,11
58,12
59,10
60,11
61,14
62,11
63,15
64,13
65,17
66,18
67,18
68,18
69,17
70,13
71,12
72,12
73,9
74,9
75,10
76,11
77,9
78,10
79,14
80,17
81,16
82,16
83,20
84,17
85,16
86,16
87,12
88,8
89,10
90,11
91,12
92,12
93,15
94,17
95,11
96,15
97,15
98,12
99,15
100,17
101,15
102,13
103,14
104,15
105,13
106,8
107,11
108,7
109,7
110,11
111,13
112,13
113,13
114,12
115,14
116,16
117,17
118,13
119,13
120,8
121,11
122,10
123,8
124,10
125,8
126,9
127,13
128,11
129,11
130,13
131,13
132,14
133,14
134,11
135,12
136,8
137,9
138,13
139,12
140,10
141,11
142,16
143,17
144,13
145,19
146,16
147,13
148,12
149,11
150,12
151,12
152,12
153,13
154,10
155,14
156,15
157,16
158,14
159,10
160,10
161,12
162,9
163,12
164,9
165,13
166,11
167,10
168,10
169,13
170,12
171,15
172,12
173,9
174,8
175,9
176,10
177,12
178,12
179,13
180,13
181,11
182,11
183,9
184,10
185,7
186,12
187,11
188,10
189,10
190,8
191,9
192,11
193,13
194,12
195,9
196,9
197,10
198,11
199,10
200,9
201,10
202,14
203,12
204,11
205,13
206,13
207,10
208,14
209,11
210,12
211,8
212,13
213,13
214,13
215,13
216,10
217,17
218,13
219,13
220,14
221,15
222,13
223,14
224,11
225,13
226,9
227,10
228,11
229,11
230,11
231,13
232,13
233,15
234,15
235,14
236,16
237,15
238,13
239,13
240,13
241,14
242,10
243,12
244,14
245,13
246,14
247,15
248,11
249,13
250,17
251,14
252,13
253,16
254,12
255,13
256,12
257,12
258,13
259,12
260,12
261,12
262,11
263,10
264,14
265,12
266,10
267,9
268,7
269,10
270,13
271,15
272,13
273,16
274,16
275,13
276,13
277,14
278,14
279,13
280,15
281,15
282,16
283,11
284,10
285,9
286,10
287,7
288,8
289,10
290,11
291,10
292,13
293,11
294,10
295,9
296,13
297,16
298,14
299,8
300,9
301,12
302,9
303,11
304,12
305,10
306,8
307,8
308,11
309,10
310,7
311,9
312,9
313,11
314,7
315,10
316,13
317,16
318,15
319,15
320,12
321,14
322,13
323,10
324,11
325,9
326,13
327,11
328,12
329,12
330,12
331,12
332,13
333,12
334,15
335,13
336,16
337,15
338,16
339,17
340,16
341,14
342,14
343,13
344,13
345,13
346,10
347,11
348,9
349,10
350,10
351,7
352,7
353,12
354,12
355,14
356,12
357,12
358,15
359,12
360,11
361,11
362,7
363,6
364,5
365,5
366,11
367,12
368,11
369,10
370,6
371,10
372,11
373,8
374,8
375,11
376,12
377,13
378,12
379,12
380,13
381,11
382,13
383,11
384,5
385,6
386,9
387,8
388,12
389,12
390,15
391,12
392,13
393,13
394,12
395,10
396,10
397,10
398,11
399,8
400,12
401,12
402,18
403,16
404,14
405,13
406,12
407,13
408,12
409,14
410,14
411,14
412,10
413,15
414,13
415,9
416,13
417,15
418,15
419,12
420,12
421,14
422,13
423,13
424,14
425,16
426,16
427,13
428,16
429,15
430,15
431,15
432,17
433,15
434,14
435,10
436,12
437,10
438,7
439,11
440,10
441,7
442,8
443,7
444,9
445,10
446,10
447,11
448,10
449,10
450,12
451,12
452,13
453,19
454,14
455,15
456,12
457,10
458,11
459,10
460,11
461,10
462,11
463,13
464,12
465,14
466,11
467,16
468,12
469,12
470,11
471,13
472,15
473,14
474,13
475,14
476,14
477,13
478,14
479,12
480,14
481,11
482,8
483,11
484,11
485,12
486,12
487,9
488,12
489,10
490,11
491,11
492,14
493,11
494,11
495,13
496,12
497,10
498,15
499,15
500,13
501,10
502,10
503,12
504,13
505,14
506,14
507,16
508,16
509,16
510,15
511,14
512,13
513,13
514,13
515,15
516,16
517,11
518,11
519,12
520,13
521,10
522,10
523,10
524,11
525,10
526,9
527,14
528,11
529,10
530,10
531,12
532,10
533,12
534,14
535,13
536,13
537,13
538,13
539,13
540,15
541,13
542,10
543,11
544,6
545,5
546,8
547,6
548,9
549,14
550,14
551,12
552,11
553,15
554,12
555,12
556,15
557,14
558,10
559,10
560,11
561,12
562,10
563,9
564,9
565,10
566,12
567,10
568,10
569,14
570,11
571,13
572,12
573,14
574,11
575,11
576,13
577,11
578,10
579,12
580,9
581,8
582,10
583,8
584,8
585,10
586,11
587,8
588,7
589,8
590,10
591,7
592,9
593,9
594,15
