generation,unique_ids
0,30
1,23
2,19
3,17
4,13
5,13
6,12
7,11
8,11
9,11
10,12
11,9
12,7
13,6
14,4
15,4
16,7
17,6
18,9
19,11
20,7
21,9
22,4
23,5
24,2
25,6
26,7
27,5
28,3
29,2
30,4
31,4
32,5
33,7
34,3
35,4
36,4
37,4
38,6
39,6
40,6
41,5
42,7
43,8
44,6
45,7
46,7
47,10
48,8
49,9
50,8
51,4
52,6
53,3
54,5
55,7
56,9
57,11
58,6
59,7
60,6
61,7
62,5
63,7
64,4
65,4
66,2
67,5
68,3
69,5
70,6
71,5
72,6
73,5
74,4
75,6
76,7
77,8
78,9
79,3
80,6
81,3
82,6
83,6
84,8
85,6
86,4
87,7
88,6
89,4
90,5
91,6
92,6
93,4
94,4
95,3
96,4
97,3
98,5
99,3
100,4
101,4
102,4
103,3
104,8
105,3
106,4
107,6
108,9
109,4
110,5
111,5
112,4
113,4
114,4
115,3
116,3
117,3
118,3
119,5
120,7
121,3
122,5
123,6
124,3
125,2
126,7
127,9
128,6
129,9
130,5
131,7
132,6
133,9
134,7
135,3
136,5
137,6
138,5
139,3
140,3
141,10
142,4
143,8
144,6
145,4
146,4
147,5
148,6
149,5
150,9
151,7
152,6
153,5
154,6
155,8
156,3
157,6
158,5
159,6
160,6
161,7
162,4
163,4
164,6
165,6
166,6
167,9
168,5
169,9
170,4
171,7
172,7
173,4
174,6
175,4
176,6
177,5
178,4
179,3
180,3
181,4
182,2
183,5
184,4
185,9
186,7
187,5
188,4
189,6
190,4
191,7
192,4
193,6
194,6
195,4
196,6
197,8
198,6
199,6
200,6
201,5
202,4
203,5
204,5
205,5
206,2
207,4
208,5
209,5
210,4
211,6
212,6
213,8
214,4
215,7
216,7
217,5
218,5
219,3
220,4
221,5
222,7
223,5
224,9
225,4
226,6
227,6
228,4
229,7
230,8
231,6
232,5
233,3
234,4
235,5
236,5
237,5
238,5
239,3
240,3
241,5
242,5
243,4
244,4
245,9
246,7
247,5
248,4
249,4
250,3
251,3
252,2
253,5
254,4
255,5
256,6
257,7
258,7
259,11
260,3
261,6
262,6
263,4
264,7
265,8
266,5
267,4
268,6
269,4
270,4
271,4
272,2
273,3
274,8
275,6
276,7
277,8
278,6
279,8
280,4
281,5
282,4
283,8
284,5
285,8
286,6
287,4
288,5
289,5
290,5
291,4
292,4
293,8
294,3
295,5
296,6
297,7
298,3
299,3
300,3
301,4
302,8
303,7
304,5
305,6
306,12
307,8
308,5
309,6
310,4
311,7
312,6
313,3
314,2
315,7
316,3
317,8
318,3
319,3
320,6
321,5
322,4
323,3
324,5
325,4
326,7
327,8
328,4
329,3
330,5
331,4
332,10
333,5
334,6
335,7
336,6
337,5
338,5
339,5
340,9
341,2
342,4
343,6
344,4
345,2
346,4
347,8
348,4
349,7
350,5
351,5
352,8
353,5
354,3
355,3
356,4
357,5
358,6
359,6
360,3
361,7
362,6
363,5
364,6
365,7
366,8
367,6
368,6
369,8
370,6
371,6
372,4
373,5
374,4
375,3
376,5
377,6
378,4
379,3
380,9
381,3
382,7
383,7
384,8
385,7
386,7
387,9
388,6
389,9
390,8
391,5
392,8
393,8
394,7
395,10
396,6
397,9
398,7
399,7
400,5
401,6
402,5
403,8
404,11
405,8
406,6
407,4
408,4
409,6
410,5
411,7
412,9
413,6
414,7
415,6
416,5
417,5
418,8
419,9
420,9
421,9
422,12
423,10
424,6
425,8
426,8
427,6
428,4
429,4
430,6
431,7
432,3
433,4
434,3
435,3
436,2
437,5
438,4
439,3
440,5
441,7
442,3
443,4
444,6
445,7
446,6
447,5
448,7
449,9
450,8
451,5
452,4
453,3
454,7
455,9
456,7
457,7
458,9
459,6
460,6
461,6
462,5
463,4
464,3
465,3
466,6
467,6
468,8
469,5
470,3
471,6
472,3
473,6
474,6
475,7
476,9
477,9
478,11
479,7
480,4
481,5
482,7
483,4
484,4
485,4
486,3
487,3
488,7
489,5
490,6
491,5
492,6
493,3
494,7
495,7
496,4
497,8
498,11
499,5
500,6
501,4
502,9
503,6
504,4
505,5
506,4
507,5
508,7
509,7
510,6
511,7
512,5
513,7
514,2
515,5
516,5
517,4
518,5
519,5
520,10
521,6
522,8
523,8
524,9
525,6
526,5
527,10
528,10
529,8
530,9
531,7
532,6
533,4
534,3
535,7
536,6
537,6
538,3
539,4
540,6
541,6
542,6
543,7
544,4
545,3
546,2
547,5
548,3
549,2
550,5
551,3
552,5
553,6
554,6
555,3
556,4
557,4
558,3
559,6
560,6
561,5
562,7
563,6
564,6
565,6
566,4
567,5
568,6
569,6
570,5
571,7
572,6
573,4
574,4
575,6
576,6
577,3
578,3
579,4
580,8
581,5
582,5
583,7
584,4
585,6
586,4
587,9
588,7
589,6
590,5
591,4
592,9
593,4
594,6
595,7
596,5
