objective_value,generation,evaluations
2796525799.5795293,0,30
2794803410.8768377,1,82
2739936712.2486825,2,150
2640409545.831869,3,198
2597914124.53077,4,243
2465455887.6246743,5,313
2435052331.7971354,6,362
2372528931.386941,7,438
2365559274.3159914,8,487
2332057175.066656,9,570
2280479331.4582405,10,619
2188550065.4490204,11,669
2140819260.7454782,12,719
2105108888.516012,13,787
2086550337.2142363,14,855
2015756305.9743967,15,924
2015756305.9743967,16,966
1959567708.4240718,17,1025
1921168953.7248979,18,1074
1895660461.2642927,19,1148
1863780648.7096238,20,1216
1844562178.9693162,21,1260
1810644588.3022206,22,1321
1792023282.4416149,23,1369
1757055819.4982204,24,1425
1737732085.1224415,25,1494
1664338266.8281069,26,1577
1654912675.0924673,27,1616
1611726197.508709,28,1671
1585335442.2097332,29,1747
1561421452.8479528,30,1831
1527349344.5746098,31,1901
1510543364.8718266,32,1957
1502792605.2253308,33,2013
1449482341.721785,34,2080
1449482341.721785,35,2116
1391996111.7394273,36,2163
1373463856.6238422,37,2216
1290610677.615882,38,2290
1268991070.0536811,39,2325
1230876247.7443986,40,2397
1216129650.6528575,41,2446
1181961086.992782,42,2537
1176177118.5680625,43,2571
1158235087.0653791,44,2622
1130773462.7743924,45,2674
1122988369.0553734,46,2717
1076636451.9320261,47,2788
1057733381.9066951,48,2830
1029020608.7486308,49,2901
1018133782.0784751,50,2979
996857575.387946,51,3043
975993247.9235839,52,3106
946231423.1356852,53,3182
927851753.0996693,54,3236
904408373.0265771,55,3302
876756429.6437317,56,3368
850799491.1157581,57,3453
833644878.638257,58,3513
791118584.3600875,59,3575
782136322.7321534,60,3621
776615224.291045,61,3706
757437850.0140933,62,3767
733717273.496478,63,3828
714568582.4293787,64,3891
709966522.7436558,65,3954
672527789.2320795,66,4028
664557392.2469789,67,4074
649060870.9102341,68,4128
638450160.5198023,69,4185
610524229.0987695,70,4261
599270779.3569419,71,4319
592600945.8655945,72,4405
585166978.7226014,73,4480
557281601.7052476,74,4573
553151255.8215344,75,4618
519690782.1395027,76,4703
512687691.92350787,77,4763
498436181.46979445,78,4847
498436181.46979445,79,4890
490239210.7227173,80,4988
476675143.4394743,81,5040
466318206.7988064,82,5096
461958081.588094,83,5183
451140378.1718902,84,5242
443491817.24133694,85,5321
435606144.6137128,86,5376
430689674.8073497,87,5422
420963811.657769,88,5483
409564185.93474287,89,5539
393098405.24444044,90,5596
382427109.2345757,91,5644
374574165.9529716,92,5729
364570720.09597504,93,5783
364570720.09597504,94,5829
349026873.70690966,95,5894
345483370.74616706,96,5940
343647712.40242994,97,5998
325600731.3048916,98,6063
325600731.3048916,99,6105
313530772.1362766,100,6167
309252826.62269866,101,6222
309252826.62269866,102,6273
303303014.40969056,103,6358
297544985.99588597,104,6425
293815860.88857305,105,6480
285550881.16160715,106,6526
277837146.6419523,107,6572
269373584.99889684,108,6633
255132070.7445179,109,6681
255132070.7445179,110,6717
243919313.24585465,111,6781
243919313.24585465,112,6836
240805567.27275398,113,6922
229242811.43703383,114,6990
229242811.43703383,115,7037
219183465.0259099,116,7118
216551737.8136573,117,7172
215826744.84860072,118,7236
210288376.87223682,119,7309
210720009.19850913,120,7383
203014863.14757043,121,7468
194817102.01514086,122,7538
194817102.01514086,123,7590
189214334.02765772,124,7678
189214334.02765772,125,7734
172449692.70765835,126,7801
169595700.30925146,127,7888
161249957.62508863,128,7925
161249957.62508863,129,7988
154813571.30873534,130,8058
153243698.26482254,131,8096
151482439.5834247,132,8165
142263499.20808902,133,8249
140702740.35418522,134,8326
140702740.35418522,135,8408
139391404.9459744,136,8480
133332995.91640206,137,8567
133332995.91640206,138,8606
128009596.72629943,139,8659
128009596.72629943,140,8733
122584730.71787934,141,8821
122584730.71787934,142,8864
119466208.68822862,143,8943
117404378.58545148,144,8992
114147497.22207141,145,9052
113532445.09752256,146,9112
106229037.2050917,147,9193
106089299.77587385,148,9257
97222793.48491189,149,9348
97222793.48491189,150,9391
91804014.25900823,151,9480
91028202.93303654,152,9532
89100832.40028274,153,9595
89100832.40028274,154,9656
89100832.40028274,155,9713
84605902.72757198,156,9794
84605902.72757198,157,9836
84173748.78199917,158,9895
80496988.12402645,159,9965
80496988.12402645,160,9997
78055359.74548787,161,10042
78055359.74548787,162,10093
76092166.65734006,163,10174
73145966.39291999,164,10232
70390974.30175447,165,10292
70390974.30175447,166,10365
65537388.72416048,167,10455
63632015.91361531,168,10498
59403607.94449906,169,10541
59403607.94449906,170,10605
57035013.34210779,171,10671
53895139.69500452,172,10745
56898309.108584456,173,10796
55039304.738051556,174,10887
55039304.738051556,175,10917
51336390.772334054,176,11005
50557729.60864093,177,11045
50461094.20825608,178,11133
48809993.964198366,179,11197
48809993.964198366,180,11270
48459382.04711043,181,11351
44940929.89111987,182,11436
44940929.89111987,183,11497
44277403.714691095,184,11584
43825079.12560211,185,11644
43825079.12560211,186,11720
43411618.8672373,187,11809
43411618.8672373,188,11888
43069496.16138454,189,11978
43069496.16138454,190,12061
43069496.16138454,191,12147
42024442.67777812,192,12232
41216929.315594785,193,12319
41216929.315594785,194,12388
41188873.931651466,195,12463
40214698.05485764,196,12546
40214698.05485764,197,12630
40214698.05485764,198,12727
40214698.05485764,199,12817
40214698.05485764,200,12899
40214698.05485764,201,12982
40178241.98074133,202,13073
38056768.002151996,203,13172
38056768.002151996,204,13243
36696221.4203851,205,13326
36504638.07419136,206,13369
35718760.986350104,207,13424
35718760.986350104,208,13499
35049615.79953208,209,13569
34766989.258692525,210,13631
34766989.258692525,211,13674
33837255.990039125,212,13716
33837255.990039125,213,13768
32781497.535867773,214,13821
31238963.98239011,215,13864
30839488.73078753,216,13907
28552512.197949108,217,13976
28552512.197949108,218,14034
27687844.6750054,219,14107
27363501.911092266,220,14193
27363501.911092266,221,14273
27363501.911092266,222,14360
27280979.592945423,223,14440
26642985.975458473,224,14523
26642985.975458473,225,14605
26642985.975458473,226,14693
26642985.975458473,227,14786
26642985.975458473,228,14866
26642985.975458473,229,14944
26382848.126681104,230,15027
26382848.126681104,231,15099
25821639.70223432,232,15177
25821639.70223432,233,15253
25821639.70223432,234,15330
25821639.70223432,235,15412
25665103.070687268,236,15484
25665103.070687268,237,15568
24891267.104010027,238,15649
25665103.070687268,239,15734
24386353.284994137,240,15820
24853969.913107634,241,15889
24616901.30565209,242,15970
24616901.30565209,243,16042
24853969.913107634,244,16132
24853969.913107634,245,16219
24853969.913107634,246,16291
24853969.913107634,247,16378
24853969.913107634,248,16442
24853969.913107634,249,16489
24853969.913107634,250,16559
23630825.80905737,251,16645
23630825.80905737,252,16742
23630825.80905737,253,16829
21657475.81910737,254,16917
20792772.708770867,255,16981
20792772.708770867,256,17050
20792772.708770867,257,17123
20792772.708770867,258,17186
20792772.708770867,259,17255
20792772.708770867,260,17331
20792772.708770867,261,17411
19968212.525583588,262,17489
19968212.525583588,263,17569
19968212.525583588,264,17655
19968212.525583588,265,17730
19968212.525583588,266,17807
19743212.735644877,267,17883
19743212.735644877,268,17976
19743212.735644877,269,18076
19743212.735644877,270,18160
19743212.735644877,271,18252
19743212.735644877,272,18325
19641327.669467825,273,18420
19641327.669467825,274,18502
19641327.669467825,275,18584
19641327.669467825,276,18683
19322149.17748797,277,18753
19322149.17748797,278,18837
19322149.17748797,279,18927
19322149.17748797,280,19020
19219710.70515678,281,19105
19219710.70515678,282,19199
19219710.70515678,283,19278
19219710.70515678,284,19359
19219710.70515678,285,19446
17540496.775861487,286,19529
17540496.775861487,287,19611
17540496.775861487,288,19705
17540496.775861487,289,19780
17540496.775861487,290,19846
17540496.775861487,291,19925
17540496.775861487,292,20003
16627983.42209054,293,20090
16627983.42209054,294,20158
16627983.42209054,295,20240
16627983.42209054,296,20324
16627983.42209054,297,20403
16627983.42209054,298,20488
16627983.42209054,299,20578
16627983.42209054,300,20651
16627983.42209054,301,20731
16352894.637187622,302,20808
16352894.637187622,303,20878
16352894.637187622,304,20956
16352894.637187622,305,21042
16352894.637187622,306,21116
16352894.637187622,307,21201
16352894.637187622,308,21282
16352894.637187622,309,21374
16352894.637187622,310,21454
16352894.637187622,311,21544
16352894.637187622,312,21607
16352894.637187622,313,21689
16352894.637187622,314,21771
16352894.637187622,315,21853
16183664.401588542,316,21936
16183664.401588542,317,22019
16183664.401588542,318,22099
15668229.555165596,319,22175
15668229.555165596,320,22251
15668229.555165596,321,22342
15668229.555165596,322,22419
15086421.466541786,323,22504
15086421.466541786,324,22583
15668229.555165596,325,22666
15668229.555165596,326,22756
15668229.555165596,327,22831
14979254.568107503,328,22924
14979254.568107503,329,23010
14979254.568107503,330,23087
14979254.568107503,331,23165
14979254.568107503,332,23239
14979254.568107503,333,23330
14979254.568107503,334,23416
14979254.568107503,335,23490
14979254.568107503,336,23561
14979254.568107503,337,23647
14979254.568107503,338,23728
14979254.568107503,339,23812
14979254.568107503,340,23886
14979254.568107503,341,23976
14896772.162705107,342,24079
14896772.162705107,343,24166
14896772.162705107,344,24260
14896772.162705107,345,24330
14896772.162705107,346,24422
14896772.162705107,347,24502
14699661.701655144,348,24589
14699661.701655144,349,24660
14699661.701655144,350,24755
14699661.701655144,351,24847
14699661.701655144,352,24935
13739421.393483464,353,25026
13739421.393483464,354,25104
13739421.393483464,355,25189
14550679.176717618,356,25261
14550679.176717618,357,25354
14699661.701655144,358,25441
14294968.0909567,359,25524
14294968.0909567,360,25606
14294968.0909567,361,25706
14294968.0909567,362,25777
14294968.0909567,363,25857
14294968.0909567,364,25939
14294968.0909567,365,26015
14294968.0909567,366,26093
14294968.0909567,367,26171
14294968.0909567,368,26270
14294968.0909567,369,26334
14294968.0909567,370,26419
14294968.0909567,371,26504
14294968.0909567,372,26581
13990647.277636277,373,26662
14294968.0909567,374,26748
14294968.0909567,375,26834
14294968.0909567,376,26907
13974723.98938715,377,26992
13974723.98938715,378,27067
13974723.98938715,379,27139
13974723.98938715,380,27218
13974723.98938715,381,27300
13889218.354624271,382,27386
13974723.98938715,383,27475
13974723.98938715,384,27542
13974723.98938715,385,27610
13974723.98938715,386,27682
13974723.98938715,387,27761
13974723.98938715,388,27849
13974723.98938715,389,27909
13974723.98938715,390,28000
13974723.98938715,391,28082
12920402.62613303,392,28159
13974723.98938715,393,28233
13974723.98938715,394,28320
13974723.98938715,395,28391
13974723.98938715,396,28473
13974723.98938715,397,28560
13974723.98938715,398,28644
13974723.98938715,399,28736
13600374.666930746,400,28818
13600374.666930746,401,28890
13600374.666930746,402,28987
13600374.666930746,403,29076
13233481.822644455,404,29148
13233481.822644455,405,29223
13233481.822644455,406,29301
13233481.822644455,407,29393
13037738.686301915,408,29487
