generation,unique_ids
0,30
1,19
2,18
3,19
4,16
5,14
6,14
7,12
8,8
9,6
10,10
11,7
12,3
13,7
14,5
15,7
16,5
17,2
18,4
19,4
20,2
21,2
22,4
23,6
24,2
25,4
26,2
27,4
28,4
29,4
30,5
31,6
32,4
33,7
34,10
35,8
36,7
37,6
38,5
39,9
40,9
41,7
42,9
43,10
44,9
45,10
46,8
47,4
48,6
49,7
50,6
51,3
52,5
53,7
54,7
55,2
56,6
57,9
58,5
59,6
60,6
61,4
62,6
63,7
64,5
65,5
66,6
67,8
68,8
69,9
70,3
71,4
72,5
73,8
74,3
75,6
76,5
77,7
78,5
79,6
80,3
81,4
82,4
83,4
84,6
85,4
86,2
87,3
88,5
89,7
90,7
91,4
92,5
93,5
94,2
95,5
96,3
97,5
98,6
99,5
100,7
101,7
102,6
103,7
104,5
105,4
106,3
107,6
108,3
109,4
110,9
111,6
112,5
113,10
114,9
115,7
116,7
117,6
118,4
119,4
120,8
121,8
122,8
123,5
124,4
125,7
126,6
127,4
128,7
129,7
130,6
131,1
132,2
133,3
134,2
135,3
136,5
137,7
138,1
139,1
140,1
141,1
142,2
143,5
144,8
145,9
146,9
147,5
148,4
149,4
150,6
151,6
152,5
153,6
154,9
155,8
156,6
157,6
158,7
159,6
160,6
161,9
162,7
163,9
164,6
165,10
166,8
167,8
168,9
169,9
170,9
171,10
172,9
173,6
174,4
175,5
176,3
177,6
178,4
179,5
180,6
181,2
182,7
183,6
184,7
185,5
186,3
187,4
188,5
189,5
190,6
191,3
192,4
193,4
194,3
195,1
196,2
197,7
198,6
199,9
200,8
201,6
202,8
203,10
204,7
205,7
206,5
207,6
208,3
209,9
210,8
211,7
212,9
213,4
214,3
215,6
216,5
217,4
218,4
219,4
220,6
221,7
222,11
223,8
224,5
225,5
226,2
227,4
228,4
229,4
230,10
231,11
232,6
233,8
234,3
235,5
236,3
237,5
238,4
239,3
240,4
241,6
242,7
243,10
244,7
245,7
246,1
247,1
248,4
249,4
250,5
251,4
252,4
253,5
254,4
255,5
256,5
257,7
258,5
259,6
260,7
261,8
262,5
263,4
264,4
265,4
266,7
267,7
268,4
269,10
270,8
271,6
272,5
273,8
274,8
275,7
276,3
277,3
278,4
279,7
280,10
281,7
282,6
283,4
284,4
285,5
286,6
287,6
288,4
289,4
290,5
291,5
292,8
293,7
294,5
295,6
296,6
297,6
298,5
299,3
300,6
301,5
302,5
303,6
304,6
305,2
306,8
307,9
308,8
309,5
310,3
311,4
312,4
313,4
314,2
315,3
316,4
317,6
318,8
319,7
320,4
321,7
322,7
323,6
324,4
325,9
326,8
327,7
328,6
329,4
330,4
331,4
332,7
333,5
334,10
335,7
336,6
337,9
338,7
339,9
340,8
341,10
342,8
343,7
344,3
345,4
346,6
347,5
348,7
349,8
350,9
351,5
352,6
353,4
354,6
355,9
356,7
357,7
358,6
359,9
360,7
361,5
362,5
363,3
364,2
365,7
366,7
367,4
368,5
369,5
370,5
371,4
372,3
373,4
374,6
375,7
376,6
377,5
378,7
379,9
380,10
381,6
382,10
383,8
384,7
385,5
386,9
387,6
388,4
389,4
390,4
391,5
392,8
393,6
394,6
395,5
396,8
397,8
398,7
399,9
400,8
401,4
402,6
403,2
404,6
405,4
406,7
407,6
408,5
409,7
410,8
411,7
412,7
413,7
414,7
415,7
416,4
417,7
418,5
419,5
420,7
421,6
422,6
423,6
424,9
425,6
426,7
427,5
428,8
429,10
430,8
431,7
432,5
433,5
434,6
435,6
436,7
437,7
438,6
439,6
440,8
441,5
442,9
443,6
444,6
445,7
446,9
447,10
448,7
449,5
450,7
451,9
452,10
453,6
454,6
455,4
456,8
457,7
458,8
459,5
460,7
461,6
462,6
463,8
464,7
465,4
466,5
467,4
468,2
469,7
470,8
471,3
472,6
473,6
474,2
475,3
476,4
477,5
478,4
479,6
480,2
481,7
482,9
483,7
484,7
485,5
486,6
487,8
488,3
489,5
490,4
491,6
492,8
493,6
494,6
495,6
496,5
497,3
498,1
499,2
500,5
501,5
502,4
503,8
504,3
505,5
506,4
507,5
508,9
509,8
510,7
511,6
512,5
513,2
514,5
515,6
516,4
517,7
518,5
519,8
520,5
521,5
522,6
523,4
524,8
525,6
526,6
527,6
528,7
529,9
530,10
531,9
532,7
533,3
534,3
535,9
536,6
537,6
538,6
539,3
540,5
541,6
542,6
543,5
544,6
545,6
546,5
547,7
548,3
549,4
550,3
551,7
552,5
553,4
554,4
555,6
556,6
557,5
558,8
559,7
560,5
561,4
562,5
563,5
564,5
565,6
566,4
567,8
568,4
569,3
570,5
571,4
572,6
573,8
574,5
575,7
576,6
577,6
578,6
579,4
580,5
581,2
582,5
583,6
584,8
585,8
586,3
587,3
588,9
589,6
590,4
