generation,unique_ids
0,30
1,28
2,21
3,13
4,8
5,9
6,9
7,10
8,9
9,9
10,11
11,7
12,9
13,7
14,13
15,6
16,8
17,6
18,5
19,8
20,3
21,2
22,9
23,6
24,5
25,7
26,5
27,6
28,6
29,6
30,6
31,4
32,4
33,5
34,2
35,5
36,3
37,8
38,6
39,4
40,6
41,5
42,3
43,3
44,3
45,8
46,4
47,5
48,9
49,5
50,5
51,9
52,6
53,5
54,2
55,2
56,6
57,6
58,5
59,8
60,6
61,7
62,4
63,4
64,5
65,3
66,6
67,8
68,7
69,8
70,8
71,5
72,3
73,6
74,13
75,4
76,4
77,4
78,5
79,4
80,6
81,5
82,6
83,4
84,4
85,6
86,7
87,6
88,5
89,5
90,5
91,3
92,6
93,4
94,5
95,4
96,8
97,4
98,3
99,3
100,7
101,2
102,3
103,5
104,4
105,7
106,12
107,4
108,6
109,3
110,8
111,4
112,8
113,7
114,4
115,3
116,5
117,8
118,4
119,6
120,6
121,8
122,7
123,9
124,9
125,6
126,5
127,6
128,6
129,5
130,6
131,6
132,6
133,7
134,5
135,9
136,7
137,5
138,9
139,5
140,5
141,7
142,4
143,5
144,3
145,4
146,3
147,7
148,4
149,3
150,6
151,4
152,8
153,7
154,6
155,7
156,4
157,6
158,6
159,4
160,2
161,2
162,4
163,5
164,5
165,5
166,10
167,10
168,8
169,5
170,5
171,6
172,5
173,5
174,6
175,4
176,3
177,3
178,5
179,4
180,6
181,6
182,5
183,6
184,4
185,5
186,8
187,6
188,6
189,7
190,6
191,8
192,9
193,7
194,5
195,7
196,9
197,3
198,5
199,4
200,4
201,6
202,3
203,4
204,6
205,5
206,4
207,4
208,3
209,4
210,6
211,4
212,8
213,6
214,4
215,7
216,5
217,5
218,4
219,4
220,6
221,7
222,4
223,7
224,6
225,5
226,6
227,8
228,4
229,6
230,4
231,7
232,5
233,4
234,4
235,6
236,6
237,6
238,7
239,6
240,8
241,8
242,6
243,4
244,5
245,4
246,2
247,4
248,7
249,8
250,7
251,8
252,7
253,3
254,3
255,7
256,4
257,8
258,3
259,3
260,6
261,6
262,8
263,7
264,4
265,4
266,4
267,7
268,8
269,6
270,9
271,9
272,8
273,6
274,5
275,4
276,3
277,5
278,6
279,4
280,5
281,4
282,6
283,5
284,4
285,2
286,3
287,5
288,4
289,6
290,6
291,4
292,6
293,5
294,5
295,5
296,7
297,6
298,7
299,2
300,6
301,4
302,4
303,8
304,6
305,6
306,3
307,8
308,4
309,9
310,4
311,5
312,6
313,3
314,3
315,6
316,6
317,6
318,4
319,5
320,6
321,3
322,4
323,5
324,4
325,4
326,6
327,6
328,2
329,3
330,10
331,6
332,5
333,4
334,4
335,3
336,8
337,3
338,7
339,4
340,3
341,5
342,7
343,5
344,2
345,5
346,9
347,4
348,8
349,4
350,3
351,7
352,6
353,9
354,6
355,1
356,2
357,5
358,5
359,5
360,6
361,7
362,6
363,4
364,8
365,9
366,5
367,7
368,4
369,5
370,6
371,9
372,3
373,3
374,5
375,7
376,4
377,6
378,4
379,5
380,2
381,7
382,5
383,5
384,5
385,6
386,4
387,5
388,2
389,5
390,5
391,3
392,2
393,5
394,5
395,4
396,7
397,8
398,8
399,8
400,5
401,7
402,6
403,3
404,2
405,3
406,6
407,4
408,6
409,9
410,5
411,4
412,7
413,7
414,6
415,2
416,3
417,8
418,5
419,10
420,7
421,5
422,6
423,10
424,4
425,4
426,4
427,6
428,4
429,7
430,7
431,5
432,3
433,5
434,3
435,6
436,3
437,7
438,5
439,6
440,7
441,7
442,3
443,6
444,3
445,5
446,6
447,5
448,3
449,7
450,3
451,5
452,3
453,6
454,7
455,5
456,6
457,4
458,6
459,3
460,4
461,7
462,8
463,6
464,6
465,7
466,5
467,4
468,3
469,6
470,3
471,7
472,5
473,5
474,9
475,6
476,7
477,7
478,6
479,3
480,8
481,6
482,2
483,4
484,9
485,8
486,7
487,6
488,6
489,9
490,4
491,5
492,8
493,5
494,5
495,4
496,5
497,4
498,5
499,8
500,6
501,5
502,4
503,3
504,5
505,7
506,3
507,5
508,5
509,8
510,4
511,5
512,8
513,6
514,7
515,6
516,9
517,9
518,5
519,4
520,3
521,5
522,8
523,9
524,7
525,3
526,7
527,7
528,8
529,4
530,3
531,3
532,5
533,6
534,6
535,4
536,5
537,4
538,2
539,5
540,7
541,3
542,10
543,6
544,4
545,5
546,4
547,5
548,5
549,4
550,9
551,5
552,4
553,5
554,4
555,3
556,6
557,7
558,8
559,5
560,7
561,7
562,2
563,5
564,4
565,3
566,6
567,5
568,7
569,5
570,2
571,5
572,6
573,5
574,7
575,6
576,2
577,7
578,3
579,5
580,6
581,4
582,7
583,5
584,3
585,4
586,3
587,3
588,3
589,3
590,5
591,6
592,2
593,7
594,8
595,3
596,4
597,3
598,4
599,2
600,4
601,3
602,5
603,8
604,5
605,5
606,6
607,4
608,4
609,4
610,6
611,3
612,3
613,5
614,6
615,4
616,8
617,6
618,9
619,7
