objective_value,generation,evaluations
-2.291549906324617e-11,0,30
-4.3928656967674e-08,1,64
-0.5868798479616909,2,101
-0.5868798479616909,3,134
-0.5868798479616909,4,176
-0.883885764431104,5,230
-0.883885764431104,6,300
-0.883885764431104,7,363
-0.883885764431104,8,442
-0.883885764431104,9,528
-0.883885764431104,10,597
-0.883885764431104,11,692
-0.883885764431104,12,771
-0.883885764431104,13,845
-0.883885764431104,14,927
-0.9283800244292658,15,1007
-0.9283800244292658,16,1085
-0.9433033089422841,17,1169
-0.9433033089422841,18,1247
-0.9433033089422841,19,1324
-0.9433033089422841,20,1401
-0.9433033089422841,21,1474
-0.9433033089422841,22,1557
-0.9433033089422841,23,1641
-0.9433033089422841,24,1713
-0.9454697255794074,25,1793
-0.9454697255794074,26,1870
-0.9961816898242554,27,1949
-0.9961816898242554,28,2034
-0.9454697255794074,29,2122
-0.9454697255794074,30,2202
-0.9737424361966087,31,2285
-0.9737424361966087,32,2363
-0.9737424361966087,33,2433
-0.9737424361966087,34,2521
-0.9737424361966087,35,2599
-0.9737424361966087,36,2661
-0.9737424361966087,37,2737
-0.9963604093929153,38,2816
-0.9963604093929153,39,2900
-0.9737424361966087,40,2972
-0.9737424361966087,41,3045
-0.9737424361966087,42,3123
-0.9737424361966087,43,3200
-0.9737424361966087,44,3279
-0.9851798865467147,45,3372
-0.9851798865467147,46,3462
-0.9851798865467147,47,3548
-0.9851798865467147,48,3632
-0.9851798865467147,49,3707
-0.9851798865467147,50,3797
-0.9851798865467147,51,3891
-0.9851798865467147,52,3976
-0.9851798865467147,53,4061
-0.9851798865467147,54,4141
-0.9851798865467147,55,4226
-0.9851798865467147,56,4311
-0.9851798865467147,57,4387
-0.9851798865467147,58,4472
-0.9851798865467147,59,4554
-0.9851798865467147,60,4632
-0.9851798865467147,61,4708
-0.9851798865467147,62,4791
-0.9851798865467147,63,4864
-0.9851798865467147,64,4947
-0.9851798865467147,65,5018
-0.9851798865467147,66,5096
-0.9851798865467147,67,5181
-0.9851798865467147,68,5265
-0.9851798865467147,69,5356
-0.9851798865467147,70,5450
-0.9851798865467147,71,5545
-0.9851798865467147,72,5622
-0.9851798865467147,73,5714
