objective_value,generation,evaluations
350311.75801932043,0,30
274924.87059964007,1,101
250998.03865625212,2,168
159582.63331590858,3,249
135027.02519358273,4,308
121187.69822769164,5,374
90843.53170745194,6,455
82862.44752242966,7,523
82862.44752242966,8,587
79155.42978441715,9,679
66553.58029952335,10,736
61613.60721373209,11,774
61613.60721373209,12,831
57496.9104170391,13,920
57496.9104170391,14,996
57496.9104170391,15,1078
47819.68467049219,16,1175
47819.68467049219,17,1251
42053.6358488169,18,1344
38520.50815816387,19,1437
38520.50815816387,20,1521
38520.50815816387,21,1582
36139.94433387321,22,1667
36139.94433387321,23,1736
31399.949783713124,24,1828
31399.949783713124,25,1891
30603.85196026791,26,1981
30603.85196026791,27,2048
30603.85196026791,28,2136
26197.117779746983,29,2215
26197.117779746983,30,2271
23248.85855887527,31,2326
23248.85855887527,32,2402
23248.85855887527,33,2495
19747.110503677482,34,2570
19747.110503677482,35,2654
19747.110503677482,36,2733
19747.110503677482,37,2819
19098.32937431146,38,2899
15486.479684961447,39,2985
15486.479684961447,40,3065
15486.479684961447,41,3164
13755.324766364854,42,3246
13755.324766364854,43,3303
12772.904866051256,44,3398
12772.904866051256,45,3486
12772.904866051256,46,3570
10843.8175541231,47,3656
10465.590241591895,48,3735
9416.494203438691,49,3809
9416.494203438691,50,3872
9416.494203438691,51,3958
9197.40958147069,52,4042
8221.872098549333,53,4123
8221.872098549333,54,4200
6568.379899309412,55,4284
6568.379899309412,56,4364
6568.379899309412,57,4444
8221.872098549333,58,4522
8003.389786448554,59,4606
7517.514329716436,60,4697
6461.040122015839,61,4786
6461.040122015839,62,4874
6461.040122015839,63,4965
6461.040122015839,64,5055
6461.040122015839,65,5135
5718.472637167065,66,5219
5718.472637167065,67,5305
5718.472637167065,68,5384
5718.472637167065,69,5452
4746.20880327717,70,5548
4746.20880327717,71,5630
4746.20880327717,72,5708
4746.20880327717,73,5803
2078.3994775724696,74,5894
2078.3994775724696,75,5974
2078.3994775724696,76,6062
2078.3994775724696,77,6145
2078.3994775724696,78,6225
2078.3994775724696,79,6303
2078.3994775724696,80,6393
2078.3994775724696,81,6484
2078.3994775724696,82,6579
2078.3994775724696,83,6665
2078.3994775724696,84,6752
2078.3994775724696,85,6838
1485.559004881197,86,6930
1485.559004881197,87,7020
1485.559004881197,88,7109
1485.559004881197,89,7182
1485.559004881197,90,7269
1485.559004881197,91,7362
1485.559004881197,92,7436
1485.559004881197,93,7513
1485.559004881197,94,7598
1485.559004881197,95,7681
1485.559004881197,96,7772
1485.559004881197,97,7863
1485.559004881197,98,7946
1485.559004881197,99,8029
1485.559004881197,100,8123
1485.559004881197,101,8209
1485.559004881197,102,8301
1485.559004881197,103,8378
1485.559004881197,104,8472
1485.559004881197,105,8564
1485.559004881197,106,8644
1485.559004881197,107,8732
1485.559004881197,108,8811
1485.559004881197,109,8875
1485.559004881197,110,8965
1485.559004881197,111,9050
1485.559004881197,112,9141
1485.559004881197,113,9238
1485.559004881197,114,9328
1485.559004881197,115,9411
1485.559004881197,116,9496
1485.559004881197,117,9587
1485.559004881197,118,9667
1476.6791375066357,119,9744
1222.5787524899063,120,9828
1222.5787524899063,121,9905
1222.5787524899063,122,9982
1222.5787524899063,123,10072
1222.5787524899063,124,10153
1222.5787524899063,125,10240
1222.5787524899063,126,10319
1222.5787524899063,127,10400
1222.5787524899063,128,10483
1222.5787524899063,129,10570
1222.5787524899063,130,10644
1222.5787524899063,131,10729
1222.5787524899063,132,10828
940.9491697690924,133,10914
940.9491697690924,134,11001
940.9491697690924,135,11087
940.9491697690924,136,11187
940.9491697690924,137,11260
586.1129352765896,138,11333
586.1129352765896,139,11421
586.1129352765896,140,11505
586.1129352765896,141,11580
586.1129352765896,142,11660
475.8244652394226,143,11756
475.8244652394226,144,11856
475.8244652394226,145,11953
475.8244652394226,146,12043
475.8244652394226,147,12134
475.8244652394226,148,12213
475.8244652394226,149,12293
475.8244652394226,150,12370
475.8244652394226,151,12458
468.8224017313893,152,12539
468.8224017313893,153,12629
446.18831959553836,154,12708
446.18831959553836,155,12795
446.18831959553836,156,12896
446.18831959553836,157,12982
358.5016959380484,158,13070
358.5016959380484,159,13150
358.5016959380484,160,13243
358.5016959380484,161,13330
358.5016959380484,162,13401
358.5016959380484,163,13478
358.5016959380484,164,13558
358.5016959380484,165,13634
358.5016959380484,166,13730
358.5016959380484,167,13818
358.5016959380484,168,13896
358.5016959380484,169,13972
