generation,unique_ids
0,30
1,16
2,17
3,12
4,17
5,11
6,13
7,12
8,12
9,15
10,12
11,11
12,11
13,11
14,12
15,12
16,11
17,14
18,12
19,13
20,10
21,14
22,9
23,6
24,6
25,9
26,14
27,11
28,11
29,9
30,7
31,6
32,7
33,8
34,9
35,7
36,8
37,9
38,10
39,12
40,11
41,9
42,6
43,6
44,8
45,9
46,9
47,10
48,11
49,11
50,13
51,12
52,11
53,12
54,11
55,8
56,7
57,5
58,8
59,5
60,5
61,5
62,5
63,4
64,3
65,4
66,5
67,10
68,8
69,10
70,7
71,9
72,6
73,10
74,10
75,9
76,6
77,7
78,7
79,7
80,8
81,6
82,8
83,8
84,7
85,5
86,5
87,2
88,5
89,6
90,3
91,3
92,4
93,6
94,6
95,6
96,3
97,3
98,5
99,7
100,6
101,6
102,7
103,9
104,8
105,9
106,7
107,6
108,7
109,5
110,8
111,7
112,9
113,5
114,5
115,3
116,4
117,6
118,6
119,7
120,8
121,6
122,6
123,3
124,9
125,6
126,7
127,4
128,4
129,5
130,6
131,7
132,5
133,5
134,10
135,7
136,5
137,7
138,8
139,5
140,5
141,7
142,8
143,7
144,6
145,7
146,9
147,6
148,7
149,9
150,5
151,8
152,9
153,8
154,6
155,4
156,4
157,6
158,4
159,9
160,7
161,7
162,7
163,3
164,4
165,6
166,3
167,4
168,6
169,8
170,9
171,6
172,3
173,4
174,5
175,5
176,3
177,6
178,7
179,7
180,11
181,10
182,7
183,8
184,9
185,8
186,8
187,5
188,7
189,5
190,7
191,5
192,5
193,6
194,4
195,2
196,5
197,7
198,5
199,5
200,5
201,5
202,5
203,3
204,5
205,5
206,4
207,7
208,3
209,8
210,8
211,6
212,7
213,5
214,7
215,8
216,7
217,9
218,5
219,7
220,4
221,6
222,4
223,2
224,6
225,6
226,3
227,7
228,5
229,5
230,7
231,8
232,9
233,7
234,8
235,6
236,7
237,9
238,10
239,8
240,8
241,7
242,5
243,5
244,4
245,3
246,3
247,8
248,8
249,5
250,3
251,7
252,10
253,8
254,9
255,6
256,3
257,7
258,6
259,5
260,5
261,5
262,8
263,8
264,6
265,5
266,5
267,6
268,6
269,4
270,5
271,10
272,5
273,8
274,7
275,4
276,4
277,6
278,8
279,9
280,8
281,10
282,9
283,4
284,7
285,5
286,6
287,4
288,6
289,8
290,5
291,5
292,7
293,4
294,5
295,3
296,7
297,6
298,5
299,7
300,10
301,5
302,4
303,4
304,7
305,7
306,5
307,5
308,3
309,2
310,6
311,4
312,6
313,5
314,6
315,7
316,8
317,9
318,9
319,9
320,4
321,5
322,5
323,7
324,6
325,6
326,5
327,6
328,8
329,7
330,6
331,4
332,10
333,6
334,4
335,6
336,4
337,9
338,8
339,5
340,8
341,10
342,7
343,8
344,5
345,8
346,3
347,2
348,6
349,4
350,3
351,4
352,2
353,4
354,7
355,7
356,4
357,6
358,2
359,4
360,5
361,8
362,6
363,7
364,8
365,8
366,8
367,5
368,6
369,7
370,6
371,4
372,8
373,6
374,4
375,4
376,4
377,4
378,4
379,2
380,5
381,4
382,5
383,10
384,13
385,9
386,7
387,7
388,7
389,5
390,4
391,7
392,4
393,7
394,3
395,6
396,8
397,7
398,6
399,3
400,3
401,3
402,5
403,5
404,6
405,3
406,3
407,8
408,3
409,8
410,6
411,3
412,10
413,12
414,9
415,9
416,9
417,8
418,8
419,6
420,5
421,4
422,4
423,3
424,9
425,4
426,3
427,7
428,5
429,8
430,6
431,6
432,5
433,6
434,5
435,4
436,5
437,5
438,6
439,5
440,6
441,3
442,2
443,8
444,6
445,7
446,5
447,3
448,5
449,5
450,8
451,3
452,5
453,4
454,5
455,5
456,3
457,5
458,4
459,5
460,5
461,5
462,4
463,4
464,4
465,8
466,7
467,8
468,8
469,7
470,6
471,2
472,5
473,8
474,2
475,10
476,9
477,9
478,5
479,4
480,4
481,4
482,4
483,8
484,8
485,6
486,6
487,3
488,3
489,3
490,7
491,5
492,3
493,12
494,8
495,9
496,9
497,9
498,10
499,6
500,2
501,5
502,3
503,8
504,4
505,2
506,7
507,6
508,8
509,4
510,4
511,3
512,1
513,4
514,7
515,8
516,7
517,8
518,8
519,7
520,6
521,4
522,5
523,6
524,7
525,3
526,4
527,5
528,9
529,5
530,3
531,5
532,4
533,10
534,7
535,7
536,8
537,7
538,7
539,6
540,11
541,7
542,6
543,7
544,5
545,5
546,5
547,4
548,6
549,7
550,4
551,3
552,4
553,5
554,4
555,4
556,5
557,4
558,5
559,10
560,5
561,9
562,4
563,8
564,6
565,4
566,5
567,5
568,3
569,5
570,2
571,4
572,4
573,6
574,5
575,7
576,8
577,6
578,6
579,5
580,8
581,12
582,11
583,8
584,5
585,5
586,9
587,8
588,9
589,6
590,3
591,6
592,6
593,6
594,8
595,7
596,6
597,7
598,8
