objective_value,generation,evaluations
142.1038801384298,0,30
71.32135808418359,1,115
54.3116993474347,2,203
16.97517244727727,3,269
4.142383392572696,4,349
4.142383392572696,5,419
3.119683804406303,6,485
3.119683804406303,7,559
3.119683804406303,8,626
3.0757805789690034,9,699
3.037666919595259,10,779
3.007616306803516,11,866
3.007616306803516,12,940
3.007616306803516,13,1004
3.007616306803516,14,1086
3.007616306803516,15,1164
3.007616306803516,16,1241
3.007616306803516,17,1329
3.007616306803516,18,1401
3.007616306803516,19,1484
3.007616306803516,20,1565
3.007616306803516,21,1651
3.007616306803516,22,1731
3.007616306803516,23,1802
3.007616306803516,24,1879
3.007616306803516,25,1965
3.007616306803516,26,2054
3.007616306803516,27,2142
3.007616306803516,28,2226
3.004893484562641,29,2302
3.004893484562641,30,2389
3.004893484562641,31,2464
3.004893484562641,32,2544
3.004893484562641,33,2618
3.004893484562641,34,2707
3.004893484562641,35,2794
3.004893484562641,36,2879
3.004893484562641,37,2972
3.004893484562641,38,3063
3.004893484562641,39,3145
3.004011734350583,40,3237
3.004011734350583,41,3323
3.004011734350583,42,3393
3.004011734350583,43,3470
3.004011734350583,44,3563
3.004011734350583,45,3653
3.004011734350583,46,3747
3.004011734350583,47,3839
3.004011734350583,48,3926
3.004011734350583,49,3996
3.004011734350583,50,4088
3.004011734350583,51,4190
3.004011734350583,52,4276
3.000862854757235,53,4352
3.000862854757235,54,4426
3.000862854757235,55,4522
3.000862854757235,56,4602
3.000862854757235,57,4678
3.000862854757235,58,4755
3.000862854757235,59,4843
3.000862854757235,60,4932
3.000862854757235,61,5008
3.000862854757235,62,5090
3.000862854757235,63,5183
3.000862854757235,64,5267
3.000862854757235,65,5352
3.000862854757235,66,5436
3.000862854757235,67,5524
3.000862854757235,68,5613
3.000862854757235,69,5702
3.000862854757235,70,5777
3.000862854757235,71,5857
3.000862854757235,72,5934
3.000862854757235,73,6015
3.000862854757235,74,6095
3.000862854757235,75,6190
3.000862854757235,76,6284
3.000862854757235,77,6365
3.000862854757235,78,6442
3.000862854757235,79,6527
3.000862854757235,80,6612
3.000862854757235,81,6675
3.000862854757235,82,6764
3.000862854757235,83,6847
3.000862854757235,84,6917
3.000862854757235,85,7017
3.000862854757235,86,7096
3.000862854757235,87,7178
3.000862854757235,88,7263
3.000862854757235,89,7339
3.000862854757235,90,7434
3.000862854757235,91,7518
3.000862854757235,92,7590
3.000862854757235,93,7677
3.000862854757235,94,7760
3.000862854757235,95,7855
3.000862854757235,96,7943
3.000862854757235,97,8036
3.000862854757235,98,8124
3.000862854757235,99,8204
3.000862854757235,100,8280
3.000862854757235,101,8369
3.000862854757235,102,8449
3.000862854757235,103,8540
3.000862854757235,104,8633
3.000862854757235,105,8721
3.000862854757235,106,8796
3.000862854757235,107,8900
3.000862854757235,108,8992
3.000862854757235,109,9067
3.000862854757235,110,9155
3.000862854757235,111,9243
3.000862854757235,112,9328
3.000522444231008,113,9417
3.000522444231008,114,9503
3.000522444231008,115,9585
3.000522444231008,116,9681
3.000522444231008,117,9764
3.000522444231008,118,9861
3.000522444231008,119,9948
3.000522444231008,120,10032
3.000522444231008,121,10112
3.000522444231008,122,10205
3.000522444231008,123,10294
3.000522444231008,124,10380
3.000522444231008,125,10455
3.000522444231008,126,10541
3.000522444231008,127,10643
3.000522444231008,128,10722
3.000522444231008,129,10801
3.000522444231008,130,10884
3.000522444231008,131,10958
3.000522444231008,132,11044
3.000522444231008,133,11116
3.000522444231008,134,11206
3.000522444231008,135,11280
3.000522444231008,136,11356
3.000522444231008,137,11451
3.000522444231008,138,11532
3.000522444231008,139,11619
3.0002823715193756,140,11711
3.0002823715193756,141,11785
3.0002823715193756,142,11872
3.0002823715193756,143,11952
3.0002823715193756,144,12034
3.0002823715193756,145,12136
3.0002823715193756,146,12226
3.0002823715193756,147,12303
3.0002823715193756,148,12392
3.0002823715193756,149,12479
3.0002823715193756,150,12557
3.0002823715193756,151,12640
3.0002823715193756,152,12727
3.0002823715193756,153,12816
3.0002823715193756,154,12889
3.0002823715193756,155,12978
3.0002823715193756,156,13057
3.0002823715193756,157,13124
3.0002823715193756,158,13209
3.0002823715193756,159,13285
3.0002823715193756,160,13375
3.0002823715193756,161,13458
3.0002823715193756,162,13529
3.0002823715193756,163,13606
3.0002823715193756,164,13691
3.0002823715193756,165,13769
3.0002823715193756,166,13854
3.0002823715193756,167,13943
3.0002823715193756,168,14027
3.0002823715193756,169,14117
3.0002823715193756,170,14198
3.0002823715193756,171,14283
3.0002823715193756,172,14380
3.0002823715193756,173,14454
3.0002823715193756,174,14539
3.0002823715193756,175,14623
3.0002823715193756,176,14694
3.0002823715193756,177,14788
3.0002823715193756,178,14887
3.0002823715193756,179,14962
3.0002823715193756,180,15049
3.0002823715193756,181,15126
3.0002823715193756,182,15213
3.0002823715193756,183,15305
3.0002823715193756,184,15397
3.0002823715193756,185,15476
3.0002823715193756,186,15560
3.0002823715193756,187,15651
3.0002823715193756,188,15744
3.0002823715193756,189,15837
3.0002823715193756,190,15922
3.0002823715193756,191,16009
3.0002823715193756,192,16088
3.0002823715193756,193,16173
3.0002823715193756,194,16250
3.0002823715193756,195,16333
3.0002823715193756,196,16416
3.0002823715193756,197,16496
3.0002823715193756,198,16567
3.0002823715193756,199,16653
3.0002823715193756,200,16741
3.0002823715193756,201,16824
3.0002823715193756,202,16881
3.0002823715193756,203,16926
3.0002823715193756,204,16976
3.0002823715193756,205,17069
3.0002823715193756,206,17144
3.0002823715193756,207,17226
3.0001431694507374,208,17314
3.0001431694507374,209,17404
3.0001431694507374,210,17494
3.0001431694507374,211,17572
3.0001431694507374,212,17667
3.0001431694507374,213,17762
3.0001431694507374,214,17835
3.0001431694507374,215,17919
3.0001431694507374,216,18001
3.0001431694507374,217,18091
3.0001431694507374,218,18173
3.0001431694507374,219,18251
3.0001431694507374,220,18346
3.0001431694507374,221,18427
3.0001431694507374,222,18523
3.0001431694507374,223,18602
3.0001431694507374,224,18673
3.0001431694507374,225,18758
3.0001431694507374,226,18830
3.0001431694507374,227,18922
3.0001431694507374,228,19010
3.0001431694507374,229,19099
3.0001431694507374,230,19183
3.0001431694507374,231,19260
3.0001431694507374,232,19335
3.0001431694507374,233,19422
3.0001431694507374,234,19525
3.0001431694507374,235,19610
3.0001431694507374,236,19689
3.0001431694507374,237,19770
3.0001431694507374,238,19853
3.0001431694507374,239,19933
3.0001431694507374,240,20013
3.0001431694507374,241,20101
3.0001431694507374,242,20178
3.0001431694507374,243,20271
3.0001431694507374,244,20346
3.0001431694507374,245,20419
3.0001431694507374,246,20501
3.0001431694507374,247,20594
3.0001431694507374,248,20674
3.0001431694507374,249,20760
3.0001431694507374,250,20862
3.0001431694507374,251,20946
3.0001431694507374,252,21022
3.0001431694507374,253,21117
3.0001431694507374,254,21204
3.0001431694507374,255,21286
3.0001431694507374,256,21365
3.0001431694507374,257,21443
3.0001431694507374,258,21531
3.0001431694507374,259,21620
3.0001431694507374,260,21704
3.0001431694507374,261,21774
3.0001431694507374,262,21861
3.0001431694507374,263,21940
3.0001431694507374,264,22017
