generation,unique_ids
0,30
1,16
2,14
3,14
4,7
5,12
6,13
7,13
8,12
9,17
10,13
11,17
12,16
13,18
14,14
15,18
16,11
17,11
18,19
19,13
20,18
21,15
22,16
23,15
24,16
25,12
26,12
27,11
28,20
29,14
30,17
31,13
32,9
33,17
34,14
35,10
36,13
37,14
38,14
39,13
40,16
41,14
42,14
43,12
44,10
45,18
46,13
47,8
48,7
49,10
50,9
51,11
52,7
53,8
54,9
55,13
56,15
57,9
58,8
59,10
60,11
61,8
62,6
63,9
64,8
65,9
66,11
67,8
68,7
69,7
70,5
71,5
72,2
73,7
74,5
75,6
76,8
77,9
78,8
79,6
80,3
81,4
82,7
83,4
84,5
85,5
86,8
87,5
88,3
89,3
90,2
91,3
92,5
93,7
94,6
95,7
96,8
97,7
98,5
99,8
100,6
101,10
102,5
103,7
104,4
105,6
106,7
107,3
108,4
109,5
110,2
111,5
112,4
113,3
114,6
115,3
116,4
117,2
118,3
119,6
120,5
121,6
122,4
123,7
124,2
125,6
126,6
127,5
128,4
129,1
130,2
131,4
132,3
133,3
134,8
135,4
136,3
137,5
138,7
139,5
140,5
141,5
142,4
143,9
144,6
145,2
146,6
147,9
148,5
149,8
150,7
151,4
152,4
153,3
154,5
155,5
156,5
157,2
158,4
159,8
160,4
161,6
162,4
163,5
164,7
165,7
166,5
167,6
168,3
169,4
170,2
171,6
172,5
173,4
174,2
175,5
176,4
177,4
178,5
179,4
180,1
181,1
182,1
183,1
184,2
185,4
186,5
187,3
188,2
189,3
190,5
191,7
192,8
193,6
194,2
195,4
196,9
197,5
198,6
199,5
200,3
201,4
202,3
203,4
204,6
205,6
206,5
207,4
208,6
209,3
210,7
211,6
212,5
213,3
214,5
215,9
216,6
217,5
218,5
219,4
220,6
221,5
222,5
223,4
224,3
225,4
226,6
227,6
228,5
229,7
230,4
231,6
232,4
233,4
234,6
235,4
236,5
237,4
238,5
239,1
240,3
241,4
242,6
243,6
244,3
245,3
246,6
247,4
248,8
249,4
250,4
251,6
252,6
253,7
254,5
255,5
256,7
257,7
258,3
259,4
260,4
261,4
262,3
263,5
264,6
265,4
266,5
267,7
268,4
269,7
270,4
271,6
272,10
273,3
274,5
275,5
276,2
277,3
278,5
279,6
280,5
281,5
282,6
283,6
284,8
285,9
286,3
287,4
288,5
289,4
290,5
291,4
292,3
293,3
294,3
295,2
296,6
297,5
298,4
299,3
300,4
301,7
302,5
303,6
304,5
305,6
306,6
307,6
308,8
309,5
310,5
311,3
312,3
313,6
314,7
315,5
316,4
317,6
318,7
319,6
320,3
321,4
322,3
323,7
324,4
325,4
326,5
327,3
328,6
329,7
330,3
331,5
332,5
333,3
334,4
335,7
336,2
337,4
338,7
339,7
340,6
341,4
342,7
343,4
344,3
345,4
346,4
347,7
348,6
349,7
350,6
351,4
352,2
353,5
354,7
355,9
356,3
357,4
358,5
359,4
360,9
361,4
362,7
363,5
364,5
365,5
366,4
367,5
368,5
369,5
370,5
371,7
372,9
373,7
374,8
375,4
376,6
377,7
378,6
379,4
380,3
381,5
382,9
383,6
384,6
385,6
386,4
387,2
388,7
389,9
390,7
391,7
392,8
393,6
394,3
395,5
396,3
397,2
398,7
399,5
400,4
401,5
402,5
403,3
404,6
405,7
406,5
407,4
408,5
409,2
410,6
411,5
412,3
413,3
414,5
415,6
416,3
417,3
418,6
419,4
420,7
421,3
422,4
423,5
424,6
425,9
426,6
427,7
428,7
429,6
430,5
431,9
432,10
433,6
434,6
435,6
436,3
437,6
438,5
439,2
440,7
441,7
442,7
443,3
444,3
445,3
446,5
447,5
448,6
449,7
450,2
451,3
452,5
453,5
454,4
455,2
456,5
457,4
458,5
459,3
460,4
461,3
462,4
463,3
464,2
465,4
466,2
467,4
468,4
469,4
470,6
471,3
472,5
473,4
474,1
475,1
476,3
477,8
478,10
479,6
480,3
481,3
482,4
483,6
484,8
485,5
486,6
487,5
488,5
489,7
490,4
491,5
492,5
493,6
494,6
495,5
496,3
497,5
498,6
499,9
500,4
501,4
502,6
503,8
504,7
505,6
506,5
507,3
508,8
509,5
510,7
511,6
512,6
513,6
514,3
515,4
516,6
517,5
518,6
519,7
520,8
521,6
522,5
523,5
524,4
525,3
526,6
527,7
528,7
529,4
530,5
531,5
532,5
533,7
534,8
535,6
536,4
537,5
538,4
539,4
540,4
541,6
542,4
543,5
544,8
545,4
546,6
547,5
548,1
549,3
550,1
551,4
552,5
553,6
554,5
555,5
556,3
557,6
558,4
559,6
560,4
561,3
562,3
563,3
564,7
565,6
566,7
567,5
568,4
569,7
570,7
571,6
572,5
573,6
574,2
575,3
576,6
577,7
578,5
579,3
580,4
581,2
582,4
583,7
584,5
585,3
586,4
587,6
588,6
589,4
590,5
591,4
592,2
593,6
594,5
595,4
596,6
597,6
598,2
599,3
600,2
601,5
602,3
603,7
604,6
605,5
606,5
607,8
608,6
609,11
610,10
611,6
612,5
613,4
614,3
615,5
616,4
617,6
618,6
619,3
620,8
621,10
622,9
623,9
624,8
625,7
626,6
627,5
628,6
629,7
630,5
631,5
632,7
