objective_value,generation,evaluations
1183.9918489145066,0,30
1162.997500165407,1,85
1128.6026483218795,2,169
1078.9072179561642,3,231
1006.0724607506844,4,290
1000.6673715935335,5,328
981.3012736138288,6,376
902.2071336983571,7,436
886.4868825007837,8,491
822.7604042309542,9,550
801.9666541116331,10,585
770.7338829682116,11,651
755.4574841937666,12,706
713.0116814871209,13,766
700.6036722549836,14,813
625.878245101696,15,863
610.9669155624272,16,909
577.4148173683975,17,989
557.9063356174763,18,1039
547.7788391743471,19,1084
530.9011134466222,20,1162
462.55626332069284,21,1212
444.79695512627586,22,1245
411.0938397346883,23,1297
403.72132965100064,24,1374
385.4400785718361,25,1441
376.43869637997915,26,1487
374.87866951603615,27,1567
356.5029357883103,28,1637
341.4697958786557,29,1681
330.1668714299778,30,1738
314.9621745880767,31,1800
300.3404434878309,32,1857
290.96860836598,33,1932
284.2925405287591,34,1997
276.88268034990375,35,2053
262.5477881727609,36,2111
234.31020936453206,37,2175
227.79348418037304,38,2221
206.55431740053885,39,2305
206.55431740053885,40,2349
200.42103955870587,41,2415
187.3188111217764,42,2486
184.05187500644556,43,2544
180.53095541934357,44,2600
166.21145906334672,45,2657
160.5261703331283,46,2702
159.9799588610853,47,2772
151.75258393544374,48,2850
147.04627234299898,49,2908
142.54351638295,50,2966
137.9350150810481,51,3025
125.2763845396518,52,3112
122.49724414218288,53,3159
122.09501742766325,54,3226
106.80409889480026,55,3278
101.12327783118911,56,3322
90.17414177945159,57,3402
87.06471638752275,58,3454
81.45184861704384,59,3515
79.30982000320282,60,3562
78.42884190793217,61,3624
74.7774588654619,62,3680
74.7774588654619,63,3736
69.14695600060716,64,3795
65.83664682097712,65,3836
63.6589120075767,66,3914
62.09380131804121,67,4015
55.594641923978806,68,4087
55.06912029406912,69,4132
48.52602420624219,70,4215
48.52602420624219,71,4249
46.91134244664276,72,4331
46.419986807321216,73,4382
46.147963504443815,74,4461
43.96202582968387,75,4529
42.49364802589996,76,4598
39.52156340622222,77,4663
38.81678262316475,78,4734
36.72218998946524,79,4809
33.48328674957369,80,4866
31.469024739638986,81,4948
29.518598114462193,82,5010
27.839370917298876,83,5082
27.839370917298876,84,5134
26.065491634925916,85,5195
26.065491634925916,86,5277
23.506637038567277,87,5366
21.00745895490675,88,5421
20.639944831200186,89,5508
20.518907423935275,90,5569
20.445903550298997,91,5651
19.494701852032225,92,5740
19.475108415269997,93,5791
17.65997474317401,94,5840
15.864532118076822,95,5893
15.864532118076822,96,5944
14.989040599491998,97,6012
