objective_value,generation,evaluations
1.137883332949386,0,30
1.137883332949386,1,104
0.22402651006943755,2,186
0.03318835686944513,3,250
0.03012186786915586,4,330
0.016300724941937742,5,400
0.016300724941937742,6,477
0.00017352168942707185,7,568
0.00017352168942707185,8,641
0.00017352168942707185,9,722
0.00017352168942707185,10,807
0.00017352168942707185,11,878
0.00017352168942707185,12,967
0.00017352168942707185,13,1058
0.00017352168942707185,14,1136
0.00017352168942707185,15,1218
0.00017352168942707185,16,1304
0.00017352168942707185,17,1376
0.00017352168942707185,18,1454
0.00017352168942707185,19,1522
0.00017352168942707185,20,1602
0.00017352168942707185,21,1687
0.00017352168942707185,22,1766
0.00017352168942707185,23,1851
0.00017352168942707185,24,1926
0.00017352168942707185,25,2007
0.00017352168942707185,26,2092
0.00017352168942707185,27,2170
0.00017352168942707185,28,2249
0.00017352168942707185,29,2329
0.00017352168942707185,30,2407
0.00017352168942707185,31,2499
1.6975136214437189e-06,32,2581
1.6975136214437189e-06,33,2661
1.6975136214437189e-06,34,2749
1.6975136214437189e-06,35,2832
1.6975136214437189e-06,36,2905
1.6975136214437189e-06,37,2987
1.6975136214437189e-06,38,3079
1.6975136214437189e-06,39,3155
1.6975136214437189e-06,40,3235
1.6975136214437189e-06,41,3312
1.6975136214437189e-06,42,3410
1.6975136214437189e-06,43,3495
1.6975136214437189e-06,44,3583
1.6975136214437189e-06,45,3677
1.6975136214437189e-06,46,3758
1.6975136214437189e-06,47,3844
1.6975136214437189e-06,48,3927
1.6975136214437189e-06,49,4008
1.6975136214437189e-06,50,4097
1.6975136214437189e-06,51,4188
1.6975136214437189e-06,52,4273
1.6975136214437189e-06,53,4353
1.6975136214437189e-06,54,4439
1.6975136214437189e-06,55,4527
1.6975136214437189e-06,56,4606
1.6975136214437189e-06,57,4709
1.6975136214437189e-06,58,4787
1.6975136214437189e-06,59,4887
1.6975136214437189e-06,60,4964
1.6975136214437189e-06,61,5053
1.6975136214437189e-06,62,5146
1.6975136214437189e-06,63,5225
1.6975136214437189e-06,64,5314
1.6975136214437189e-06,65,5405
1.6975136214437189e-06,66,5488
1.6975136214437189e-06,67,5573
1.6975136214437189e-06,68,5651
1.6975136214437189e-06,69,5735
1.6975136214437189e-06,70,5823
1.6975136214437189e-06,71,5916
1.6975136214437189e-06,72,6013
1.6975136214437189e-06,73,6095
1.6975136214437189e-06,74,6177
1.6975136214437189e-06,75,6266
1.6975136214437189e-06,76,6355
1.6975136214437189e-06,77,6429
1.6975136214437189e-06,78,6524
1.6975136214437189e-06,79,6603
1.6975136214437189e-06,80,6688
1.6975136214437189e-06,81,6766
1.6975136214437189e-06,82,6859
1.6975136214437189e-06,83,6937
1.6975136214437189e-06,84,7016
1.6975136214437189e-06,85,7107
1.6975136214437189e-06,86,7183
1.6975136214437189e-06,87,7284
1.6975136214437189e-06,88,7366
1.6975136214437189e-06,89,7445
1.6975136214437189e-06,90,7526
1.6975136214437189e-06,91,7624
1.6975136214437189e-06,92,7697
1.6975136214437189e-06,93,7780
1.6975136214437189e-06,94,7855
1.6975136214437189e-06,95,7939
1.6975136214437189e-06,96,8015
1.6975136214437189e-06,97,8095
1.6975136214437189e-06,98,8194
1.6975136214437189e-06,99,8293
1.6975136214437189e-06,100,8381
1.6975136214437189e-06,101,8465
1.6975136214437189e-06,102,8548
1.6975136214437189e-06,103,8635
1.6975136214437189e-06,104,8735
1.6975136214437189e-06,105,8831
1.6975136214437189e-06,106,8908
1.6975136214437189e-06,107,8982
1.6975136214437189e-06,108,9070
1.6975136214437189e-06,109,9152
1.6975136214437189e-06,110,9240
1.6975136214437189e-06,111,9323
1.6975136214437189e-06,112,9398
1.6975136214437189e-06,113,9498
1.6975136214437189e-06,114,9584
1.6975136214437189e-06,115,9685
1.6975136214437189e-06,116,9773
1.6975136214437189e-06,117,9850
1.6975136214437189e-06,118,9935
1.6975136214437189e-06,119,10017
1.6975136214437189e-06,120,10099
1.6975136214437189e-06,121,10192
1.6975136214437189e-06,122,10283
1.6975136214437189e-06,123,10359
1.6975136214437189e-06,124,10450
1.6975136214437189e-06,125,10532
1.6975136214437189e-06,126,10589
1.6975136214437189e-06,127,10671
1.6975136214437189e-06,128,10758
1.6975136214437189e-06,129,10847
1.6975136214437189e-06,130,10921
1.6975136214437189e-06,131,11012
1.6975136214437189e-06,132,11088
1.6975136214437189e-06,133,11173
1.6975136214437189e-06,134,11256
1.6975136214437189e-06,135,11342
1.6975136214437189e-06,136,11428
1.6975136214437189e-06,137,11515
1.6975136214437189e-06,138,11601
1.6975136214437189e-06,139,11687
1.6975136214437189e-06,140,11774
1.6975136214437189e-06,141,11859
1.6975136214437189e-06,142,11933
1.6975136214437189e-06,143,12028
1.6975136214437189e-06,144,12114
1.6975136214437189e-06,145,12198
1.6975136214437189e-06,146,12282
1.6975136214437189e-06,147,12367
1.6975136214437189e-06,148,12462
1.6975136214437189e-06,149,12555
1.6975136214437189e-06,150,12634
1.6975136214437189e-06,151,12721
1.6975136214437189e-06,152,12807
1.6975136214437189e-06,153,12878
1.6975136214437189e-06,154,12962
1.6975136214437189e-06,155,13032
1.6975136214437189e-06,156,13115
