generation,unique_ids
0,30
1,20
2,14
3,17
4,14
5,10
6,10
7,9
8,6
9,7
10,12
11,11
12,9
13,13
14,8
15,11
16,10
17,8
18,5
19,7
20,6
21,5
22,8
23,8
24,6
25,7
26,9
27,9
28,8
29,5
30,9
31,4
32,6
33,5
34,8
35,2
36,2
37,7
38,6
39,8
40,10
41,7
42,6
43,5
44,6
45,4
46,5
47,10
48,6
49,12
50,7
51,4
52,7
53,5
54,5
55,7
56,11
57,9
58,9
59,9
60,5
61,6
62,5
63,3
64,7
65,5
66,4
67,5
68,8
69,7
70,7
71,8
72,8
73,8
74,4
75,4
76,7
77,5
78,3
79,8
80,7
81,8
82,5
83,4
84,7
85,3
86,4
87,7
88,5
89,7
90,6
91,6
92,3
93,2
94,5
95,5
96,5
97,8
98,8
99,8
100,5
101,6
102,5
103,5
104,6
105,5
106,6
107,9
108,10
109,4
110,6
111,5
112,6
113,5
114,7
115,5
116,3
117,5
118,4
119,4
120,5
121,4
122,8
123,10
124,8
125,7
126,5
127,4
128,9
129,5
130,5
131,5
132,2
133,7
134,6
135,5
136,7
137,5
138,6
139,4
140,5
141,3
142,2
143,4
144,4
145,5
146,5
147,3
148,5
149,8
150,4
151,8
152,6
153,7
154,8
155,6
156,6
157,5
158,6
159,10
160,11
161,7
162,7
163,8
164,7
165,9
166,6
167,5
168,6
169,2
170,7
171,8
172,6
173,7
174,6
175,9
176,7
177,8
178,7
179,6
180,3
181,5
182,7
183,5
184,5
185,4
186,6
187,9
188,5
189,7
190,5
191,3
192,6
193,5
194,6
195,6
196,5
197,5
198,7
199,8
200,5
201,6
202,6
203,4
204,5
205,5
206,6
207,4
208,4
209,4
210,6
211,4
212,6
213,4
214,3
215,6
216,6
217,5
218,7
219,6
220,7
221,3
222,4
223,3
224,3
225,4
226,2
227,2
228,5
229,6
230,4
231,7
232,10
233,6
234,4
235,7
236,5
237,5
238,4
239,4
240,6
241,8
242,7
243,3
244,5
245,6
246,3
247,8
248,5
249,7
250,3
251,6
252,5
253,3
254,5
255,5
256,6
257,8
258,5
259,4
260,2
261,4
262,5
263,6
264,6
265,3
266,5
267,5
268,6
269,9
270,4
271,8
272,6
273,7
274,5
275,3
276,6
277,5
278,3
279,5
280,6
281,5
282,4
283,3
284,3
285,2
286,4
287,5
288,6
289,5
290,3
291,4
292,5
293,5
294,4
295,3
296,6
297,3
298,3
299,4
300,8
301,8
302,7
303,3
304,1
305,2
306,6
307,3
308,3
309,8
310,6
311,5
312,5
313,5
314,5
315,2
316,5
317,6
318,5
319,4
320,6
321,6
322,4
323,6
324,8
325,7
326,8
327,8
328,5
329,6
330,8
331,9
332,5
333,1
334,1
335,4
336,4
337,6
338,3
339,3
340,4
341,4
342,3
343,3
344,3
345,5
346,3
347,5
348,6
349,6
350,6
351,6
352,5
353,1
354,3
355,5
356,8
357,7
358,6
359,8
360,6
361,6
362,5
363,6
364,5
365,4
366,5
367,5
368,5
369,8
370,7
371,7
372,10
373,7
374,4
375,4
376,6
377,5
378,7
379,8
380,7
381,3
382,4
383,9
384,7
385,3
386,7
387,6
388,9
389,8
390,11
391,7
392,5
393,4
394,6
395,4
396,4
397,6
398,6
399,6
400,8
401,7
402,8
403,9
404,8
405,6
406,5
407,6
408,6
409,8
410,7
411,5
412,6
413,5
414,8
415,4
416,5
417,4
418,4
419,5
420,7
421,5
422,6
423,3
424,5
425,3
426,6
427,4
428,4
429,5
430,4
431,3
432,5
433,6
434,7
435,4
436,3
437,5
438,6
439,8
440,6
441,6
442,6
443,7
444,6
445,5
446,5
447,1
448,1
449,2
450,4
451,6
452,5
453,6
454,6
455,3
456,4
457,4
458,5
459,3
460,4
461,6
462,7
463,8
464,6
465,6
466,11
467,8
468,8
469,8
470,9
471,5
472,9
473,4
474,3
475,3
476,4
477,7
478,4
479,3
480,9
481,5
482,6
483,6
484,6
485,5
486,7
487,7
488,7
489,9
490,5
491,4
492,5
493,2
494,3
495,4
496,4
497,3
498,5
499,6
500,4
501,3
502,4
503,2
504,8
505,6
506,8
507,4
508,4
509,7
510,9
511,3
512,4
513,4
514,5
515,2
516,7
517,8
518,7
519,7
520,6
521,6
522,3
523,3
524,5
525,4
526,6
527,4
528,5
529,3
530,7
531,8
532,6
533,8
534,4
535,4
536,9
537,7
538,8
539,8
540,9
541,4
542,6
543,4
544,5
545,5
546,7
547,6
548,7
549,4
550,6
551,5
552,6
553,4
554,1
555,3
556,3
557,4
558,4
559,5
560,10
561,7
562,8
563,5
564,6
565,5
566,6
567,4
568,7
569,6
570,6
571,7
572,7
573,5
574,8
575,6
576,5
577,5
578,6
579,4
580,8
581,8
582,9
583,10
584,8
585,5
586,9
587,7
588,6
589,7
590,4
591,6
592,5
593,5
594,7
595,8
596,5
597,6
598,4
599,2
600,5
