generation,unique_ids
0,30
1,16
2,14
3,12
4,12
5,11
6,10
7,8
8,10
9,14
10,13
11,10
12,7
13,6
14,4
15,8
16,14
17,11
18,10
19,13
20,10
21,14
22,10
23,7
24,6
25,7
26,9
27,12
28,6
29,5
30,3
31,5
32,6
33,7
34,9
35,7
36,5
37,5
38,8
39,4
40,5
41,5
42,6
43,4
44,2
45,2
46,3
47,4
48,6
49,7
50,6
51,6
52,9
53,7
54,7
55,5
56,4
57,5
58,4
59,4
60,5
61,6
62,6
63,5
64,8
65,3
66,3
67,5
68,7
69,4
70,4
71,7
72,5
73,5
74,4
75,2
76,6
77,4
78,7
79,4
80,6
81,3
82,7
83,5
84,6
85,4
86,7
87,7
88,5
89,3
90,5
91,5
92,3
93,4
94,7
95,6
96,5
97,8
98,9
99,10
100,7
101,11
102,4
103,2
104,8
105,3
106,4
107,6
108,6
109,4
110,3
111,5
112,1
113,3
114,4
115,4
116,5
117,6
118,3
119,4
120,3
121,4
122,2
123,4
124,5
125,7
126,7
127,6
128,3
129,7
130,9
131,9
132,6
133,5
134,6
135,6
136,5
137,8
138,9
139,7
140,8
141,8
142,10
143,8
144,9
145,9
146,10
147,4
148,5
149,2
150,4
151,3
152,4
153,3
154,5
155,5
156,6
157,4
158,8
159,5
160,5
161,6
162,5
163,3
164,4
165,5
166,4
167,6
168,3
169,5
170,9
171,9
172,2
173,2
174,4
175,7
176,3
177,4
178,3
179,4
180,4
181,2
182,3
183,6
184,3
185,6
186,2
187,4
188,5
189,6
190,6
191,7
192,8
193,7
194,5
195,5
196,6
197,5
198,2
199,2
200,8
201,6
202,5
203,2
204,5
205,6
206,3
207,6
208,3
209,4
210,4
211,3
212,4
213,5
214,11
215,7
216,5
217,7
218,8
219,5
220,3
221,8
222,4
223,5
224,4
225,4
226,3
227,5
228,6
229,9
230,5
231,6
232,3
233,3
234,3
235,5
236,7
237,5
238,3
239,4
240,3
241,3
242,5
243,5
244,3
245,3
246,4
247,5
248,5
249,4
250,4
251,5
252,4
253,3
254,4
255,2
256,5
257,7
258,4
259,5
260,3
261,4
262,5
263,6
264,11
265,9
266,5
267,5
268,7
269,2
270,1
271,3
272,5
273,6
274,4
275,4
276,3
277,2
278,6
279,4
280,6
281,4
282,4
283,7
284,6
285,9
286,9
287,5
288,7
289,6
290,4
291,3
292,5
293,5
294,7
295,4
296,4
297,7
298,4
299,2
300,1
301,4
302,3
303,5
304,6
305,4
306,4
307,3
308,6
309,11
310,9
311,7
312,5
313,6
314,6
315,3
316,4
317,3
318,5
319,4
320,8
321,7
322,4
323,9
324,7
325,7
326,9
327,8
328,5
329,5
330,8
331,7
332,2
333,5
334,3
335,4
336,6
337,7
338,5
339,6
340,4
341,3
342,6
343,4
344,8
345,8
346,9
347,6
348,9
349,5
350,3
351,4
352,1
353,3
354,3
355,4
356,6
357,7
358,7
359,3
360,5
361,3
362,5
363,6
364,5
365,6
366,3
367,6
368,4
369,6
370,4
371,8
372,6
373,6
374,4
375,1
376,1
377,2
378,6
379,6
380,5
381,1
382,2
383,5
384,4
385,4
386,5
387,5
388,5
389,5
390,4
391,4
392,5
393,5
394,2
395,4
396,5
397,2
398,3
399,6
400,4
401,4
402,6
403,4
404,4
405,3
406,6
407,7
408,4
409,7
410,7
411,7
412,5
413,4
414,2
415,6
416,3
417,6
418,4
419,7
420,5
421,5
422,7
423,7
424,10
425,10
426,6
427,6
428,3
429,8
430,5
431,7
432,3
433,6
434,6
435,4
436,6
437,4
438,3
439,3
440,6
441,7
442,6
443,5
444,5
445,6
446,6
447,6
448,6
449,4
450,6
451,5
452,6
453,8
454,5
455,11
456,3
457,2
458,5
459,4
460,5
461,9
462,6
463,6
464,3
465,4
466,3
467,6
468,5
469,7
470,7
471,4
472,7
473,7
474,4
475,7
476,5
477,3
478,3
479,6
480,2
481,4
482,6
483,2
484,4
485,7
486,4
487,5
488,5
489,7
490,4
491,7
492,4
493,7
494,6
495,6
496,6
497,8
498,5
499,4
500,7
501,5
502,7
503,3
504,6
505,4
506,8
507,6
508,5
509,5
510,6
511,4
512,6
513,6
514,4
515,4
516,5
517,4
518,4
519,5
520,8
521,4
522,5
523,6
524,11
525,4
526,5
527,7
528,5
529,9
530,3
531,5
532,5
533,5
534,7
535,6
536,7
537,4
538,4
539,3
540,4
541,5
542,5
543,4
544,7
545,5
546,7
547,5
548,2
549,1
550,1
551,1
552,2
553,4
554,3
555,6
556,6
557,5
558,3
559,4
560,4
561,2
562,7
563,3
564,7
565,3
566,5
567,4
568,8
569,5
570,3
571,7
572,5
573,5
574,6
575,6
576,5
577,3
578,8
579,3
580,4
581,5
582,2
583,2
584,3
585,7
586,1
587,2
588,4
589,9
590,5
591,4
592,2
593,4
594,6
595,4
596,6
597,6
598,3
599,8
600,2
601,4
602,5
603,4
604,5
605,9
606,3
607,2
608,5
609,7
610,6
611,7
612,4
613,8
614,3
615,4
616,6
617,6
618,7
619,9
620,7
621,6
622,6
623,9
624,4
