objective_value,generation,evaluations
4153294.7292244844,0,30
3955653.067764863,1,96
3785115.498504972,2,158
2904581.947610529,3,232
2740416.3322924036,4,278
2288496.078114938,5,357
2288496.078114938,6,401
2191826.255627335,7,437
1755532.99168436,8,522
1755532.99168436,9,573
1566088.2812115822,10,650
1457870.5892003323,11,701
1212003.8053486547,12,788
1164412.5847244451,13,833
990695.4938735502,14,904
922886.2762121912,15,959
889436.313850335,16,1011
769573.2211325853,17,1083
735254.4511348628,18,1121
690538.3841702184,19,1172
652051.4269728393,20,1248
624915.7966300754,21,1332
595950.6065212796,22,1394
527736.9549296985,23,1460
527736.9549296985,24,1498
504407.8966366567,25,1570
480204.67339656805,26,1637
448256.9822868214,27,1688
437295.4625563557,28,1752
398567.0033258925,29,1828
377836.64405209577,30,1882
358007.7838282324,31,1947
344887.03754453594,32,1997
315873.08651528566,33,2064
297475.4396438766,34,2123
268571.99177138973,35,2184
263078.6586207663,36,2235
246902.5920930495,37,2327
226686.24404215574,38,2394
208584.80731155555,39,2440
195623.5060782282,40,2492
186125.48662387216,41,2549
184834.62703047376,42,2613
177455.7541983695,43,2665
149102.62120661128,44,2734
149102.62120661128,45,2806
140529.31053206665,46,2889
133103.59950386002,47,2958
133103.59950386002,48,3024
124986.76452141721,49,3089
112884.11533652962,50,3161
99661.0942273958,51,3217
85797.74613906139,52,3269
77977.0794545856,53,3347
69419.78852555306,54,3420
68188.04306626956,55,3471
62021.3009437539,56,3529
56559.24234588319,57,3590
52559.59849375054,58,3671
48809.81578717351,59,3723
43531.46511565209,60,3783
37527.57120773418,61,3848
34878.33931189515,62,3887
33981.88490290037,63,3968
29992.17582346933,64,4023
26105.504447907293,65,4061
26105.504447907293,66,4112
25058.208889333728,67,4198
22295.06728658961,68,4274
22295.06728658961,69,4359
20949.043304260114,70,4435
20872.220825055105,71,4498
19692.317263513825,72,4571
16995.975963947447,73,4649
14693.980565408612,74,4716
12008.249380453013,75,4761
11299.088424573412,76,4800
9722.80127923202,77,4865
9722.80127923202,78,4914
8530.236845897047,79,4995
7704.9561835220065,80,5049
6400.589609801716,81,5105
6198.463160929589,82,5166
5521.166673663684,83,5273
5045.710992200494,84,5324
4563.077971687634,85,5398
4563.077971687634,86,5469
4563.077971687634,87,5544
4381.000454681907,88,5622
4381.000454681907,89,5689
4004.114783579538,90,5773
4217.784583437271,91,5838
3631.597416750289,92,5911
3631.597416750289,93,5951
3631.597416750289,94,6003
3469.2811639375645,95,6084
3544.696881637704,96,6164
3374.3829645701608,97,6218
3374.3829645701608,98,6292
2810.0667857291724,99,6379
2807.593111541582,100,6423
2807.593111541582,101,6492
2443.9114448249843,102,6558
2120.584587344043,103,6620
2120.584587344043,104,6703
2120.584587344043,105,6757
2090.541640557514,106,6839
2081.6670726644716,107,6898
2081.6670726644716,108,6966
2018.1089130267503,109,7046
2018.1089130267503,110,7134
2018.1089130267503,111,7220
1774.454423933223,112,7298
1774.454423933223,113,7376
1774.454423933223,114,7451
1774.454423933223,115,7504
