generation,unique_ids
0,30
1,21
2,20
3,15
4,16
5,17
6,14
7,17
8,16
9,16
10,19
11,16
12,13
13,10
14,10
15,7
16,9
17,8
18,7
19,4
20,8
21,8
22,8
23,7
24,4
25,3
26,3
27,2
28,5
29,6
30,5
31,8
32,4
33,6
34,6
35,6
36,2
37,6
38,6
39,3
40,3
41,3
42,6
43,2
44,5
45,3
46,6
47,5
48,6
49,5
50,4
51,6
52,5
53,9
54,6
55,3
56,5
57,8
58,10
59,6
60,8
61,6
62,7
63,9
64,7
65,7
66,6
67,7
68,4
69,4
70,7
71,5
72,6
73,6
74,4
75,4
76,7
77,5
78,7
79,4
80,5
81,4
82,8
83,6
84,6
85,5
86,4
87,2
88,5
89,5
90,6
91,4
92,5
93,6
94,6
95,2
96,5
97,4
98,3
99,4
100,8
101,8
102,7
103,5
104,5
105,4
106,6
107,8
108,5
109,7
110,7
111,5
112,5
113,3
114,8
115,10
116,7
117,6
118,5
119,8
120,7
121,7
122,5
123,5
124,7
125,5
126,6
127,7
128,6
129,3
130,5
131,9
132,4
133,6
134,6
135,7
136,4
137,6
138,8
139,10
140,6
141,8
142,5
143,5
144,2
145,7
146,5
147,7
148,6
149,9
150,6
151,7
152,4
153,7
154,3
155,6
156,3
157,5
158,4
159,3
160,8
161,6
162,6
163,8
164,6
165,3
166,3
167,5
168,7
169,9
170,5
171,6
172,4
173,3
174,6
175,5
176,6
177,6
178,3
179,1
180,3
181,6
182,7
183,7
184,7
185,7
186,6
187,8
188,6
189,6
190,5
191,4
192,6
193,4
194,4
195,4
196,6
197,4
198,3
199,4
200,4
201,8
202,6
203,5
204,2
205,7
206,8
207,4
208,7
209,5
210,4
211,3
212,4
213,4
214,7
215,8
216,7
217,9
218,7
219,4
220,8
221,7
222,6
223,8
224,4
225,2
226,6
227,4
228,7
229,7
230,6
231,6
232,5
233,7
234,4
235,5
236,4
237,4
238,4
239,5
240,5
241,3
242,6
243,7
244,10
245,5
246,6
247,6
248,5
249,5
250,6
251,5
252,9
253,7
254,3
255,5
256,1
257,1
258,4
259,6
260,5
261,8
262,7
263,3
264,4
265,4
266,5
267,5
268,3
269,5
270,4
271,7
272,9
273,5
274,5
275,4
276,3
277,6
278,6
279,3
280,2
281,9
282,8
283,5
284,6
285,6
286,6
287,7
288,5
289,4
290,6
291,10
292,7
293,5
294,5
295,3
296,5
297,3
298,8
299,5
300,7
301,5
302,3
303,4
304,4
305,7
306,8
307,9
308,2
309,2
310,3
311,8
312,3
313,4
314,3
315,5
316,3
317,4
318,4
319,4
320,5
321,6
322,5
323,5
324,4
325,1
326,1
327,5
328,4
329,7
330,8
331,10
332,8
333,3
334,4
335,3
336,4
337,5
338,3
339,2
340,3
341,5
342,3
343,7
344,5
345,6
346,5
347,6
348,5
349,4
350,5
351,6
352,5
353,6
354,6
355,5
356,4
357,3
358,5
359,6
360,6
361,8
362,6
363,5
364,4
365,6
366,5
367,6
368,7
369,5
370,7
371,4
372,3
373,6
374,1
375,1
376,1
377,2
378,2
379,2
380,2
381,3
382,5
383,5
384,6
385,6
386,5
387,9
388,8
389,8
390,7
391,7
392,8
393,3
394,5
395,7
396,8
397,6
398,7
399,3
400,6
401,7
402,7
403,9
404,7
405,6
406,5
407,4
408,4
409,9
410,9
411,6
412,4
413,7
414,4
415,5
416,5
417,2
418,3
419,7
420,3
421,8
422,6
423,6
424,5
425,6
426,8
427,6
428,5
429,6
430,5
431,6
432,4
433,6
434,6
435,6
436,7
437,6
438,4
439,6
440,5
441,5
442,4
443,8
444,4
445,4
446,6
447,6
448,4
449,5
450,7
451,9
452,8
453,6
454,5
455,3
456,4
457,6
458,8
459,2
460,3
461,8
462,7
463,7
464,7
465,7
466,6
467,7
468,4
469,5
470,5
471,10
472,10
473,8
474,9
475,6
476,11
477,9
478,7
479,9
480,3
481,4
482,5
483,4
484,7
485,4
486,4
487,6
488,6
489,10
490,4
491,4
492,6
493,12
494,14
495,8
496,8
497,5
498,3
499,5
500,4
501,9
502,8
503,7
504,5
505,7
506,7
507,6
508,4
509,3
510,3
511,2
512,4
513,4
514,6
515,5
516,10
517,4
518,8
519,5
520,4
521,5
522,2
523,3
524,4
525,8
526,6
527,6
528,4
529,2
530,5
531,6
532,9
533,9
534,6
535,4
536,6
537,5
538,8
539,7
540,8
541,8
542,7
543,5
544,5
545,6
546,7
547,5
548,6
549,4
550,6
551,9
552,5
553,7
554,6
555,2
556,2
557,6
558,4
559,5
560,3
561,3
562,3
563,7
564,3
565,6
566,6
567,6
568,3
569,3
570,5
571,4
572,8
573,9
574,9
575,7
576,8
577,7
578,7
579,5
580,4
581,2
582,4
583,7
584,7
585,3
586,7
587,5
588,4
589,4
590,6
591,5
592,4
593,6
594,5
595,8
596,7
597,7
598,7
599,10
600,7
601,5
602,3
603,6
604,2
