generation,unique_ids
0,30
1,19
2,14
3,16
4,14
5,13
6,15
7,12
8,12
9,12
10,19
11,18
12,14
13,10
14,10
15,12
16,12
17,12
18,14
19,14
20,13
21,10
22,10
23,8
24,5
25,8
26,5
27,6
28,3
29,6
30,7
31,8
32,9
33,9
34,10
35,10
36,9
37,9
38,7
39,5
40,7
41,6
42,6
43,6
44,7
45,6
46,4
47,6
48,7
49,10
50,7
51,10
52,8
53,3
54,3
55,8
56,4
57,6
58,5
59,4
60,6
61,6
62,5
63,6
64,4
65,6
66,4
67,7
68,5
69,6
70,5
71,2
72,5
73,6
74,8
75,10
76,9
77,11
78,7
79,7
80,3
81,4
82,8
83,4
84,7
85,8
86,5
87,6
88,6
89,2
90,7
91,5
92,5
93,2
94,8
95,8
96,4
97,4
98,8
99,9
100,5
101,6
102,4
103,5
104,5
105,3
106,6
107,4
108,6
109,5
110,9
111,7
112,4
113,3
114,7
115,7
116,5
117,4
118,9
119,6
120,6
121,6
122,4
123,6
124,5
125,7
126,6
127,4
128,3
129,5
130,4
131,5
132,6
133,6
134,6
135,6
136,8
137,6
138,6
139,4
140,9
141,5
142,7
143,5
144,6
145,2
146,4
147,5
148,5
149,6
150,9
151,10
152,6
153,4
154,4
155,4
156,6
157,4
158,2
159,6
160,10
161,5
162,8
163,6
164,3
165,3
166,5
167,8
168,8
169,11
170,5
171,2
172,2
173,8
174,7
175,8
176,4
177,6
178,7
179,5
180,6
181,7
182,7
183,3
184,4
185,5
186,4
187,6
188,6
189,8
190,8
191,6
192,6
193,9
194,5
195,6
196,5
197,8
198,8
199,5
200,8
201,5
202,5
203,6
204,2
205,3
206,5
207,4
208,3
209,7
210,7
211,5
212,10
213,5
214,5
215,7
216,7
217,5
218,8
219,5
220,9
221,7
222,8
223,7
224,7
225,7
226,6
227,4
228,4
229,2
230,5
231,4
232,2
233,1
234,1
235,3
236,2
237,5
238,4
239,3
240,7
241,3
242,3
243,8
244,3
245,4
246,3
247,5
248,5
249,4
250,4
251,6
252,6
253,8
254,7
255,4
256,6
257,5
258,6
259,3
260,2
261,5
262,5
263,4
264,5
265,3
266,2
267,5
268,7
269,5
270,4
271,4
272,4
273,3
274,3
275,4
276,8
277,6
278,3
279,6
280,4
281,5
282,7
283,6
284,4
285,6
286,3
287,3
288,5
289,5
290,5
291,5
292,6
293,3
294,4
295,4
296,2
297,5
298,8
299,10
300,3
301,5
302,6
303,5
304,2
305,3
306,2
307,3
308,5
309,7
310,3
311,2
312,4
313,3
314,4
315,5
316,3
317,5
318,5
319,5
320,3
321,7
322,3
323,8
324,3
325,7
326,11
327,7
328,6
329,7
330,7
331,5
332,6
333,8
334,4
335,5
336,3
337,4
338,5
339,9
340,4
341,4
342,6
343,5
344,5
345,2
346,8
347,6
348,4
349,6
350,2
351,6
352,3
353,4
354,2
355,3
356,2
357,5
358,11
359,6
360,7
361,6
362,9
363,4
364,8
365,6
366,6
367,8
368,3
369,8
370,7
371,5
372,4
373,6
374,6
375,1
376,2
377,3
378,4
379,6
380,5
381,6
382,4
383,5
384,7
385,7
386,4
387,6
388,8
389,8
390,6
391,4
392,4
393,7
394,3
395,4
396,8
397,7
398,4
399,6
400,6
401,3
402,6
403,8
404,8
405,4
406,3
407,7
408,5
409,5
410,3
411,5
412,4
413,3
414,4
415,7
416,7
417,6
418,4
419,6
420,4
421,6
422,5
423,6
424,5
425,5
426,5
427,6
428,7
429,7
430,7
431,7
432,7
433,3
434,5
435,7
436,4
437,9
438,6
439,4
440,5
441,7
442,4
443,5
444,8
445,6
446,4
447,8
448,5
449,5
450,4
451,5
452,5
453,4
454,7
455,6
456,6
457,4
458,2
459,4
460,5
461,5
462,6
463,8
464,6
465,8
466,7
467,5
468,7
469,3
470,6
471,5
472,5
473,4
474,4
475,3
476,4
477,4
478,5
479,6
480,4
481,5
482,2
483,4
484,3
485,1
486,2
487,3
488,7
489,9
490,5
491,6
492,6
493,5
494,6
495,6
496,5
497,4
498,5
499,6
500,5
501,8
502,5
503,7
504,5
505,5
506,6
507,7
508,7
509,5
510,4
511,6
512,3
513,5
514,7
515,4
516,2
517,4
518,4
519,3
520,2
521,8
522,6
523,2
524,4
525,5
526,7
527,6
528,3
529,3
530,3
531,4
532,6
533,5
534,3
535,6
536,5
537,4
538,3
539,1
540,2
541,5
542,4
543,6
544,5
545,3
546,6
547,5
548,6
549,2
550,5
551,6
552,7
553,3
554,3
555,5
556,6
557,6
558,5
559,2
560,3
561,4
562,3
563,3
564,3
565,5
566,6
567,5
568,5
569,5
570,4
571,4
572,3
573,6
574,4
575,4
576,8
577,8
578,5
579,4
580,6
581,4
582,7
583,5
584,4
585,4
586,4
587,4
588,4
589,7
590,9
591,3
592,3
593,5
594,6
595,7
596,6
597,3
598,2
599,7
600,3
601,5
602,4
603,4
604,4
605,5
606,3
607,7
608,5
609,5
610,5
611,5
612,6
613,6
614,12
615,7
616,9
617,5
618,5
619,3
