objective_value,generation,evaluations
19212.202032089084,0,30
18314.89979527656,1,95
17981.339764975124,2,151
17605.025067486116,3,209
17453.475762086688,4,278
16469.16579928867,5,339
16469.16579928867,6,390
15973.950437828602,7,463
15973.950437828602,8,505
15836.974087378045,9,565
15836.974087378045,10,615
15281.063411862062,11,688
15281.063411862062,12,728
15019.203252885854,13,771
15019.203252885854,14,826
14688.128383342097,15,908
14688.128383342097,16,983
14039.047085549853,17,1075
14039.047085549853,18,1120
13805.335273636289,19,1186
13805.335273636289,20,1258
13698.109605473926,21,1347
13595.775223959126,22,1419
13595.775223959126,23,1504
13595.775223959126,24,1568
12877.746565448317,25,1662
12877.746565448317,26,1703
12709.488736771877,27,1765
12738.37569520656,28,1849
12684.268411476023,29,1925
12684.268411476023,30,2003
12684.268411476023,31,2089
12684.268411476023,32,2172
12684.268411476023,33,2241
12684.268411476023,34,2321
12684.268411476023,35,2410
12684.268411476023,36,2479
12684.268411476023,37,2557
12552.178202430505,38,2645
12552.178202430505,39,2728
12552.178202430505,40,2804
12552.178202430505,41,2876
12471.509409272672,42,2965
12471.509409272672,43,3052
12353.235250396852,44,3151
12471.509409272672,45,3239
12471.509409272672,46,3319
12471.509409272672,47,3399
12325.327959372451,48,3480
12325.327959372451,49,3561
12001.473602688422,50,3651
12001.473602688422,51,3708
12001.473602688422,52,3764
12001.473602688422,53,3847
11691.047317556775,54,3932
11691.047317556775,55,4015
11691.047317556775,56,4094
11691.047317556775,57,4173
11484.590871655526,58,4273
11484.590871655526,59,4353
11414.738990989943,60,4439
11414.738990989943,61,4530
11125.769823409313,62,4608
11125.769823409313,63,4678
11125.769823409313,64,4769
11125.769823409313,65,4853
11125.769823409313,66,4942
10958.718954864677,67,5029
10958.718954864677,68,5093
10958.718954864677,69,5168
10958.718954864677,70,5250
10958.718954864677,71,5327
10515.760373841587,72,5412
10515.760373841587,73,5463
10515.760373841587,74,5504
10496.223257302516,75,5564
10452.982244274579,76,5638
10452.982244274579,77,5717
10452.982244274579,78,5797
10452.982244274579,79,5897
10407.116496709457,80,5982
10407.116496709457,81,6083
10407.116496709457,82,6156
10407.116496709457,83,6235
10398.420375780468,84,6310
10398.420375780468,85,6409
10398.420375780468,86,6483
10398.420375780468,87,6568
10398.420375780468,88,6658
10197.188030546713,89,6742
10398.420375780468,90,6831
10398.420375780468,91,6915
10398.420375780468,92,6993
10398.420375780468,93,7067
10398.420375780468,94,7153
10398.420375780468,95,7233
10126.378562660775,96,7325
10126.378562660775,97,7399
10126.378562660775,98,7479
10126.378562660775,99,7556
10126.378562660775,100,7646
9762.307124161043,101,7743
9762.307124161043,102,7803
9762.307124161043,103,7887
9762.307124161043,104,7963
9762.307124161043,105,8042
9762.307124161043,106,8111
9762.307124161043,107,8200
9762.307124161043,108,8276
9762.307124161043,109,8359
9762.307124161043,110,8438
9762.307124161043,111,8502
9762.307124161043,112,8585
9762.307124161043,113,8649
9762.307124161043,114,8735
9762.307124161043,115,8808
9762.307124161043,116,8904
9762.307124161043,117,8992
9762.307124161043,118,9077
9762.307124161043,119,9164
9762.307124161043,120,9253
9762.307124161043,121,9326
9762.307124161043,122,9412
9762.307124161043,123,9484
9762.307124161043,124,9571
9762.307124161043,125,9651
9762.307124161043,126,9753
9762.307124161043,127,9830
9762.307124161043,128,9894
9762.307124161043,129,9959
9762.307124161043,130,10060
9762.307124161043,131,10121
9762.307124161043,132,10205
9762.307124161043,133,10296
9762.307124161043,134,10375
9762.307124161043,135,10448
9762.307124161043,136,10535
9762.307124161043,137,10625
9762.307124161043,138,10705
9762.307124161043,139,10777
9762.307124161043,140,10861
9762.307124161043,141,10954
9762.307124161043,142,11022
9762.307124161043,143,11095
9762.307124161043,144,11182
9762.307124161043,145,11232
9762.307124161043,146,11323
9762.307124161043,147,11402
9762.307124161043,148,11491
9762.307124161043,149,11569
9762.307124161043,150,11641
9762.307124161043,151,11725
9564.79348366723,152,11802
9564.79348366723,153,11874
9564.79348366723,154,11958
9564.79348366723,155,12024
9564.79348366723,156,12102
9564.79348366723,157,12191
9564.79348366723,158,12272
9564.79348366723,159,12347
9564.79348366723,160,12415
9564.79348366723,161,12487
9564.79348366723,162,12568
9564.79348366723,163,12656
9564.79348366723,164,12740
9564.79348366723,165,12826
9564.79348366723,166,12903
9564.79348366723,167,12989
9564.79348366723,168,13074
9564.79348366723,169,13149
9564.79348366723,170,13236
9564.79348366723,171,13306
9564.79348366723,172,13387
9564.79348366723,173,13464
9564.79348366723,174,13537
9564.79348366723,175,13618
9564.79348366723,176,13695
9564.79348366723,177,13783
9564.79348366723,178,13868
9564.79348366723,179,13948
9564.79348366723,180,14032
9564.79348366723,181,14109
9564.79348366723,182,14186
9564.79348366723,183,14266
9564.79348366723,184,14336
9564.79348366723,185,14430
9564.79348366723,186,14520
9564.79348366723,187,14591
9564.79348366723,188,14680
9564.79348366723,189,14756
9564.79348366723,190,14844
9564.79348366723,191,14924
9564.79348366723,192,15016
9564.79348366723,193,15098
9564.79348366723,194,15187
9564.79348366723,195,15266
9564.79348366723,196,15349
9564.79348366723,197,15420
9564.79348366723,198,15496
9564.79348366723,199,15569
9564.79348366723,200,15638
9564.79348366723,201,15721
9564.79348366723,202,15797
9564.79348366723,203,15872
9564.79348366723,204,15950
9564.79348366723,205,16040
9564.79348366723,206,16101
9564.79348366723,207,16178
9564.79348366723,208,16263
9564.79348366723,209,16342
9564.79348366723,210,16423
9564.79348366723,211,16502
9564.79348366723,212,16586
9564.79348366723,213,16658
9564.79348366723,214,16744
9439.854572253933,215,16827
9439.854572253933,216,16920
9439.854572253933,217,17000
9439.854572253933,218,17085
9439.854572253933,219,17173
9439.854572253933,220,17240
9439.854572253933,221,17328
9439.854572253933,222,17408
9439.854572253933,223,17491
9439.854572253933,224,17569
9439.854572253933,225,17652
9439.854572253933,226,17745
9439.854572253933,227,17824
9439.854572253933,228,17886
9439.854572253933,229,17937
9439.854572253933,230,18022
9439.854572253933,231,18107
9439.854572253933,232,18195
9439.854572253933,233,18288
9439.854572253933,234,18380
9439.854572253933,235,18460
9439.854572253933,236,18542
9439.854572253933,237,18619
9439.854572253933,238,18711
9439.854572253933,239,18792
9439.854572253933,240,18864
9439.854572253933,241,18961
9439.854572253933,242,19037
9439.854572253933,243,19112
9439.854572253933,244,19193
9439.854572253933,245,19284
9439.854572253933,246,19354
9439.854572253933,247,19461
9439.854572253933,248,19539
9439.854572253933,249,19615
9439.854572253933,250,19687
9439.854572253933,251,19754
9439.854572253933,252,19830
9439.854572253933,253,19905
9439.854572253933,254,19980
9439.854572253933,255,20063
9439.854572253933,256,20147
9439.854572253933,257,20219
9439.854572253933,258,20290
9439.854572253933,259,20370
9439.854572253933,260,20452
9439.854572253933,261,20536
9439.854572253933,262,20606
9439.854572253933,263,20696
9439.854572253933,264,20764
9439.854572253933,265,20848
9439.854572253933,266,20919
9439.854572253933,267,21001
9439.854572253933,268,21087
9439.854572253933,269,21148
9439.854572253933,270,21243
9439.854572253933,271,21314
9439.854572253933,272,21390
9439.854572253933,273,21483
9439.854572253933,274,21559
9439.854572253933,275,21630
9439.854572253933,276,21721
9439.854572253933,277,21811
9439.854572253933,278,21887
9439.854572253933,279,21958
9439.854572253933,280,22040
9439.854572253933,281,22132
9439.854572253933,282,22212
9439.854572253933,283,22294
9439.854572253933,284,22373
9439.854572253933,285,22448
9439.854572253933,286,22514
9241.254220760982,287,22604
9241.254220760982,288,22677
9241.254220760982,289,22760
9241.254220760982,290,22842
9241.254220760982,291,22921
9241.254220760982,292,23003
9241.254220760982,293,23072
9214.239332886345,294,23157
9241.254220760982,295,23245
9241.254220760982,296,23327
9241.254220760982,297,23416
9241.254220760982,298,23501
9241.254220760982,299,23575
9241.254220760982,300,23663
9241.254220760982,301,23747
9241.254220760982,302,23829
9241.254220760982,303,23916
9241.254220760982,304,23993
9241.254220760982,305,24078
9241.254220760982,306,24163
9241.254220760982,307,24238
9241.254220760982,308,24324
9241.254220760982,309,24403
9241.254220760982,310,24479
9241.254220760982,311,24576
9241.254220760982,312,24654
9241.254220760982,313,24727
9241.254220760982,314,24807
9241.254220760982,315,24897
9241.254220760982,316,24974
9241.254220760982,317,25059
9241.254220760982,318,25137
9241.254220760982,319,25218
9241.254220760982,320,25310
9241.254220760982,321,25381
9241.254220760982,322,25459
9241.254220760982,323,25533
9241.254220760982,324,25616
9241.254220760982,325,25691
9241.254220760982,326,25761
9241.254220760982,327,25845
9241.254220760982,328,25935
9241.254220760982,329,26024
9241.254220760982,330,26114
9241.254220760982,331,26190
9241.254220760982,332,26279
9241.254220760982,333,26352
9241.254220760982,334,26424
9241.254220760982,335,26503
9241.254220760982,336,26580
9241.254220760982,337,26671
9241.254220760982,338,26751
9241.254220760982,339,26849
9241.254220760982,340,26936
9241.254220760982,341,27014
9241.254220760982,342,27114
9241.254220760982,343,27198
9241.254220760982,344,27264
9241.254220760982,345,27344
9241.254220760982,346,27421
9241.254220760982,347,27493
9241.254220760982,348,27571
9241.254220760982,349,27635
9241.254220760982,350,27706
9241.254220760982,351,27797
9241.254220760982,352,27886
9241.254220760982,353,27965
9241.254220760982,354,28042
9241.254220760982,355,28119
9241.254220760982,356,28202
9241.254220760982,357,28272
9241.254220760982,358,28367
9241.254220760982,359,28466
9241.254220760982,360,28539
9241.254220760982,361,28608
9241.254220760982,362,28691
9241.254220760982,363,28773
9241.254220760982,364,28868
9241.254220760982,365,28956
9241.254220760982,366,29035
9241.254220760982,367,29132
9241.254220760982,368,29207
9241.254220760982,369,29286
9241.254220760982,370,29369
9241.254220760982,371,29446
9241.254220760982,372,29543
9241.254220760982,373,29624
9241.254220760982,374,29706
9241.254220760982,375,29780
9241.254220760982,376,29863
9241.254220760982,377,29949
9241.254220760982,378,30021
9241.254220760982,379,30104
9241.254220760982,380,30186
9241.254220760982,381,30268
9241.254220760982,382,30350
9241.254220760982,383,30438
9241.254220760982,384,30521
9241.254220760982,385,30603
9241.254220760982,386,30678
9241.254220760982,387,30760
9241.254220760982,388,30834
9241.254220760982,389,30916
9241.254220760982,390,30999
9241.254220760982,391,31090
9241.254220760982,392,31181
9241.254220760982,393,31274
9241.254220760982,394,31364
9241.254220760982,395,31437
9241.254220760982,396,31516
9241.254220760982,397,31598
9241.254220760982,398,31684
9241.254220760982,399,31766
9241.254220760982,400,31848
9241.254220760982,401,31951
9241.254220760982,402,32033
9241.254220760982,403,32130
9241.254220760982,404,32216
9241.254220760982,405,32309
9241.254220760982,406,32384
9241.254220760982,407,32459
9241.254220760982,408,32532
9241.254220760982,409,32619
9241.254220760982,410,32707
9241.254220760982,411,32789
9241.254220760982,412,32871
9241.254220760982,413,32944
9241.254220760982,414,33030
9241.254220760982,415,33119
9241.254220760982,416,33212
9241.254220760982,417,33273
9241.254220760982,418,33352
9241.254220760982,419,33423
9241.254220760982,420,33510
9241.254220760982,421,33590
9241.254220760982,422,33641
9241.254220760982,423,33742
9241.254220760982,424,33817
9241.254220760982,425,33901
9241.254220760982,426,33976
9241.254220760982,427,34059
9241.254220760982,428,34146
