objective_value,generation,evaluations
-0.28626745076104493,0,30
-0.44975364616273417,1,122
-0.8855303763154241,2,189
-0.9499031000845858,3,242
-1.0305225152112665,4,293
-1.0310288706365374,5,370
-1.0310288706365374,6,433
-1.0310288706365374,7,487
-1.031300389660405,8,572
-1.0313084689655894,9,668
-1.0313084689655894,10,750
-1.0315582059493713,11,839
-1.0315582059493713,12,930
-1.0315582059493713,13,1011
-1.0315582059493713,14,1086
-1.0315582059493713,15,1175
-1.031605795996764,16,1264
-1.031605795996764,17,1333
-1.031605795996764,18,1424
-1.031605795996764,19,1497
-1.031605795996764,20,1586
-1.031605795996764,21,1654
-1.031605795996764,22,1742
-1.031605795996764,23,1828
-1.031605795996764,24,1903
-1.031605795996764,25,1986
-1.031605795996764,26,2069
-1.031605795996764,27,2162
-1.031605795996764,28,2248
-1.031605795996764,29,2324
-1.031605795996764,30,2411
-1.031605795996764,31,2489
-1.031605795996764,32,2575
-1.031605795996764,33,2663
-1.031605795996764,34,2741
-1.031605795996764,35,2812
-1.031605795996764,36,2901
-1.031605795996764,37,2993
-1.031605795996764,38,3082
-1.031605795996764,39,3168
-1.031605795996764,40,3254
-1.031605795996764,41,3336
-1.031605795996764,42,3424
-1.031605795996764,43,3517
-1.031605795996764,44,3594
-1.031605795996764,45,3689
-1.031605795996764,46,3778
-1.031605795996764,47,3858
-1.031605795996764,48,3939
-1.031605795996764,49,4020
-1.0316180338451961,50,4104
-1.0316180338451961,51,4190
-1.0316180338451961,52,4275
-1.0316180338451961,53,4352
-1.0316180338451961,54,4430
-1.0316180338451961,55,4518
-1.0316180338451961,56,4597
-1.0316180338451961,57,4682
-1.0316180338451961,58,4750
-1.0316180338451961,59,4832
-1.0316180338451961,60,4914
-1.0316180338451961,61,4989
-1.0316180338451961,62,5064
-1.0316180338451961,63,5148
-1.0316180338451961,64,5237
-1.0316180338451961,65,5325
-1.0316180338451961,66,5415
-1.0316180338451961,67,5481
-1.0316180338451961,68,5561
-1.0316180338451961,69,5646
-1.0316180338451961,70,5725
-1.0316180338451961,71,5806
-1.0316180338451961,72,5890
-1.0316180338451961,73,5980
-1.0316180338451961,74,6070
-1.0316180338451961,75,6155
-1.0316180338451961,76,6225
-1.0316180338451961,77,6302
-1.0316180338451961,78,6385
-1.0316180338451961,79,6476
-1.0316180338451961,80,6554
-1.0316180338451961,81,6638
-1.0316180338451961,82,6738
-1.0316180338451961,83,6818
-1.0316180338451961,84,6899
-1.0316180338451961,85,6979
-1.0316180338451961,86,7069
-1.0316180338451961,87,7159
-1.0316180338451961,88,7247
-1.0316180338451961,89,7335
-1.0316180338451961,90,7415
-1.0316180338451961,91,7505
-1.0316180338451961,92,7602
-1.0316180338451961,93,7687
-1.0316180338451961,94,7778
-1.0316180338451961,95,7851
-1.0316180338451961,96,7928
-1.0316180338451961,97,8015
-1.0316180338451961,98,8108
-1.0316180338451961,99,8203
-1.0316180338451961,100,8290
-1.0316180338451961,101,8368
-1.0316180338451961,102,8419
-1.0316180338451961,103,8505
-1.0316180338451961,104,8592
-1.0316180338451961,105,8676
-1.0316180338451961,106,8752
